證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3494,2014年01月01日至2014年03月31日,,                564687,,                407725,                156962,                156962,,,                 49902,,                 48960,,                 29052,                127914,                 29048,,,                  1690,,                  4854,,                  5706,                    838,                 29886,,                 11142,                 18744,                 18744,,,                              0,                              0,                              0,,                 18685,,                 18685,                 18685,                 37429,,                 17948,                    796,,                 36633,                    796,,                              0.10,,,,
3494,2013年第3季,,                524261,,                396829,                127432,                127432,,,                 51054,,                 45312,,                 27610,                123976,                  3456,,,                  7023,,                  2154,,                  5788,                  3389,                  6845,,                  1185,                  5660,                  5660,,,,,,,,,,                -12309,                 -6649,,                  8531,                 -2871,,                 -3778,                 -2871,,                              0.06,,                              0.06,                -12309,
3494,2013年第2季,,                474667,,                382637,                 92030,                 92030,,,                 56126,,                 60665,,                 30207,                146998,                -54968,,,                  2165,,                   -549,,                  4743,                 -3127,                -58095,,                 -2721,                -55374,                -55374,,,,,,,,,,                 14157,                -41217,,                -46298,                 -9076,,                -32141,                 -9076,,                             -0.33,,,                 14157,
3494,2013年度,,              2063606,,              1617608,                445998,                445998,,,                216263,,                215438,,                124380,                556081,               -110083,,,                 13545,,                  6837,,                 19774,                    608,               -109475,,                 -6591,               -102884,               -102884,,,,,,,,,,                 44376,                -58508,,                -63786,                -39098,,                -19410,                -39098,,                             -0.43,,                              0.00,                 44376,                              0
3494,2013年07月01日至2013年09月30日,,                524261,,                396829,                127432,                127432,,,                 51054,,                 45312,,                 27610,                123976,                  3456,,,                  7023,,                  2154,,                  5788,                  3389,                  6845,,                  1185,                  5660,                  5660,,,,,,,,,,                -12309,                 -6649,,                  8531,                 -2871,,                 -3778,                 -2871,,                              0.06,,                              0.06,                -12309,                              0
3494,2013年04月01日至2013年06月30日,,                474667,,                382637,                 92030,                 92030,,,                 56126,,                 60665,,                 30207,                146998,                -54968,,,                  2165,,                   -549,,                  4743,                 -3127,                -58095,,                 -2721,                -55374,                -55374,,,,,,,,,,                 14157,                -41217,,                -46298,                 -9076,,                -32141,                 -9076,,                             -0.33,,,                 14157,                              0
3494,2013年01月01日至2013年12月31日,,              2063606,,              1617608,                445998,                445998,,,                216263,,                215438,,                124380,                556081,               -110083,,,                 13545,,                  6837,,                 19774,                    608,               -109475,,                 -6591,               -102884,               -102884,,,,,,,,,,                 44376,                -58508,,                -63786,                -39098,,                -19410,                -39098,,                             -0.43,,,                 44376,                              0
3494,2013年01月01日至2013年09月30日,,              1500066,,              1187310,                312756,                312756,,,                156545,,                164539,,                 90256,                411340,                -98584,,,                 10730,,                 -3003,,                 15169,                 -7442,               -106026,,                 -2815,               -103211,               -103211,,,,,,,,,,                 31116,                -72095,,                -84877,                -18334,,                -53761,                -18334,,                             -0.59,,                             -0.59,                 31116,
3494,2013年01月01日至2013年06月30日,,                975805,,                790481,                185324,                185324,,,                105491,,                119227,,                 62646,                287364,               -102040,,,                  3707,,                 -5157,,                  9381,                -10831,               -112871,,                 -4000,               -108871,               -108871,,,,,,,,,,                 43425,                -65446,,                -93408,                -15463,,                -49983,                -15463,,                             -0.68,,,                 43425,
3494,2013年01月01日至2013年03月31日,,                501138,,                407844,                 93294,                 93294,,,                 49365,,                 58562,,                 32439,                140366,                -47072,,,                  1542,,                 -4608,,                  4638,                 -7704,                -54776,,                 -1279,                -53497,                -53497,,,,,,,,,,                 29268,                -24229,,                -47110,                 -6387,,                -17842,                 -6387,,                             -0.34,,,                 29268,
3494,2012年07月01日至2012年09月30日,,                570594,,                442850,                127744,                127744,,,                 54527,,                 48920,,                 37002,                140449,                -12705,,,                  2040,,                  2615,,                  3819,                    836,                -11869,,                  8553,                -20422,                -20422,,,,,,,,,,                -20031,                -40453,,                 -4753,                -15669,,                -24784,                -15669,,                             -0.03,,                             -0.03,                -20031,                              0
3494,2012年04月01日至2012年06月30日,,                527329,,                405585,                121744,                121744,,,                 53085,,                 45309,,                 44468,                142862,                -21118,,,                  1745,,                 -1158,,                  3637,                 -3050,                -24168,,                  6051,                -30219,                -30219,,,,,,,,,,                  8644,                -21575,,                 -2883,                -27336,,                  5761,                -27336,,                             -0.02,,,                  8644,                              0
3494,2012年01月01日至2012年12月31日,,              2153526,,              1680035,                473491,                473491,,,                193277,,                200894,,                155054,                549225,                -75734,,,                 18834,,                 -1469,,                 15858,                  1507,                -74227,,                 26167,               -100394,               -100394,,,,,,,,,,                -39089,               -139483,,                -21625,                -78769,,                -60714,                -78769,,                             -0.16,,,                -39089,                              0
3494,2012年01月01日至2012年09月30日,,              1593318,,              1227830,                365488,                365488,,,                153265,,                139365,,                120408,                413038,                -47550,,,                  5060,,                 -2145,,                 10814,                 -7899,                -55449,,                 20756,                -76205,                -76205,,,,,,,,,,                -33845,               -110050,,                -15220,                -60985,,                -49065,                -60985,,                             -0.11,,                             -0.11,                -33845,                              0
3494,2012年01月01日至2012年06月30日,,              1022724,,                784980,                237744,                237744,,,                 98738,,                 90445,,                 83406,                272589,                -34845,,,                  3020,,                 -4760,,                  6995,                 -8735,                -43580,,                 12203,                -55783,                -55783,,,,,,,,,,                -13814,                -69597,,                -10467,                -45316,,                -24281,                -45316,,                             -0.08,,,                -13814,                              0
3494,2012年01月01日至2012年03月31日,,                495395,,                379395,                116000,                116000,,,                 45653,,                 45136,,                 38938,                129727,                -13727,,,                  1275,,                 -3602,,                  3358,                 -5685,                -19412,,                  6152,                -25564,                -25564,,,,,,,,,,                -22458,                -48022,,                 -7584,                -17980,,                -30042,                -17980,,                             -0.06,,,                -22458,
