證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 股利收入,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　 停業單位損益,　　 停業單位損益合計,　　　　 銷貨收入,　　　 銷貨成本,　　　　 銀行存款利息,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 非控制權益（淨利／損）
6230,2014年01月01日至2014年03月31日,,              1269189,,                981455,                287734,                287734,,,                 43417,,                 54456,,                 69636,                167509,                120225,,,,                  5977,                  1050,                  5945,                 12972,,,                  6099,,,                     45,                    423,                  1140,                  4581,,                  4906,                  4906,                 12647,                132872,,                 25893,                106979,                106979,,,                 -6846,                 -1164,                 -5682,                 -5682,                101297,,                106979,,                101297,,,                              1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2013年第3季,,              1527142,,              1186577,                340565,                340565,,,                 39985,,                 60584,,                 56601,                157170,                183395,,,,                  6235,                  1050,                  7309,                 14594,,                              0,                              0,,,                    163,                  1004,                 13036,                -22654,,,                  1406,                 -9466,                173929,,                 41852,                132077,                132077,,,,,,                -18368,                113709,,                132077,,                113709,,                              1.53,                              1.53,,,,,,,,,,                              0,                  8777,,,,                -22130,,                 -3762,,,,,,,,,,,,,
6230,2013年第2季,,              1561770,,              1252557,                309213,                309213,,,                 36004,,                 56780,,                 48296,                141080,                168133,,,,                  3121,                  1051,                  5016,                  9915,,                    115,                              0,,,                              0,                    678,                  2265,                 -9539,,                  2549,                  2549,                 -2173,                165960,,                 38508,                127452,                127452,,,,,,                 16320,                143772,,                127452,,                143772,,                              1.48,                              1.48,,,,,,,,,,                    727,                  6711,,,,                 19663,,                  3343,,,,,,,,,,,,,
6230,2013年度,,              6021383,,              4753553,              1267830,              1267830,,,                157168,,                233267,,                211972,                602407,                665423,,,,                 21603,                  4202,                 40824,                 67356,,                    116,                              0,,                    183,                    183,                  3389,                 17067,                -39853,,                  7441,                  7441,                 20062,                685485,,                149853,                535632,                535632,,,,,,                 82515,                618147,,                535632,,                618147,,                              6.20,                              6.20,,,,,,,,,,                    727,                 19696,,                              0,                              0,                 98100,                  1098,                 16683,                              0.00,,,,,,,,,,,,
6230,2013年07月01日至2013年09月30日,,              1527142,,              1186577,                340565,                340565,,,                 39985,,                 60584,,                 56601,                157170,                183395,,,,                  6235,                  1050,                  7309,                 14594,,                              0,,,                    163,                    163,                  1004,                 13036,                -22654,,                  1406,                  1406,                 -9466,                173929,,                 41852,                132077,                132077,,,,,,                -18368,                113709,,                132077,,                113709,,                              1.53,                              1.53,,,,,,,,,,                              0,                  8777,,,,                -18368,,                              0,                              0.00,                              0,,                              0,,,,,,,,,
6230,2013年04月01日至2013年06月30日,,              1561770,,              1288917,                272853,                272853,,,                 36004,,                 56780,,                 48296,                141080,                131773,,,,                  3121,                  1051,                 41376,                 46275,,                    115,                              0,,,                              0,                    678,                  2265,                 -9539,,                  2549,                  2549,                 34187,                165960,,                 38508,                127452,                127452,,,,,,                 16320,                143772,,                127452,,                143772,,,                              1.48,,,,,,,,,,                    727,                  6711,,,,                 16320,,                              0,,                              0,,,,,,,,,,,
6230,2013年01月01日至2013年12月31日,,              6021383,,              4753553,              1267830,              1267830,,,                157168,,                233267,,                211972,                602407,                665423,,,,                 21603,                  4202,                 40824,                 67356,,                    116,,,                    183,                    183,                  3389,                 17067,                -39853,,                  7441,                  7441,                 20062,                685485,,                149853,                535632,                535632,,,,,,                 82515,                618147,,                535632,,                618147,,                              6.20,                              6.20,,,,,,,,,,                    727,                 19696,,,,                 98100,                  1098,                 16683,,                              0,,,,,,,,,,,
6230,2013年01月01日至2013年09月30日,,              4522362,,              3567608,                954754,                954754,,,                112037,,                168921,,                150432,                431390,                523364,,,,                 11584,                  3151,                 22219,                 37681,,                    115,                              0,,,                    163,                  2641,                 15301,                -28712,,,                  5165,                  3804,                527168,,                122595,                404573,                404573,,,,,,                 52038,                456611,,                404573,,                456611,,                              4.69,                              4.69,,,,,,,,,,                    727,                 11048,,,,                 62696,,                 10658,,,,,,,,,,,,,
6230,2013年01月01日至2013年06月30日,,              2995220,,              2381031,                614189,                614189,,,                 72052,,                108337,,                 93831,                274220,                339969,,,,                  5349,                  2101,                 14910,                 23087,,                    115,                              0,,,                              0,                  1637,                  2265,                 -6058,,                  3759,                  3759,                 13270,                353239,,                 80743,                272496,                272496,,,,,,                 70406,                342902,,                272496,,                342902,,                              3.16,                              3.16,,,,,,,,,,                    727,                  2271,,,,                 84827,,                 14421,,,,,,,,,,,,,
6230,2013年01月01日至2013年03月31日,,              1433450,,              1128474,                304976,                304976,,,                 36048,,                 51557,,                 45535,                133140,                171836,,,,                  2228,                  1050,                  9894,                 13172,,,                  4440,,,                              0,                    959,                              0,                  3481,,                  1210,                  1210,                 15443,                187279,,                 42235,                145044,                145044,,,,,,                 54086,                199130,,                145044,,                199130,,,                              1.68,,,,,,,,,,,,,,,                 54086,,                              0,,,,,,,,,,,,,
6230,2012年07月01日至2012年09月30日,,              1426858,,              1103498,                323360,                323360,,,                 63727,,                 38735,,                 45723,                148185,                175175,,,,                  6018,                  1050,                 10830,                 17898,,                    380,,,                    231,                    231,                  7305,                     93,                -10484,,                  1161,                  1161,                  6253,                181428,,                 50585,                130843,                130843,,,,,,                -11999,                118844,,                130843,,                118844,,                              1.52,                              1.52,,,,,,,,,,                              0,                  3699,,,,                -11999,,                              0,                              0.00,                      2,,                              0,,,,,,,,,
6230,2012年04月01日至2012年06月30日,,              1372138,,              1077182,                294956,                294956,,,                 26374,,                 55161,,                 64917,                146452,                148504,,,,                  1773,                  1051,                 21034,                 23858,,                    429,                 12551,,,                    108,                  1450,                  1251,                 17786,,                    730,                    730,                 40914,                189418,,                 55203,                134215,                134215,,,,,,                  4053,                138268,,                134215,,                138268,,,                              1.55,,,,,,,,,,                              0,                              0,,,,                  4053,,                              0,,                  7399,,,,,,,,,,,
6230,2012年01月01日至2012年12月31日,,              5345986,,              4232537,              1113449,              1113449,,,                142911,,                207725,,                212538,                563174,                550275,,,,                 13249,                  4202,                 23147,                 40598,,                    941,,,                    597,                    597,                  3137,                  5272,                -31725,,                  1785,                  1785,                  7088,                557363,,                151063,                406300,                406300,,,,,,                -38459,                367841,,                406300,,                367841,,                              4.71,                              4.71,,,,,,,,,,                              0,                 28998,,,,                -35009,                 -3450,                              0,,                  4144,,,,,,,,,,,
6230,2012年01月01日至2012年09月30日,,              3787958,,              3001471,                786487,                786487,,,                115278,,                127938,,                151224,                394440,                392047,,,,                 11971,                  3151,                 24118,                 39240,,                    809,,,                    533,                    533,                 10423,                  1541,                -13965,,                  1899,                  1899,                 23376,                415423,,                124470,                290953,                290953,,,,,,                -34723,                256230,,                290953,,                256230,,                              3.37,                              3.37,,,,,,,,,,                              0,                  7492,,,,                -34723,,                              0,                              0.00,                  4149,,                              0,,,,,,,,,
6230,2012年01月01日至2012年06月30日,,              2361100,,              1918423,                442677,                442677,,,                 51551,,                 89203,,                105501,                246255,                196422,,,,                  5953,                  2101,                 33738,                 41792,,                    429,                              0,,,                    302,                  3118,                  1448,                 -3481,,                    738,                    738,                 37573,                233995,,                 73885,                160110,                160110,,,,,,                -22724,                137386,,                160110,,                137386,,,                              1.85,,,,,,,,,,                              0,                  3793,,,,                -22724,,                              0,,                  4147,,,,,,,,,,,
6230,2012年01月01日至2012年03月31日,,                988962,,                841241,                147721,                147721,,,                 25177,,                 34042,,                 40584,                 99803,                 47918,,,,                  4180,                  1050,                 12704,                 17934,,,                              0,,                    194,                    194,                  1668,                    197,                -18015,,                  3260,                  3260,                 -3341,                 44577,,                 18682,                 25895,                 25895,,,,,,                -26777,                   -882,,                 25895,,                   -882,,,                              0.30,,,                993379,,                    665,                  3752,                988962,,                841241,,                 16344,,,,,,,,,,,                993379,                841241,                  4180,                 18682,                              0,,                -26777,                -26777,                              0
