證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分投資損失,　　　 外幣兌換損失,　　　 利息費用,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 共同控制下前手權益（淨利／損）,　　　 廉價購買利益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 停業單位損益,　　 停業單位損益合計
1905,2014年01月01日至2014年03月31日,,,,              5241088,                 95605,              5145483,,                 15704,              5161187,,,              4876433,                 14024,              4890457,                270730,                270730,,,                313106,,                 60826,,                  4646,                378578,,                 32022,                 32022,                -75826,,,,                 10639,,                  7802,                 18441,,,                 11895,                      2,,                 10033,                 47997,,                 13158,,                -14100,                 39180,                -36646,,                    371,                -37017,                -37017,,,,                              0,                              0,,                116443,                612472,                   -370,,                154930,                883475,                883475,                846458,,                -39597,                  2580,,                811322,                 35136,,                             -0.03,                             -0.03,,,,                 46137,,                              0,,                 13158,,                              0,,,,,,,,,,,,,
1905,2013年第3季,,,,              5107758,                111694,              4996064,,                 14118,              5010182,,,              4938356,                 12207,              4950563,                 59619,                 59619,,,                312326,,                 55959,,                  4227,                372512,,                  3243,                  3243,               -309650,,,,                 12973,                 18022,                 11800,                 42795,,,                -10526,                  1289,,                 -8117,                 -3698,,                  9026,,                  6638,                 36709,               -272941,,                    316,               -273257,               -273257,,,,,,,,,,,,,                -58412,               -331669,,               -271875,                 -1382,,               -306973,                -24696,,                             -0.22,                             -0.22,,,,                              0,,,,                  9026,,,                -80824,                 22930,                              0,,,                   -518,,,,,,,
1905,2013年第2季,,,,              5027711,                111673,              4916038,,                 14853,              4930891,,,              4700257,                 13538,              4713795,                217096,                217096,,,                295154,,                 71775,,                  4227,                371156,,                 23215,                 23215,               -130845,,,,                 11850,,                 20239,                 32089,,,                  6982,                  9101,,                  3507,                 -5626,,                  9699,,                  4511,                 21275,               -109570,,                              0,               -109570,               -109570,,,,,,,,,,,,,                131872,                 22302,,               -121694,                 12124,,                -39443,                 61745,,                             -0.10,                             -0.10,,,,                              0,,,,                  9699,,,                133184,                 -5718,                              0,,,                  4406,,,,,,,
1905,2013年度,,,,             20567094,                440975,             20126119,,                 65644,             20191763,,,             19452114,                 57614,             19509728,                682035,                682035,,,              1250738,,                252149,,                 16908,              1519795,,                 14321,                 14321,               -823439,,,,                 47661,                 18022,                 56820,                122503,,                 12958,                 41679,                 10498,,                 25135,                 19039,,                 37129,,                 37848,                142261,               -681178,,                  1633,               -682811,               -682811,,,,,,,,,,,,,                510724,               -172087,,               -694096,                 11285,,               -318411,                146324,,                             -0.55,                             -0.55,,,,                     35,,,,                 37129,,,                356578,                185900,                              0,                -60059,,                 18095,                 10210,,,,,,
1905,2013年07月01日至2013年09月30日,,,,              5107758,                111694,              4996064,,                 14118,              5010182,,,              4938356,                 12207,              4950563,                 59619,                 59619,,,                312326,,                 55959,,                  4227,                372512,,                  3243,                  3243,               -309650,,,,                 12973,                 18022,                 11800,                 42795,,,                -10526,                  1289,,,                 -3698,,                  9026,,                  6638,                 36709,               -272941,,                    316,               -273257,               -273257,,,,,,,,,,,,,                -58412,               -331669,,               -271875,                 -1382,,               -306973,                -24696,,                             -0.22,                             -0.22,,,,,                  8117,,,                  9026,,                              0,                -80824,                 22930,,,,                   -518,,,,,                              0,,
1905,2013年04月01日至2013年06月30日,,,,              5027711,                111673,              4916038,,                 14853,              4930891,,,              4700257,                 13538,              4713795,                217096,                217096,,,                295154,,                 71775,,                  4227,                371156,,                 23215,                 23215,               -130845,,,,                 11850,,                 20239,                 32089,,,                  6982,                  9101,,,                 -5626,,                  9699,,                  4511,                 21275,               -109570,,                              0,               -109570,               -109570,,,,,,,,,,,,,                131872,                 22302,,               -121694,                 12124,,                -39443,                 61745,,                             -0.10,                             -0.10,,,,,                 -3507,,,                  9699,,,                133184,                 -5718,,,,                  4406,,,,,,,                              0
1905,2013年01月01日至2013年12月31日,,,,             20567094,                440975,             20126119,,                 65644,             20191763,,,             19452114,                 57614,             19509728,                682035,                682035,,,              1250738,,                252149,,                 16908,              1519795,,                 14321,                 14321,               -823439,,,,                 47661,                 18022,                 56855,                122538,,                 12958,                 41679,                 10498,,,                 19004,,                 37129,,                 37848,                142261,               -681178,,                  1633,               -682811,               -682811,,,,,,,,,,,,,                510724,               -172087,,               -694096,                 11285,,               -318411,                146324,,                             -0.55,                             -0.55,,,,,                -25135,,,                 37129,,,                356578,                185900,,                -49849,,                 18095,,,                              0,,,,
1905,2013年01月01日至2013年09月30日,,,,             15091238,                332872,             14758366,,                 42539,             14800905,,,             14250279,                 38217,             14288496,                512409,                512409,,,                908941,,                189989,,                 12681,              1111611,,                 37521,                 37521,               -561681,,,,                 34929,                 18022,                 46165,                 99116,,,                 28975,                 10433,,                 26426,                 -7884,,                 28443,,                 13662,                 76451,               -485230,,                   -304,               -484926,               -484926,,,,,,,,,,,,,                360438,               -124488,,               -499431,                 14505,,               -234105,                109617,,                             -0.40,                             -0.40,,,,                              0,,,,                 28443,,,                243699,                115633,                              0,,,                  1106,,,,,,,
1905,2013年01月01日至2013年06月30日,,,,              9983480,                221178,              9762302,,                 28421,              9790723,,,              9311923,                 26010,              9337933,                452790,                452790,,,                596615,,                134030,,                  8454,                739099,,                 34278,                 34278,               -252031,,,,                 21956,,                 34365,                 56321,,,                 39501,                  9144,,                 34543,                 -4186,,                 19417,,                  7024,                 39742,               -212289,,                   -620,               -211669,               -211669,,,,,,,,,,,,,                418850,                207181,,               -227556,                 15887,,                 72868,                134313,,                             -0.18,                             -0.18,,,,                              0,,,,                 19417,,,                324523,                 92703,                              0,,,                  1624,,,,,,,
1905,2013年01月01日至2013年03月31日,,,,              4955769,                109505,              4846264,,                 13568,              4859832,,,              4611666,                 12472,              4624138,                235694,                235694,,,                301461,,                 62255,,                  4227,                367943,,                 11063,                 11063,               -121186,,,,                 10106,,                 12585,                 22691,,                  1541,                 32519,                     43,,                 31036,                  2981,,                  9718,,                  2513,                 18467,               -102719,,                   -620,               -102099,               -102099,,,,,,,,,,,,,                286978,                184879,,               -105862,                  3763,,                112311,                 72568,,                             -0.08,                             -0.08,,,,                              0,,,,                  9718,,,                191339,                 98421,                              0,,,                 -2782,,                              0,,,,,
1905,2012年07月01日至2012年09月30日,,,,              1904598,                  9347,              1895251,,                 13387,              1908638,,,              1889167,                 14355,              1903522,                  5116,                  5116,,,                 88590,,                 42666,,                              0,                131256,,                 26200,                 26200,                -99940,,,,                 13291,                  6799,                  5844,                 25934,,,                  2766,                  7572,,,                 -4806,,                  7466,,                    699,                 14361,                -85579,,                 -8813,                -76766,                -76766,,,,,,,,,,,,,                -20968,                -97734,,                -87315,                 10549,,                -88146,                 -9588,,                             -0.14,                             -0.14,,,,,                              0,,,                  7466,,                              0,                -80692,                 59725,,,,                     -1,,,,,                              0,,
1905,2012年04月01日至2012年06月30日,,,,              2074066,                  5814,              2068252,,                 13345,              2081597,,,              1915791,                 14083,              1929874,                151723,                151723,,,                103244,,                 49904,,                              0,                153148,,                 78934,                 78934,                 77509,,,,                 15967,,                    535,                 16502,,,                  1674,                  1364,,,                    310,,                  7327,,                    997,                 10482,                 87991,,                 -4846,                 92837,                 92837,,,,,,,,,,,,,                 27972,                120809,,                 68648,                 24189,,                104439,                 16370,,                              0.10,                              0.10,,,,,                              0,,,                  7327,,,                   -430,                 28512,,,,                   -110,,,,,,,                              0
1905,2012年01月01日至2012年12月31日,,,,              5036466,                100526,              4935940,,                 20566,              4956506,,,              4576075,                 14370,              4590445,                366061,                366061,,,                296058,,                 61968,,                    452,                358478,,                -37414,                -37414,                -29831,,,,                 10268,                    196,                 14783,              4488303,,                  6083,                 -8086,                              0,,,                  1662,,                  8655,,                  7905,              4489215,              4459384,,                 15811,              4443573,              4443573,,,,,,,,,,,,,                -58080,              4385493,,              4460813,                -17240,,              4457795,                -72302,,                              5.74,                              5.74,,,,,                  3665,,,                  8655,,,                -76401,                 20285,,                -51963,,                 49999,,,              4463056,,,,
1905,2012年01月01日至2012年09月30日,,,,              6165936,                 26776,              6139160,,                 38839,              6177999,,,              5994040,                 41629,              6035669,                142330,                142330,,,                299576,,                125745,,                              0,                425321,,                134493,                134493,               -148498,,,,                 41757,                  6799,                 12598,                 61154,,,                  3122,                 24842,,,                -21720,,                 21442,,                  2407,                 20399,               -128099,,                -13659,               -114440,               -114440,,,,,,,,,,,,,                -71978,               -186418,,               -152835,                 38395,,               -151458,                -34960,,                             -0.25,                             -0.25,,,,,                              0,,,                 21442,,                              0,               -233923,                162196,,,,                   -251,,,,,                              0,,
1905,2012年01月01日至2012年06月30日,,,,              4261338,                 17429,              4243909,,                 25452,              4269361,,,              4104873,                 27274,              4132147,                137214,                137214,,,                210986,,                 83079,,                              0,                294065,,                108293,                108293,                -48558,,,,                 28466,,                  6754,                 35220,,,                    356,                 17270,,,                -16914,,                 13976,,                  1708,                  6038,                -42520,,                 -4846,                -37674,                -37674,,,,,,,,,,,,,                -51010,                -88684,,                -65520,                 27846,,                -63312,                -25372,,                             -0.11,                             -0.11,,,,,                              0,,,                 13976,,,               -153231,                102471,,,,                   -250,,,,,,,                              0
1905,2012年01月01日至2012年03月31日,,,,              2187272,                 11615,              2175657,,                 12107,              2187764,,,              2189082,                 13191,              2202273,                -14509,                -14509,,,                107742,,                 33175,,                              0,                140917,,                 29359,                 29359,               -126067,,,,                 12499,,                  6219,                 18718,,                              0,                              0,                 15906,,                              0,                -17224,,                  6649,,                    711,                 -4444,               -130511,,                              0,               -130511,               -130511,,,,,,,,,,,,,                -78982,               -209493,,               -134168,                  3657,,               -167751,                -41742,,                             -0.21,                             -0.21,,,,,,,                  1318,                  6649,,,               -152801,                 73959,,,,                   -140,,,,,,,
