證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2453,2014年01月01日至2014年03月31日,,,                755044,,                145755,                900799,,,                588181,,                116778,                704959,                195840,                195840,,,                137897,,                 52724,                190621,                  5219,,,                  6769,,                    762,,                    343,,                 -1715,                  5473,                 10692,,                  1794,                  8898,                  8898,,,                  4883,                    461,,                     15,                    716,                  4643,                  4643,                 13541,,                 11689,                 -2791,,                 16186,                 -2645,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,
2453,2013年第3季,,,                920819,,                157165,              1077984,,,                718099,,                135370,                853469,                224515,                224515,,,                173957,,                 35230,                209187,                 15328,,,                 10630,,                   -767,,                    773,,                 -4400,                  4690,                 20018,,                  3785,                 16233,                 16233,,,,,,,,,                 -2135,                 14098,,                 13871,                  2362,,                 11743,                  2355,,                              0.14,                              0.14,,                              0.14,                              0.14,,,                 -2862,                    204,,,                     56,                   -467
2453,2013年第2季,,,              1065894,,                160600,              1226494,,,                833903,,                115860,                949763,                276731,                276731,,,                165554,,                 60924,                226478,                 50253,,,                  7984,,                    653,,                    564,,                   -761,                  7312,                 57565,,                  8714,                 48851,                 48851,,,,,,,,,                  4771,                 53622,,                 49238,                   -387,,                 53839,                   -217,,                              0.49,                              0.49,,                              0.49,                              0.49,,,                  3702,                   -189,,,                  1801,                    543
2453,2013年度,,,              4257097,,                611125,              4868450,,,              3384827,,                487423,              3872250,                996200,                996200,,,                718581,,                184171,                902752,                 93448,,,                 41548,,                -13365,,                  4482,,                 -3932,                 19769,                113217,,                 18034,                 95183,                 95183,,,,,,,,,                  9995,                105178,,                 94809,                    374,,                104260,                    918,,                              0.95,                              0.95,,                              0.95,                              0.95,,                    228,                  9498,                    311,                   -260,,                    792,                    346
2453,2013年07月01日至2013年09月30日,,,                920819,,                157165,              1077984,,,                718099,,                135370,                853469,                224515,                224515,,,                173957,,                 35230,                209187,                 15328,,,                 10630,,                   -767,,                    773,,                 -4400,                  4690,                 20018,,                  3785,                 16233,                 16233,,,,,,,,,                 -2135,                 14098,,                 13871,                  2362,,                 11743,                  2355,,                              0.14,                              0.14,,                              0.14,                              0.14,,,                 -2862,                    204,,,                     56,                   -467
2453,2013年04月01日至2013年06月30日,,,              1065894,,                160600,              1226494,,,                833903,,                115860,                949763,                276731,                276731,,,                165554,,                 60924,                226478,                 50253,,,                  7984,,                    653,,                    564,,                   -761,                  7312,                 57565,,                  8714,                 48851,                 48851,,,,,,,,,                  4771,                 53622,,                 49238,                   -387,,                 53839,                   -217,,                              0.49,                              0.49,,                              0.49,                              0.49,,,                  3702,                   -189,,,                  1801,                    543
2453,2013年01月01日至2013年12月31日,,,              4257097,,                611125,              4868450,,,              3384827,,                487423,              3872250,                996200,                996200,,,                718581,,                184171,                902752,                 93448,,,                 41548,,                -13365,,                  4482,,                 -3932,                 19769,                113217,,                 18034,                 95183,                 95183,,,,,,,,,                  9995,                105178,,                 94809,                    374,,                104260,                    918,,                              0.95,                              0.95,,                              0.95,                              0.95,,                    228,                  9498,                    311,                   -260,,                    792,                    346
2453,2013年01月01日至2013年09月30日,,,              2824911,,                456343,              3281254,,,              2236327,,                360894,              2597221,                684033,                684033,,,                486088,,                132711,                618799,                 65234,,,                 31609,,                 -1361,,                  1557,,                 -2804,                 25887,                 91121,,                 16205,                 74916,                 74916,,,,,,,,,                  6168,                 81084,,                 75869,                   -953,,                 81697,                   -613,,                              0.76,                              0.76,,                              0.76,                              0.76,,,                  7707,                    390,,,                   -510,                  1419
2453,2013年01月01日至2013年06月30日,,,              1904093,,                299178,              2203271,,,              1518229,,                225524,              1743753,                459518,                459518,,,                311770,,                 97842,                409612,                 49906,,,                 20979,,                   -594,,                    784,,                  1596,                 21197,                 71103,,                 12420,                 58683,                 58683,,,,,,,,,                  8303,                 66986,,                 61998,                 -3315,,                 69954,                 -2968,,                              0.62,                              0.62,,                              0.62,                              0.62,,,                 10569,                    186,,,                   -566,                  1886
2453,2013年01月01日至2013年03月31日,,,                838199,,                138578,                976777,,,                684326,,                109664,                793990,                182787,                182787,,,                146216,,                 36918,                183134,                   -347,,,                 12995,,                 -1247,,                    220,,                  2357,                 13885,                 13538,,                  3706,                  9832,                  9832,,,,,,,,,                  3532,                 13364,,                 12760,                 -2928,,                 16115,                 -2751,,                              0.13,                              0.13,,                              0.13,                              0.13,,,                  6867,                    375,,,                 -2367,                  1343
2453,2012年07月01日至2012年09月30日,,,              1095719,,                135770,              1231489,,,                872328,,                120920,                993248,                238241,                238241,,,                189510,,                 32152,                221662,                 16579,,,                  2600,,                 -1192,,                    654,,                   -306,                    448,                 17027,,                  3390,                 13637,                 13637,,,,,,,,,                 -5619,                  8018,,                 14507,                   -870,,                  9111,                 -1093,,                              0.15,                              0.15,,                              0.15,                              0.15,,,                 -7049,                    181,,,                     58,                 -1191
2453,2012年04月01日至2012年06月30日,,,              1400251,,                140556,              1540807,,,              1194325,,                105265,              1299590,                241217,                241217,,,                165537,,                 32736,                198273,                 42944,,,                  3549,,                    249,,                    889,,                    556,                  3465,                 46409,,                  9700,                 36709,                 36709,,,,,,,,,                  1916,                 38625,,                 36618,                     91,,                 38391,                    234,,                              0.37,                              0.37,,                              0.37,                              0.37,,,                  2716,                   -398,,,                   -402,                              0
2453,2012年01月01日至2012年12月31日,,,              4741682,,                545311,              5287342,,,              3882283,,                459681,              4341964,                945378,                945378,,,                680845,,                176299,                857144,                 88234,,,                 27325,,                -15989,,                  4621,,                  2105,                  8820,                 97054,,                 22405,                 74649,                 74649,,,,,,,,,                -22927,                 51722,,                 73002,                  1647,,                 50482,                  1240,,                              0.73,                              0.73,,                              0.73,                              0.73,,                    349,                -11516,                     34,                 -9922,,                 -1523,                              0
2453,2012年01月01日至2012年09月30日,,,              3436534,,                405679,              3842213,,,              2842987,,                319311,              3162298,                679915,                679915,,,                497732,,                101087,                598819,                 81096,,,                 11563,,                 -8152,,                  3005,,                    153,                    559,                 81655,,                 19625,                 62030,                 62030,,,,,,,,,                -10240,                 51790,,                 64072,                 -2042,,                 54061,                 -2271,,                              0.64,                              0.64,,                              0.64,                              0.64,,,                -10380,                     75,,,                 -1126,                 -1191
2453,2012年01月01日至2012年06月30日,,,              2340815,,                269909,              2610724,,,              1970659,,                198391,              2169050,                441674,                441674,,,                308222,,                 68935,                377157,                 64517,,,                  8963,,                 -6960,,                  2351,,                    459,                    111,                 64628,,                 16235,                 48393,                 48393,,,,,,,,,                 -4621,                 43772,,                 49565,                 -1172,,                 44950,                 -1178,,                              0.50,                              0.50,,                              0.50,                              0.50,,,                 -3331,                   -106,,,                 -1184,                              0
2453,2012年01月01日至2012年03月31日,,,                940564,,                129353,              1069917,,,                776334,,                 93126,                869460,                200457,                200457,,,                142685,,                 36199,                178884,                 21573,,,                  5414,,                 -7209,,                  1462,,                    -97,                 -3354,                 18219,,                  6535,                 11684,                 11684,,,,,,,,,                 -6537,                  5147,,                 12947,                 -1263,,                  6559,                 -1412,,                              0.13,                              0.13,,                              0.13,                              0.13,,,                 -6047,                    292,,,                   -782,                              0
