證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3050,2014年01月01日至2014年03月31日,,                222462,,                163216,                 59246,                              0,                              0,                 59246,,,                 36424,,                 17749,,                  1685,                 55858,                  3388,,,                  5100,,                 17945,,                  1264,,                -11300,                 10481,                 13869,,                    462,                 13407,,                              0,                 13407,,,                  2470,                 99407,,                101877,                101877,                115284,,                 13407,                              0,,                115284,                              0,,                              0.08,,                              0.08,,,,
3050,2013年第3季,,                262284,,                196739,                 65545,                              0,                              0,                 65545,,,                 44691,,                 20120,,                              0,                 64811,                    734,,,                  4894,,                 -5024,,                    980,,                -10837,                -11947,                -11213,,                    552,                -11765,,                              0,                -11765,,,,,,,                 10579,                 -1186,,                -11765,                              0,,                 -1186,                              0,,                             -0.06,,                             -0.06,                 13363,                   -512,,                  2272
3050,2013年第2季,,                238762,,                178243,                 60519,                              0,                              0,                 60519,,,                 37862,,                 19656,,                              0,                 57518,                  3001,,,                  8029,,                -24315,,                  1550,,                 -8770,                -26606,                -23605,,                  1585,                -25190,,                              0,                -25190,,,,,,,                   -332,                -25522,,                -25190,                              0,,                -25522,                              0,,                             -0.14,,                             -0.14,                 -6365,                  5069,,                   -964
3050,2013年度,,              1002841,,                745063,                257778,                              0,                              0,                257778,,,                171528,,                 86299,,                              0,                257827,                    -49,,,                 23075,,                -20243,,                  5854,,                -49508,                -52530,                -52579,,                  6455,                -59034,,                              0,                -59034,,,,,,,                 27231,                -31803,,                -59034,                              0,,                -31803,                              0,,                             -0.31,,                             -0.31,                 13657,                  8374,                  5200,
3050,2013年07月01日至2013年09月30日,,                262284,,                196739,                 65545,                              0,                              0,                 65545,,,                 44691,,                 20120,,                              0,                 64811,                    734,,,                  4894,,                 -5024,,                    980,,                -10837,                -11947,                -11213,,                    552,                -11765,,                              0,                -11765,,,,,,,                 10579,                 -1186,,                -11765,                              0,,                 -1186,                              0,,                             -0.06,,                             -0.06,                 13363,                   -512,,                  2272
3050,2013年04月01日至2013年06月30日,,                238762,,                178243,                 60519,                              0,                              0,                 60519,,,                 37862,,                 19656,,                              0,                 57518,                  3001,,,                  8029,,                -24315,,                  1550,,                 -8770,                -26606,                -23605,,                  1585,                -25190,,                              0,                -25190,,,,,,,                   -332,                -25522,,                -25190,                              0,,                -25522,                              0,,                             -0.14,,                             -0.14,                 -6365,                  5069,,                   -964
3050,2013年01月01日至2013年12月31日,,              1002841,,                745063,                257778,                              0,                              0,                257778,,,                171528,,                 86299,,                              0,                257827,                    -49,,,                 23075,,                -19807,,                  5854,,                -49944,                -52530,                -52579,,                  6455,                -59034,,                              0,                -59034,,,,,,,                 27231,                -31803,,                -59034,                              0,,                -31803,                              0,,                             -0.31,,                             -0.31,                 16454,                  8374,                  5200,                  2797
3050,2013年01月01日至2013年09月30日,,                763056,,                563365,                199691,                              0,                              0,                199691,,,                126612,,                 61292,,                              0,                187904,                 11787,,,                 19638,,                -18927,,                  4798,,                -26260,                -30347,                -18560,,                  6130,                -24690,,                              0,                -24690,,,,,,,                  9390,                -15300,,                -24690,                              0,,                -15300,                              0,,                             -0.13,,                             -0.13,                  6163,                  4275,,                  1048
3050,2013年01月01日至2013年06月30日,,                500772,,                366626,                134146,                              0,                              0,                134146,,,                 81921,,                 41172,,                              0,                123093,                 11053,,,                 14744,,                -13903,,                  3818,,                -15423,                -18400,                 -7347,,                  5578,                -12925,,                              0,                -12925,,,,,,,                 -1189,                -14114,,                -12925,                              0,,                -14114,                              0,,                             -0.07,,                             -0.07,                 -7200,                  4787,,                 -1224
3050,2013年01月01日至2013年03月31日,,                262010,,                188383,                 73627,                              0,                              0,                 73627,,,                 44059,,                 21516,,                              0,                 65575,                  8052,,,                  6715,,                 10412,,                  2268,,                 -6653,                  8206,                 16258,,                  3993,                 12265,,                              0,                 12265,,,,,,,                   -857,                 11408,,                 12265,                              0,,                 11408,                              0,,                              0.06,,                              0.06,                   -835,                   -282,,                   -260
3050,2012年07月01日至2012年09月30日,,                328533,,                222728,                105805,                              0,                              0,                105805,,,                 55792,,                 32766,,                  1333,                 89891,                 15914,,,                 15354,,                  7657,,                  3512,,                 -9689,                  9810,                 25724,,                  1242,                 24482,,                              0,                 24482,,,,,,,                  8197,                 32679,,                 24482,                              0,,                 32679,                              0,,                              0.12,,                              0.12,                  4968,                  4074,,                    845
3050,2012年04月01日至2012年06月30日,,                287937,,                209568,                 78369,                              0,                              0,                 78369,,,                 57647,,                 39668,,                  3678,                100993,                -22624,,,                  6695,,                  1858,,                  3486,,                 -8594,                 -3527,                -26151,,                  5653,                -31804,,                              0,                -31804,,,,,,,                  3352,                -28452,,                -31804,                              0,,                -28452,                              0,,                             -0.16,,                             -0.16,                 -3184,                  6004,,                   -532
3050,2012年01月01日至2012年12月31日,,              1249768,,                874207,                375561,                              0,                              0,                375561,,,                218344,,                113595,,                 10277,                342216,                 33345,,,                 37787,,                 -7461,,                 14031,,                -34387,                -18092,                 15253,,                 11017,                  4236,,                              0,                  4236,,,,,,,                 -3230,                  1006,,                  4236,                              0,,                  1006,                              0,,                              0.02,,                              0.02,                  8575,                  2427,                -12774,                  1458
3050,2012年01月01日至2012年09月30日,,                937147,,                663444,                273703,                              0,                              0,                273703,,,                175419,,                106500,,                 10277,                292196,                -18493,,,                 30895,,                  7948,,                 11123,,                -24745,                  2975,                -15518,,                  9559,                -25077,,                              0,                -25077,,,,,,,                 13335,                -11742,,                -25077,                              0,,                -11742,                              0,,                             -0.12,,                             -0.12,                  1839,                 11809,,                    313
3050,2012年01月01日至2012年06月30日,,                608614,,                440716,                167898,                              0,                              0,                167898,,,                119627,,                 73734,,                  8944,                202305,                -34407,,,                 15839,,                     -7,,                  7611,,                -15056,                 -6835,                -41242,,                  8317,                -49559,,                              0,                -49559,,,,,,,                  5138,                -44421,,                -49559,                              0,,                -44421,                              0,,                             -0.24,,                             -0.24,                 -3129,                  7735,,                   -532
3050,2012年01月01日至2012年03月31日,,                320677,,                231148,                 89529,                              0,                              0,                 89529,,,                 61980,,                 34066,,                  5266,                101312,                -11783,,,                  9144,,                 -1865,,                  4125,,                 -6462,                 -3308,                -15091,,                  2664,                -17755,,                              0,                -17755,,,,,,,                  1786,                -15969,,                -17755,                              0,,                -15969,                              0,,                             -0.08,,                             -0.08,                     55,                  1731,,
