證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 處分投資利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失
1525,2014年01月01日至2014年03月31日,,,                236615,,                  7872,                244487,,                228041,                 16446,                 16446,,,                    948,,                 18275,,                  4608,                 23831,                 -7385,,,,                  2042,                  4457,,                  6499,,                   -131,                     94,                  1765,,                              0,,                 79651,                 87915,                 80530,,                  7573,                 72957,                 72957,,,                -10678,                -10678,                -10678,                 62279,,                 72957,,                 62279,,                              1.05,,                              1.05,                  1802,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1525,2013年第3季,,,                331162,,                  2378,                333540,,                297256,                 36284,                 36284,,,                  1062,,                 15778,,                  5946,                 22786,                 13498,,,,                  2362,                              0,                    -75,                  2287,,                      3,                    166,                    169,,                      1,,                 87641,                 90096,                103594,,                  5651,                 97943,                 97943,,,,,                -24708,                 73235,,                 97943,,                 73235,,                              1.41,,                              1.41,,,,,,,,,,,,,,,,,,                -24708,,,,,,
1525,2013年第2季,,,                281736,,                  3101,                284837,,                251687,                 33150,                 33150,,,                    988,,                 16070,,                  4827,                 21885,                 11265,,,,                     73,                              0,                    214,                    287,,                  1014,                    187,                  1201,,                      1,,                 72847,                 74334,                 85599,,                 20518,                 65081,                 65081,,,,,                 36205,                101286,,                 65081,,                101286,,                              0.94,,                              0.94,,,,,,,,,,,,,,,,,,                 36205,,,,,,
1525,2013年度,,,              1203792,,                 22571,              1226363,,              1098329,                128034,                128034,,,                  4006,,                 73840,,                 19438,                 97284,                 30750,,,,                  7433,                              0,,                  7433,,                  2129,                    201,                  4824,,                      5,,                321458,                333710,                364460,,                 67019,                297441,                297441,,,,,                112130,                409571,,                297441,,                409571,,                              4.30,,                              4.29,                  2040,,,,,,,,,,,,                    454,,                              0,,                              0,                107654,                  5393,                   -917,                              4.30,                              4.29,,
1525,2013年07月01日至2013年09月30日,,,                331162,,                  2378,                333540,,                297256,                 36284,                 36284,,,                  1062,,                 15778,,                  5946,                 22786,                 13498,,,,                  2362,,                    -75,                  2287,,                      3,                     75,                    169,,                      1,,                 87641,                 90096,                103594,,                  5651,                 97943,                 97943,,,,,                -24708,                 73235,,                 97943,,                 73235,,                              1.41,,                              1.41,,,,,,,,,,,,,                     91,,,,,                -24708,,,,,,
1525,2013年04月01日至2013年06月30日,,,                281736,,                  3101,                284837,,                251687,                 33150,                 33150,,,                    988,,                 16070,,                  4827,                 21885,                 11265,,,,                     73,,                    214,                    287,,                  1014,                    119,                  1201,,                      1,,                 72847,                 74334,                 85599,,                 20518,                 65081,                 65081,,,,,                 36205,                101286,,                 65081,,                101286,,                              0.94,,                              0.94,,,,,,,,,,,,,                     68,,,,,                 36205,,,,,,
1525,2013年01月01日至2013年12月31日,,,              1203792,,                 22571,              1226363,,              1098329,                128034,                128034,,,                  4006,,                 73840,,                 19438,                 97284,                 30750,,,,                  7433,,,                  7433,,                  2129,                    201,                  4824,,                      5,,                321458,                333710,                364460,,                 67019,                297441,                297441,,,,,                112130,                409571,,                297441,,                409571,,                              4.30,,                              4.29,                  2040,,,,,,,,,,,,                    454,,,,,                107654,                  5393,                   -917,,,,
1525,2013年01月01日至2013年09月30日,,,                851209,,                 10172,                861381,,                776318,                 85063,                 85063,,,                  3121,,                 47927,,                 15090,                 66138,                 18925,,,,                  5261,                              0,                  1229,                  6490,,                  2800,                    575,                  3375,,                      3,,                215381,                225243,                244168,,                 32143,                212025,                212025,,,,,                 73661,                285686,,                212025,,                285686,,                              3.06,,                              3.06,,,,,,,,,,,,,,,,,,                 73661,,,,,,
1525,2013年01月01日至2013年06月30日,,,                520047,,                  7794,                527841,,                479062,                 48779,                 48779,,,                  2059,,                 32149,,                  9144,                 43352,                  5427,,,,                  2899,                              0,                  1304,                  4203,,                  2797,                    409,                  3206,,                      2,,                127740,                135147,                140574,,                 26492,                114082,                114082,,,,,                 98369,                212451,,                114082,,                212451,,                              1.65,,                              1.65,,,,,,,,,,,,,,,,,,                 98369,,,,,,
1525,2013年01月01日至2013年03月31日,,,                238311,,                  4693,                243004,,                227375,                 15629,                 15629,,,                  1071,,                 16079,,                  4317,                 21467,                 -5838,,,,                  2826,                              0,,                  2826,,                  1783,                    222,                  3095,,                      1,,                 54893,                 60813,                 54975,,                  5974,                 49001,                 49001,,,,,                 62164,                111165,,                 49001,,                111165,,                              0.71,,                              0.71,                  1090,,,,,,,,,,,,,,,,,                 62164,,,,,,
1525,2012年07月01日至2012年09月30日,,,                379405,,                     89,                379494,,                330147,                 49347,                 49347,,,                  1234,,                 18147,,                  9427,                 28808,                 20539,,,,                  1175,,                  1343,                  2518,,                 -1464,                    120,                 -1073,,                      5,,                 49080,                 50520,                 71059,,                  4852,                 66207,                 66207,,,,,                -41918,                 24289,,                 66207,,                 24289,,                              0.96,,                              0.95,,,,,,,,,,,,,                    271,,,,,                -41918,,,,,,
1525,2012年04月01日至2012年06月30日,,,                391539,,                 14814,                406353,,                338576,                 67777,                 67777,,,                  1235,,                 18065,,                  7068,                 26368,                 41409,,,,                    117,,                    644,                    761,,                   -146,                    372,                    372,,                      3,,                 75339,                 76469,                117878,,                 25853,                 92025,                 92025,,,,,                 14566,                106591,,                 92025,,                106591,,                              1.33,,                              1.32,,,,,,,,,,,,,                    146,,,,,                 14566,,,,,,
1525,2012年01月01日至2012年12月31日,,,              1404689,,                 29938,              1434627,,              1236416,                198211,                198211,,,                  4623,,                 70881,,                 30606,                106110,                 92101,,,,                  2790,,,                  2790,,                   -743,                  1211,                  4554,,                     11,,                249969,                257302,                349403,,                 39803,                309600,                309600,,,,,                -60859,                248741,,                309600,,                248741,,                              4.47,,                              4.45,                  3137,,,,,,,,,,,,                    949,,,,,                -54349,                 -7843,                  1333,,,,
1525,2012年01月01日至2012年09月30日,,,              1100497,,                 15127,              1115624,,                954828,                160796,                160796,,,                  3660,,                 54445,,                 22850,                 80955,                 79841,,,,                  1531,,                  2635,                  4166,,                 -1618,                  1020,                    290,,                      9,,                194716,                199163,                279004,,                 35491,                243513,                243513,,,,,                -70371,                173142,,                243513,,                173142,,                              3.52,,                              3.50,,,,,,,,,,,,,                    888,,,,,                -70371,,,,,,
1525,2012年01月01日至2012年06月30日,,,                721092,,                 15038,                736130,,                624681,                111449,                111449,,,                  2426,,                 36298,,                 13423,                 52147,                 59302,,,,                    356,,                  1292,                  1648,,                   -154,                    900,                  1363,,                      4,,                145636,                148643,                207945,,                 30639,                177306,                177306,,,,,                -28453,                148853,,                177306,,                148853,,                              2.56,,                              2.55,,,,,,,,,,,,,                    617,,,,,                -28453,,,,,,
1525,2012年01月01日至2012年03月31日,,,                329553,,                    224,                329777,,                286105,                 43672,                 43672,,,                  1191,,                 18233,,                  6355,                 25779,                 17893,,,,                    239,,                    660,                    899,,                     -8,,                    979,,                      1,,                 70297,                 72174,                 90067,,                  4786,                 85281,                 85281,,,,,                -43019,                 42262,,                 85281,,                 42262,,                              1.23,,                              1.23,,,,,,,,,,,,,                    471,,,,,                -43019,,,,,                     12,                   -528
