證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2493,2014年01月01日至2014年03月31日,,                528336,,                365234,                163102,                163102,,,                 40746,,                 33359,,                  6896,                 81001,                 82101,,,                    661,,                 25123,,                    155,                 25629,                107730,,                 17787,                 89943,                 89943,,,                 -4523,                 -4523,                 -4523,                 85420,,                              0.79,                              0.79,,                              0.78,                              0.78,,,
2493,2013年第3季,,                549964,,                406982,                142982,                142982,,,                 37910,,                 25384,,                 10009,                 73303,                 69679,,,                  7903,,                 -3552,,                    175,                  4176,                 73855,,                 17869,                 55986,                 55986,,,,,                  1664,                 57650,,                              0.49,                              0.49,,                              0.49,                              0.49,                  1664,,
2493,2013年第2季,,                590936,,                440225,                150711,                150711,,,                 39274,,                 23876,,                  8622,                 71772,                 78939,,,                  1803,,                 15394,,                    197,                 17000,                 95939,,                 15885,                 80054,                 80054,,,,,                -24250,                 55804,,                              0.70,                              0.70,,                              0.70,                              0.70,                -24250,,
2493,2013年度,,              2196683,,              1620239,                576444,                576444,,,                148436,,                108403,,                 39080,                295919,                280525,,,                 11732,,                 27178,,                    713,                 38197,                318722,,                 59068,                259654,                259654,,,,,                -41339,                218315,,                              2.27,                              2.27,,                              2.25,                              2.25,                -35462,                 -7081,                 -1204
2493,2013年07月01日至2013年09月30日,,                549964,,                406982,                142982,                142982,,,                 37910,,                 25384,,                 10009,                 73303,                 69679,,,                  7903,,                 -3552,,                    175,                  4176,                 73855,,                 17869,                 55986,                 55986,,,,,                  1664,                 57650,,                              0.49,                              0.49,,                              0.49,                              0.49,                  1664,,                              0
2493,2013年04月01日至2013年06月30日,,                590936,,                440225,                150711,                150711,,,                 39274,,                 23876,,                  8622,                 71772,                 78939,,,                  1803,,                 15394,,                    197,                 17000,                 95939,,                 15885,                 80054,                 80054,,,,,                -24250,                 55804,,                              0.70,                              0.70,,                              0.70,                              0.70,                -24250,,                              0
2493,2013年01月01日至2013年12月31日,,              2196683,,              1620239,                576444,                576444,,,                148436,,                108403,,                 39080,                295919,                280525,,,                 11732,,                 27178,,                    713,                 38197,                318722,,                 59068,                259654,                259654,,,,,                -41339,                218315,,                              2.27,                              2.27,,                              2.25,                              2.25,                -35462,                 -7081,                 -1204
2493,2013年01月01日至2013年09月30日,,              1696204,,              1249251,                446953,                446953,,,                110468,,                 76383,,                 30129,                216980,                229973,,,                 10852,,                 27492,,                    567,                 37777,                267750,,                 50406,                217344,                217344,,,,,                -32742,                184602,,                              1.90,                              1.90,,                              1.88,                              1.88,                -32742,,
2493,2013年01月01日至2013年06月30日,,              1146240,,                842269,                303971,                303971,,,                 72558,,                 50999,,                 20120,                143677,                160294,,,                  2949,,                 31044,,                    392,                 33601,                193895,,                 32537,                161358,                161358,,,,,                -34406,                126952,,                              1.41,                              1.41,,                              1.40,                              1.40,                -34406,,
2493,2013年01月01日至2013年03月31日,,                555304,,                402044,                153260,                153260,,,                 33284,,                 27123,,                 11498,                 71905,                 81355,,,                  1146,,                 15650,,                    195,                 16601,                 97956,,                 16652,                 81304,                 81304,,,,,                -10156,                 71148,,                              0.71,                              0.71,,                              0.70,                              0.70,                -10156,,
2493,2012年07月01日至2012年09月30日,,                606133,,                443313,                162820,                162820,,,                 39836,,                 27708,,                  9274,                 76818,                 86002,,,                 11359,,                 -1519,,                    332,                  9508,                 95510,,                -12871,                108381,                108381,,,,,                  9394,                117775,,                              0.95,                              0.95,,                              0.94,                              0.94,                  9394,,                              0
2493,2012年04月01日至2012年06月30日,,                586766,,                442132,                144634,                144634,,,                 38931,,                 21779,,                  8986,                 69696,                 74938,,,                  1546,,                 40246,,                    334,                 41458,                116396,,                  3067,                113329,                113329,,,,,                -40823,                 72506,,                              0.99,                              0.99,,                              0.99,                              0.99,                -40823,,                              0
2493,2012年01月01日至2012年12月31日,,              2294911,,              1678414,                616497,                616497,,,                150888,,                107533,,                 42869,                301290,                315207,,,                 14781,,                 24420,,                  1199,                 38002,                353209,,                  4908,                348301,                348301,,,,,                -46078,                302223,,                              3.04,                              3.04,,                              3.02,                              3.02,                -42031,                 -4876,                   -829
2493,2012年01月01日至2012年09月30日,,              1717978,,              1249527,                468451,                468451,,,                113996,,                 80122,,                 30804,                224922,                243529,,,                 13510,,                 34623,,                  1012,                 47121,                290650,,                   -817,                291467,                291467,,,,,                -23181,                268286,,                              2.55,                              2.55,,                              2.53,                              2.53,                -23181,,                              0
2493,2012年01月01日至2012年06月30日,,              1111845,,                806214,                305631,                305631,,,                 74160,,                 52414,,                 21530,                148104,                157527,,,                  2151,,                 36142,,                    680,                 37613,                195140,,                 12054,                183086,                183086,,,,,                -32575,                150511,,                              1.60,                              1.60,,                              1.59,                              1.59,                -32575,,                              0
2493,2012年01月01日至2012年03月31日,,                525079,,                364082,                160997,                160997,,,                 35229,,                 30635,,                 12544,                 78408,                 82589,,,                    605,,                 -4104,,                    346,                 -3845,                 78744,,                  8987,                 69757,                 69757,,,,,                  8248,                 78005,,                              0.61,                              0.61,,                              0.60,                              0.60,                  8248,,                              0
