證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2351,2014年01月01日至2014年03月31日,,              2243114,,,              1899152,              1899152,                343962,                343962,,,                 63129,,                 70923,,                 50520,                184572,                159390,,,                  3470,,                 24221,,                 12589,                 15102,                174492,,                 31747,                142745,                142745,,,                 22657,                 22657,,                  3852,                 -3852,                 18805,                161550,,                131479,                 11266,,                150284,                 11266,,                              0.73,,,,              2243114,,,
2351,2013年第3季,,              2329856,,,              1922264,              1922264,                407592,                407592,,,                 65999,,                 61092,,                 53359,                180450,                227142,,,                 11249,,                 -3490,,                 14462,                 -6703,                220439,,                 43755,                176684,                176684,,,,,,,,                -13223,                163461,,                156410,                 20274,,                143187,                 20274,,                              0.87,,                              0.87,,,                -15931,,                 -2708
2351,2013年第2季,,              2493427,,,              2113760,              2113760,                379667,                379667,,,                 62997,,                 74229,,                 52757,                189983,                189684,,,                  8625,,                 15751,,                 16549,                  7827,                197511,,                 44313,                153198,                153198,,,,,,,,                 27942,                181140,,                130792,                 22406,,                158734,                 22406,,                              0.72,,                              0.72,,,                 33665,,                  5723
2351,2013年度,,              9058548,,,              7688721,              7688721,              1369827,              1369827,,,                252230,,                250388,,                203917,                706535,                663292,,,                 35123,,                 50671,,                 58738,                 27056,                690348,,                139521,                550827,                550827,,,,,,,,                 76472,                627299,,                484244,                 66583,,                560689,                 66610,,                              2.69,,                              2.69,,,                 92405,                   -275,                 15658
2351,2013年07月01日至2013年09月30日,,              2329856,,,              1922264,              1922264,                407592,                407592,,,                 65999,,                 61092,,                 53359,                180450,                227142,,,                 11249,,                 -3490,,                 14462,                 -6703,                220439,,                 43755,                176684,                176684,,,,,,,,                -13223,                163461,,                156410,                 20274,,                143187,                 20274,,                              0.87,,                              0.87,,,                -15931,,                 -2708
2351,2013年04月01日至2013年06月30日,,              2493427,,,              2113760,              2113760,                379667,                379667,,,                 62997,,                 74229,,                 52757,                189983,                189684,,,                  8625,,                 15751,,                 16549,                  7827,                197511,,                 44313,                153198,                153198,,,,,,,,                 27942,                181140,,                130792,                 22406,,                158734,                 22406,,                              0.72,,                              0.72,,,                 33665,,                  5723
2351,2013年01月01日至2013年12月31日,,              9058548,,,              7688721,              7688721,              1369827,              1369827,,,                252230,,                250388,,                203917,                706535,                663292,,,                 35123,,                 50671,,                 58738,                 27056,                690348,,                139521,                550827,                550827,,,,,,,,                 76472,                627299,,                484244,                 66583,,                560689,                 66610,,                              2.69,,                              2.69,,,                 92405,                   -275,                 15658
2351,2013年01月01日至2013年09月30日,,              6933339,,,              5879279,              5879279,              1054060,              1054060,,,                188002,,                197282,,                148284,                533568,                520492,,,                 26059,,                 36004,,                 46196,                 15867,                536359,,                109801,                426558,                426558,,,,,,,,                 53703,                480261,,                368099,                 58459,,                421802,                 58459,,                              2.04,,                              2.04,,,                 64697,,                 10994
2351,2013年01月01日至2013年06月30日,,              4603483,,,              3957015,              3957015,                646468,                646468,,,                122003,,                136190,,                 94925,                353118,                293350,,,                 14810,,                 39494,,                 31734,                 22570,                315920,,                 66046,                249874,                249874,,,,,,,,                 66926,                316800,,                211689,                 38185,,                278615,                 38185,,                              1.17,,                              1.17,,,                 80628,,                 13702
2351,2013年01月01日至2013年03月31日,,              2110056,,,              1843255,              1843255,                266801,                266801,,,                 59006,,                 61961,,                 42168,                163135,                103666,,,                  6185,,                 23743,,                 15185,                 14743,                118409,,                 21733,                 96676,                 96676,,,,,,,,                 38984,                135660,,                 80897,                 15779,,                119881,                 15779,,                              0.45,,,,              2110056,                 46963,,                  7979
2351,2012年07月01日至2012年09月30日,,              2280527,,,              1941561,              1941561,                338966,                338966,,,                 60314,,                 51434,,                 45305,                157053,                181913,,,                 18248,,                 -6366,,                 17582,                 -5700,                176213,,                 36359,                139854,                139854,,,,,,,,                -29551,                110303,,                123423,                 16431,,                 93872,                 16431,,                              0.69,,                              0.69,,,                -35610,,                 -6059
2351,2012年04月01日至2012年06月30日,,              2494656,,,              2215555,              2215555,                279101,                279101,,,                 55489,,                 47399,,                 41257,                144145,                134956,,,                 30507,,                  6485,,                 20996,                 15996,                150952,,                 48862,                102090,                102090,,,,,,,,                 10027,                112117,,                 83306,                 18784,,                 93333,                 18784,,                              0.46,,                              0.46,,,                 12083,,                  2056
2351,2012年01月01日至2012年12月31日,,              8756960,,,              7613137,              7613137,              1143823,              1143823,,,                229237,,                211225,,                180186,                620648,                523175,,,                 42115,,                -30606,,                 78993,                -67484,                455691,,                112051,                343640,                343640,,,,,,,,                -57169,                286471,,                286838,                 56802,,                230011,                 56460,,                              1.61,,                              1.61,,,                -62416,                 -6484,                -11731
2351,2012年01月01日至2012年09月30日,,              6753824,,,              5865735,              5865735,                888089,                888089,,,                170438,,                156771,,                119077,                446286,                441803,,,                 65740,,                -20036,,                 62214,                -16510,                425293,,                103823,                321470,                321470,,,,,,,,                -52014,                269456,,                277467,                 44003,,                225453,                 44003,,                              1.55,,                              1.55,,,                -62684,,                -10670
2351,2012年01月01日至2012年06月30日,,              4473297,,,              3924174,              3924174,                549123,                549123,,,                110124,,                105337,,                 73772,                289233,                259890,,,                 47492,,                -13670,,                 44632,                -10810,                249080,,                 67464,                181616,                181616,,,,,,,,                -22463,                159153,,                154044,                 27572,,                131581,                 27572,,                              0.86,,                              0.86,,,                -27074,,                 -4611
2351,2012年01月01日至2012年03月31日,,              1978641,,,              1708619,              1708619,                270022,                270022,,,                 54635,,                 57938,,                 32515,                145088,                124934,,,                 16985,,                -20155,,                 23636,                -26806,                 98128,,                 18602,                 79526,                 79526,,,,,,,,                -32490,                 47036,,                 70738,                  8788,,                 38248,                  8788,,                              0.40,,,,              1978641,                -39157,,                 -6667
