證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3504,2014年01月01日至2014年06月30日,,              2457002,,              1856683,                600319,                600319,,,                 62745,,                194875,,                290516,                548136,                 52183,,,                 59377,,                -15952,,                  5247,                 38178,                 90361,,                 35936,                 54425,                 54425,,,,,,,                -15706,                -15706,                -15706,                 38719,,                 54425,                              0,,                 38719,                              0,,                              0.48,,                              0.47,,                              0,                              0,,,
3504,2014年01月01日至2014年03月31日,,              1199404,,                916033,                283371,                283371,,,                 31502,,                 98818,,                136797,                267117,                 16254,,,                 31261,,                -10642,,                  1652,                 18967,                 35221,,                 12722,                 22499,                 22499,,,,,,,                 32213,                 32213,                 32213,                 54712,,                 22499,                              0,,                 54712,                              0,,                              0.20,,                              0.20,,                              0,,,,
3504,2013年第3季,,              1395358,,              1025427,                369931,                369931,,,                 36430,,                 95685,,                133546,                265661,                104270,,,                 21552,,                 -3870,,                  1739,                 15943,                120213,,                 35837,                 84376,                 84376,,,,,,,,,                -21153,                 63223,,                 84376,                              0,,                 63223,                              0,,                              0.74,,                              0.74,,,,                -21153,,
3504,2013年第2季,,              1427415,,              1071048,                356367,                356367,,,                 37540,,                 96450,,                128696,                262686,                 93681,,,                 21804,,                 -5220,,                  1180,                 15404,                109085,,                 39858,                 69227,                 69227,,,,,,,,,                 40063,                109290,,                 69227,                              0,,                109290,                              0,,                              0.61,,                              0.60,,                              0,,                 40063,,                              0
3504,2013年度,,              5258941,,              3904401,              1354540,              1354540,,,                148219,,                391674,,                531699,              1071592,                282948,,,                 88134,,                -13835,,                  6445,                 67854,                350802,,                111864,                238938,                238938,,,,,,,,,                115911,                354849,,                238938,,,                354849,,,                              2.09,,                              2.08,,,,                112727,                  3835,                    651
3504,2013年07月01日至2013年09月30日,,              1395358,,              1025427,                369931,                369931,,,                 36430,,                 95685,,                133546,                265661,                104270,,,                 21552,,                 -3870,,                  1739,                 15943,                120213,,                 35837,                 84376,                 84376,,,,,,,,,                -21153,                 63223,,                 84376,,,                 63223,,,                              0.74,,                              0.74,,,,                -21153,,
3504,2013年04月01日至2013年06月30日,,              1427415,,              1071048,                356367,                356367,,,                 37540,,                 96450,,                128696,                262686,                 93681,,,                 21804,,                 -5220,,                  1180,                 15404,                109085,,                 39858,                 69227,                 69227,,,,,,,,,                 40063,                109290,,                 69227,                              0,,                109290,                              0,,                              0.61,,                              0.60,,                              0,,                 40063,,                              0
3504,2013年01月01日至2013年12月31日,,              5258941,,              3904401,              1354540,              1354540,,,                148219,,                391674,,                531699,              1071592,                282948,,,                 88134,,                -13835,,                  6445,                 67854,                350802,,                111864,                238938,                238938,,,,,,,,,                115911,                354849,,                238938,,,                354849,,,                              2.09,,                              2.08,,,,                112727,                  3835,                    651
3504,2013年01月01日至2013年09月30日,,              4106003,,              3048731,              1057272,              1057272,,,                112256,,                284891,,                388835,                785982,                271290,,,                 63177,,                -11745,,                  4611,                 46821,                318111,,                 95181,                222930,                222930,,,,,,,,,                 78125,                301055,,                222930,                              0,,                301055,                              0,,                              1.95,,                              1.94,,,,                 78125,,
3504,2013年01月01日至2013年06月30日,,              2710645,,              2023304,                687341,                687341,,,                 75826,,                189206,,                255289,                520321,                167020,,,                 41625,,                 -7875,,                  2872,                 30878,                197898,,                 59344,                138554,                138554,,,,,,,,,                 99278,                237832,,                138554,                              0,,                237832,                              0,,                              1.21,,                              1.20,,                              0,,                 99278,,                              0
3504,2013年01月01日至2013年03月31日,,              1283230,,                952256,                330974,                330974,,,                 38286,,                 92756,,                126593,                257635,                 73339,,,                 19821,,                 -2655,,                  1692,                 15474,                 88813,,                 19486,                 69327,                 69327,,,,,,,,,                 59215,                128542,,                 69327,                              0,,                128542,                              0,,                              0.61,,                              0.60,,                              0,,                 59215,,                              0
3504,2012年07月01日至2012年09月30日,,              1768132,,              1318285,                449847,                449847,,,                 50172,,                106884,,                156400,                313456,                136391,,,                 16552,,                 -5376,,                  1727,                  9449,                145840,,                 34762,                111078,                111078,,,,,,,,,                -40596,                 70482,,                111078,,,                 70482,,,                              0.97,,                              0.97,,,,                -40596,,
3504,2012年04月01日至2012年06月30日,,              1757163,,              1349525,                407638,                407638,,,                 51933,,                101880,,                162045,                315858,                 91780,,,                 15981,,                 -2523,,                    424,                 13034,                104814,,                 26611,                 78203,                 78203,,,,,,,,,                 14548,                 92751,,                 78203,                              0,,                 92751,                              0,,                              0.69,,                              0.68,,                              0,,                 14548,,                              0
3504,2012年01月01日至2012年12月31日,,              6780957,,              5029361,              1751596,              1751596,,,                194324,,                401986,,                634073,              1230383,                521213,,,                 72439,,                -14265,,                  4940,                 53234,                574447,,                141856,                432591,                432591,,,,,,,,,                -77873,                354718,,                432591,,,                354718,,,                              3.79,,                              3.76,,,,                -69162,                -10495,                 -1784
3504,2012年01月01日至2012年09月30日,,              4954334,,              3691958,              1262376,              1262376,,,                145716,,                296420,,                464007,                906143,                356233,,,                 48919,,                -12899,,                  2600,                 33420,                389653,,                100667,                288986,                288986,,,,,,,,,                -67261,                221725,,                288986,,,                221725,,,                              2.53,,                              2.51,,,,                -67261,,
3504,2012年01月01日至2012年06月30日,,              3186202,,              2373673,                812529,                812529,,,                 95544,,                189536,,                307607,                592687,                219842,,,                 32367,,                 -7523,,                    873,                 23971,                243813,,                 65905,                177908,                177908,,,,,,,,,                -26665,                151243,,                177908,                              0,,                151243,                              0,,                              1.56,,                              1.55,,                              0,,                -26665,,                              0
3504,2012年01月01日至2012年03月31日,,              1429039,,              1024148,                404891,                404891,,,                 43611,,                 87656,,                145562,                276829,                128062,,,                 16386,,                 -5000,,                    449,                 10937,                138999,,                 39294,                 99705,                 99705,,,,,,,,,                -41213,                 58492,,                 99705,                              0,,                 58492,                              0,,                              0.87,,                              0.87,,                              0,,                -41213,,                              0
