證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4746,2013年04月01日至2013年06月30日,,                778550,,                666183,                112367,                112367,,,                 30374,,                 29488,,                 46305,                106167,                  6200,,,                    143,,                  7282,,                  6457,,                   -106,                    862,                  7062,,                  4942,                  2120,                  2120,,,,,,,                     37,                  2157,,                  2120,,                  2157,,                              0.03,                              0.03,,                              0.03,                              0.03,                     45,                              0,,                      8
4746,2013年01月01日至2013年12月31日,,              2473633,,              2134318,                339315,                339315,,,                110046,,                110031,,                194284,                414361,                -75046,,,                 10652,,                 32908,,                 26515,,                   -387,                 16658,                -58388,,                 11013,                -69401,                -69401,,,,,,,                 97983,                 28582,,                -69401,,                 28582,,                             -0.97,                             -0.97,,                             -0.97,                             -0.97,                    130,                 99040,                 -1403,                   -216
4746,2013年01月01日至2013年09月30日,,              1734299,,              1553208,                181091,                181091,,,                 81126,,                 85540,,                138205,                304871,               -123780,,,                  6657,,                 16292,,                 20040,,                   -441,                  2468,               -121312,,                 -3913,               -117399,               -117399,,,,,,,                   -176,               -117575,,               -117399,,               -117575,,                             -1.72,                             -1.72,,                             -1.72,                             -1.72,                     88,                   -249,,                     15
4746,2013年01月01日至2013年06月30日,,              1016247,,                999436,                 16811,                 16811,,,                 53056,,                 57082,,                 80958,                191096,               -174285,,,                    357,,                 23855,,                 12669,,                   -253,                 11290,               -162995,,                 -1153,               -161842,               -161842,,,,,,,                  2688,               -159154,,               -161842,,               -159154,,                             -2.41,                             -2.41,,                             -2.41,                             -2.41,                    117,                  2591,,                     20
4746,2013年01月01日至2013年03月31日,,                237697,,                333253,                -95556,                -95556,,,                 22682,,                 27594,,                 34653,                 84929,               -180485,,,                    214,,                 16573,,                  6212,,                   -147,                 10428,               -170057,,                 -6095,               -163962,               -163962,,,,,,,                  2651,               -161311,,               -163962,,               -161311,,                             -2.45,                             -2.45,,                             -2.45,                             -2.45,                     72,                  2591,,                     12
4746,2012年07月01日至2012年09月30日,,                668592,,                575880,                 92712,                 92712,,,                 21278,,                 26503,,                 48596,                 96377,                 -3665,,,                    707,,                 -8776,,                  2274,,                    -65,                -10408,                -14073,,                  6247,                -20320,                -20320,,,,,,,                    -57,                -20377,,                -20320,,                -20377,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,                    -69,                              0,,                    -12
4746,2012年04月01日至2012年06月30日,,                629478,,                518092,                111386,                111386,,,                 22411,,                 29094,,                 32790,                 84295,                 27091,,,                  2523,,                   -295,,                  1954,,                   -201,                     73,                 27164,,                  4139,                 23025,                 23025,,,,,,,                     26,                 23051,,                 23025,,                 23051,,                              0.34,                              0.34,,                              0.34,                              0.34,                     31,                              0,,                      5
4746,2012年01月01日至2012年12月31日,,              2524282,,              2133034,                391248,                391248,,,                 76948,,                104977,,                172308,                354233,                 37015,,,                 19511,,                -24424,,                 10019,,                   -678,                -15610,                 21405,,                 16372,                  5033,                  5033,,,,,,,                    -60,                  4973,,                  5033,,                  4973,,                              0.08,                              0.08,,                              0.08,                              0.08,                    -83,                              0,                      8,                    -15
4746,2012年01月01日至2012年09月30日,,              1929803,,              1605385,                324418,                324418,,,                 62614,,                 84005,,                118468,                265087,                 59331,,,                  4038,,                -17737,,                  5693,,                   -442,                -19834,                 39497,,                 13313,                 26184,                 26184,,,,,,,                    -82,                 26102,,                 26184,,                 26102,,                              0.39,                              0.39,,                              0.39,                              0.39,                   -100,                              0,,                    -18
4746,2012年01月01日至2012年06月30日,,              1261211,,              1029505,                231706,                231706,,,                 41336,,                 57502,,                 69872,                168710,                 62996,,,                  3331,,                 -8961,,                  3419,,                   -377,                 -9426,                 53570,,                  7066,                 46504,                 46504,,,,,,,                    -25,                 46479,,                 46504,,                 46479,,                              0.69,                              0.69,,                              0.69,                              0.69,                    -31,                              0,,                     -6
4746,2012年01月01日至2012年03月31日,,                631733,,                511413,                120320,                120320,,,                 18925,,                 28408,,                 37082,                 84415,                 35905,,,                    808,,                 -8666,,                  1465,,                   -176,                 -9499,                 26406,,                  2927,                 23479,                 23479,,,,,,,                    -51,                 23428,,                 23479,,                 23428,,                              0.35,                              0.35,,                              0.35,                              0.35,                    -62,                              0,,                    -11
