證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 金融資產（負債）出售淨利益,　　　 投資收入（投資公司適用）合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 金融資產（負債）出售淨損失,　　　 投資支出（投資公司適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 其他綜合損益,　　　 利息費用
1235,2014年01月01日至2014年03月31日,,,                 37581,,                     88,                     88,                 37669,,,                 35296,,,,                 35296,                  2373,                  2373,,,                    449,,                  5660,,                    152,                  6261,                 -3888,,,                  6912,,                  6520,,                  3653,,                 21773,                 31552,                 27664,,                    -48,                 27712,                 27712,,,                     63,                 96569,,                 22766,                 22766,                     11,                119387,                119387,                147099,,                 27812,                   -100,,                147199,                   -100,,                              0.51,,                              0.51,,,,,,,,,,,,,,,,,,,,,
1235,2013年第3季,,,                 59976,,                              0,                              0,                 59976,,,                 52113,,                     18,                     18,                 52131,                  7845,                  7845,,,                    595,,                  5971,,                    146,                  6712,                  1133,,,                 12902,,                   -715,,                  3779,,                  1014,                  9422,                 10555,,                     95,                 10460,                 10460,,,,,,,,,,                 17734,                 28194,,                 10555,                    -95,,                 28289,                    -95,,                              0.19,,,,,,,,,,,                    -57,                 17840,,,                    -59,                    -59,                    -10,                              0.19,,,,,
1235,2013年第2季,,,                 71804,,                     31,                     31,                 71835,,,                 67456,,                              0,                              0,                 67456,                  4379,                  4379,,,                    848,,                  7082,,                    146,                  8076,                 -3697,,,                  2479,,                 -4290,,                  3859,,                 -5202,                -10872,                -14569,,                    104,                -14673,                -14673,,,,,,,,,,                 -6040,                -20713,,                -14576,                    -97,,                -20616,                    -97,,                             -0.27,,,,,,,,                              0,,,                     19,                 -5402,,,                   -653,                   -653,                      4,                             -0.27,,,,,
1235,2013年度,,,                249386,,                              0,                              0,                249386,,,                231076,,                    259,                    259,                231335,                 18051,                 18051,,,                  5297,,                 24787,,                    579,                 30663,                -12612,,,                 19793,,                -18625,,                 13446,,                -18458,                -30736,                -43348,,                  2676,                -46024,                -46024,,,,,,,,,,                -73283,               -119307,,                -45637,                   -387,,               -118920,                   -387,,                             -0.84,,                             -0.84,,                249386,                249386,                231076,,                              0,,                              0,                     89,                -62023,                     32,,                -11366,                -11366,                     15,                             -0.84,                             -0.84,,,,
1235,2013年07月01日至2013年09月30日,,,                 59976,,                              0,                              0,                 59976,,,                 52113,,                     18,                     18,                 52131,                  7845,                  7845,,,                    595,,                  5971,,                    146,                  6712,                  1133,,,                 12902,,                   -715,,                  3779,,                  1014,                  9422,                 10555,,                     95,                 10460,                 10460,,,,,,,,,,                 17734,                 28194,,                 10555,                    -95,,                 28289,                    -95,,                              0.19,,,,,,,,,,,                    -57,                 17840,,,                    -59,                    -59,                    -10,                              0.19,,                              0,                              0,                              0,
1235,2013年04月01日至2013年06月30日,,,                 71804,,                     31,                     31,                 71835,,,                 67456,,                              0,                              0,                 67456,                  4379,                  4379,,,                    848,,                  7082,,                    146,                  8076,                 -3697,,,                  2479,,                 -4290,,                  3859,,                 -5202,                -10872,                -14569,,                    104,                -14673,                -14673,,,,,,,,,,                 -6040,                -20713,,                -14576,                    -97,,                -20616,                    -97,,                             -0.27,,,,,                 71804,                 67456,,,,,                     19,                 -5402,,,                   -653,                   -653,                      4,                             -0.27,,,,,                  3859
1235,2013年01月01日至2013年12月31日,,,                249386,,,,                249386,,,                231076,,                    259,                    259,                231335,                 18051,                 18051,,,                  5297,,                 24787,,                    579,                 30663,                -12612,,,                 19793,,                -18625,,                 13446,,                -18458,                -30736,                -43348,,                  2676,                -46024,                -46024,,,,,,,,,,                -73283,               -119307,,                -45637,                   -387,,               -118920,                   -387,,                             -0.84,,,,,                249386,,,,,,                     89,                -62023,                     32,,                -11366,                -11366,                     15,                             -0.84,,                              0,                              0,,
1235,2013年01月01日至2013年09月30日,,,                189862,,                              0,                              0,                189862,,,                175247,,                  1689,                  1689,                176936,                 12926,                 12926,,,                  2690,,                 19554,,                    449,                 22693,                 -9767,,,                 16418,,                -16271,,                 11063,,                -15620,                -26536,                -36303,,                  2746,                -39049,                -39049,,,,,,,,,,                  2728,                -36321,,                -38760,                   -289,,                -36032,                   -289,,                             -0.72,,,,,,,,,,,                     65,                  4238,,,                 -1564,                 -1564,                     11,                             -0.72,,,,,
1235,2013年01月01日至2013年06月30日,,,                129886,,                              0,                              0,                129886,,,                123134,,                  1671,                  1671,                124805,                  5081,                  5081,,,                  2095,,                 13583,,                    303,                 15981,                -10900,,,                  3516,,                -15556,,                  7284,,                -16634,                -35958,                -46858,,                  2651,                -49509,                -49509,,,,,,,,,,                -15006,                -64515,,                -49315,                   -194,,                -64321,                   -194,,                             -0.91,,,,,,,,                              0,,,                    122,                -13602,,,                 -1505,                 -1505,                     21,                             -0.91,,,,,
1235,2013年01月01日至2013年03月31日,,,                 58082,,,                              0,                 58082,,,                 55678,,                  1702,                  1702,                 57380,                    702,                    702,,,                  1247,,                  6501,,                    157,                  7905,                 -7203,,,                  1037,,                -11266,,                  3425,,                -11432,                -25086,                -32289,,                  2547,                -34836,                -34836,,,,,,,,,,                 -8966,                -43802,,                -34739,                    -97,,                -43705,                    -97,,                             -0.64,,,,,,,,,,,                    103,                 -8200,,,                   -852,                   -852,                     17,                             -0.64,,,,,
1235,2012年07月01日至2012年09月30日,,,                 80125,,                              0,                              0,                 80125,,,                 70682,,                              0,                              0,                 70682,                  9443,                  9443,,,                    775,,                  6054,,                    281,                  7110,                  2333,,,                 32123,,                  6086,,                  2802,,                 19783,                 55190,                 57523,,                    430,                 57093,                 57093,,,,,,,,,,                 63453,                120546,,                 57179,                    -86,,                120632,                    -86,,                              1.06,,,,,,,,,,,                   -121,                 54087,,,                  9466,                  9466,                    -21,                              1.06,,                              0,                              0,                              0,
1235,2012年04月01日至2012年06月30日,,,                 86513,,                              0,                              0,                 86513,,,                 82008,,                              0,                              0,                 82008,                  4505,                  4505,,,                  1125,,                  7853,,                    303,                  9281,                 -4776,,,                  1631,,                -10126,,                  3120,,                -11282,                -22897,                -27673,,                    891,                -28564,                -28564,,,,,,,,,,                -36140,                -64704,,                -27371,                 -1193,,                -63511,                 -1193,,                             -0.50,,,,,                 86513,                 82008,,,,,                    125,                -30614,,,                 -5629,                 -5629,                     22,                             -0.50,,,,,                  3120
1235,2012年01月01日至2012年12月31日,,,                319273,,,,                319273,,,                295368,,                    318,                    318,                295686,                 23587,                 23587,,,                  7084,,                 25814,,                  1059,                 33957,                -10370,,,                 38925,,                 -5213,,                 12209,,                  1767,                 23270,                 12900,,                  1176,                 11724,                 11724,,,,,,,,,,                 45388,                 57112,,                 13198,                 -1474,,                 58586,                 -1474,,                              0.24,,,,,                319273,,,,,,                   -265,                 30679,                    423,,                 14506,                 14506,                    -45,                              0.24,,                              0,                              0,,
1235,2012年01月01日至2012年09月30日,,,                246404,,                      2,                      2,                246406,,,                228332,,                              0,                              0,                228332,                 18074,                 18074,,,                  2906,,                 22223,,                    786,                 25915,                 -7841,,,                 35108,,                 -3762,,                  8894,,                  5111,                 27563,                 19722,,                  1335,                 18387,                 18387,,,,,,,,,,                 50796,                 69183,,                 19769,                 -1382,,                 70565,                 -1382,,                              0.37,,,,,,,,,,,                   -217,                 37189,,,                 13787,                 13787,                    -37,                              0.37,,                              0,                              0,                              0,
1235,2012年01月01日至2012年06月30日,,,                166279,,                      2,                      2,                166281,,,                157650,,                              0,                              0,                157650,                  8631,                  8631,,,                  2131,,                 16169,,                    505,                 18805,                -10174,,,                  2985,,                 -9848,,                  6092,,                -14672,                -27627,                -37801,,                    905,                -38706,                -38706,,,,,,,,,,                -12657,                -51363,,                -37410,                 -1296,,                -50067,                 -1296,,                             -0.69,,,,,                166279,                157650,,,,,                    -96,                -16898,,,                  4321,                  4321,                    -16,                             -0.69,,,,,                  6092
1235,2012年01月01日至2012年03月31日,,,                 79766,,                      2,                      2,                 79768,,,                 75642,,                              0,                              0,                 75642,                  4126,                  4126,,,                  1006,,                  8316,,                    202,                  9524,                 -5398,,,                  1354,,                    278,,                  2972,,                 -3390,                 -4730,                -10128,,                     14,                -10142,                -10142,,,,,,,,,,                 23483,                 13341,,                -10039,                   -103,,                 13444,                   -103,,                             -0.19,,,,                 79766,                 79766,                 75642,,,,,                   -221,                 13716,,,                  9950,                  9950,                    -38,                             -0.19,,,,,
