證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 什項支出
4938,2014年01月01日至2014年03月31日,,,,            219705667,                968815,            218736852,            218736852,,            207439384,             11297468,                              0,                              0,             11297468,,,              1192840,,              2194739,,              2843355,              6230934,              5066534,,,                867376,,             -1027962,,                376336,,                -67265,               -604187,              4462347,,                975883,              3486464,              3486464,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,              1605856,                116198,                  7417,              1714637,              1714637,              5201101,,              2731500,                754964,,              4129416,              1071685,,                              1.18,                              1.18,,                              1.16,                              1.16,,,,,
4938,2013年第3季,,,,            254154607,                177092,            253977515,            253977515,,            243319116,             10658399,                              0,                              0,             10658399,,,              2363788,,              2310945,,              3062577,              7737310,              2921089,,,                698715,,              1341392,,                280090,,                -10287,              1749730,              4670819,,                992121,              3678698,              3678698,,,,,,,,,,,,,,,,,,             -1011620,              2667078,,              2477564,              1201134,,              1670849,                996229,,,                              1.08,,,                              0.53,               -976634,                -33725,,                  1261,
4938,2013年第2季,,,,            212716032,                489091,            212226941,            212226941,,            202774431,              9452510,                              0,                              0,              9452510,,,              1758240,,              2235146,,              2802571,              6795957,              2656553,,,                638192,,                443909,,                300798,,                 -8543,                772760,              3429313,,                916636,              2512677,              2512677,,,,,,,,,,,,,,,,,,              1394839,              3907516,,              1392576,              1120101,,              2517731,              1389785,,,                              0.61,,,                              0.60,              1351170,                 53995,                    645,                 10971,
4938,2013年度,,,,            953561313,              3809285,            949752028,            949752028,,            904235309,             45516719,                              0,                              0,             45516719,,,              6545841,,             11450715,,             11943411,             29939967,             15576752,,,              2507958,,              2322001,,              1301253,,                -75586,              3453120,             19029872,,              4782625,             14247247,             14247247,,,,,,,,,,,,,,,,,,              3916721,             18163968,,              9554496,              4692751,,             12903831,              5260137,,,                              4.16,,,                              3.74,              3969608,                -64975,                 32318,                 20230,
4938,2013年07月01日至2013年09月30日,,,,            254154607,                177092,            253977515,            253977515,,            243319116,             10658399,,,             10658399,,,              2363788,,              2310945,,              3062577,              7737310,              2921089,,,                777413,,              1262694,,                280090,,                -10287,              1749730,              4670819,,                992121,              3678698,              3678698,,,,,,,,,,,,,,,,,,             -1011620,              2667078,,              2477564,              1201134,,              1670849,                996229,,,                              1.08,,,                              0.53,               -977895,                -33725,,,
4938,2013年04月01日至2013年06月30日,,,,            212716032,                489091,            212226941,            212226941,,            202774431,              9452510,,,              9452510,,,              1758240,,              2235146,,              2802571,              6795957,              2656553,,,                704404,,                377697,,                300798,,                 -8543,                772760,              3429313,,                916636,              2512677,              2512677,,,,,,,,,,,,,,,,,,              1394839,              3907516,,              1392576,              1120101,,              2517731,              1389785,,,                              0.61,,,                              0.60,              1340199,                 53995,                    645,,
4938,2013年01月01日至2013年12月31日,,,,            953561313,              3809285,            949752028,            949752028,,            904235309,             45516719,,,             45516719,,,              6545841,,             11450715,,             11943411,             29939967,             15576752,,,              2714809,,              2115150,,              1301253,,                -75586,              3453120,             19029872,,              4782625,             14247247,             14247247,,,,,,,,,,,,,,,,,,              3916721,             18163968,,              9554496,              4692751,,             12903831,              5260137,,,                              4.16,,,                              3.74,              3969608,                -64975,                 32318,                 20230,             -2115150
4938,2013年01月01日至2013年09月30日,,,,            685173656,              1380798,            683792858,            683792858,,            651677696,             32115162,                              0,                              0,             32115162,,,              6078121,,              6984549,,              8585065,             21647735,             10467427,,,              1663056,,              1559992,,                858322,,                -46673,              2318053,             12785480,,              3141113,              9644367,              9644367,,,,,,,,,,,,,,,,,,              2661334,             12305701,,              6175790,              3468577,,              8526327,              3779374,,,                              2.70,,,                              2.55,              2777920,               -103942,,                 12644,
4938,2013年01月01日至2013年06月30日,,,,            431019049,              1203706,            429815343,            429815343,,            408358580,             21456763,                              0,                              0,             21456763,,,              3714333,,              4673604,,              5522488,             13910425,              7546338,,,                964341,,                218600,,                578232,,                -36386,                568323,              8114661,,              2148992,              5965669,              5965669,,,,,,,,,,,,,,,,,,              3672954,              9638623,,              3698226,              2267443,,              6855478,              2783145,,,                              1.62,,,                              1.60,              3754554,                -70217,                              0,                 11383,
4938,2013年01月01日至2013年03月31日,,,,            218303017,                714615,            217588402,            217588402,,            205584149,             12004253,                              0,                              0,             12004253,,,              1956093,,              2438458,,              2719917,              7114468,              4889785,,,                414366,,               -313526,,                277434,,                -27843,               -204437,              4685348,,              1232356,              3452992,              3452992,,,,,,,,,,,,,,,,,,              2278115,              5731107,,              2305650,              1147342,,              4337747,              1393360,,,                              1.01,,,                              1.00,              2403384,               -124212,                   -645,                    412,
4938,2012年07月01日至2012年09月30日,,,,            223856574,                970972,            222885602,            222885602,,            213111455,              9774147,,,              9774147,,,              1277202,,              2230565,,              3243140,              6750907,              3023240,,,                632459,,                239092,,                381462,,                 20920,                511009,              3534249,,                797090,              2737159,              2737159,,,,,,,,,,,,,,,,,,             -1616108,              1121051,,              1625242,              1111917,,                258603,                862448,,,                              0.72,,,                              0.56,             -1587841,                -28267,,,
4938,2012年04月01日至2012年06月30日,,,,            220157496,                849501,            219307995,            219307995,,            209726323,              9581672,,,              9581672,,,              1410486,,              1963247,,              2922824,              6296557,              3285115,,,                458746,,                407548,,                313176,,                 29337,                582455,              3867570,,                987366,              2880204,              2880204,,,,,,,,,,,,,,,,,,                390840,              3271044,,              1925065,                955139,,              2264992,              1006052,,,                              0.85,,,                              0.85,                537536,               -146696,                              0,,
4938,2012年01月01日至2012年12月31日,,,,            884212767,              3015352,            881197415,            881197415,,            844165031,             37032384,,,             37032384,,,              4316670,,              8448501,,             12055625,             24820796,             12211588,,,              2142647,,              1067379,,              1301901,,                 59484,              1967609,             14179197,,              3843016,             10336181,             10336181,,,,,,,,,,,,,,,,,,             -2977627,              7358554,,              6382945,              3953236,,              3819274,              3539280,,,                              2.83,,,                              2.43,             -2988136,                 82165,                -77335,                 -5679,             -1067379
4938,2012年01月01日至2012年09月30日,,,,            616505819,              2351642,            614154177,            614154177,,            587426919,             26727258,,,             26727258,,,              3899212,,              6039277,,              8819678,             18758167,              7969091,,,              1510322,,                 42123,,              1009207,,                 66811,                610049,              8579140,,              2156720,              6422420,              6422420,,,,,,,,,,,,,,,,,,             -2558620,              3863800,,              3614469,              2807951,,              1339362,              2524438,,,                              1.60,,,                              1.41,             -2734164,                175544,,,
4938,2012年01月01日至2012年06月30日,,,,            392649245,              1380670,            391268575,            391268575,,            374315464,             16953111,,,             16953111,,,              2622010,,              3808712,,              5576538,             12007260,              4945851,,,                877863,,               -196969,,                627745,,                 45891,                 99040,              5044891,,              1359630,              3685261,              3685261,,,,,,,,,,,,,,,,,,               -942512,              2742749,,              1989227,              1696034,,              1080759,              1661990,,,                              0.88,,,                              0.88,             -1146323,                203811,                              0,,
4938,2012年01月01日至2012年03月31日,,,,            172622953,                662373,            171960580,            171960580,,            164589141,              7371439,                              0,                              0,              7371439,,,              1211524,,              1845465,,              2653714,              5710703,              1660736,,,                419117,,               -604517,,                314569,,                 16554,               -483415,              1177321,,                372264,                805057,                805057,,,,,,,,,,,,,,,,,,             -1333352,               -528295,,                 64162,                740895,,             -1184233,                655938,,,                              0.03,,,                              0.03,             -1683859,                350507,                              0,,
