證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2477,2014年01月01日至2014年03月31日,,,,,                790963,                790963,,,                701696,                701696,                701696,                 89267,                 89267,,,                 51117,,                 52511,,                 18309,                121937,                -32670,,,                 37393,,                 -9350,,                    993,,                  1431,                 28481,                 -4189,,                   -605,                 -3584,                 -3584,,,                 16453,,                    165,                    165,                  2226,                 14392,                 14392,                 10808,,                 -8840,                  5256,,                  2029,                  8779,,                             -0.04,,                              0.00,,,,,,
2477,2013年第3季,,,,,              3506093,              3506093,,,              1675572,              1675572,              1675572,              1830521,              1830521,,,                 49247,,                132365,,                 38673,                220285,              1610236,,,                 16409,,                 19940,,                    544,,                    212,                 36017,              1646253,,                  3976,              1642277,              1642277,,,,,,,,,                -23377,              1618900,,              1125381,                516896,,              1101922,                516978,,                              4.71,,                              4.69,                -28230,,,                     48,                     48,                 -4805
2477,2013年第2季,,,,,                957263,                957263,,,                834384,                834384,                834384,                122879,                122879,,,                 69734,,                 70474,,                 20616,                160824,                -37945,,,                 26255,,                -22269,,                    518,,                     46,                  3514,                -34431,,                   -831,                -33600,                -33600,,,,,,,,,                 23585,                -10015,,                -27341,                 -6259,,                 -3151,                 -6864,,                             -0.11,,                             -0.11,                 28745,,,                   -206,                   -206,                  4954
2477,2013年度,,,,,              6480442,              6480442,,,              4317233,              4317233,              4317233,              2163209,              2163209,,,                264640,,                312955,,                 87096,                664691,              1498518,,,                 83888,,                 15631,,                  2627,,                  5263,                102155,              1600673,,                 -2534,              1603207,              1603207,,,,,,,,,                 84531,              1687738,,              1094427,                508780,,              1178656,                509082,,                              4.58,,                              4.56,                 98418,                  4095,,                 -1294,                 -1294,                 16688
2477,2013年04月01日至2013年06月30日,,,,,                957263,                957263,,,                834384,                834384,                834384,                122879,                122879,,,                 69734,,                 70474,,                 20616,                160824,                -37945,,,                  8544,,                 -4558,,                    518,,                     46,                  3514,                -34431,,                   -831,                -33600,                -33600,,,,,,,,,                 23585,                -10015,,                -27341,                 -6259,,                 -3151,                 -6864,,                             -0.14,,,                 28745,,,                   -206,                   -206,                  4954
2477,2013年01月01日至2013年09月30日,,,,,              5307580,              5307580,,,              3221912,              3221912,              3221912,              2085668,              2085668,,,                189216,,                254575,,                 79626,                523417,              1562251,,,                 64760,,                 -7037,,                  1552,,                    622,                 56793,              1619044,,                  4860,              1614184,              1614184,,,,,,,,,                 53703,              1667887,,              1105964,                508220,,              1159652,                508235,,                              4.63,,                              4.60,                 65270,,,                   -571,                   -571,                 10996
2477,2013年01月01日至2013年06月30日,,,,,              1801487,              1801487,,,              1546340,              1546340,              1546340,                255147,                255147,,,                139969,,                122210,,                 40953,                303132,                -47985,,,                 48351,,                -26977,,                  1008,,                    410,                 20776,                -27209,,                    884,                -28093,                -28093,,,,,,,,,                 77080,                 48987,,                -19417,                 -8676,,                 57730,                 -8743,,                             -0.08,,                             -0.08,                 93500,,,                   -619,                   -619,                 15801
2477,2013年01月01日至2013年03月31日,,,,,                844224,                844224,,,                711956,                711956,                711956,                132268,                132268,,,                 70235,,                 51736,,                 20337,                142308,                -10040,,,                 22096,,                 -4708,,                    490,,                    364,                 17262,                  7222,,                  1715,                  5507,                  5507,,,,,,,,,                 53495,                 59002,,                  7924,                 -2417,,                 60881,                 -1879,,                              0.03,,                              0.03,                 64755,,,                   -413,                   -413,                 10847
2477,2012年04月01日至2012年06月30日,,,,,              1409133,              1409133,,,              1220551,              1220551,              1220551,                188582,                188582,,,                 78600,,                 51667,,                 21574,                151841,                 36741,,,                  8450,,                  7479,,                     10,,                 -1429,                 14490,                 51231,,                 10984,                 40247,                 40247,,,,,,,,,                 11943,                 52190,,                 42062,                 -1815,,                 54003,                 -1813,,                              0.15,,,                 14220,,,                    169,                    169,                  2446
2477,2012年01月01日至2012年06月30日,,,,,              2428158,              2428158,,,              2158998,              2158998,              2158998,                269160,                269160,,,                140792,,                105931,,                 45216,                291939,                -22779,,,                 15727,,                 21193,,                     12,,                 -4461,                 32447,                  9668,,                 11555,                 -1887,                 -1887,,,,,,,,,                -40236,                -42123,,                  1157,                 -3044,,                -39074,                 -3049,,                             -0.01,,,                -48331,,,                   -145,                   -145,                 -8240
2477,2012年01月01日至2012年03月31日,,,,,              1019025,              1019025,,,                938447,                938447,                938447,                 80578,                 80578,,,                 62192,,                 54264,,                 23642,                140098,                -59520,,,                  7277,,                 13714,,                      2,,                 -3032,                 17957,                -41563,,                    571,                -42134,                -42134,,,,,,,,,                -52179,                -94313,,                -40905,                 -1229,,                -93077,                 -1236,,                             -0.16,,,                -62865,,,,,                -10686
