證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 其他費用[duplicate]22,　　　 管理費用合計,　　 研究發展費用,　　　 其他費用[duplicate]25,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
6133,2014年01月01日至2014年03月31日,,,,,                290152,                    147,                     32,                289973,                289973,,,,,                230981,                 58992,                 58992,,,,                 25585,,,                 24583,,,                  8058,                 58226,                    766,,,,                  5203,,                 10576,,,                  1599,                 14180,                 14946,,                  3025,                 11921,                 11921,,,                   -548,                  3482,                  2934,                  2934,                 14855,,                 11921,,                 14855,,                              0.13,                              0.13,,                              0.11,                              0.11,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,
6133,2013年第3季,,,,                292655,                292655,                    245,                    188,                292222,                292222,,,                233024,                233024,                233024,                 59198,                 59198,,,                 23588,                 23588,,                 24137,                 24137,,                  8826,                  8826,                 56551,                  2647,,,                  7018,                  7018,,                  2119,,                  1588,                  1588,                  7549,                 10196,,                  2022,                  8174,                  8174,,,,,,                 -6534,                  1640,,                  8174,,                  1640,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,,,,,,,,,                -10496,                  3962,,,,,,,,,,,
6133,2013年第2季,,,,                252336,                252336,                    221,                    187,                251928,                251928,,,                206450,                206450,                206450,                 45478,                 45478,,,                 24502,                 24502,,                 23176,                 23176,,                  8652,                  8652,                 56330,                -10852,,,                  5498,                  5498,,                  2618,,                  1532,                  1532,                  6584,                 -4268,,                 -1475,                 -2793,                 -2793,,,,,,                 10197,                  7404,,                 -2793,,                  7404,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,,,,,,,,,,,,,                 11078,                   -881,,,,,,,,,,,
6133,2013年度,,,,,              1066702,                  1708,                    639,              1064355,              1064355,,,,,                861297,                203058,                203058,,,,                 92073,,,                 97936,,,                 33572,                223581,                -20523,,,,                 22036,,                 19701,,,                  6432,                 35305,                 14782,,                  2078,                 12704,                 12704,,,,,,                 47513,                 60217,,                 12704,,                 60217,,,                              0.13,,,                              0.12,,,,,,,,,,,,,,,,                 40981,                  7545,                 -1220,                   -207,,,,,,,,,
6133,2013年07月01日至2013年09月30日,,,,                292655,                292655,                    245,                    188,                292222,                292222,,,                233024,                233024,                233024,                 59198,                 59198,,,                 23588,                 23588,,                 24137,                 24137,,                  8826,                  8826,                 56551,                  2647,,,                  7002,                  7002,,                  2119,,                  1588,                  1588,                  7533,                 10180,,                  2020,                  8160,                  8160,,,,,,                 -6260,                  1900,,                  8160,,                  1900,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,                              0,,,,,,,,,,,,                -10222,                  3962,,,,                              0,                              0,,                              0,,                              0,,                              0
6133,2013年04月01日至2013年06月30日,,,,                252336,                252336,                    221,                    187,                251928,                251928,,,                206450,                206450,                206450,                 45478,                 45478,,,                 24502,                 24502,,                 23176,                 23176,,                  8652,                  8652,                 56330,                -10852,,,                  5471,                  5471,,                  2618,,                  1532,                  1532,                  6557,                 -4295,,                 -1480,                 -2815,                 -2815,,,,,,                  9914,                  7099,,                 -2815,,                  7099,,                             -0.03,                             -0.03,,                              0.00,                              0.00,,,,                              0,,,,,,,,,,,,                 10795,                   -881,,,,                              0,                              0,,                              0,,                              0,,                              0
6133,2013年01月01日至2013年12月31日,,,,,              1066702,                  1708,                    639,              1064355,              1064355,,,,,                861297,                203058,                203058,,,,                 92073,,,                 97936,,,                 33572,                223581,                -20523,,,,                 21965,,                 19701,,,                  6432,                 35234,                 14711,,                  2066,                 12645,                 12645,,,,,,                 46485,                 59130,,                 12645,,                 59130,,,                              0.13,,,                              0.12,,,,,,,,,,,,,,,,                 39953,                  7545,                 -1220,                   -207,,,,,,,,,
6133,2013年01月01日至2013年09月30日,,,,                765652,                765652,                  1021,                    534,                764097,                764097,,,                626661,                626661,                626661,                137436,                137436,,,                 69662,                 69662,,                 71654,                 71654,,                 25482,                 25482,                166798,                -29362,,,                 16968,                 16968,,                 15720,,                  4849,                  4849,                 27839,                 -1523,,                   -692,                   -831,                   -831,,,,,,                 30816,                 29985,,                   -831,,                 29985,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,,,,,,,,,,,,,,,,                 26410,                  4406,,,,,,,,,,,
6133,2013年01月01日至2013年06月30日,,,,                472997,                472997,                    776,                    346,                471875,                471875,,,                393637,                393637,                393637,                 78238,                 78238,,,                 46074,                 46074,,                 47517,                 47517,,                 16656,                 16656,                110247,                -32009,,,                  9950,                  9950,,                 13601,,                  3261,                  3261,                 20290,                -11719,,                 -2714,                 -9005,                 -9005,,,,,,                 37350,                 28345,,                 -9005,,                 28345,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,,,,,,,,,,,,,,,                 36906,                    444,,,,,,,,,,,
6133,2013年01月01日至2013年03月31日,,,,,                220661,                    555,                    159,                219947,                219947,,,,,                187187,                 32760,                 32760,,,,                 21572,,,                 24341,,,                  8004,                 53917,                -21157,,,,                  4452,,                 10983,,,                  1729,                 13706,                 -7451,,                 -1239,                 -6212,                 -6212,,,,,,                 27153,                 20941,,                 -6212,,                 20941,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,                              0,                              0,,                              0,,,,,,,,,,,,                 25828,                  1325,,,,,,,,,,,
6133,2012年07月01日至2012年09月30日,,,,                370279,                370279,                    824,                  2233,                367222,                367222,,,                299522,                299522,                299522,                 67700,                 67700,,,                 28724,                 28724,,                 22536,                 22536,,                  9526,                  9526,                 60786,                  6914,,,                  6915,                  6915,,                 -1066,,                  2874,                  2874,                  2975,                  9889,,                  2530,                  7359,                  7359,,,,,,                -15776,                 -8417,,                  7359,,                 -8417,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,                              0,,,,,,,,,,,,                -17153,                  1377,,,,                              0,                              0,,                              0,,                              0,,                              0
6133,2012年04月01日至2012年06月30日,,,,                337555,                337555,                    457,                    495,                336603,                336603,,,                283529,                283529,                283529,                 53074,                 53074,,,                 27132,                 27132,,                 23146,                 23146,,                  9059,                  9059,                 59337,                 -6263,,,                  4615,                  4615,,                  6784,,                  2448,                  2448,                  8951,                  2688,,                 -1020,                  3708,                  3708,,,,,,                  7423,                 11131,,                  3708,,                 11131,,                              0.04,                              0.04,,                              0.00,                              0.00,,,,                              0,,,,,,,,,,,,                  7407,                     16,,,,                              0,                              0,,                              0,,                              0,,                              0
6133,2012年01月01日至2012年12月31日,,,,,              1348241,                  2191,                  4352,              1341698,              1341698,,,,,              1112134,                229564,                229564,,,,                102722,,,                 83013,,,                 40463,                226198,                  3366,,,,                 22953,,                -12481,,,                 10459,                     13,                  3379,,                  8304,                 -4925,                 -4925,,,,,,                -19318,                -24243,,                 -4925,,                -24243,,,                              0.05,,,                              0.05,,,,,,,,,,,,,,,,                -21988,                  4392,                 -2075,                   -353,,,,,,,,,
6133,2012年01月01日至2012年09月30日,,,,              1011114,              1011114,                  1805,                  3852,              1005457,              1005457,,,                839530,                839530,                839530,                165927,                165927,,,                 75370,                 75370,,                 60499,                 60499,,                 31320,                 31320,                167189,                 -1262,,,                 15409,                 15409,,                  1006,,                  7564,                  7564,                  8851,                  7589,,                    822,                  6767,                  6767,,,,,,                -31093,                -24326,,                  6767,,                -24326,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,                              0,,,,,,,,,,,,                -34942,                  3849,,,,                              0,                              0,,                              0,,                              0,,                              0
6133,2012年01月01日至2012年06月30日,,,,                640835,                640835,                    981,                  1619,                638235,                638235,,,                540008,                540008,                540008,                 98227,                 98227,,,                 46646,                 46646,,                 42549,                 42549,,                 21794,                 21794,                110989,                -12762,,,                  8494,                  8494,,                  6658,,                  4690,                  4690,                 10462,                 -2300,,                 -1708,                   -592,                   -592,,,,,,                -15317,                -15909,,                   -592,,                -15909,,                             -0.01,                             -0.01,,                              0.00,                              0.00,,,,                              0,,,,,,,,,,,,                -17789,                  2472,,,,                              0,                              0,,                              0,,                              0,,                              0
6133,2012年01月01日至2012年03月31日,,,,                303280,                303280,                    524,                  1124,                301632,                301632,,,                256479,                256479,                256479,                 45153,                 45153,,,                 19514,                 19514,,                 19403,                 19403,,                 12735,                 12735,                 51652,                 -6499,,,                   -126,                  3753,,                              0,,                  2242,                  2242,                  1511,                 -4988,,                   -688,                 -4300,                 -4300,,,,,,                -22740,                -27040,,                 -4300,,                -27040,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,                              0,,,,,,,,,,,,                -25196,                  2456,,,,                  3879,                  3879,,                              0,,                              0,,                              0
