證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1904,2014年01月01日至2014年03月31日,,              9844481,,              8371737,              1472744,              1472744,,,              1038730,,                563507,,                 28184,              1630421,               -157677,,,                 32762,,               -249065,,                137411,,                 15644,               -338070,               -495747,,                -13520,               -482227,               -482227,,,                 21595,                 10312,,                  1160,                  1232,                 31835,                 31835,               -450392,,               -211145,               -271082,,               -195411,               -254981,,                             -0.20,,                             -0.20,,,,,,
1904,2013年第3季,,             10710806,,              9241518,              1469288,              1469288,,,                560189,,                630171,,                 29833,              1220193,                249095,,,                 29302,,                -52138,,                138847,,                 24876,               -136807,                112288,,                 -5945,                118233,                118233,,,,,,,,,                 47203,                165436,,                241977,               -123744,,                277769,               -112333,,                              0.23,,,                 49845,                  2338,,,                  1780,                  6760
1904,2013年第2季,,             10378159,,              8738444,              1639715,              1639715,,,                549167,,                673573,,                 32695,              1255435,                384280,,,                  3061,,                136213,,                139742,,                 18629,                 18161,                402441,,                113387,                289054,                289054,,,,,,,,,                 60071,                349125,,                319636,                -30582,,                368881,                -19756,,                              0.30,,,                 73639,                 -8619,,,                  6850,                 11799
1904,2013年度,,             43763281,,             37093100,              6670181,              6670181,,,              2637012,,              2254849,,                123455,              5015316,              1654865,,,                 57089,,                234371,,                569471,,                 66302,               -211709,              1443156,,                326661,              1116495,              1116495,,,,,,,,,                867102,              1983597,,              1201985,                -85490,,              1762640,                220957,,                              1.12,,,                832210,                 14982,                 92450,,                 17263,                 89803
1904,2013年07月01日至2013年09月30日,,             10710806,,              9241518,              1469288,              1469288,,,                560189,,                630171,,                 29833,              1220193,                249095,,,                 29302,,                -52138,,                138847,,                 24876,               -136807,                112288,,                 -5945,                118233,                118233,,,,,,,,,                 47203,                165436,,                241977,               -123744,,                277769,               -112333,,                              0.23,,,                 49845,                  2338,,,                  1780,                  6760
1904,2013年04月01日至2013年06月30日,,             10378159,,              8738444,              1639715,              1639715,,,                549167,,                673573,,                 32695,              1255435,                384280,,,                  3061,,                136213,,                139742,,                 18629,                 18161,                402441,,                113387,                289054,                289054,,,,,,,,,                 60071,                349125,,                319636,                -30582,,                368881,                -19756,,                              0.30,,,                 73639,                 -8619,,,                  6850,                 11799
1904,2013年01月01日至2013年12月31日,,             43763281,,             37093100,              6670181,              6670181,,,              2637012,,              2254849,,                123455,              5015316,              1654865,,,                 57089,,                234371,,                569471,,                 66302,               -211709,              1443156,,                326661,              1116495,              1116495,,,,,,,,,                867102,              1983597,,              1201985,                -85490,,              1762640,                220957,,                              1.12,,,                832210,                 14982,                 92450,,                 17263,                 89803
1904,2013年01月01日至2013年09月30日,,             31461325,,             26493017,              4968308,              4968308,,,              1783177,,              1925496,,                 93061,              3801734,              1166574,,,                 41961,,                159837,,                433448,,                 56005,               -175645,                990929,,                222748,                768181,                768181,,,,,,,,,                507222,              1275403,,                908123,               -139942,,              1201457,                 73946,,                              0.85,,,                552519,                  5830,,,                  7419,                 58546
1904,2013年01月01日至2013年06月30日,,             20750519,,             17251499,              3499020,              3499020,,,              1222988,,              1295325,,                 63228,              2581541,                917479,,,                 12659,,                211975,,                294601,,                 31129,                -38838,                878641,,                228693,                649948,                649948,,,,,,,,,                460019,              1109967,,                666145,                -16197,,                923688,                186279,,                              0.62,,,                502674,                  3492,,,                  5639,                 51786
1904,2013年01月01日至2013年03月31日,,             10372360,,              8513055,              1859305,              1859305,,,                673821,,                621752,,                 30533,              1326106,                533199,,,                  9598,,                 75762,,                154859,,                 12500,                -56999,                476200,,                115306,                360894,                360894,,,,,,,,,                399948,                760842,,                346509,                 14385,,                554807,                206035,,                              0.32,,,                429035,                 12111,,,                 -1211,                 39987
1904,2012年07月01日至2012年09月30日,,             11020265,,              9094029,              1926236,              1926236,,,                555665,,                686763,,                 25768,              1268196,                658040,,,                 24590,,                 50381,,                166428,,                 12594,                -78863,                579177,,                 90605,                488572,                488572,,,,,,,,,               -188236,                300336,,                395401,                 93171,,                262367,                 37969,,                              0.37,,,               -237574,                 17042,,,                  1432,                -30864
1904,2012年04月01日至2012年06月30日,,             11773406,,              9791975,              1981431,              1981431,,,                658794,,                623987,,                 25077,              1307858,                673573,,,                  9366,,                 36515,,                188692,,                 11238,               -131573,                542000,,                199944,                342056,                342056,,,,,,,,,                 15320,                357376,,                255872,                 86184,,                228131,                129245,,                              0.24,,,                 11412,                 -6974,,,                  6929,                 -3953
1904,2012年01月01日至2012年12月31日,,             46013102,,             38059567,              7953535,              7953535,,,              2865881,,              2476022,,                108390,              5450293,              2503242,,,                 65642,,                  9136,,                705380,,                 62449,               -568153,              1935089,,                456991,              1478098,              1478098,,,,,,,,,               -640831,                837267,,              1128122,                349976,,                650082,                187185,,                              1.05,,,               -541033,                 49383,               -220078,,                  4962,                -65935
1904,2012年01月01日至2012年09月30日,,             33068957,,             27299506,              5769451,              5769451,,,              1913693,,              2074207,,                 76375,              4064275,              1705176,,,                 47701,,                147945,,                549593,,                 39859,               -314088,              1391088,,                322909,              1068179,              1068179,,,,,,,,,               -449088,                619091,,                820192,                247987,,                540697,                 78394,,                              0.76,,,               -544750,                 38656,,,                 -7982,                -64988
1904,2012年01月01日至2012年06月30日,,             22048692,,             18205477,              3843215,              3843215,,,              1358028,,              1387444,,                 50607,              2796079,              1047136,,,                 23111,,                 97564,,                383165,,                 27265,               -235225,                811911,,                232304,                579607,                579607,,,,,,,,,               -260852,                318755,,                424791,                154816,,                278330,                 40425,,                              0.40,,,               -307176,                 21614,,,                 -9414,                -34124
1904,2012年01月01日至2012年03月31日,,             10275286,,              8413502,              1861784,              1861784,,,                699234,,                763457,,                 25530,              1488221,                373563,,,                 13745,,                 61049,,                194473,,                 16027,               -103652,                269911,,                 32360,                237551,                237551,,,,,,,,,               -276172,                -38621,,                168919,                 68632,,                 50199,                -88820,,                              0.16,,,               -318588,                 28588,,,                -16343,                -30171
