證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　 停業單位損益,　　 停業單位損益合計,　　　 與可能重分類之項目相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 繼續營業單位淨利（淨損）,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益,　　　　 不動產、廠房及設備減損損失,　　 停業單位淨利（淨損）,　　 停業單位稅後損益,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
3229,2014年01月01日至2014年03月31日,,,,,,,,                289084,                289084,,,                238363,                238363,                238363,                 50721,                 50721,,,                  5641,,                 27774,                 33415,                 17306,,,,,,,                  1383,                  1383,,,                  1348,                              0,                    726,                              0,                    440,,                  1002,                  1002,                  2825,                 20131,,,                  3200,                 16931,                 16931,,,                  4885,                  4885,                  4885,                 21816,,                 16931,,,                 21816,,,                              0.18,,,                     92,                              0,,,,,,,,,,,,,,                     90,,,,,,,,,,,,,,,,,,,,,
3229,2013年第3季,,,,                155303,                155303,                     80,                    428,                154795,                154795,,,                121525,                121525,                121525,                 33270,                 33270,,,                  5057,,                 23321,                 28378,                  4892,,,,                    655,                    655,                    528,                    607,                  1790,,,                   -718,,                    709,,                 -3501,,                  1105,                  1105,                   -606,                  4286,,,                  2399,                  1887,                  1887,,,,,                 -3036,                 -1149,,                  1887,,,                 -1149,,,                              0.02,,,                  2845,,,,,,,,,,,,,,,                   -771,,,                  2399,                 -3036,,,,,,,,,,,,,,,,,
3229,2013年第2季,,,,,                149161,                    220,                    702,                148239,                148239,,,,                120082,                120082,                 28157,                 28157,,,                  5255,,                 15391,                 20646,                  7511,,,,,,,                    911,                    911,,,                  6951,,                    337,,                  2496,,                  2421,                  2421,                  5828,                 13339,,,                  2170,                 11169,                 11169,,,,,                 -2111,                  9058,,                 11169,                              0,,                  9058,                              0,,                              0.19,                              0,                              0,                  2666,,,                              0,,                              0,,,                              0,,                              0,,                              0,                              0,,                  1452,,,,                 -2111,,,                              0,,,,,,,,,,,,,,
3229,2013年度,,,,                700097,                700097,                    335,                  2619,                697143,                697143,,,                552851,                552851,                552851,                144292,                144292,,,                 21502,,                 74487,                 95989,                 48303,,,,                  1567,                  1567,                  1267,                  2602,                  5436,,,                 16355,                              0,                    208,,                  5827,,                  5628,                  5628,                 15792,                 64095,,,                 11551,                 52544,                 52544,,,,,                   -778,                 51766,,                 52544,,,                 51766,,,                              0.69,,,                  9114,,,,,,,                  1099,                  1099,,,,,,,                  1206,,                              0,                 11551,                 -2236,                 -1733,                  3191,,,,,,,,,,,,,,,
3229,2013年07月01日至2013年09月30日,,,,,                155303,                     80,                    428,                154795,                154795,,,,                121525,                121525,                 33270,                 33270,,,                  5057,,                 23321,                 28378,                  4892,,,,,                    655,                    528,                    621,                  1790,,,                              0,                    771,                    456,,                 -3248,,                  1105,                  1105,                   -606,                  4286,,,                  2399,                  1887,                  1887,,,,,                 -3036,                 -1149,,                  1887,                              0,,                 -1149,                              0,,                              0.02,,,                  2845,                    718,,,,,,                    253,                    253,,,,                              0,                              0,                              0.02,                              0,,                              0,,                 -3036,,,                              0,                    -14,                              0,                              0.00,,,,,,,,,,,
3229,2013年04月01日至2013年06月30日,,,,,                149161,                    220,                    702,                148239,                148239,,,,                120082,                120082,                 28157,                 28157,,,                  5119,,                 11980,                 17099,                 11058,,,,,                    204,                              0,                    388,                    757,,,                  1936,                              0,,,                    484,,                  2421,                  2421,                  3357,                 14415,,,                  2170,                 12245,                 11169,,,,,                 -2111,                  9058,,                 11169,                              0,,                  9058,                              0,,                              0.19,,,                              0,                              0,,,,,,                    305,                    305,,                 -1076,,                              0,                              0,                              0.21,                  1452,,,,                 -2111,                              0,,                              0,                    165,,                             -0.02,,,,,,,,,,,
3229,2013年01月01日至2013年12月31日,,,,,,,,                697143,                697143,,,,                552851,                552851,                144292,                144292,,,                 21502,,                 74487,                 95989,                 48303,,,,,,                  1267,                  4169,                  5436,,,                 16355,,                  1307,,                  4728,,                  5628,                  5628,                 15792,                 64095,,,                 11551,                 52544,                 52544,,,,,                 -8374,                 44170,,                 52544,,,                 44170,,,                              0.69,,,                  9114,,,                              0,,                              0,,,                              0,,                              0,,,,,                  1206,,                              0,,                -13091,                  1526,                  3191,,,,,,,,,,,,,,,
3229,2013年01月01日至2013年09月30日,,,,                461944,                461944,                    339,                  1790,                459815,                459815,,,                367323,                367323,                367323,                 92492,                 92492,,,                 15565,,                 54547,                 70112,                 22380,,,,                  1015,                  1015,                  1267,                  2204,                  4486,,,                 11946,,                  1390,,                  3775,,                  4639,                  4639,                 12900,                 35280,,,                  7619,                 27661,                 27661,,,,,                 -1598,                 26063,,                 27661,,,                 26063,,,                              0.40,,,                  5519,,,,,,,,,,,,,,,                  1262,,,                  7619,                 -1598,,,,,,,,,,,,,,,,,
3229,2013年01月01日至2013年06月30日,,,,,                306641,                    259,                  1362,                305020,                305020,,,,                245798,                245798,                 59222,                 59222,,,                 10508,,                 31227,                 41735,                 17487,,,,,,,                  2696,                  2696,,,                 12665,,                    681,,                  7277,,                  3534,                  3534,                 13507,                 30994,,,                  5220,                 25774,                 25774,,,,,                  1438,                 27212,,                 25774,                              0,,                 27212,                              0,,                              0.44,                              0,                              0,                  2674,,,                              0,,                              0,,,                              0,,                              0,,                              0,                              0,,                  2033,,,,                  1438,,,                              0,,,,,,,,,,,,,,
3229,2013年01月01日至2013年03月31日,,,,,,,,                156781,                156781,,,                125716,                125716,                125716,                 31065,                 31065,,,                  5253,,                 15836,                 21089,                  9976,,,,,,,                  1785,                  1785,,,                  5714,,                    344,,                  4781,,                  1113,                  1113,                  7679,                 17655,,,                  3050,                 14605,                 14605,,,,,                  3549,                 18154,,                 14605,,,                 18154,,,                              0.25,,,                      8,,,,,,,,,,,,,,,                    581,,,,                  3549,,,,,,,,,,,,,,,,,
3229,2012年07月01日至2012年09月30日,,,,,                174417,                     25,                  2326,                172066,                172066,,,,                140620,                140620,                 31446,                 31446,,,                  5521,,                 25106,                 30627,                    819,,,,,                    123,                    948,                  1955,                  3541,,,                              0,                    270,                     24,,                -30010,,                  1447,                  1447,                -26072,                -25253,,,                  2272,                -27525,                -27525,,,,,                 -4900,                -32425,,                -27525,                              0,,                -32425,                              0,,                             -0.46,,,                    417,                  3597,,,,,,                  1050,                  1050,,,,                              0,                              0,                             -0.46,                              0,,                 26242,,                 -4900,,,                              0,                    515,                 26242,                              0.00,,,,,,,,,,,
3229,2012年04月01日至2012年06月30日,,,,,                188352,                              0,                    934,                187418,                187418,,,,                144901,                144901,                 42517,                 42517,,,                  5854,,                 11494,                 17348,                 25169,,,,,                    175,                              0,                    766,                    806,,,                  2410,                     46,,,                  2391,,                  1963,                  1963,                  4773,                 29942,,,                  6026,                 23916,                    737,,,,,                    286,                  1023,,                    737,                              0,,                  1023,                              0,,                              0.01,,,                     65,                              0,,,,,,                    387,                    387,,                -23179,,                              0,                              0,                              0.40,                              0,,,,                  4165,                 -3879,,                              0,                   -135,,                             -0.39,,,,,,,,,,,
3229,2012年01月01日至2012年12月31日,,,,,,,,                725761,                725761,,,,                614910,                614910,                110851,                110851,,,                 23384,,                 91173,                114557,                 -3706,,,,,,                  1687,                  7579,                  9266,,,                 -4331,,                  7479,,               -117807,,                  5949,                  5949,               -102592,               -106298,,,                 11674,               -117972,               -117972,,,,,                -12527,               -130499,,               -117972,,,               -130499,,,                             -1.98,,,                  9130,,,                              0,,                              0,,,                              0,,                              0,,,,,                   -559,,                 97426,,                -11130,                   -620,                   -777,,,,,,,,,,,,,,,
3229,2012年01月01日至2012年09月30日,,,,,                586625,                     25,                  5726,                580874,                580874,,,,                497162,                497162,                 83712,                 83712,,,                 18418,,                 63726,                 82144,                  1568,,,,,                    507,                  1687,                  5182,                  8038,,,                              0,                    442,                    730,,                -33415,,                  4113,                  4113,                -25812,                -24244,,,                  9843,                -34087,                -34087,,,,,                 -9278,                -43365,,                -34087,                              0,,                -43365,                              0,,                             -0.57,,,                    509,                  6376,,,,,,                  4548,                  4548,,,,                              0,                              0,                             -0.57,                              0,,                 26242,,                 -9278,,,                              0,                    662,                 26242,                              0.00,,,,,,,,,,,
3229,2012年01月01日至2012年06月30日,,,,,                358243,                              0,                  3390,                354853,                354853,,,,                280902,                280902,                 73951,                 73951,,,                 10756,,                 24556,                 35312,                 38639,,,,,                    311,                    739,                  1569,                  2766,,,                              0,                    172,,,                 -1330,,                  2666,                  2666,                  3309,                 41948,,,                  7571,                 34377,                 -6562,,,,,                 -4378,                -10940,,                 -6562,                              0,,                -10940,                              0,,                             -0.11,,,                     65,                  1437,,,,,,                    793,                    793,,                -40939,,                              0,                              0,                              0.57,                              0,,,,                 -4378,                              0,,                              0,                    147,,                             -0.68,,,,,,,,,,,
3229,2012年01月01日至2012年03月31日,,,,,                169891,                              0,                  2456,                167435,                167435,,,,                136001,                136001,                 31434,                 31434,,,                  4902,,                 13062,                 17964,                 13470,,,,,                    136,                    739,                    803,                  1960,,,                              0,                    126,,,                 -3721,,                    703,                    703,                 -1464,                 12006,,,                  1545,                 10461,                 -7299,,,,,                 -4664,                -11963,,                 -7299,                              0,,                -11963,                              0,,                             -0.12,,,,                  3847,,,,,,                    406,                    406,,                -17760,,,,                              0.17,                              0,,,,                 -8543,                  3879,                              0,                              0,                    282,,                             -0.29,                -17760,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,                             -0.12
