證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2472,2014年01月01日至2014年03月31日,,,              1365448,              1365448,,,              1065470,              1065470,                299978,                299978,,,                 62600,,                 87219,,                 18946,                168765,                131213,,,                 23370,,                 -2915,,                  6536,                 13919,                145132,,                 35575,                109557,                109557,,,                 -8751,                   -183,                 -8568,                 -8568,                100989,,                109986,                   -429,,                104201,                 -3212,,,                              0.71,,                              0.71,,,,,,
2472,2013年第3季,,,              1453335,              1453335,,,              1160312,              1160312,                293023,                293023,,,                 70386,,                 75320,,                 23124,                168830,                124193,,,                 13077,,                -75775,,                  9328,                -72026,                 52167,,                  3143,                 49024,                 49024,,,,,,                -23721,                 25303,,                 74009,                -24985,,                 62078,                -36775,,                              0.48,                              0.48,,                              0.48,,,,                -31461,,                 -7740
2472,2013年第2季,,,              1559269,              1559269,,,              1253430,              1253430,                305839,                305839,,,                 70303,,                 83939,,                 19553,                173795,                132044,,,                  2162,,                 53906,,                  6013,                 50055,                182099,,                 66336,                115763,                115763,,,,,,                 38313,                154076,,                 94783,                 20980,,                117182,                 36894,,                              0.62,                              0.62,,                              0.62,,,,                 42900,,                  4587
2472,2013年度,,,              5710586,              5710586,,,              4599702,              4599702,              1110884,              1110884,,,                268825,,                331869,,                 86828,                687522,                423362,,,                 44539,,                126540,,                 30270,                140809,                564171,,                148775,                415396,                415396,,,,,,                104171,                519567,,                371426,                 43970,,                434034,                 85533,,                              2.42,                              2.42,,                              2.41,,,,                101841,                  6617,                  4287
2472,2013年07月01日至2013年09月30日,,,              1453335,              1453335,,,              1160312,              1160312,                293023,                293023,,,                 70386,,                 75320,,                 23124,                168830,                124193,,,                 13077,,                -75775,,                  9328,                -72026,                 52167,,                  3143,                 49024,                 49024,,,,,,                -23721,                 25303,,                 74009,                -24985,,                 62078,                -36775,,                              0.48,                              0.48,,                              0.48,,,,                -31461,,                 -7740
2472,2013年04月01日至2013年06月30日,,,              1559269,              1559269,,,              1253430,              1253430,                305839,                305839,,,                 70303,,                 83939,,                 19553,                173795,                132044,,,                  2162,,                 53906,,                  6013,                 50055,                182099,,                 66336,                115763,                115763,,,,,,                 38313,                154076,,                 94783,                 20980,,                117182,                 36894,,                              0.62,                              0.62,,                              0.62,,,,                 42900,,                  4587
2472,2013年01月01日至2013年12月31日,,,              5710586,              5710586,,,              4599702,              4599702,              1110884,              1110884,,,                268825,,                331869,,                 86828,                687522,                423362,,,                 44539,,                126540,,                 30270,                140809,                564171,,                148775,                415396,                415396,,,,,,                104171,                519567,,                371426,                 43970,,                434034,                 85533,,                              2.42,                              2.42,,                              2.41,,,,                101841,                  6617,                  4287
2472,2013年01月01日至2013年09月30日,,,              4244828,              4244828,,,              3439099,              3439099,                805729,                805729,,,                196401,,                236708,,                 62043,                495152,                310577,,,                 34452,,                 51230,,                 24612,                 61070,                371647,,                110201,                261446,                261446,,,,,,                 62482,                323928,,                246759,                 14687,,                282980,                 40948,,                              1.61,                              1.61,,                              1.61,,,,                 64604,,                  2122
2472,2013年01月01日至2013年06月30日,,,              2791493,              2791493,,,              2278787,              2278787,                512706,                512706,,,                126015,,                161388,,                 38919,                326322,                186384,,,                 21375,,                127005,,                 15284,                133096,                319480,,                107058,                212422,                212422,,,,,,                 86203,                298625,,                172750,                 39672,,                220902,                 77723,,                              1.13,                              1.13,,                              1.13,,,,                 96065,,                  9862
2472,2013年01月01日至2013年03月31日,,,              1232224,              1232224,,,              1025357,              1025357,                206867,                206867,,,                 58389,,                 74772,,                 19366,                152527,                 54340,,,                 19213,,                 73099,,                  9271,                 83041,                137381,,                 40722,                 96659,                 96659,,,,,,                 47890,                144549,,                 77967,                 18692,,                103720,                 40829,,,                              0.51,,                              0.51,,,,                 53165,,                  5275
2472,2012年07月01日至2012年09月30日,,,              1554824,              1554824,,,              1285096,              1285096,                269728,                269728,,,                 56898,,                 81574,,                 16204,                154676,                115052,,,                 14292,,                -25427,,                  8850,                -19985,                 95067,,                 30706,                 64361,                 64361,,,,,,                -12220,                 52141,,                 40976,                 23385,,                 34490,                 17651,,                              0.27,                              0.27,,                              0.26,,,,                -15248,,                 -3028
2472,2012年04月01日至2012年06月30日,,,              1486849,              1486849,,,              1233207,              1233207,                253642,                253642,,,                 73809,,                 66961,,                  7271,                148041,                105601,,,                 17661,,                 -2847,,                  8960,                  5854,                111455,,                 49664,                 61791,                 61791,,,,,,                  3874,                 65665,,                 48211,                 13580,,                 49867,                 15798,,                              0.31,                              0.31,,                              0.29,,,,                  5624,,                  1750
2472,2012年01月01日至2012年12月31日,,,              5735682,              5735682,,,              4807496,              4807496,                928186,                928186,,,                235443,,                318702,,                 44946,                599091,                329095,,,                 59491,,                -20885,,                 43537,                 -4931,                324164,,                136039,                188125,                188125,,,,,,                -46345,                141780,,                131365,                 56760,,                 99000,                 42780,,                              0.85,                              0.85,,                              0.85,,,,                -37603,                -15417,                 -6675
2472,2012年01月01日至2012年09月30日,,,              4363983,              4363983,,,              3650037,              3650037,                713946,                713946,,,                191693,,                219858,,                 34198,                445749,                268197,,,                 39330,,                -59137,,                 31791,                -51598,                216599,,                 96026,                120573,                120573,,,,,,                -40376,                 80197,,                 84949,                 35624,,                 63242,                 16955,,                              0.55,                              0.55,,                              0.53,,,,                -49297,,                 -8921
2472,2012年01月01日至2012年06月30日,,,              2809159,              2809159,,,              2364941,              2364941,                444218,                444218,,,                134795,,                138284,,                 17994,                291073,                153145,,,                 25038,,                -33710,,                 22941,                -31613,                121532,,                 65320,                 56212,                 56212,,,,,,                -28156,                 28056,,                 43973,                 12239,,                 28752,                   -696,,                              0.28,                              0.28,,                              0.27,,,,                -34049,,                 -5893
2472,2012年01月01日至2012年03月31日,,,              1322310,              1322310,,,              1131734,              1131734,                190576,                190576,,,                 60986,,                 71323,,                 10723,                143032,                 47544,,,                  7377,,                -30863,,                 13981,                -37467,                 10077,,                 15656,                 -5579,                 -5579,,,,,,                -32030,                -37609,,                 -4238,                 -1341,,                -21115,                -16494,,,                             -0.03,,                             -0.03,,,,                -39673,,                 -7643
