證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
4906,2014年01月01日至2014年03月31日,,              3614659,,              3190472,                424187,                424187,,,                132753,,                 98936,,                256171,                487860,                -63673,,,                 60490,                 60490,,                 79893,,                 16498,,                  7934,                131819,                 68146,,                 18768,                 49378,                 49378,,,                 62597,                 -2353,,                  5982,                 66226,                 66226,                115604,,                 49378,,                115604,,                              0.16,                              0.16,,                              0.15,                              0.15,,                              0,,,,,,,,,
4906,2013年第3季,,              4678975,,              4057626,                621349,                621349,,,                106037,,                 83106,,                310821,                499964,                121385,,,,                 79780,,                -89406,,                 13651,,                 -8790,                -32067,                 89318,,                 42583,                 46735,                 37329,,,,,,,,                  6564,                 43893,,                 37329,,                 43893,,                              0.15,                              0.12,,                              0.14,                              0.12,,                 -9406,                -41893,                 48750,,,                   -293,                             -0.03,                             -0.02,,
4906,2013年度,,             19929320,,             17606764,              2322556,              2322556,,,                489999,,                434531,,              1223815,              2148345,                174211,,,,                319616,,                174912,,                 57799,,                 20296,                457025,                631236,,                175551,                455685,                455685,,,,,,,,                263040,                718725,,                455685,,                718725,,,                              1.48,,,                              1.27,,,                231182,                -20480,                 -1150,,                 53488,,,,
4906,2013年07月01日至2013年09月30日,,              4682347,,              4068384,                613963,                613963,,,                107336,,                 85476,,                310821,                503633,                110330,,,,                 79789,,                -87774,,                 13651,,                 -8790,                -30426,                 79904,,                 42575,                 37329,                 37329,,,,,,,,                  6564,                 43893,,                 37329,,                 43893,,,                              0.12,,,                              0.12,,,                -41893,                 48750,,,                   -293,,,,
4906,2013年04月01日至2013年06月30日,,              5812001,,              5175137,                636864,                636864,,,                131700,,                132241,,                317730,                581671,                 55193,,,,                136971,,                 27874,,                 14535,,                  7731,                158041,                213234,,                 67849,                145385,                145385,,,,,,,,                102302,                247687,,                145385,,                247687,,,                              0.47,,,                              0.40,,,                 80178,                 16998,,,                  5126,,,,
4906,2013年01月01日至2013年12月31日,,             19929320,,             17606764,              2322556,              2322556,,,                489999,,                434531,,              1223815,              2148345,                174211,,,,                319616,,                174912,,                 57799,,                 20296,                457025,                631236,,                175551,                455685,                455685,,,,,,,,                263040,                718725,,                455685,,                718725,,,                              1.48,,,                              1.27,,,                231182,                 29249,                 -1150,,                  3759,,,,
4906,2013年01月01日至2013年09月30日,,             15675839,,             13799544,              1876295,              1876295,,,                380912,,                322704,,                921208,              1624824,                251471,,,,                238178,,                132969,,                 41686,,                  6235,                335696,                587167,,                141196,                445971,                406542,,,,,,,,                160624,                567166,,                406542,,                567166,,                              1.45,                              1.32,,                              1.23,                              1.13,,                -39429,                160340,                 -1086,,,                  1370,                             -0.13,                             -0.10,,
4906,2013年01月01日至2013年06月30日,,             11007440,,              9746213,              1261227,              1261227,,,                275560,,                247835,,                610387,              1133782,                127445,,,,                158695,,                202728,,                 28035,,                 15025,                348413,                475858,,                106645,                369213,                369213,,,,,,,,                154060,                523273,,                369213,,                523273,,,                              1.20,,,                              1.02,,,                202233,                -49836,,,                  1663,,,,
4906,2013年01月01日至2013年03月31日,,              5195439,,              4571076,                624363,                624363,,,                143860,,                115594,,                292657,                552111,                 72252,,,                 21724,                 21724,,                174854,,                 13500,,                  7294,                190372,                262624,,                 38796,                223828,                223828,,,,,,,,                 51758,                275586,,                223828,,                275586,,                              0.73,                              0.73,,                              0.64,                              0.64,,                              0,                122055,                -66834,,,                 -3463,,,                              0,                              0
4906,2012年07月01日至2012年09月30日,,              6806891,,              5912665,                894226,                894226,,,                163907,,                127767,,                279740,                571414,                322812,,,,                 66826,,                -59337,,                 15703,,                 -7140,                -15354,                307458,,                 43236,                264222,                264222,,,,,,,,                -96764,                167458,,                264222,,                167458,,,                              0.87,,,                              0.73,,,                -84575,                -11982,,,                   -207,,,,
4906,2012年04月01日至2012年06月30日,,              7478905,,              6486650,                992255,                992255,,,                217139,,                 92804,,                298694,                608637,                383618,,,,                 88264,,                -13971,,                 28391,,                -16525,                 29377,                412995,,                 47020,                365975,                365975,,,,,,,,                  3991,                369966,,                365975,,                369966,,,                              1.19,,,                              1.00,,,                 27240,                -23598,,,                    349,,,,
4906,2012年01月01日至2012年12月31日,,             26420575,,             23026027,              3394548,              3394548,,,                699242,,                419102,,              1192595,              2310939,              1083609,,,,                192716,,               -140732,,                 65756,,                -58826,                -72598,              1011011,,                 88578,                922433,                922433,,,,,,,,               -182489,                739944,,                922433,,                739944,,,                              3.01,,,                              2.53,,,               -161607,                -15988,                   -539,,                 -4355,,,,
4906,2012年01月01日至2012年09月30日,,             20318670,,             17765666,              2553004,              2553004,,,                523408,,                332026,,                851604,              1707038,                845966,,,,                157814,,                -70043,,                 49711,,                -30542,                  7518,                853484,,                 80237,                773247,                773247,,,,,,,,               -164011,                609236,,                773247,,                609236,,,                              2.53,,,                              2.12,,,               -158041,                 -4693,,,                 -1277,,,,
4906,2012年01月01日至2012年06月30日,,             13511779,,             11853001,              1658778,              1658778,,,                359501,,                204259,,                571864,              1135624,                523154,,,,                 90988,,                  1132,,                 45846,,                -23402,                 22872,                546026,,                 37001,                509025,                509025,,,,,,,,                -67247,                441778,,                509025,,                441778,,,                              1.66,,,                              1.40,,,                -73466,                  7289,,,                 -1070,,,,
4906,2012年01月01日至2012年03月31日,,              6032874,,              5366351,                666523,                666523,,,                142362,,                111455,,                273170,                526987,                139536,,,                  2724,                  2724,,                 15103,,                 17455,,                 -6877,                 -6505,                133031,,                -10019,                143050,                143050,,,,,,,,                -71238,                 71812,,                143050,,                 71812,,                              0.47,                              0.47,,                              0.41,                              0.41,,,               -100706,                 30887,,,                 -1419,,,                              0,                              0
