證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 處分投資性不動產損失,　　 財務成本,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
4984,2013年07月01日至2013年09月30日,,,                306752,,                    536,                307288,,                206451,                100837,                100837,,,                 11236,,                 35102,,                 34845,                 81183,                 19654,,,,                  2084,                    184,                  2268,,                              0,,                      1,                    607,                   -608,                  1660,                 21314,,                 -2571,                 23885,,                              0,                 23885,,,,,,,,                -21459,                  2426,,                 23885,,                  2426,,                              0.53,                              0.53,,                              0.52,                              0.52,                              0,                              0,,,                              0,                -21459,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
4984,2013年04月01日至2013年06月30日,,,                225304,,                     30,                225334,,                168942,                 56392,                 56392,,,                  8687,,                 33404,,                 29441,                 71532,                -15140,,,,                  2225,                    150,                  2375,,                  1750,,                      4,                              0,                  1746,                  4121,                -11019,,                  1792,                -12811,,                              0,                -12811,,,,,,,,                 14375,                  1564,,                -12811,,                  1564,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,                              0,                              0,,,                              0,                 14375,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
4984,2013年01月01日至2013年12月31日,,,                988166,,                    809,                988975,,                691627,                297348,                297348,,,                 38644,,                132782,,                118071,                289497,                  7851,,,,                  8427,                  1074,                  9501,,                    702,,                    139,,                    563,                 10063,                 17914,,                 15879,                  2035,,,                  2035,,,,,,,,                 45682,                 47717,,                  2035,,                 47717,,                              0.05,                              0.05,,                              0.04,                              0.04,,,,,                      1,                 45682,,,,,,,,,,,,,,,,,
4984,2013年01月01日至2013年09月30日,,,                731221,,                    595,                731816,,                526911,                204905,                204905,,,                 28910,,                102843,,                 91549,                223302,                -18397,,,,                  6477,                    845,                  7322,,                    744,                              0,                    140,                              0,                    604,                  7926,                -10471,,                 -3539,                 -6932,,                              0,                 -6932,,,,,,,,                 33506,                 26574,,                 -6932,,                 26574,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,,,,,,                 33506,,,,,,,,,,,,,,,,,
4984,2013年01月01日至2013年06月30日,,,                424469,,                     59,                424528,,                320460,                104068,                104068,,,                 17674,,                 67741,,                 56704,                142119,                -38051,,,,                  4393,                    661,                  5054,,                  1351,                              0,                    139,                              0,                  1212,                  6266,                -31785,,                   -968,                -30817,,                              0,                -30817,,,,,,,,                 54965,                 24148,,                -30817,,                 24148,,                             -0.68,                             -0.68,,                             -0.68,                             -0.68,,,,,,                 54965,,,,,,,,,,,,,,,,,
4984,2013年01月01日至2013年03月31日,,,                199165,,                     29,                199194,,                151518,                 47676,                 47676,,,                  8987,,                 34337,,                 27263,                 70587,                -22911,,,,                  2168,                    511,                  2679,,,                              0,,                    399,                   -534,                  2145,                -20766,,                 -2760,                -18006,,                              0,                -18006,,,,,,,,                 40590,                 22584,,                -18006,,                 22584,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,                              0,                              0,                    135,,,                 40590,,,,,,,,,,,,,,,,,
4984,2012年07月01日至2012年09月30日,,,                233349,,                    210,                233559,,                145401,                 88158,                 88158,,,                  9694,,                 40072,,                 33630,                 83396,                  4762,,,,                  2272,                    299,                  2571,,                              0,,                              0,                    439,                   -439,                  2132,                  6894,,                -11096,                 17990,,                              0,                 17990,,,,,,,,                -25862,                 -7872,,                 17990,,                 -7872,,                              0.40,                              0.40,,                              0.39,                              0.39,                              0,                              0,,,                              0,                -25862,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
4984,2012年04月01日至2012年06月30日,,,                211452,,                    296,                211748,,                132427,                 79321,                 79321,,,                  7261,,                 35258,,                 25879,                 68398,                 10923,,,,                  2265,                     91,                  2356,,                              0,,                              0,                    519,                   -519,                  1820,                 12743,,                  5647,                  7096,,                              0,                  7096,,,,,,,,                 16397,                 23493,,                  7096,,                 23493,,                              0.16,                              0.16,,                              0.16,                              0.16,                              0,                              0,,,                     17,                 16397,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
4984,2012年01月01日至2012年12月31日,,,                812834,,                  1301,                814135,,                511266,                302869,                302869,,,                 34057,,                142791,,                112676,                289524,                 13345,,,,                  9419,                  2064,                 11483,,                    158,,                     92,,                     66,                 11530,                 24875,,                  7176,                 17699,,,                 17699,,,,,,,,                -67067,                -49368,,                 17699,,                -49368,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,                     19,                -67067,,,,,,,,,,,,,,,,,
4984,2012年01月01日至2012年09月30日,,,                654348,,                    856,                655204,,                410332,                244872,                244872,,,                 25760,,                108786,,                 84471,                219017,                 25855,,,,                  7192,                    501,                  7693,,                              0,,                              0,                    745,                   -745,                  6931,                 32786,,                 -4719,                 37505,,                              0,                 37505,,,,,,,,                -51090,                -13585,,                 37505,,                -13585,,                              0.83,                              0.83,,                              0.82,                              0.82,                              0,                              0,,,                     17,                -51090,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
4984,2012年01月01日至2012年06月30日,,,                421260,,                    385,                421645,,                264931,                156714,                156714,,,                 16066,,                 68714,,                 50841,                135621,                 21093,,,,                  4920,                    202,                  5122,,                              0,,                              0,                    306,                   -306,                  4799,                 25892,,                  6377,                 19515,,                              0,                 19515,,,,,,,,                -25228,                 -5713,,                 19515,,                 -5713,,                              0.43,                              0.43,,                              0.43,                              0.43,                              0,                              0,,,                     17,                -25228,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
4984,2012年01月01日至2012年03月31日,,,                209808,,                     89,                209897,,                132504,                 77393,                 77393,,,                  8805,,                 33456,,                 24962,                 67223,                 10170,,,,                  2655,                    324,                  2979,,,,,,                              0,                  2979,                 13149,,                    730,                 12419,,                              0,                 12419,,,,,,,,                -41625,                -29206,,                 12419,,                -29206,,                              0.29,                              0.29,,                              0.29,                              0.29,                              0,                              0,,,                              0,                -41625,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
