證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
1717,2014年01月01日至2014年06月30日,,             19270741,,             15610144,              3660597,              3660597,,,                939745,,                732478,,                654691,              2326914,              1333683,,,,                 83758,                 83758,                 76058,                159816,,,                  5140,                 27919,                 59706,                -82485,,                163796,,                 40155,                -46310,              1287373,,                301753,                985620,                985620,,,               -444689,                -12763,               -457452,               -457452,                528168,,                980778,                  4842,,                528912,                   -744,,                              0.96,                              0.96,,                              0.96,                              0.96,,,,,,,,,,
1717,2014年01月01日至2014年03月31日,,              8777830,,              7192617,              1585213,              1585213,,,                430148,,                360906,,                314424,              1105478,                479735,,,,                 37940,                 37940,                 41544,                 79484,,                              0,                              0,                  2734,                 16437,                -19171,,                 81731,,                 22716,                  1298,                481033,,                125667,                355366,                355366,,,,,,                -54015,                301351,,                351914,                  3452,,                298228,                  3123,,                              0.35,                              0.35,,                              0.35,                              0.35,                -34871,                -19144,,,,                              0,,,,
1717,2013年第3季,,             10230398,,              8298371,              1932027,              1932027,,,                455091,,                360133,,                295053,              1110277,                821750,,,,                 37429,                 37429,                 37408,                 74837,,                 10009,                    312,                 15565,                              0,                 -5244,,                 80503,,                 25051,                 14141,                835891,,                238041,                597850,                597850,,,,,,                -24709,                573141,,                590569,                  7281,,                564095,                  9046,,                              0.58,                              0.58,,                              0.58,                              0.58,                  6216,                -30925,,,,,,,,
1717,2013年第2季,,              9812222,,              8099976,              1712246,              1712246,,,                483138,,                373770,,                317421,              1174329,                537917,,,,,,,                 96958,,                 76764,,,                              0,                 76764,,                 76053,,                 27862,                125531,                663448,,                167820,                495628,                495628,,,,,,                 56348,                551976,,                503823,                 -8195,,                567563,                -15587,,                              0.51,                              0.51,,                              0.51,                              0.51,                 73906,                -17558,,,,,,,,
1717,2013年度,,             38189390,,             31344833,              6844557,              6844557,,,              1814168,,              1466695,,              1226904,              4507767,              2336790,,,,                136639,                136639,                193772,                330411,,                230893,                 21638,                 69527,,                183004,,                313998,,                 76190,                275607,              2612397,,                675167,              1937230,              1937230,,,,,,              1087440,              3024670,,              1929799,                  7431,,              3013271,                 11399,,                              1.89,                              1.89,,                              1.88,                              1.88,              1030811,                 45513,                 13393,                  2277,,,,,,
1717,2013年07月01日至2013年09月30日,,             10230398,,              8298371,              1932027,              1932027,,,                455091,,                360133,,                295053,              1110277,                821750,,,,,,,                 59584,,                 10009,,,                              0,                 10009,,                 80503,,                 25051,                 14141,                835891,,                238041,                597850,                597850,,,,,,                -24709,                573141,,                590569,                  7281,,                564095,                  9046,,                              0.60,                              0.60,,                              0.59,                              0.59,                  6216,                -30925,,,,,,,                              0.00,                              0.00
1717,2013年04月01日至2013年06月30日,,              9812222,,              8099976,              1712246,              1712246,,,                483138,,                373770,,                317421,              1174329,                537917,,,,,,,                100244,,                 76764,,                  3286,                              0,                 73478,,                 76053,,                 27862,                125531,                663448,,                167820,                495628,                495628,,,,,,                 56348,                551976,,                503823,                 -8195,,                567563,                -15587,,                              0.51,                              0.51,,                              0.51,                              0.51,                 73906,                -17558,,,,,,,                              0.00,                              0.00
1717,2013年01月01日至2013年12月31日,,             38189390,,             31344833,              6844557,              6844557,,,              1814168,,              1466695,,              1226904,              4507767,              2336790,,,,,,,                330411,,                230893,                 21638,                 69527,                              0,                183004,,                313998,,                 76190,                275607,              2612397,,                675167,              1937230,              1937230,,,,,,              1087440,              3024670,,              1929799,                  7431,,              3013271,                 11399,,                              1.94,                              1.94,,                              1.94,                              1.94,              1030811,                 45513,                 13393,                  2277,,                              0,,                              0,,
1717,2013年01月01日至2013年09月30日,,             28063416,,             23112546,              4950870,              4950870,,,              1311044,,              1067837,,                897838,              3276719,              1674151,,,,                 99546,                 99546,                124972,                224518,,                152570,                 20603,                 37535,                              0,                135638,,                235192,,                 71848,                196812,              1870963,,                511154,              1359809,              1359809,,,,,,                717933,              2077742,,              1357832,                  1977,,              2074090,                  3652,,                              1.33,                              1.33,,                              1.33,                              1.33,                707518,                 10415,,,,,,,,
1717,2013年01月01日至2013年06月30日,,             17833018,,             14814175,              3018843,              3018843,,,                855953,,                707704,,                602785,              2166442,                852401,,,,,,,                148002,,                142561,,,                              0,                142561,,                154689,,                 46797,                182671,              1035072,,                273113,                761959,                761959,,,,,,                742642,              1504601,,                767263,                 -5304,,              1509995,                 -5394,,                              0.77,                              0.77,,                              0.77,                              0.77,                701302,                 41340,,,,,,,,
1717,2013年01月01日至2013年03月31日,,              8020796,,              6714199,              1306597,              1306597,,,                372815,,                333934,,                285364,                992113,                314484,,,,                 31378,                 31378,                 18059,                 49437,,                 65797,                 20257,                 18650,                              0,                 67404,,                 78636,,                 18935,                 57140,                371624,,                105293,                266331,                266331,,,,,,                686294,                952625,,                263440,                  2891,,                942432,                 10193,,                              0.27,                              0.27,,                              0.27,                              0.27,                627396,                 58898,,,,                              0,,,,
1717,2012年07月01日至2012年09月30日,,              9342126,,              7611445,              1730681,              1730681,,,                457708,,                313311,,                304738,              1075757,                654924,,,,,,,                 55127,,                              0,,,                 48082,                -48082,,                 91363,,                 53127,                -31191,                623733,,                174130,                449603,                449603,,,,,,               -221622,                227981,,                443675,                  5928,,                224253,                  3728,,                              0.45,                              0.45,,                              0.45,                              0.45,               -275370,                 53748,,,,,,,                              0.00,                              0.00
1717,2012年04月01日至2012年06月30日,,              9091779,,              7484800,              1606979,              1606979,,,                444535,,                324172,,                300037,              1068744,                538235,,,,,,,                 59133,,                  7084,,                  4989,                              0,                  2095,,                 92355,,                 50078,                 18951,                557186,,                153449,                403737,                403737,,,,,,                167539,                571276,,                388280,                 15457,,                555140,                 16136,,                              0.39,                              0.39,,                              0.39,                              0.39,                209342,                -41803,,,,,,,                              0.00,                              0.00
1717,2012年01月01日至2012年12月31日,,             35576548,,             29363693,              6212855,              6212855,,,              1681764,,              1311122,,              1218754,              4211640,              2001215,,,,,,,                241925,,                              0,                 -3355,                 42873,                109454,               -155682,,                378053,,                164652,               -127158,              1874057,,                551275,              1322782,              1322782,,,,,,               -611746,                711036,,              1290292,                 32490,,                686084,                 24952,,                              1.30,                              1.30,,                              1.30,                              1.30,               -623582,                 91921,                -96487,                -16402,,                              0,,                              0,,
1717,2012年01月01日至2012年09月30日,,             26711753,,             22020799,              4690954,              4690954,,,              1272198,,                943885,,                888785,              3104868,              1586086,,,,,,,                162246,,                              0,,,                114717,               -114717,,                277155,,                147457,                -82169,              1503917,,                414305,              1089612,              1089612,,,,,,               -339798,                749814,,              1066219,                 23393,,                730422,                 19392,,                              1.07,                              1.07,,                              1.07,                              1.07,               -410014,                 70216,,,,,,,                              0.00,                              0.00
1717,2012年01月01日至2012年06月30日,,             17369627,,             14409354,              2960273,              2960273,,,                814490,,                630574,,                584047,              2029111,                931162,,,,,,,                130782,,                              0,,                 23663,                 66635,                -90298,,                185792,,                 94330,                -50978,                880184,,                240175,                640009,                640009,,,,,,               -118176,                521833,,                622544,                 17465,,                506169,                 15664,,                              0.63,                              0.63,,                              0.63,                              0.63,               -134644,                 16468,,,,,,,                              0.00,                              0.00
1717,2012年01月01日至2012年03月31日,,              8277848,,              6924554,              1353294,              1353294,,,                369955,,                306402,,                284010,                960367,                392927,,,,,,,                 71649,,,,,,                -92393,,                 93437,,                 44252,                -69929,                322998,,                 86726,                236272,                236272,,,,,,               -285715,                -49443,,                234264,                  2008,,                -48971,                   -472,,                              0.24,                              0.24,,                              0.24,                              0.24,               -343986,                 58271,,,,,,,                              0.00,                              0.00
