證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 減損損失合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息費用,　　　 處分投資性不動產利益,　　 其他綜合損益,　　 其他營業成本
1101,2014年01月01日至2014年03月31日,,             26716227,,             21852093,              4864134,              4864134,,,                233190,,                936449,,                 10271,              1179910,              3684224,,,,                 56227,,                174496,                230723,,                137849,                 56423,                235193,               -153767,,                482195,,                271861,               -133378,              3550846,,                759611,              2791235,              2791235,,,               -501010,              2318385,                  7397,,                 17020,              1841792,              1841792,              4633027,,              1833139,                958096,,              4015175,                617852,,                              0.50,                              0.50,,                              0.50,                              0.50,,,,,,,,,,,,,,,,,,
1101,2013年第3季,,             30106839,,             23052350,              7054489,              7054489,,,                248458,,                884978,,                 10419,              1143855,              5910634,,,,                 55617,                535390,                248168,                839175,,,                 23945,                              0,                -61176,,                462444,,                292232,                607787,              6518421,,              1173759,              5344662,              5344662,,,,,,,,,              1425980,              6770642,,              3594193,              1750469,,              5025600,              1745042,,                              0.97,                              0.97,,                              0.97,                              0.97,                -37231,               -139049,              1649359,                -13755,,,                -70575,,,                              0,,,,,,,,
1101,2013年第2季,,             28670184,,             23048175,              5622009,              5622009,,,                270217,,                751722,,                 11078,              1033017,              4588992,,,,,,,                370093,,,,,               -109607,,                448341,,                207637,                 19782,              4608774,,                806669,              3802105,              3802105,,,,,,,,,             -1221944,              2580161,,              2586787,              1215318,,                949640,              1630521,,                              0.70,                              0.70,,                              0.70,                              0.70,,                818972,             -2136407,                  8173,,,                 87318,,,,,             28670184,,             23048175,,,,
1101,2013年度,,            116098947,,             93275950,             22822997,             22822997,,,              1019186,,              3984173,,                 43663,              5047022,             17775975,,,,                198029,                692685,              1082762,              1973476,,                521353,                810355,,                179755,,              1910300,,                585550,                828481,             18604456,,              3485773,             15118683,             15118683,,,,,,,,,              6121882,             21240565,,             10026731,              5091952,,             14336481,              6904084,,                              2.72,                              2.72,,                              2.71,                              2.71,                468757,              3480277,              1908817,                 47427,                400247,,                353156,                 68042,,,,,,,,,,
1101,2013年07月01日至2013年09月30日,,             30106839,,             23052350,              7054489,              7054489,,,                248458,,                884978,,                 10419,              1143855,              5910634,,,,,,,                842310,,,,,                              0,,                526755,,                292232,                607787,              6518421,,              1173759,              5344662,              5344662,,,,,,,,,              1425980,              6770642,,              3594193,              1750469,,              5025600,              1745042,,                              0.97,                              0.97,,                              0.97,                              0.97,,               -139049,              1649359,                -13755,,,                -70575,,,,,             30106839,,,,,,             23052350
1101,2013年04月01日至2013年06月30日,,             28670184,,             23048175,              5622009,              5622009,,,                270217,,                751722,,                 11078,              1033017,              4588992,,,,                 45031,                140915,                187887,                373833,,,                 82027,,               -113347,,                448341,,                207637,                 19782,              4608774,,                806669,              3802105,              3802105,,,,,,,,,             -1221944,              2580161,,              2586787,              1215318,,                949640,              1630521,,                              0.70,                              0.70,,                              0.70,                              0.70,                122829,                818972,             -2136407,                  8173,,,                 87318,,,                154149,,,,,,                              0,,
1101,2013年01月01日至2013年12月31日,,            116098947,,             93275950,             22822997,             22822997,,,              1019186,,              3984173,,                 43663,              5047022,             17775975,,,,                198029,                692685,              1077473,              1968187,,                521353,                810355,,                185044,,              1910300,,                585550,                828481,             18604456,,              3485773,             15118683,             15118683,,,,,,,,,              6121882,             21240565,,             10026731,              5091952,,             14336481,              6904084,,                              2.72,                              2.72,,                              2.71,                              2.71,                468757,              3480277,              1908817,                 47427,                400247,,                353156,,,,,            116098947,,             93275950,,                  5289,                -68042,
1101,2013年01月01日至2013年09月30日,,             82891070,,             67090700,             15800370,             15800370,,,                740592,,              2500658,,                 32765,              3274015,             12526355,,,,                150507,                676305,                654809,              1481621,,,                164155,                              0,                247279,,              1439045,,                651774,                941629,             13467984,,              2321593,             11146391,             11146391,,,,,,,,,              1488481,             12634872,,              7594015,              3552376,,              7886350,              4748522,,                              2.06,                              2.06,,                              2.06,                              2.06,                565583,              2224440,               -976266,                 18072,,,                222235,,,                154149,,,,,,,,
1101,2013年01月01日至2013年06月30日,,             52784231,,             44038350,              8745881,              8745881,,,                492134,,              1615680,,                 22346,              2130160,              6615721,,,,,,,                642446,,,,,                308455,,                976601,,                359542,                333842,              6949563,,              1147834,              5801729,              5801729,,,,,,,,,                 62501,              5864230,,              3999822,              1801907,,              2860750,              3003480,,                              1.08,                              1.08,,                              1.08,                              1.08,,              2363489,             -2625625,                 31827,,,                292810,,,,,             52784231,,             44038350,,,,
1101,2013年01月01日至2013年03月31日,,             24114047,,             20990175,              3123872,              3123872,,,                221917,,                863958,,                 11268,              1097143,              2026729,,,,                 49859,,                239064,                288923,,                 46087,                 74753,,                401492,,                528260,,                151905,                314060,              2340789,,                341165,              1999624,              1999624,,,,,,,,,              1284445,              3284069,,              1413035,                586589,,              1911110,              1372959,,                              0.38,                              0.38,,                              0.38,                              0.38,                430158,              1544517,               -489218,                 23654,,,                205492,,,,,,,,                528260,,,
1101,2012年07月01日至2012年09月30日,,             29480181,,             25399023,              4081158,              4081158,,,                288070,,                628921,,                  1034,                918025,              3163133,,,,,,,                589080,,,,,                -74326,,                708670,,                190500,                 -3416,              3159717,,                601854,              2557863,              2557863,,,,,,,,,              1086620,              3644483,,              2007761,                550102,,              3473923,                170560,,                              0.54,                              0.54,,                              0.54,                              0.54,,               -771494,              2012996,                -31341,,,               -123541,,,,,             29480181,,,,,,             25399023
1101,2012年04月01日至2012年06月30日,,             29207378,,             25005003,              4202375,              4202375,,,                278632,,                743002,,                 11354,              1032988,              3169387,,,,                 38659,                190879,                273838,                503376,,,                612724,,               -121979,,                655332,,                272290,                 -1645,              3167742,,                348455,              2819287,              2819287,,,,,,,,,             -1588288,              1230999,,              2426613,                392674,,                798905,                432094,,                              0.66,                              0.66,,                              0.66,                              0.66,                141871,                 36770,             -1716469,                 27726,,,                 63685,,,                 41809,,,,,,                390683,,
1101,2012年01月01日至2012年12月31日,,            113699313,,             95950845,             17748468,             17748468,,,              1104967,,              3403842,,                 33105,              4541914,             13206554,,,,                213321,                635294,              1089740,              1938355,,                 14443,              2137537,,             -1310040,,              2723582,,              1009601,             -1085666,             12120888,,              2122669,              9998219,              9998219,,,,,,,,,              1981934,             11980153,,              7784265,              2213954,,             10232450,              1747703,,                              2.11,                              2.11,,                              2.11,                              2.11,                422371,               -742474,              3056073,                  8194,                164183,,               -476131,,,,,            113699313,,             95950845,,                390683,                -27911,
1101,2012年01月01日至2012年09月30日,,             83976324,,             72263032,             11713292,             11713292,,,                837200,,              2235439,,                 21330,              3093969,              8619323,,,,,,,              1664562,,,,,                703113,,              2790397,,                709926,                287204,              8906527,,              1413552,              7492975,              7492975,,,,,,,,,               -247608,              7245367,,              5968716,              1524259,,              6503579,                741788,,                              1.62,                              1.62,,                              1.62,                              1.62,,             -1621108,              1591480,                -13804,,,               -204176,,,,,             83976324,,,,,,             72263032
1101,2012年01月01日至2012年06月30日,,             54496143,,             46864009,              7632134,              7632134,,,                549130,,              1606518,,                 20296,              2175944,              5456190,,,,                 84952,                190879,                799651,              1075482,,,                664603,,                112836,,              1417124,,                519426,                290620,              5746810,,                811698,              4935112,              4935112,,,,,,,,,             -1334228,              3600884,,              3960955,                974157,,              3029656,                571228,,                              1.07,                              1.07,,                              1.07,                              1.07,                428565,               -849614,               -421516,                 17537,,,                -80635,,,                 41809,,,,,,                390683,,
1101,2012年01月01日至2012年03月31日,,             25288765,,             21859006,              3429759,              3429759,,,                270498,,                863516,,                  8942,              1142956,              2286803,,,,                 46293,,                525813,                572106,,,                 78151,,                208543,,                735520,,                247136,                292265,              2579068,,                463243,              2115825,              2115825,,,,,,,,,                254060,              2369885,,              1534342,                581483,,              2230751,                139134,,                              0.42,                              0.42,,                              0.42,                              0.42,                286694,               -886384,              1294953,                -10189,,,               -144320,,,,,,,,                735520,,,
