證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨成本,　　　 銷貨成本合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 租賃收入,　　　 租賃收入合計
2106,2014年01月01日至2014年03月31日,,,,              7901890,,              5877781,              2024109,              2024109,,,                666217,,                230843,,                129790,              1026850,                997259,,,                 44848,,                 69314,,                 33083,                 81079,              1078338,,                222234,                856104,                856104,,,                323616,                 55014,                268602,                268602,              1124706,,                856104,                              0,                              0,,              1124706,                              0,                              0,,                              1.05,,                              1.05,,,,,,,,,,,,,              5877781,,                              0,,,,,
2106,2013年第3季,,,              8232596,              8232596,,              6209954,              2022642,              2022642,,,                648017,,                197757,,                132613,                978387,              1044255,,,                 74654,,                -38314,,                 20909,                 15431,              1059686,,                212114,                847572,                847572,,,,,,               -180811,                666761,,                810768,                 36804,,,                636377,                 30384,,,                              1.04,,                              1.04,,,,,,,,,,,,,,,,               -216529,,                -35718,,
2106,2013年第2季,,,              8939160,              8939160,,              6713838,              2225322,              2225322,,,                650301,,                206328,,                120879,                977508,              1247814,,,                 52962,,                -16847,,                 24036,                 12079,              1259893,,                321924,                937969,                937969,,,,,,                238031,              1176000,,                888482,                 49487,,,              1123517,                 52483,,,                              1.23,,                              1.23,,,,,,,,,,,,,,,,                286170,,                 48139,,                              0
2106,2013年度,,,,             32450584,,             24362996,              8087588,              8087588,,,              2451183,,                901678,,                512969,              3865830,              4221758,,,                195813,,                 18307,,                 97468,                116652,              4338410,,                971448,              3366962,              3366962,,,,,,                695071,              4062033,,              3237744,                129218,,,              3926739,                135294,,,                              4.12,,                              4.12,,,,,,,,,,,,,,,,                839064,                 -2873,                141120,,
2106,2013年07月01日至2013年09月30日,,,,              7377090,,              5510558,              1866532,              1866532,,,                584326,,                173014,,                132613,                889953,                976579,,,                 84617,,                -42450,,                 14823,                 27344,              1003923,,                193155,                810768,                810768,,,,,,               -174391,                636377,,                810768,,,,                636377,,,,                              1.06,,                              1.06,,,,,,,,,,,,,              5510558,,,               -210109,,                -35718,,
2106,2013年04月01日至2013年06月30日,,,              7892911,              7892911,,              5833675,              2059236,              2059236,,,                571922,,                215327,,                126945,                914194,              1145042,,,                 45247,,                  8823,,                 16673,                 37397,              1182439,,                293957,                888482,                888482,,,,,,                235035,              1123517,,                888482,,,,              1123517,,,,                              1.21,,                              1.21,,,,,,,,,,,,,,,,                283174,,                 48139,,
2106,2013年01月01日至2013年12月31日,,,,             32450584,,             24362996,              8087588,              8087588,,,              2338960,,              1013856,,                513014,              3865830,              4221758,,,                195813,,                 18307,,                 97468,                116652,              4338410,,                971448,              3366962,              3366962,,,,,,                695071,              4062033,,              3237744,                129218,,,              3926739,                135294,,,                              4.41,,                              4.41,,,,,,,,,,,,,,,,                839064,                 -2873,                141120,,
2106,2013年01月01日至2013年09月30日,,,             24785832,             24785832,,             18696422,              6089410,              6089410,,,              1824185,,                625027,,                356754,              2805966,              3283444,,,                168133,,                -27660,,                 77795,                 62678,              3346122,,                750809,              2595313,              2595313,,,,,,                475040,              3070353,,              2468339,                126974,,,              2937199,                133154,,,                              3.18,,                              3.18,,,,,,,,,,,,,,,,                571072,,                 96032,,
2106,2013年01月01日至2013年06月30日,,,             16553236,             16553236,,             12486468,              4066768,              4066768,,,              1176168,,                427270,,                224141,              1827579,              2239189,,,                 93479,,                 10654,,                 56886,                 47247,              2286436,,                538695,              1747741,              1747741,,,,,,                655851,              2403592,,              1657571,                 90170,,,              2300822,                102770,,,                              2.29,,                              2.29,,,,,,,,,,,,,,,,                787601,,                131750,,                              0
2106,2013年01月01日至2013年03月31日,,,,              7614076,,              5772630,              1841446,              1841446,,,                525867,,                220942,,                103262,                850071,                991375,,,                 40517,,                 27501,,                 32850,                 35168,              1026543,,                216771,                809772,                809772,,,,,,                417820,              1227592,,                769089,                 40683,                              0,,              1177305,                 50287,                              0,,                              1.06,,                              1.06,,,,,,,,,,,,,              5772630,,                              0,                501431,,                 83611,,
2106,2012年07月01日至2012年09月30日,,,,              7490796,,              5777512,              1713284,              1713284,,,                507780,,                164914,,                101443,                774137,                939147,,,                 50705,,                -24337,,                 26517,                   -149,                938998,,                192215,                746783,                746783,,,,,,               -286804,                459979,,                746783,,,,                459979,,,,                              0.98,,                              0.98,,,,,,,,,,,,,              5777512,,,               -345547,,                -58743,,
2106,2012年04月01日至2012年06月30日,,,              7939800,              7939800,,              6281315,              1658485,              1658485,,,                524833,,                162732,,                107318,                794883,                863602,,,                 43137,,                -11512,,                 30240,                  1385,                864987,,                318740,                546247,                546247,,,,,,                122932,                669179,,                546247,,,,                669179,,,,                              0.74,,                              0.74,,,,,,,,,,,,,,,,                148111,,                 25179,,
2106,2012年01月01日至2012年12月31日,,,,             32711446,,             25655425,              7056021,              7056021,,,              2140071,,                858195,,                404210,              3402476,              3653545,,,                151757,,                -78464,,                147982,                -74689,              3578856,,                813888,              2764968,              2764968,,,,,,               -569173,              2195795,,              2658907,                106061,,,              2101880,                 93915,,,                              3.62,,                              3.62,,,,,,,,,,,,,,,,               -641229,                -42036,               -114092,,
2106,2012年01月01日至2012年09月30日,,,,             22418127,,             17683394,              4734733,              4734733,,,              1507844,,                467196,,                291862,              2266902,              2467831,,,                118078,,                -55884,,                 87463,                -25269,              2442562,,                649606,              1792956,              1792956,,,,,,               -473321,              1319635,,              1792956,,,,              1319635,,,,                              2.35,,                              2.35,,,,,,,,,,,,,             17683394,,,               -570266,,                -96945,,
2106,2012年01月01日至2012年06月30日,,,             14927331,             14927331,,             11901382,              3025949,              3025949,,,              1000064,,                302282,,                194919,              1497265,              1528684,,,                 67373,,                -31547,,                 60946,                -25120,              1503564,,                457391,              1046173,              1046173,,,,,,               -186517,                859656,,              1046173,,,,                859656,,,,                              1.43,,                              1.42,,,,,,,,,,,,,,,,               -224719,,                -38202,,
2106,2012年01月01日至2012年03月31日,,,,              6987531,,              5653591,              1333940,              1333940,,,                441707,,                139550,,                 87601,                668858,                665082,,,                 24236,,                -20035,,                 30706,                -26505,                638577,,                138651,                499926,                499926,,,,,,               -309449,                190477,,                499926,,                              0,,                190477,,                              0,,                              0.68,,                              0.68,,,,,,,,,,,,,              5653591,,                              0,               -372830,,                -63381,,
