證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 處分不動產、廠房及設備損失,　　 與其他綜合損益組成部分相關之所得稅,　　　 透過損益按公允價值衡量之金融資產（負債）利益
1454,2014年01月01日至2014年03月31日,,,,                458416,                  2047,                    253,                456116,                456116,,                430383,                 25733,                 25733,,,                 17470,,                 10127,,                  1160,                 28757,,                    -15,                    -15,                 -3039,,,,,,                    293,                    293,,                  3335,                  1665,                  4724,                              0,                  9724,,                    191,                  9826,                  6787,,                     99,                  6688,                  6688,,,                -11605,                -11605,                -11605,                 -4917,,                  6687,                      1,,                 -4918,                      1,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,
1454,2013年第3季,,,,                548926,                  5065,                    278,                543583,                543583,,                500033,                 43550,                 43550,,,                 22199,,                 10921,,                  1512,                 34632,,,                      6,                  8924,,,,                      6,                  6835,                  1182,                  8023,,                              0,                              0,                              0,                  1624,                 -1588,,                    428,                  6007,                 14931,,                  1413,                 13518,                 13518,,,,,                 25559,                 39077,,                 13518,                              0,,                 39077,                              0,,                              0.10,                              0.10,,                              0.10,                              0.10,,                    -36,                 25559,,,,,
1454,2013年第2季,,,,                574598,                     91,                    109,                574398,                574398,,                516343,                 58055,                 58055,,,                 23632,,                 14104,,                  1119,                 38855,,,                     60,                 19260,,,,                      7,,                     86,                     93,,                              0,                              0,                  2337,,                  2276,,                    510,                  1859,                 21119,,                  2661,                 18458,                 18458,,,,,                  4934,                 23392,,                 18458,                              0,,                 23392,                              0,,                              0.14,                              0.14,,                              0.14,                              0.14,,                     61,                  4934,,,,,
1454,2013年度,,,,              2084241,                  6498,                    878,              2076865,              2076865,,              1914139,                162726,                162726,,,                 84166,,                 45686,,                  5465,                135317,,                   -375,                   -375,                 27034,,,,                     39,                  6835,                  4890,                 11764,,                              0,                    860,                  6060,,                  4489,,                  1339,                 14914,                 41948,,                  5312,                 36636,                 36636,,,,,                 74639,                111275,,                 36635,                      1,,                111274,                      1,,                              0.28,                              0.28,,                              0.28,                              0.28,                     90,                  2341,                 75861,                 -1472,                    250,,,
1454,2013年07月01日至2013年09月30日,,,,                548926,                  5065,                    278,                543583,                543583,,                500033,                 43550,                 43550,,,                 22199,,                 10921,,                  1512,                 34632,,,                      6,                  8924,,,,                      6,                  6835,                  1182,                  8023,,,                              0,                              0,                  1624,                 -1588,,                    428,                  6007,                 14931,,                  1413,                 13518,                 13518,,,,,                 25559,                 39077,,                 13518,                              0,,                 39077,                              0,,                              0.10,                              0.10,,                              0.10,                              0.10,                              0,                    -36,                 25559,,,,,
1454,2013年04月01日至2013年06月30日,,,,                574598,                     91,                    109,                574398,                574398,,                516343,                 58055,                 58055,,,                 23632,,                 14104,,                  1119,                 38855,,,                     60,                 19260,,,,                      7,,                     86,                     93,,,                              0,                  2337,                              0,                  2276,,                    510,                  1859,                 21119,,                  2661,                 18458,                 18458,,,,,                  4934,                 23392,,                 18458,,,                 23392,,,                              0.14,                              0.14,,                              0.14,                              0.14,                              0,                     61,                  4934,,,,,
1454,2013年01月01日至2013年12月31日,,,,              2084241,                  6498,                    878,              2076865,              2076865,,              1914139,                162726,                162726,,,                 84166,,                 45686,,                  5465,                135317,,,                   -375,                 27034,,,,                     39,                  6835,                  4890,                 11764,,,                    860,                  6060,                              0,                  4489,,                  1339,                 14914,                 41948,,                  5312,                 36636,                 36636,,,,,                 74639,                111275,,                 36635,                      1,,                111274,                      1,,                              0.28,                              0.28,,                              0.28,                              0.28,                     90,                  2341,                 75861,                 -1472,,,                   -250,
1454,2013年01月01日至2013年09月30日,,,,              1616124,                  5702,                    541,              1609881,              1609881,,              1479712,                130169,                130169,,,                 64236,,                 35225,,                  3812,                103273,,,                   -153,                 26743,,,,                     13,                  6835,                  3237,                 10085,,                              0,                              0,                  3125,                              0,                  3061,,                  1365,                 11781,                 38524,,                  4495,                 34029,                 34029,,,,,                 26359,                 60388,,                 34029,                              0,,                 60388,                              0,,                              0.26,                              0.26,,                              0.26,                              0.26,,                     64,                 26359,,,,,
1454,2013年01月01日至2013年06月30日,,,,              1067198,                    637,                    263,              1066298,              1066298,,                979679,                 86619,                 86619,,,                 42037,,                 24304,,                  2300,                 68641,,,                   -159,                 17819,,,,                      7,,                  2055,                  2062,,                              0,                              0,                  4749,,                  4649,,                    937,                  5774,                 23593,,                  3082,                 20511,                 20511,,,,,                    800,                 21311,,                 20511,                              0,,                 21311,                              0,,                              0.16,                              0.16,,                              0.16,                              0.16,,                    100,                    800,,,,,
1454,2013年01月01日至2013年03月31日,,,,                492600,                    546,                    154,                491900,                491900,,                463336,                 28564,                 28564,,,                 18405,,                 10200,,                  1181,                 29786,,                     69,                     69,                 -1153,,,,,,                  1969,                  1969,,                              0,                              0,                  2412,,                  2085,,                    427,                  3627,                  2474,,                    421,                  2053,                  2053,,,,,                 -4134,                 -2081,,                  2053,                              0,,                 -2081,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,,                     39,                 -4134,,,                    288,,
1454,2012年07月01日至2012年09月30日,,,,                527851,                  3027,                    380,                524444,                524444,,                488576,                 35868,                 35868,,,                 24052,,                 21258,,                  1651,                 46961,,,                     91,                -11002,,,,                      2,                 11391,                     86,                 11479,,,                              0,                              0,                  1286,                 -1319,,                    478,                  9682,                 -1320,,                   -682,                   -638,                   -638,,,,,                  9456,                  8818,,                   -639,                      1,,                  8817,                      1,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,                    -10,                     43,                  9456,,,,,
1454,2012年04月01日至2012年06月30日,,,,                556797,                    899,                    148,                555750,                555750,,                511159,                 44591,                 44591,,,                 24396,,                 10483,,                  1450,                 36329,,,                     26,                  8288,,,,                     14,,                    450,                    464,,,                              0,                              0,                 -1417,                  1258,,                    502,                  1220,                  9508,,                    521,                  8987,                  8987,,,,,                -12356,                 -3369,,                  8987,,,                 -3369,,,                              0.07,                              0.07,,                              0.07,                              0.07,                              0,                    159,                -12356,,,,,
1454,2012年01月01日至2012年12月31日,,,,              2159202,                  4863,                  1684,              2152655,              2152655,,              2012897,                139758,                139758,,,                 89321,,                 63432,,                  5934,                158687,,,                    -48,                -18977,,,,                     33,                 11391,                  1948,                 13372,,,                    197,                              0,                  4287,                 -4960,,                  1890,                  6522,                -12455,,                  4929,                -17384,                -17384,,,,,                  6653,                -10731,,                -17384,                              0,,                -10731,                              0,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,                    739,                    131,                  5613,                  1252,,,                    212,
1454,2012年01月01日至2012年09月30日,,,,              1650569,                  4058,                    625,              1645886,              1645886,,              1535628,                110258,                110258,,,                 69661,,                 41305,,                  4294,                115260,,,                    109,                 -4893,,,,                     16,                 11391,                    682,                 12089,,,                    197,                              0,                  3553,                 -4056,,                  1507,                  6526,                  1633,,                  7876,                 -6243,                 -6243,,,,,                 16302,                 10059,,                 -6244,                      1,,                 10058,                      1,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                    531,                    169,                 16302,,,,,
1454,2012年01月01日至2012年06月30日,,,,              1122718,                  1031,                    245,              1121442,              1121442,,              1047052,                 74390,                 74390,,,                 45609,,                 20047,,                  2643,                 68299,,,                     18,                  6109,,,,                     14,,                    596,                    610,,,                    197,                              0,                  2267,                 -2737,,                  1029,                 -3156,                  2953,,                  8558,                 -5605,                 -5605,,,,,                  6846,                  1241,,                 -5605,,,                  1241,,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                    541,                    126,                  6846,,,,,
1454,2012年01月01日至2012年03月31日,,,,                565921,                    132,                     97,                565692,                565692,,                535893,                 29799,                 29799,,,                 21213,,                  9564,,                  1193,                 31970,,,                     -8,                 -2179,,,,,,,                    146,,,                    197,                              0,                  3684,                 -3995,,                    527,                 -4376,                 -6555,,                  8037,                -14592,                -14592,,,,,                 19202,                  4610,,                -14592,,,                  4610,,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,                    541,                              0,                 19202,,,,,                     33
