證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
9945,2014年01月01日至2014年03月31日,,              2965491,,              2392783,                572708,                572708,,,                244057,,                184579,,                 13397,                442033,                130675,,,                 25845,,                 24693,,                109832,,                981623,                922329,              1053004,,                 40593,              1012411,              1012411,,,                 39853,                115519,,              1642728,                 60563,              1737537,              1737537,              2749948,,                908021,                104390,,              2712340,                 37608,,                              0.79,                              0.79,,                              0.78,                              0.78,,,,,,,,,,,
9945,2013年第3季,,              3608194,,              2993219,                614975,                614975,,,                234240,,                214595,,                 11202,                460037,                154938,,,                123248,,                 23580,,                 91327,,              1483558,              1539059,              1693997,,                 59068,              1634929,              1653195,,,,,,,,,             -4015504,             -2362309,,              1467666,                185529,,             -2787033,                424724,,                              1.34,                              1.34,,                              1.33,                              1.33,,                 18266,               -103369,                449135,                              0,                              0,,             -4369621,                 -8351,                              0.00,                              0.00
9945,2013年第2季,,              3669592,,              3106959,                562633,                562633,,,                247797,,                156691,,                 13582,                418070,                144563,,,                 51537,,                 -5030,,                 97190,,              1477592,              1426909,              1571472,,                 30200,              1541272,              1536565,,,,,,,,,             -6117975,             -4581410,,              1403569,                132996,,             -4572282,                 -9128,,                              1.42,                              1.42,,                              1.39,                              1.39,,                 -4707,                103004,               -249332,,,,             -5965095,                  6552,                              0.00,                              0.00
9945,2013年度,,             15101184,,             12142748,              2958436,              2958436,,,              1140671,,                963830,,                 48662,              2153163,                805273,,,                285633,,                -11104,,                391628,,             30896535,             30779436,             31584709,,                360807,             31223902,             31235379,,,,,,,,,            -13305555,             17929824,,             30592714,                642665,,             17237074,                692750,,                             29.03,                             29.03,,                             28.46,                             28.46,,                 11477,                 79219,                646883,                     -3,                 10013,,            -13871946,                169721,                              0.00,                              0.00
9945,2013年07月01日至2013年09月30日,,              3608194,,              2993219,                614975,                614975,,,                234240,,                214595,,                 11202,                460037,                154938,,,                123248,,                 23580,,                 91327,,              1483558,              1539059,              1693997,,                 59068,              1634929,              1653195,,,,,,,,,             -4015504,             -2362309,,              1467666,                185529,,             -2787033,                424724,,                              1.34,                              1.34,,                              1.33,                              1.33,,                 18266,               -103369,                449135,,,,             -4369621,                 -8351,                              0.00,                              0.00
9945,2013年04月01日至2013年06月30日,,              3669592,,              3106959,                562633,                562633,,,                247797,,                156691,,                 13582,                418070,                144563,,,                 51537,,                 -5030,,                 97190,,              1477592,              1426909,              1571472,,                 30200,              1541272,              1536565,,,,,,,,,             -6117975,             -4581410,,              1403569,                132996,,             -4572282,                 -9128,,                              1.42,                              1.42,,                              1.39,                              1.39,,                 -4707,                103004,               -249332,,,,             -5965095,                  6552,                              0.00,                              0.00
9945,2013年01月01日至2013年12月31日,,             15101184,,             12142748,              2958436,              2958436,,,              1140671,,                963830,,                 48662,              2153163,                805273,,,                285633,,                -11104,,                391628,,             30896535,             30779436,             31584709,,                360807,             31223902,             31235379,,,,,,,,,            -13305555,             17929824,,             30592714,                642665,,             17237074,                692750,,                             29.03,                             29.03,,                             28.46,                             28.46,,                 11477,                 79219,                646883,                     -3,                 10013,,            -13871946,                169721,                              0.00,                              0.00
9945,2013年01月01日至2013年09月30日,,             10817247,,              9042117,              1775130,              1775130,,,                705362,,                577780,,                 37550,              1320692,                454438,,,                191066,,                 12137,,                284161,,              3893611,              3812653,              4267091,,                135090,              4132001,              4143478,,,,,,,,,            -13657823,             -9514345,,              3704534,                438944,,             -9965674,                451329,,                              3.63,                              3.63,,                              3.57,                              3.57,,                 11477,                 55300,                697595,                              0,                              0,,            -14237085,                173633,                              0.00,                              0.00
9945,2013年01月01日至2013年06月30日,,              7209053,,              6048898,              1160155,              1160155,,,                471122,,                363185,,                 26348,                860655,                299500,,,                 67818,,                -11443,,                192834,,              2410053,              2273594,              2573094,,                 76022,              2497072,              2490283,,,,,,,,,             -9642319,             -7152036,,              2236868,                253415,,             -7178641,                 26605,,                              2.27,                              2.27,,                              2.23,                              2.23,,                 -6789,                158669,                248460,,,,             -9867464,                181984,                              0.00,                              0.00
9945,2013年01月01日至2013年03月31日,,              3539905,,              2941939,                597966,                597966,,,                224178,,                208058,,                 12766,                445002,                152964,,,                 16281,,                 -6413,,                 95644,,                932461,                846685,                999649,,                 45931,                953718,                953718,,,,,,,,,             -3524344,             -2570626,,                833299,                120419,,             -2606359,                 35733,,                              0.85,                              0.85,,                              0.83,                              0.83,,,                 55665,                497792,                              0,,,             -3902369,                175432,,
9945,2012年07月01日至2012年09月30日,,              2819368,,              2286232,                533136,                533136,,,                285263,,                169710,,                 16211,                471184,                 61952,,,                 57901,,                  7883,,                 54782,,              1110350,              1121352,              1183304,,                  9810,              1173494,              1173454,,,,,,,,,              2313813,              3487267,,              1140011,                 33443,,              3147154,                340113,,                              1.20,                              1.20,,                              1.15,                              1.15,,                    -40,                -41366,                613396,,,,              1741631,                   -152,                              0.00,                              0.00
9945,2012年04月01日至2012年06月30日,,              2892408,,              2385091,                507317,                507317,,,                299265,,                184924,,                 11791,                495980,                 11337,,,                 45764,,                    804,,                 51131,,                959713,                955150,                966487,,                 17920,                948567,                948966,,,,,,,,,             -1859857,               -910891,,                946764,                  2202,,               -779448,               -131443,,                              1.00,                              1.00,,                              0.96,                              0.96,,                    399,                 15467,               -462635,,,,             -1413969,                 -1280,                              0.00,                              0.00
9945,2012年01月01日至2012年12月31日,,             12140200,,             10005047,              2135153,              2135153,,,              1117355,,                819614,,                 53552,              1990521,                144632,,,                198547,,                 42494,,                239260,,              3129676,              3131457,              3276089,,                134609,              3141480,              3142403,,,,,,,,,                185468,              3327871,,              2991106,                151297,,              2836551,                491320,,                              3.16,                              3.16,,                              3.04,                              3.04,,                    923,                -17713,                783169,                              0,                -18901,,               -534917,                 26170,                              0.00,                              0.00
9945,2012年01月01日至2012年09月30日,,              8942708,,              7384710,              1557998,              1557998,,,                834345,,                544754,,                 37780,              1416879,                141119,,,                132069,,                 13837,,                156871,,              2565601,              2554636,              2695755,,                 48856,              2646899,              2646856,,,,,,,,,              1354216,              4001072,,              2586197,                 60659,,              3652330,                348742,,                              2.73,                              2.73,,                              2.62,                              2.62,,                    -43,                -87468,                823717,,,,                609073,                 -8894,                              0.00,                              0.00
9945,2012年01月01日至2012年06月30日,,              6123340,,              5098478,              1024862,              1024862,,,                549082,,                375044,,                 21569,                945695,                 79167,,,                 74168,,                  5954,,                102089,,              1455251,              1433284,              1512451,,                 39046,              1473405,              1473402,,,,,,,,,               -959597,                513805,,              1446186,                 27216,,                505176,                  8629,,                              1.53,                              1.53,,                              1.47,                              1.47,,                     -3,                -46102,                210321,,,,             -1132558,                 -8742,                              0.00,                              0.00
9945,2012年01月01日至2012年03月31日,,              3231795,,              2714026,                517769,                517769,,,                249940,,                190812,,                  9778,                450530,                 67239,,,                 28593,,                  5150,,                 50958,,                495538,                478323,                545562,,                 21126,                524436,                524436,,,,,,,,,                900260,              1424696,,                499422,                 25014,,              1284624,                140072,,                              0.53,                              0.53,,                              0.52,                              0.52,,,                -61569,                672956,,,,                281411,                 -7462,,
