證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　　 與可能重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5259,2013年04月01日至2013年06月30日,,                213778,,                220777,                 -6999,                 -6999,,,                  7447,,                  9189,,                  3035,                 19671,                -26670,,,                    301,,                 -1578,,                  2176,                 -3453,                -30123,,                   -958,                -29165,                -29165,,,,,                    791,                -28374,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,,,,,                    791,,
5259,2013年01月01日至2013年12月31日,,                763780,,                758495,                  5285,                  5285,,,                 17841,,                 35568,,                 12257,                 65666,                -60381,,,                  1573,,                 -3357,,                 15000,                -16784,                -77165,,                 -8908,                -68257,                -68257,,,,,                  5048,                -63209,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,,,,,                  5076,                    -34,                     -6
5259,2013年01月01日至2013年09月30日,,                646022,,                607199,                 38823,                 38823,,,                 14569,,                 25547,,                  9362,                 49478,                -10655,,,                    825,,                 -3124,,                  8960,                -11259,                -21914,,                    678,                -22592,                -22592,,,,,                  1075,                -21517,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,,,,,                  1075,,
5259,2013年01月01日至2013年06月30日,,                452800,,                420179,                 32621,                 32621,,,                 11396,,                 17591,,                  6026,                 35013,                 -2392,,,                    421,,                 -3307,,                  3034,                 -5920,                 -8312,,                  3004,                -11316,                -11316,,,,,                  1075,                -10241,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,,                  1075,,
5259,2013年01月01日至2013年03月31日,,                239022,,                199402,                 39620,                 39620,,,                  3949,,                  8402,,                  2991,                 15342,                 24278,,,                    120,,                 -1729,,                    858,                 -2467,                 21811,,                  3962,                 17849,                 17849,,,,,                    284,                 18133,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,                    284,,
5259,2012年07月01日至2012年09月30日,,                184897,,                152054,                 32843,                 32843,,,                  3402,,                  9622,,                  2667,                 15691,                 17152,,,                    255,,                  1030,,                    447,                    838,                 17990,,                  2927,                 15063,                 15063,,,,,                    -25,                 15038,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,                    -25,,
5259,2012年04月01日至2012年06月30日,,                184703,,                163432,                 21271,                 21271,,,                  2798,,                  5523,,                  3113,                 11434,                  9837,,,                    159,,                 -2049,,                    440,                 -2330,                  7507,,                    972,                  6535,                  6535,,,,,                   -654,                  5881,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,                   -654,,
5259,2012年01月01日至2012年12月31日,,                726684,,                602720,                123964,                123964,,,                 14337,,                 28960,,                 11433,                 54730,                 69234,,,                  1147,,                  9643,,                  1089,                  9701,                 78935,,                 13997,                 64938,                 64938,,,,,                   -815,                 64123,,                              1.17,                              1.17,,                              1.15,                              1.15,,,,,                   -578,                   -285,                    -48
5259,2012年01月01日至2012年09月30日,,                483364,,                423794,                 59570,                 59570,,,                  8210,,                 22734,,                  8068,                 39012,                 20558,,,                    772,,                  3662,,                    927,                  3507,                 24065,,                  4662,                 19403,                 19403,,,,,                   -223,                 19180,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,                   -223,,
5259,2012年01月01日至2012年06月30日,,                298467,,                271740,                 26727,                 26727,,,                  4808,,                 13112,,                  5401,                 23321,                  3406,,,                    517,,                  2632,,                    480,                  2669,                  6075,,                  1735,                  4340,                  4340,,,,,                   -198,                  4142,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,                   -198,,
5259,2012年01月01日至2012年03月31日,,                113764,,                108308,                  5456,                  5456,,,                  2010,,                  7589,,                  2288,                 11887,                 -6431,,,                    358,,                  4681,,                     40,                  4999,                 -1432,,                    763,                 -2195,                 -2195,,,,,                    456,                 -1739,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,                    456,,
