證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計
2413,2014年01月01日至2014年03月31日,,              1042909,,                886672,                156237,                156237,,,                 28824,,                 84096,,                 43168,                156088,                    149,,,                  4934,,                 20238,,                 11932,,                    -30,                 13210,                 13359,,                 12252,                  1107,                  1107,,,                   -486,                125051,                 -1589,                126154,                126154,                127261,,                  1502,                   -395,,                127656,                   -395,,                              0.01,,                              0.01,,              1042909,,                886672,,,,,,
2413,2013年第3季,,                997983,,                854284,                143699,                143699,,,                 28338,,                 80267,,                 44616,                153221,                 -9522,,,                 14005,,                  2428,,                 12928,,                    806,                  4311,                 -5211,,                  7295,                -12506,                -12506,,,,,,,                 13477,                    971,,                -12012,                   -494,,                  1465,                   -494,,                             -0.09,,                             -0.09,,                997983,,                854284,                 -7132,                 20811,,                    202,,                997983
2413,2013年第2季,,              1022753,,                882447,                140306,                140306,,,                 23796,,                 75230,,                 44565,                143591,                 -3285,,,                 11855,,                 39957,,                 12173,,                    -91,                 39548,                 36263,,                 12825,                 23438,                 23438,,,,,,,                 15976,                 39414,,                 23686,                   -248,,                 39662,                   -248,,                              0.19,,                              0.19,,              1022753,,                882447,                 11059,                  1451,                              0,                 -3466,,
2413,2013年度,,              4188135,,              3612132,                576003,                576003,,,                108700,,                321526,,                176156,                606382,                -30379,,,                 37674,,                100968,,                 49629,,                    387,                 89400,                 59021,,                 60090,                 -1069,                 -1069,,,,,,,                104525,                103456,,                    230,                 -1299,,                104755,                 -1299,,                              0.00,,                              0.00,,              4188135,,              3612132,                 28015,                 57529,                 12370,                 -6611,,
2413,2013年07月01日至2013年09月30日,,                997983,,                854284,                143699,                143699,,,                 28338,,                 80267,,                 44616,                153221,                 -9522,,,                 14005,,                  2428,,                 12928,,                    806,                  4311,                 -5211,,                  7295,                -12506,                -12506,,,,,,,                 13477,                    971,,                -12012,                   -494,,                  1465,                   -494,,                             -0.09,,                             -0.09,,                997983,,                854284,                 -7132,                 20811,,                    202,,                997983
2413,2013年04月01日至2013年06月30日,,              1022753,,                882447,                140306,                140306,,,                 23796,,                 75230,,                 44565,                143591,                 -3285,,,                 11855,,                 39957,,                 12173,,                    -91,                 39548,                 36263,,                 12825,                 23438,                 23438,,,,,,,                 15976,                 39414,,                 23686,                   -248,,                 39662,                   -248,,                              0.19,,                              0.19,,              1022753,,                882447,                 11059,                  1451,,                 -3466,,
2413,2013年01月01日至2013年12月31日,,              4188135,,              3612132,                576003,                576003,,,                108700,,                321526,,                176156,                606382,                -30379,,,                 37674,,                100968,,                 49629,,                    387,                 89400,                 59021,,                 60090,                 -1069,                 -1069,,,,,,,                104525,                103456,,                    230,                 -1299,,                104755,                 -1299,,                              0.00,,                              0.00,,              4188135,,              3612132,                 28015,                 57529,                 12370,                 -6611,,
2413,2013年01月01日至2013年09月30日,,              3046898,,              2653057,                393841,                393841,,,                 82507,,                229488,,                133363,                445358,                -51517,,,                 30022,,                 67530,,                 37961,,                    616,                 60207,                  8690,,                 19749,                -11059,                -11059,,,,,,,                 93601,                 82542,,                 -9497,                 -1562,,                 84104,                 -1562,,                             -0.07,,                             -0.07,,              3046898,,              2653057,                 19224,                 76790,,                  2413,,              3046898
2413,2013年01月01日至2013年06月30日,,              2048915,,              1798773,                250142,                250142,,,                 54169,,                149221,,                 88747,                292137,                -41995,,,                 16017,,                 65102,,                 25033,,                   -190,                 55896,                 13901,,                 12454,                  1447,                  1447,,,,,,,                 80124,                 81571,,                  2515,                 -1068,,                 82639,                 -1068,,                              0.02,,                              0.02,,              2048915,,              1798773,                 26356,                 55979,                              0,                  2211,,
2413,2013年01月01日至2013年03月31日,,              1026162,,                916326,                109836,                109836,,,                 30373,,                 73991,,                 44182,                148546,                -38710,,,                  4162,,                 25145,,                 12860,,                    -99,                 16348,                -22362,,                   -371,                -21991,                -21991,,,,,,,                 64148,                 42157,,                -21171,                   -820,,                 42977,                   -820,,                             -0.17,,                             -0.17,,              1026162,,                916326,                 15297,                 54528,                              0,                  5677,,
2413,2012年07月01日至2012年09月30日,,                909938,,                775817,                134121,                134121,,,                 30036,,                 69018,,                 47646,                146700,                -12579,,,                  6732,,                -17587,,                 11952,,                    436,                -22371,                -34950,,                 22300,                -57250,                -57250,,,,,,,                -33972,                -91222,,                -56905,                   -345,,                -90877,                   -345,,                             -0.45,,                             -0.45,,                909938,,                775817,                -17504,                -22559,,                 -6091,,                909938
2413,2012年04月01日至2012年06月30日,,                817614,,                712027,                105587,                105587,,,                 33428,,                 75235,,                 47354,                156017,                -50430,,,                 16290,,                -91065,,                 11541,,                  1114,                -85202,               -135632,,                -26307,               -109325,               -109325,,,,,,,                -12232,               -121557,,               -108157,                 -1168,,               -120389,                 -1168,,                             -0.85,,                             -0.85,,                817614,,                712027,                  9133,                -21352,,                     13,,
2413,2012年01月01日至2012年12月31日,,              3506448,,              3044415,                462033,                462033,,,                141365,,                290292,,                184919,                616576,               -154543,,,                 45616,,               -125026,,                 47000,,                 -1044,               -127454,               -281997,,                 10362,               -292359,               -292359,,,,,,,                -18994,               -311353,,               -289074,                 -3285,,               -308068,                 -3285,,                             -2.27,,                             -2.27,,              3506448,,              3044415,                -22701,                 15956,                -15400,                 -3151,,
2413,2012年01月01日至2012年09月30日,,              2440580,,              2130496,                310084,                310084,,,                 98985,,                225949,,                142603,                467537,               -157453,,,                 25336,,               -126812,,                 34855,,                   -221,               -136552,               -294005,,                 23377,               -317382,               -317382,,,,,,,                 -9899,               -327281,,               -315821,                 -1561,,               -325720,                 -1561,,                             -2.48,,                             -2.48,,              2440580,,              2130496,                -30558,                 20010,,                   -649,,              2440580
2413,2012年01月01日至2012年06月30日,,              1530642,,              1354679,                175963,                175963,,,                 68949,,                156931,,                 94957,                320837,               -144874,,,                 18604,,               -109225,,                 22903,,                   -657,               -114181,               -259055,,                  1077,               -260132,               -260132,,,,,,,                 24073,               -236059,,               -258916,                 -1216,,               -234843,                 -1216,,                             -2.03,,                             -2.03,,              1530642,,              1354679,                -13054,                 42569,,                  5442,,
2413,2012年01月01日至2012年03月31日,,                713028,,                642652,                 70376,                 70376,,,                 35521,,                 81696,,                 47603,                164820,                -94444,,,                  2314,,                -18160,,                 11362,,                 -1771,                -28979,               -123423,,                 27384,               -150807,               -150807,,,,,,,                 36305,               -114502,,               -150759,                    -48,,               -114454,                    -48,,                             -1.18,,                             -1.18,,                713028,,                642652,                -22187,                 63921,,                  5429,,
