證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 銀行存款利息,　　 本期所得稅費用（利益）,　　　 廉價購買利益,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 當期所得稅費用（利益）,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3596,2014年01月01日至2014年03月31日,,,              4064297,,                  1635,              4065932,,,,              3378091,                687841,                687841,,,                126249,,                 99560,,                228321,                454130,                233711,,,,                  4199,                  3680,                  7879,,                 35392,                -25363,                 10029,,                  5596,                  5596,,                 31205,                 31205,                 43517,                277228,,                 62627,                214601,                214601,,,                 12788,,,                     12,                  1879,                 10921,                 10921,                225522,,                174237,                 40364,,                184363,                 41159,,                              1.06,                              1.06,,                              1.04,                              1.04,                  4199,                 62627,,,,,,,,,,,,,,,,
3596,2013年第3季,,,              3827851,,                 10408,              3838259,,,              3307552,              3307552,                530707,                530707,,,                120842,,                 94657,,                218147,                433646,                 97061,,,,                  1950,                  5213,                  7163,,                  6011,                              0,                -17169,,                  5395,                  5395,,                 34025,                 34025,                 18624,                115685,,                 11039,                104646,                104646,,,,,,,,,                 -6647,                 97999,,                 99668,                  4978,,                 92968,                  5031,,                              0.71,                              0.71,,                              0.70,                              0.70,,,                              0,,                     81,                 -8004,,,                     -8,                 -1365,,                              0,                 23099,,,,,
3596,2013年第2季,,,              4920331,,                 16161,              4936492,,,,              4236412,                700080,                700080,,,                148216,,                 99333,,                231760,                479309,                220771,,,,                  2636,                 15436,                 30477,,                 76229,                              0,                 49908,,                  7772,                  7772,,                 30325,                 30325,                102938,                323709,,                 84530,                239179,                239179,,,,,,,,,                  6015,                245194,,                219211,                 19968,,                224716,                 20478,,,                              1.56,,,                              1.53,,,                 12405,,                  4617,                  7013,,,                      3,                  1001,,                              0,                 21704,,,,,
3596,2013年度,,,             16988488,,                 26613,             17015101,,,,             14591725,              2423376,              2423376,,,                530091,,                381685,,                889299,              1801075,                622301,,,,                  7119,                 20219,                 39743,,                116281,                -54079,                 67780,,                 20944,                 20944,,                103296,                103296,                189875,                812176,,                159749,                652427,                652427,,,,,,,,,                  6654,                659081,,                591180,                 61247,,                596386,                 62695,,                              4.15,                              4.15,,                              4.08,                              4.08,                  7119,,                 12405,                 10471,                  4893,                 18766,                -11392,,                     18,                    738,                              0.00,,,,,,,
3596,2013年07月01日至2013年09月30日,,,              3827851,,                 10408,              3838259,,,              3307552,              3307552,                530707,                530707,,,                122571,,                 94657,,                218147,                435375,                 95332,,,,                  1950,                  6378,                  8328,,                  6011,                              0,                -18334,,                  3666,                  3666,,                 34025,                 34025,                 20353,                115685,,                 11039,                104646,                104646,,,,,,,,,                 -6647,                 97999,,                 99668,                  4978,,                 92968,                  5031,,                              0.71,                              0.71,,                              0.70,                              0.70,,,                              0,,                  1246,                 -8004,,,                     -8,                 -1365,,                              0,                 23099,,,,,
3596,2013年04月01日至2013年06月30日,,,              4920331,,                 16161,              4936492,,,,              4236412,                700080,                700080,,,                150018,,                 99333,,                231760,                481111,                218969,,,,                  2636,                 15436,                 30477,,                 76229,                              0,                 49908,,                  5970,                  5970,,                 30325,                 30325,                104740,                323709,,                 84530,                239179,                239179,,,,,,,,,                  6015,                245194,,                219211,                 19968,,                224716,                 20478,,,                              1.56,,,                              1.53,,,                 12405,,                  4617,                  7013,,,                      3,                  1001,,                              0,                 21704,,,,,
3596,2013年01月01日至2013年12月31日,,,             16988488,,                 26613,             17015101,,,,             14591725,              2423376,              2423376,,,                530091,,                381685,,                889299,              1801075,                622301,,,,                  7119,                 20219,                 39743,,                116281,                              0,                 67780,,                 20944,                 20944,,                103296,                103296,                189875,                812176,,                159749,                652427,                652427,,,,,,,,,                  6654,                659081,,                591180,                 61247,,                596386,                 62695,,                              4.15,                              4.15,,                              4.08,                              4.08,                  7119,,                 12405,                 10471,                  4893,                 18766,                -11392,,                     18,                    738,,                              0,                 54079,,,,,
3596,2013年01月01日至2013年09月30日,,,             12846836,,                 57536,             12904372,,,             11077934,             11077934,              1826438,              1826438,,,                383794,,                273789,,                665412,              1322995,                503443,,,,                  5166,                 26868,                 44439,,                 83383,                              0,                 41859,,                 19044,                 19044,,                 81783,                 81783,                149037,                652480,,                136234,                516246,                516246,,,,,,,,,                  8662,                524908,,                468310,                 47936,,                476405,                 48503,,                              3.33,                              3.33,,                              3.27,                              3.27,,,                 12405,,                  5858,                 10185,,,                     11,                  1534,,                              0,                 35666,,,,,
3596,2013年01月01日至2013年06月30日,,,              9018985,,                 47128,              9066113,,,,              7770382,              1295731,              1295731,,,                262952,,                179132,,                447265,                889349,                406382,,,,                  3216,                 21655,                 37276,,                 77372,                              0,                 59028,,                 13649,                 13649,,                 47758,                 47758,                130413,                536795,,                125195,                411600,                411600,,,,,,,,,                 15308,                426908,,                368642,                 42958,,                383440,                 43468,,,                              2.62,,,                              2.57,,,                 12405,,                  5777,                 18189,,,                     19,                  2900,,                              0,                 12567,,,,,
3596,2013年01月01日至2013年03月31日,,,              4098654,,                 30967,              4129621,,,,              3533970,                595651,                595651,,,                114736,,                 79799,,                215505,                410040,                185611,,,,                    580,                  6219,                  6799,,                  1143,                  9137,                  9120,,                  5877,                  5877,,                 17433,                 17433,                 27475,                213086,,                 40665,                172421,                172421,,,,,,,,,                  9293,                181714,,                149431,                 22990,,                158724,                 22990,,                              1.06,                              1.06,,                              1.05,                              1.05,                    580,,,,                  1160,                 11176,,,                     16,                  1899,,,                              0,                 40665,,,,
3596,2012年07月01日至2012年09月30日,,,              3507970,,                 27505,              3535475,,,              3111065,              3111065,                424410,                424410,,,                 94500,,                 71478,,                205783,                371761,                 52649,,,,                  3108,                 19371,                 22479,,                 10508,                              0,                 -3818,,                  6074,                  6074,,                 26432,                 26432,                 39019,                 91668,,                 18221,                 73447,                 73447,,,,,,,,,                 -7461,                 65986,,                 63635,                  9812,,                 56174,                  9812,,                              0.45,                              0.45,,                              0.45,                              0.45,,,                              0,,                              0,                 -8976,,,                    -11,                 -1526,,                              0,                 14326,,,,,
3596,2012年04月01日至2012年06月30日,,,              3539775,,                 27263,              3567038,,,,              3171923,                395115,                395115,,,                 83383,,                 76362,,                185922,                345667,                 49448,,,,                  4834,                 19421,                 24255,,                              0,                 52539,                -17362,,                  8373,                  8373,,                 17035,                 17035,                 15555,                 65003,,                 12751,                 52252,                 52252,,,,,,,,,                  5200,                 57452,,                 39385,                 12867,,                 44585,                 12867,,,                              0.28,,,                              0.28,,,                              0,,                    860,                  6257,,,                      7,                  1064,,                 69041,                              0,,,,,
3596,2012年01月01日至2012年12月31日,,,             14983873,,                 53083,             15036956,,,,             13251491,              1785465,              1785465,,,                385959,,                298727,,                762183,              1446869,                338596,,,,                 14802,                 57951,                 72753,,                              0,                 18701,                 30399,,                 30002,                 30002,,                 81798,                 81798,                154948,                493544,,                 91316,                402228,                402228,,,,,,,,,                -32395,                369833,,                356652,                 45576,,                324257,                 45576,,                              2.54,                              2.54,,                              2.49,                              2.49,                 14802,,                              0,                 25430,                  3559,                -21952,                -17045,,                    -25,                 -6627,,                 10173,                              0,,,,,
3596,2012年01月01日至2012年09月30日,,,             10547586,,                 73520,             10621106,,,              9387059,              9387059,              1234047,              1234047,,,                257929,,                224442,,                564727,              1047098,                186949,,,,                 14024,                 42222,                 56246,,                              0,                 28413,                -15268,,                 25660,                 25660,,                 62969,                 62969,                 78287,                265236,,                 47561,                217675,                217675,,,,,,,,,                -13589,                204086,,                186436,                 31239,,                172847,                 31239,,                              1.33,                              1.33,,                              1.30,                              1.30,,,                              0,,                     22,                -16349,,,                    -19,                 -2779,,                 43659,                              0,,,,,
3596,2012年01月01日至2012年06月30日,,,              7039616,,                 46015,              7085631,,,,              6275994,                809637,                809637,,,                163429,,                152964,,                358944,                675337,                134300,,,,                 10916,                 23900,                 34816,,                              0,                 42739,                -12499,,                 19586,                 19586,,                 36537,                 36537,                 39268,                173568,,                 29340,                144228,                144228,,,,,,,,,                 -6128,                138100,,                122801,                 21427,,                116673,                 21427,,,                              0.87,,,                              0.86,,,                              0,,                  1071,                 -7373,,,                     -8,                 -1253,,                 54167,                              0,,,,,
3596,2012年01月01日至2012年03月31日,,,              3499841,,                 18752,              3518593,,,,              3104071,                414522,                414522,,,                 80046,,                 76602,,                173022,                329670,                 84852,,,,                  6082,                  4479,                 10561,,                 14874,                              0,                  4863,,                 11213,                 11213,,                 19502,                 19502,                 23713,                108565,,                 16589,                 91976,                 91976,,,,,,,,,                -11328,                 80648,,                 83416,                  8560,,                 72088,                  8560,,,                              0.59,,,                              0.58,,,,,                    211,                -13630,,,                    -15,                 -2317,,,                  9800,,,                              0,,                              0
