證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1215,2014年01月01日至2014年03月31日,,              4158339,,              3660679,                497660,                497660,,,                190457,,                 78823,                269280,,                 11382,                239762,,,                    446,,                 17977,,                  9706,                  8717,                248479,,                 41867,                206612,                206612,,,                 10624,               -182184,               -171560,               -171560,                 35052,,                202586,                  4026,,                 30117,                  4935,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,
1215,2013年第3季,,              4820713,,              4327202,                493511,                493511,,,                222358,,                 83699,                306057,,                  1329,                188783,,,                 15274,,                  3288,,                 10391,                  8171,                196954,,                 32546,                164408,                164408,,,,,,               -144321,                 20087,,                160761,                  3647,,                 16967,                  3120,,                              0.66,                              0.66,,,,                 -6604,               -137717,,
1215,2013年第2季,,              4203846,,              3927994,                275852,                275852,,,                202011,,                 79454,                281465,,                  3200,                 -2413,,,                 31389,,                  8769,,                 10586,                 29572,                 27159,,                 18851,                  8308,                  8308,,,,,,               -533871,               -525563,,                 14782,                 -6474,,               -520443,                 -5120,,                              0.06,                              0.06,,,,                  8328,               -542199,,
1215,2013年度,,             18122414,,             16437261,              1685153,              1685153,,,                834811,,                323948,              1158759,,                 13443,                539837,,,                 48105,,                 19676,,                 43048,                 24733,                564570,,                112842,                451728,                451728,,,,,,               -148276,                303452,,                453081,                 -1353,,                299575,                  3877,,                              1.86,                              1.86,,                              1.86,                              1.86,                 28211,               -192085,                 18793,                  3195
1215,2013年07月01日至2013年09月30日,,              4820713,,              4327202,                493511,                493511,,,                222358,,                 83699,                306057,,                  1329,                188783,,,                 15274,,                  3288,,                 10391,                  8171,                196954,,                 32546,                164408,                164408,,,,,,               -144321,                 20087,,                160761,                  3647,,                 16967,                  3120,,                              0.70,                              0.70,,,,                 -6604,               -137717,,
1215,2013年04月01日至2013年06月30日,,              4203846,,              3927994,                275852,                275852,,,                202011,,                 79454,                281465,,                  3200,                 -2413,,,                 31389,,                  8769,,                 10586,                 29572,                 27159,,                 18851,                  8308,                  8308,,,,,,               -533871,               -525563,,                 14782,                 -6474,,               -520443,                 -5120,,                              0.06,                              0.06,,,,                  8328,               -542199,,
1215,2013年01月01日至2013年12月31日,,             18122414,,             16437261,              1685153,              1685153,,,                834811,,                323948,              1158759,,                 13443,                539837,,,                 48105,,                 19676,,                 43048,                 24733,                564570,,                112842,                451728,                451728,,,,,,               -148276,                303452,,                453081,                 -1353,,                299575,                  3877,,                              1.95,                              1.95,,,,                 28211,               -192085,                 18793,                  3195
1215,2013年01月01日至2013年09月30日,,             13404792,,             12255059,              1149733,              1149733,,,                633625,,                240985,                874610,,                  9229,                284352,,,                 47738,,                 14433,,                 33256,                 28915,                313267,,                 71726,                241541,                241541,,,,,,               -577100,               -335559,,                247527,                 -5986,,               -332649,                 -2910,,                              1.02,                              1.02,,,,                 22135,               -599235,,
1215,2013年01月01日至2013年06月30日,,              8584079,,              7927857,                656222,                656222,,,                411267,,                157286,                568553,,                  7900,                 95569,,,                 32464,,                 11145,,                 22865,                 20744,                116313,,                 39180,                 77133,                 77133,,,,,,               -432779,               -355646,,                 86766,                 -9633,,               -349616,                 -6030,,                              0.37,                              0.37,,,,                 28739,               -461518,,
1215,2013年01月01日至2013年03月31日,,              4380233,,              3999863,                380370,                380370,,,                209256,,                 77832,                287088,,                  4700,                 97982,,,                  1075,,                  2376,,                 12279,                 -8828,                 89154,,                 20329,                 68825,                 68825,,,,,,                101092,                169917,,                 71984,                 -3159,,                170827,                   -910,,                              0.31,                              0.31,,,,                 20411,                 80681,,
1215,2012年07月01日至2012年09月30日,,              4783989,,              4287592,                496397,                496397,,,                224125,,                 84208,                308333,,                              0,                188064,,,                 37541,,                 10866,,                 10160,                 38247,                226311,,                 49052,                177259,                177259,,,,,,               -307219,               -129960,,                174377,                  2882,,               -131405,                  1445,,                              0.75,                              0.75,,,,                -14189,               -293030,,
1215,2012年04月01日至2012年06月30日,,              4126909,,              3844485,                282424,                282424,,,                192974,,                 76836,                269810,,                 20170,                 32784,,,                 36518,,                 -1210,,                  8892,                 26416,                 59200,,                 18700,                 40500,                 40500,,,,,,                 57348,                 97848,,                 42812,                 -2312,,                 99186,                 -1338,,                              0.19,                              0.19,,,,                  9456,                 47892,,
1215,2012年01月01日至2012年12月31日,,             17770683,,             16392403,              1378280,              1378280,,,                802788,,                320980,              1123768,,                 -7400,                247112,,,                 76439,,                191435,,                 40759,                227115,                474227,,                153485,                320742,                320742,,,,,,                140528,                461270,,                323633,                 -2891,,                462592,                 -1322,,                              1.39,                              1.39,,,,                -25879,                 28307,                166385,                 28285
1215,2012年01月01日至2012年09月30日,,             13117811,,             12050727,              1067084,              1067084,,,                594570,,                240359,                834929,,                              0,                232155,,,                 74986,,                 28468,,                 28426,                 75028,                307183,,                 75416,                231767,                231767,,,,,,                 -6652,                225115,,                229481,                  2286,,                224813,                    302,,                              0.99,                              0.99,,,,                -20326,                 13674,,
1215,2012年01月01日至2012年06月30日,,              8333822,,              7763135,                570687,                570687,,,                370445,,                156151,                526596,,                              0,                 44091,,,                 37445,,                 17602,,                 18266,                 36781,                 80872,,                 26364,                 54508,                 54508,,,,,,                300567,                355075,,                 55104,                   -596,,                356218,                 -1143,,                              0.24,                              0.24,,,,                 -6137,                306704,,
1215,2012年01月01日至2012年03月31日,,              4206913,,              3918650,                288263,                288263,,,                177471,,                 79315,                256786,,                -20170,                 11307,,,                    927,,                 18812,,                  9374,                 10365,                 21672,,                  7664,                 14008,                 14008,,,,,,                243219,                257227,,                 12292,                  1716,,                257032,                    195,,                              0.05,                              0.05,,,,                -15593,                258812,,
