證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1773,2014年01月01日至2014年03月31日,,,,              1751558,                    105,                  1471,              1749982,              1749982,,              1487261,                262721,                262721,,,                 59355,,                 72327,,                 10149,                141831,                120890,,,,                     22,                     22,                  3553,                  3575,,                    429,                  5251,                    215,                  5465,,                              0,,                              0,,                    779,,                 18046,                 26307,                147197,,                 23750,                123447,                123447,,,                 -1931,,                 -1478,                   -328,                 -3081,                 -3081,                120366,,                123447,                              0,,                120366,                              0,,                              0.82,                              0,                              0,,,,,,,,
1773,2013年第3季,,,,              1781878,                    324,                  1004,              1780550,              1780550,,              1492706,                287844,                287844,,,                 66931,,                 69306,,                  7481,                143718,                144126,,,,                     68,                     68,                  2435,                  2503,,                              0,                              0,                    677,                 -1533,,                              0,,                              0,,                    536,,                 19939,                 20373,                164499,,                 26907,                137592,                137592,,,,,,,,                 -4532,                133060,,                137592,                              0,,                133060,                              0,,                              0.92,                              0,                    856,,,,                 -5606,,,                    121,                   -953
1773,2013年第2季,,,,              1644278,                    340,                  4169,              1639769,              1639769,,              1366978,                272791,                272791,,,                 55666,,                 69575,,                  8246,                133487,                139304,,,,                    340,                    340,                  3253,                  3593,,                    -72,                  2026,                  1059,                    895,,                              0,,                              0,,                    109,,                 25206,                 29585,                168889,,                 35179,                133710,                133710,,,,,,,,                  4387,                138097,,                133710,                              0,,                138097,                              0,,                              0.89,                              0,                              0,,,,                  5478,,,                   -159,                    932
1773,2013年度,,,,              6727060,                    686,                  9752,              6716622,              6716622,,              5586518,              1130104,              1130104,,,                232984,,                291618,,                 45596,                570198,                559906,,,,                    553,                    553,                 13496,                 14049,,                    461,                  9650,                  3019,                 -2508,,                              0,,                              0,,                  1358,,                 85840,                 96023,                655929,,                114779,                541150,                541150,,,,,,,,                 37894,                579044,,                541150,                              0,,                579044,                              0,,                              3.61,                              0,                              0,,                  9600,                  9600,                 22257,                  1996,,                 19421,                  5780
1773,2013年07月01日至2013年09月30日,,,,              1781878,                    324,                  1004,              1780550,              1780550,,              1492706,                287844,                287844,,,                 66931,,                 69306,,                  7481,                143718,                144126,,,,,                              0,                  2503,                  2503,,                              0,                   -856,                    677,                 -1533,,                              0,,                              0,,                    536,,                 19939,                 20373,                164499,,                 26907,                137592,                137592,,,,,,,,                 -4532,                133060,,                137592,                              0,,                133060,                              0,,                              1.04,                              0,                              0,,,,                 -4653,,,                    121,                              0
1773,2013年04月01日至2013年06月30日,,,,              1644278,                    340,                  4169,              1639769,              1639769,,              1366978,                272791,                272791,,,                 55666,,                 69575,,                  8246,                133487,                139304,,,,,                              0,                  3593,                  3593,,                    -72,                  2026,                  1059,                    895,,,,,,                    109,,                 25206,                 29585,                168889,,                 35179,                133710,                133710,,,,,,,,                  4387,                138097,,                133710,                              0,,                138097,                              0,,                              1.00,                              0,                              0,,,,                  4546,,,                   -159,                              0
1773,2013年01月01日至2013年12月31日,,,,              6727060,                    686,                  9752,              6716622,              6716622,,              5596840,              1119782,              1119782,,,                232984,,                291618,,                 35274,                559876,                559906,,,,                    553,                    553,                 13496,                 14049,,                    461,                  9650,                  3019,                 -2508,,                              0,,                              0,,                  1358,,                 85840,                 96023,                655929,,                114779,                541150,                541150,,,,,,,,                 37894,                579044,,                541150,                              0,,                579044,                              0,,                              4.05,                              0,                              0,,                  9600,                  9600,                 22257,                  1996,,                 19421,                  5780
1773,2013年01月01日至2013年09月30日,,,,              5005962,                    664,                  7816,              4997482,              4997482,,              4178796,                818686,                818686,,,                177550,,                203453,,                 23910,                404913,                413773,,,,                    522,                    522,                 12323,                 12845,,                    461,                  6108,                  2824,                  3745,,                              0,,                              0,,                    775,,                 67293,                 83108,                496881,,                 87703,                409178,                409178,,,,,,,,                  7910,                417088,,                409178,                              0,,                417088,                              0,,                              2.73,                              0,                              0,,,,                 11927,,,                   -333,                  3684
1773,2013年01月01日至2013年06月30日,,,,              3224084,                    340,                  6812,              3216932,              3216932,,              2686090,                530842,                530842,,,                110619,,                134147,,                 16429,                261195,                269647,,,,                    454,                    454,                  9888,                 10342,,                    462,                  6963,                  2147,                  5278,,                              0,,                              0,,                    239,,                 47354,                 62735,                332382,,                 60796,                271586,                271586,,,,,,,,                 12442,                284028,,                271586,                              0,,                284028,                              0,,                              1.81,                              0,                              0,,,,                 17533,,,                   -454,                  4637
1773,2013年01月01日至2013年03月31日,,,,              1579727,                              0,                  2643,              1577084,              1577084,,              1319112,                257972,                257972,,,                 54953,,                 64572,,                  8183,                127708,                130264,,,,                    114,                    114,                  6714,                  6828,,                    534,                  4937,                  1088,                  4383,,                              0,,                              0,,                    130,,                 22148,                 33229,                163493,,                 25617,                137876,                137876,,,,,,,,                  8055,                145931,,                137876,                              0,,                145931,                              0,,                              1.03,                              0,                              0,,,,                 12055,,,                   -295,                  3705
1773,2012年07月01日至2012年09月30日,,,,              1697862,                    668,                  1818,              1695376,              1695376,,              1407978,                287398,                287398,,,                 59658,,                 63168,,                  7462,                130288,                157110,,,,,                              0,                  3417,                  3417,,                    257,                 -3665,                  1591,                 -4999,,                              0,,                              0,,                    212,,                 15998,                 14204,                171314,,                 27533,                143781,                143781,,,,,,,,                 -5700,                138081,,                143781,                              0,,                138081,                              0,,                              1.08,                              0,                              0,,,,                 -4999,,,                   -701,                              0
1773,2012年04月01日至2012年06月30日,,,,              1758150,                              0,                  3414,              1754736,              1754736,,              1489581,                265155,                265155,,,                 56143,,                 65941,,                  7478,                129562,                135593,,,,,                              0,                  3651,                  3651,,                  6912,                  2887,                  1845,                  7954,,,,,,                    116,,                 19318,                 30807,                166400,,                 34615,                131785,                131785,,,,,,,,                  3131,                134916,,                131785,                              0,,                134916,                              0,,                              0.99,                              0,                              0,,,,                  2679,,,                    452,                              0
1773,2012年01月01日至2012年12月31日,,,,              6831721,                    904,                  9047,              6821770,              6821770,,              5718971,              1102799,              1102799,,,                224849,,                259306,,                 31129,                515284,                587515,,,,                    282,                    282,                 19733,                 20015,,                  7410,                              0,                  6714,                -11725,,                              0,,                              0,,                    589,,                 70000,                 77701,                665216,,                117822,                547394,                547394,,,,,,,,                 -8906,                538488,,                547394,                              0,,                538488,                              0,,                              4.10,                              0,                  5921,,                  6500,                  6500,                -13623,                 12728,,                 -9835,                 -1824
1773,2012年01月01日至2012年09月30日,,,,              5187225,                    846,                  6224,              5180155,              5180155,,              4350547,                829608,                829608,,,                165153,,                184121,,                 21712,                370986,                458622,,,,,                              0,                 14007,                 14007,,                  7169,                 -5952,                  4955,                 -3738,,                              0,,                              0,,                    521,,                 50770,                 60518,                519140,,                 91218,                427922,                427922,,,,,,,,                 -9467,                418455,,                427922,                              0,,                418455,                              0,,                              3.21,                              0,                              0,,,,                -10310,,,                    843,                              0
1773,2012年01月01日至2012年06月30日,,,,              3489363,                    178,                  4406,              3484779,              3484779,,              2942569,                542210,                542210,,,                105495,,                120953,,                 14250,                240698,                301512,,,,,                              0,                 10590,                 10590,,                  6912,                 -2287,                  3364,                  1261,,,,,,                    309,,                 34772,                 46314,                347826,,                 63685,                284141,                284141,,,,,,,,                 -3767,                280374,,                284141,                              0,,                280374,                              0,,                              2.13,                              0,                              0,,,,                 -5311,,,                  1544,                              0
1773,2012年01月01日至2012年03月31日,,,,              1731133,                    178,                    992,              1729963,              1729963,,              1452988,                276975,                276975,,,                 49352,,                 55012,,                  6772,                111136,                165839,,,,,                              0,                  7019,                  7019,,                              0,                              0,                  1519,                 -6693,,                              0,,                              0,,                    193,,                 15454,                 15587,                181426,,                 29070,                152356,                152356,,,,,,,,                 -6898,                145458,,                152356,                              0,,                145458,                              0,,                              1.14,                              0,                  5174,,,,                 -9627,,,                  1092,                 -1637
