證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 減損損失,　　　　 減損損失合計,　　 其他綜合損益,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　　 處分無形資產利益,　　　 處分投資利益,　　　 按攤銷後成本衡量之金融負債利益,　　　 當期原始認列生物資產之利益,　　　 生物資產當期公允價值減出售成本之變動之利益,　　　 公允價值調整利益－投資性不動產,　　　 不動產、廠房及設備重估價利益,　　　 無形資產重估價利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 停工損失,　　　 虧損性合約損失,　　　 保證合約損失,　　　 賠償損失,　　　 處分不動產、廠房及設備損失,　　　 處分投資性不動產損失,　　　 處分無形資產損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 按攤銷後成本衡量之金融負債損失,　　　 當期原始認列生物資產之損失,　　　 生物資產當期公允價值減出售成本之變動之損失,　　　 公允價值調整損失－投資性不動產,　　　 不動產、廠房及設備重估價損失,　　　 無形資產重估價損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益
1729,2014年01月01日至2014年03月31日,,                228730,,                172319,                 56411,                 56411,,,                 20095,,                 43677,,                 16962,                 80734,                -24323,,,                 13427,,                    714,,                  5831,,                  1264,                  9574,                -14749,,                 -8977,                 -5772,                 -5772,,,                 15019,,                    263,                              0,                 15282,                 15282,                  9510,,                  1104,                 -6876,,                 16123,                 -6613,,                              0.01,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年第3季,,                227379,,                217376,                 10003,                 10003,,,                 21368,,                 37676,,                 20839,                 79883,                -69880,,,                 14368,,                 -5721,,                  5274,,                    133,                  3506,                -66374,,                  4170,                -70544,                -70544,,,,,,,,                 -9613,                -80157,,                -44947,                -25597,,                -54537,                -25620,,                              0.24,,,,,,,,,,,,,,,,,,,,,,,,,                              0.24,,                223911,,                  3468,,                 -9604,,,                     -9,,,                230630,                  6719,,                217376,,                  2916,                 11452,                 -4294,                    941,                  2368,                  5274,                     -9,                              0.24,                              0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年第2季,,                232975,,                181864,                 51111,                 51111,,,                 24706,,                 49703,,                 22073,                 96482,                -45371,,,                 13334,,                 -3679,,                  6431,,                   -552,                  2672,                -42699,,                  4398,                -47097,                -47097,,,,,,,,                 13643,                -33454,,                -36199,                -10898,,                -22422,                -11032,,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,                             -0.20,,                231330,,                  1645,,                 13736,,,                    -93,,,                242222,                 10892,,                181864,,                  3483,                  9851,                  1485,                 -3047,                  2117,                  6431,                    -93,                             -0.20,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年度,,                925549,,                905033,                 20516,                 20516,,,                356142,,                181178,,                 95189,                632509,               -611993,,,                 45918,,                 -5351,,                 23403,,                 -2596,                 14568,               -597425,,                 10759,               -608184,               -608184,,,,,,,,                 44999,               -563185,,               -473316,               -134868,,               -428764,               -134421,,                             -2.56,,,,,,,,,,,,,,,,,,,,,,,,,                              0.00,,                925549,,                              0,                  2596,                 43683,                  1003,,                    484,                    171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年07月01日至2013年09月30日,,                227379,,                217376,                 10003,                 10003,,,                 21368,,                 37676,,                 20839,                 79883,                -69880,,,                 15309,,                 -6529,,                  5274,,                              0,                  3506,                -66374,,                  4170,                -70544,                -70544,,,,,,,,                 -9613,                -80157,,                -44947,                -25597,,                -54537,                -25620,,                             -0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,                223911,,                  3468,,                 -9604,                              0,,                     -9,                              0,,                230630,                  6719,,                217376,,                  2916,                 12393,                 -4294,                              0,                  2235,                  5274,                     -9,                             -0.24,,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0
1729,2013年04月01日至2013年06月30日,,                232975,,                181864,                 51111,                 51111,,,                 24706,,                 49703,,                 22073,                 96482,                -45371,,,                 13334,,                 -4231,,                  6431,,,                  2672,                -42699,,                  4398,                -47097,                -47097,,,,,,,,                 13643,                -33454,,                -36199,                -10898,,                -22422,                -11032,,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,                231330,,                  1645,,                 13736,,,                    -93,,,                326847,                 95517,,                181864,,                  3483,                  9851,                  1485,                 -3047,                  2669,                  6431,                    -93,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年01月01日至2013年12月31日,,                925549,,                905033,                 20516,                 20516,,,                356142,,                181178,,                 95189,                632509,               -611993,,,                 45957,,                 -7986,,                 23403,,,                 14568,               -597425,,                 10759,               -608184,               -608184,,,,,,,,                 44999,               -563185,,               -473316,               -134868,,               -428764,               -134421,,                             -2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,                918425,,                  7124,,                 43683,                  1003,,                    484,,,                953728,                 35303,,                905033,,                 12936,                 33021,                  3331,,                 11317,                 23403,,                             -2.56,,,                              0,                   -171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年01月01日至2013年09月30日,,                722628,,                604147,                118481,                118481,,,                324097,,                131403,,                 67116,                522616,               -404135,,,                 34872,,                 -2925,,                 17518,,                   -635,                 13794,               -390341,,                 11881,               -402222,               -402222,,,,,,,,                 32005,               -370217,,               -355535,                -46687,,               -323465,                -46752,,                              1.92,,,,,,,,,,,,,,,,,,,,,,,,,                              1.92,,                715725,,                  6903,,                 32126,,,                   -121,,,                746462,                 30737,,                604147,,                  9747,                 25125,                  2009,                  1242,                  6176,                 17518,                   -121,                              1.92,                              1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年01月01日至2013年06月30日,,                495249,,                386771,                108478,                108478,,,                302729,,                 93460,,                 46277,                442466,               -333988,,,                 20504,,                  2796,,                 12244,,                   -768,                 10288,               -323700,,                  7978,               -331678,               -331678,,,,,,,,                 41618,               -290060,,               -310588,                -21090,,               -268928,                -21132,,                             -1.68,,,,,,,,,,,,,,,,,,,,,,,,,                             -1.68,,                491814,,                  3435,,                 41660,,,                    -42,,,                515832,                 24018,,                386771,,                  6831,                 13673,                  6303,                    301,                  3808,                 12244,                    -42,                             -1.68,                             -1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年01月01日至2013年03月31日,,                262274,,                204479,                 57795,                 57795,,,                278023,,                 43008,,                 24204,                345235,               -287440,,,                  7170,,                  5082,,                  5813,,,                  6439,               -281001,,                  3580,               -284581,               -284581,,,,,,,,                 27975,               -256606,,               -274389,                -10192,,               -246506,                -10100,,                              1.48,,,,,,,,,,,,,,,,,,,,,,,,,                              1.48,,                260484,,                  1790,,                 27924,,,                     51,,,                273610,                 13126,,                204479,,                  3348,                  3822,                  4818,                  3348,                  3084,                  5813,,                              1.48,                              1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2012年07月01日至2012年09月30日,,                370664,,                281387,                 89277,                 89277,,,                 32339,,                 48557,,                 24201,                105097,                -15820,,,                  2892,,                -15910,,                  5547,,                              0,                -18565,                -34385,,                 -3273,                -31112,                -31112,,,,,,,,                -25812,                -56924,,                -23000,                 -8112,,                -48785,                 -8139,,                             -0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,                368122,,                  2542,,                -25812,                              0,,                              0,                              0,,                389893,                 21771,,                281387,,                  2131,                    761,                 -1491,                              0,                  1413,                  5547,                              0,                             -0.12,,,                 13006,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0
1729,2012年04月01日至2012年06月30日,,                519275,,                388034,                131241,                131241,,,                 39877,,                 43992,,                 25811,                109680,                 21561,,,                  9052,,               -168975,,                 14873,,,               -174796,               -153235,,                  7317,               -160552,               -160552,,,,,,,,                 14676,               -145876,,               -151075,                 -9477,,               -136407,                 -9469,,                             -0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,                515369,,                  3906,,                 14676,,,                              0,,,                544929,                 29560,,                388034,,                  5002,                  4050,                  2277,                              0,                171252,                 14873,                              0,                             -0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2012年01月01日至2012年12月31日,,              1483552,,              1125805,                357747,                357747,,,                111264,,                236707,,                102026,                449997,                -92250,,,                 38544,,               -269932,,                 45516,,,               -276904,               -369154,,                 39583,               -408737,               -408737,,,,,,,,                -59239,               -467976,,               -365225,                -43512,,               -424677,                -43299,,                             -1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,              1475850,,                  7702,,                -55500,                 -4329,,                    -85,,,              1558441,                 82591,,              1125805,,                 15026,                 23518,                -27034,,                208228,                 45516,,                             -1.97,,,                 34670,                    675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2012年01月01日至2012年09月30日,,              1204307,,                896514,                307793,                307793,,,                 95090,,                144958,,                 70411,                310459,                 -2666,,,                 17896,,               -206395,,                 39989,,                              0,               -228488,               -231154,,                  8081,               -239235,               -239235,,,,,,,,                -46541,               -285776,,               -213257,                -25978,,               -259738,                -26038,,                             -1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,              1195387,,                  8920,,                -46541,                              0,,                              0,                              0,,              1258082,                 62695,,                896514,,                 11472,                  6424,                -14199,                              0,                179190,                 39989,                              0,                             -1.15,,,                 13006,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0
1729,2012年01月01日至2012年06月30日,,                833643,,                615127,                218516,                218516,,,                 62295,,                 96068,,                 46666,                205029,                 13487,,,                 14971,,               -190452,,                 34442,,,               -209923,               -196436,,                 11687,               -208123,               -208123,,,,,,,,                -20729,               -228852,,               -190257,                -17866,,               -210953,                -17899,,                             -1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,                827265,,                  6378,,                -20729,,,                              0,,,                868189,                 40924,,                615127,,                  9341,                  5630,                -12708,                     33,                177777,                 34442,                              0,                             -1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2012年01月01日至2012年03月31日,,                314368,,                227093,                 87275,                 87275,,,                 22418,,                 52076,,                 20855,                 95349,                 -8074,,,                  5919,,                -21477,,                 19569,,,                -35127,                -43201,,                  4370,                -47571,                -47571,,,,,,,,                -35405,                -82976,,                -39182,                 -8389,,                -74546,                 -8430,,                             -0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,                311896,,                  2472,,                -35405,,,                              0,,,                323260,                 11364,,                227093,,                  4339,                  1580,                              0,                              0,                  6492,                 19569,                              0,                             -0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 14985,,,,,,,,,,,,,,,,,
