證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分投資損失,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
5215,2014年01月01日至2014年03月31日,,,,                420697,,,,                339939,                 80758,                 80758,,,                  6864,,                 38435,,                 10966,                 56265,,                   -185,                 24308,,,,                  5557,                    372,,                    320,                  6249,,                              0,                  1720,                  4557,                    269,                  6008,,                    185,                    185,,                  1038,                 13110,                 37418,,                 10616,                 26802,                 26802,,,                 18328,                 18328,                 18328,                 45130,,                 27882,                 -1080,,                 46111,                   -981,,                              0.51,,                              0.51,,,,,
5215,2013年第3季,,,,                430200,,,,                342103,                 88097,                 88097,,,                  5471,,                 40691,,                 12754,                 58916,,                   -118,                 29063,,,,                  4078,                    222,                              0,                    322,                  4622,,                              0,                              0,                              0,                    110,                 -5024,,                     28,                     28,,                   -466,                   -896,                 28167,,                  6373,                 21794,                 21794,,,,,                -14551,                  7243,,                 22835,                 -1041,,                  8290,                 -1047,,                              0.42,,                              0.42,,                  4914,                -14551,,
5215,2013年第2季,,,,                345671,,,,                286520,                 59151,                 59151,,,                  6106,,                 29697,,                 11062,                 46865,,                     78,                 12364,,,,                  2995,                    511,,                    206,                  3712,,                              0,                              0,                              0,                    226,                 -5105,,                              0,                              0,,                 -1051,                 -2444,                  9920,,                  2366,                  7554,                  7554,,,,,                 27108,                 34662,,                  7554,                              0,,                 34662,                              0,,                              0.14,,                              0.14,,                  4879,                 27108,,
5215,2013年度,,,,              1549663,,,,              1271729,                277934,                277934,,,                 25363,,                136847,,                 46359,                208569,,                   -850,                 68515,,,,                 13627,                  1219,                              0,                  1506,                 16352,,                              0,                              0,                              0,                    997,                -13548,,                    302,                    302,,                  1191,                  3693,                 72208,,                 19490,                 52718,                 52718,,,,,                 83276,                135994,,                 54736,                 -2018,,                137846,                 -1852,,                              1.01,,                              1.00,,                 12551,                 83276,                              1.01,                              1.00
5215,2013年07月01日至2013年09月30日,,,,                430200,,,,                342103,                 88097,                 88097,,,                  5471,,                 40691,,                 12754,                 58916,,                   -118,                 29063,,,,                  4078,                    222,,                    322,                  4622,,,,,                    110,                 -5024,,                     28,                     28,,                   -466,                   -896,                 28167,,                  6373,                 21794,                 21794,,,,,                -14551,                  7243,,                 22835,                 -1041,,                  8290,                 -1047,,                              0.42,,                              0.42,,                  4914,                -14551,                              0.42,                              0.42
5215,2013年04月01日至2013年06月30日,,,,                345671,,,,                286520,                 59151,                 59151,,,                  6106,,                 29697,,                 11062,                 46865,,                     78,                 12364,,,,                  2995,                    511,,                    206,                  3712,,,                              0,,                    226,                 -5105,,,,,                 -1051,                 -2444,                  9920,,                  2366,                  7554,                  7554,,,,,                 27108,                 34662,,                  7554,,,                 34662,,,                              0.14,,                              0.14,,                  4879,                 27108,,
5215,2013年01月01日至2013年12月31日,,,,              1549663,,,,              1271729,                277934,                277934,,,                 25363,,                136847,,                 46359,                208569,,                   -850,                 68515,,,,                 13627,                  1219,,                  1506,                 16352,,,,,                    997,                -13548,,                    302,                    302,,                  1191,                  3693,                 72208,,                 19490,                 52718,                 52718,,,,,                 83276,                135994,,                 54736,                 -2018,,                137846,                 -1852,,                              1.01,,                              1.00,,                 12551,                 83276,                              1.01,                              1.00
5215,2013年01月01日至2013年09月30日,,,,              1111083,,,,                903198,                207885,                207885,,,                 17837,,                106485,,                 34316,                158638,,                    -42,                 49205,,,,                  9425,                    847,                              0,                  1322,                 11594,,                              0,                              0,                              0,                    867,                -11729,,                     28,                     28,,                    668,                    505,                 49710,,                 11707,                 38003,                 38003,,,,,                 55697,                 93700,,                 39044,                 -1041,,                 94747,                 -1047,,                              0.72,,                              0.71,,                 10862,                 55697,,
5215,2013年01月01日至2013年06月30日,,,,                680883,,,,                561095,                119788,                119788,,,                 12366,,                 65794,,                 21562,                 99722,,                     76,                 20142,,,,                  5347,                    625,,                  1000,                  6972,,                              0,                              0,                              0,                    754,                 -6702,,                      3,                      3,,                  1134,                  1401,                 21543,,                  5334,                 16209,                 16209,,,,,                 70248,                 86457,,                 16209,                              0,,                 86457,                              0,,                              0.30,,                              0.30,,                  5948,                 70248,,
5215,2013年01月01日至2013年03月31日,,,,                335212,,,,                274575,                 60637,                 60637,,,                  6260,,                 36097,,                 10500,                 52857,,                     -2,                  7778,,,,                  2352,                    114,,                    794,                  3260,,,                              0,                              0,                    528,                 -1597,,                      3,                      3,,                  2185,                  3845,                 11623,,                  2968,                  8655,                  8655,,,,,                 43140,                 51795,,                  8655,                              0,,                 51795,                              0,,                              0.16,,                              0.16,,                  1069,                 43140,,
5215,2012年07月01日至2012年09月30日,,,,                415291,,,,                301116,                114175,                114175,,,                  7697,,                 30135,,                 10847,                 48679,,                    -92,                 65404,,,,                  2343,                              0,,                    295,                  2638,,,,,                     38,                 -2241,,                              0,                              0,,                   -960,                   -563,                 64841,,                 22513,                 42328,                 42328,,,,,                -31099,                 11229,,                 42328,                              0,,                 11229,                              0,,                              0.78,,                              0.77,,                  2203,                -31099,                              0.78,                              0.77
5215,2012年04月01日至2012年06月30日,,,,                485151,,,,                334077,                151074,                151074,,,                  3596,,                 37568,,                 10602,                 51766,,                    -30,                 99278,,,,                  1956,                              0,,                    405,                  2361,,,                  4552,,                     72,                  4480,,,,,                   -205,                  6636,                105914,,                 27174,                 78740,                 78740,,,,,                 11460,                 90200,,                 78740,,,                 90200,,,                              1.45,,                              1.43,,                              0,                 11460,,
5215,2012年01月01日至2012年12月31日,,,,              1791935,,,,              1288717,                503218,                503218,,,                 23046,,                132987,,                 41933,                197966,,                 -1251,                304001,,,,                  8716,                    465,,                  1234,                 10415,,,,,                    299,                -11846,,                              0,                              0,,                 -1376,                 -2807,                301194,,                 91416,                209778,                209778,,,,,                -54551,                155227,,                209778,                              0,,                155227,                              0,,                              3.86,,                              3.82,,                 11547,                -54551,                              3.86,                              3.82
5215,2012年01月01日至2012年09月30日,,,,              1314479,,,,                947476,                367003,                367003,,,                 19915,,                 96881,,                 32525,                149321,,                    -65,                217617,,,,                  6031,                    465,,                    990,                  7486,,,,,                    158,                 -6672,,                              0,                              0,,                 -1165,                   -351,                217266,,                 63676,                153590,                153590,,,,,                -51218,                102372,,                153590,                              0,,                102372,                              0,,                              2.83,,                              2.80,,                  6514,                -51218,                              2.83,                              2.80
5215,2012年01月01日至2012年06月30日,,,,                899188,,,,                646360,                252828,                252828,,,                 12218,,                 66746,,                 21678,                100642,,                     27,                152213,,,,                  3688,                    465,,                    695,                  4848,,,                              0,,                    120,                 -4431,,,,,                   -205,                    212,                152425,,                 41163,                111262,                111262,,,,,                -20119,                 91143,,                111262,,,                 91143,,,                              2.05,,                              2.03,,                  4311,                -20119,,
5215,2012年01月01日至2012年03月31日,,,,                414037,,,,                312283,                101754,                101754,,,                  8622,,                 29178,,                 11076,                 48876,,                     57,                 52935,,,,                  1732,                    465,,                    290,                  2487,,,,,                     48,                 -8911,,,,,                              0,                 -6424,                 46511,,                 13989,                 32522,                 32522,,,,,                -31579,                    943,,                 32522,,,                    943,,,                              0.69,,                              0.68,,                  8863,                -31579,,
