證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）
9955,2013年第3季,,              1008562,,                884794,                123768,                123768,,,                  4799,,                 26822,,                    703,                 32324,                 91444,,,                    740,,                 -1669,,                  3018,,,                 -3947,                 87497,,                    512,                 86985,                 86985,,,,,,                 -3578,                 83407,,                 86986,                     -1,,                 83408,                     -1,,                              0.84,,                              0.84,                 -4311,                   -733,
9955,2013年第2季,,              1195298,,              1250896,                -55598,                -55598,,,                  6135,,                 27758,,                  1339,                 35232,                -90830,,,                    456,,                  1087,,                  1907,,,                   -364,                -91194,,                    537,                -91731,                -91731,,,,,,                  5477,                -86254,,                -91731,                              0,,                -86254,                              0,,                             -0.89,,                             -0.89,                  6599,                  1122,
9955,2013年07月01日至2013年09月30日,,              1008562,,                884794,                123768,                123768,,,                  4799,,                 26822,,                    703,                 32324,                 91444,,,                    740,,                 -1669,,                  3018,,,                 -3947,                 87497,,                    512,                 86985,                 86985,,,,,,                 -3578,                 83407,,                 86986,                     -1,,                 83408,                     -1,,                              0.84,,                              0.84,                 -4311,                   -733,
9955,2013年04月01日至2013年06月30日,,              1195298,,              1250896,                -55598,                -55598,,,                  6135,,                 27758,,                  1339,                 35232,                -90830,,,                    456,,                  1087,,                  1907,,,                   -364,                -91194,,                    537,                -91731,                -91731,,,,,,                  5477,                -86254,,                -91731,                              0,,                -86254,                              0,,                             -0.89,,                             -0.89,                  6599,                  1122,
9955,2013年01月01日至2013年12月31日,,              4311810,,              4252272,                 59538,                 59538,,,                 22492,,                116179,,                  3565,                142236,                -82698,,,                  2487,,                 15700,,                  9055,,,                  9132,                -73566,,                -10602,                -62964,                -62964,,,,,,                 42385,                -20579,,                -62975,                     11,,                -20616,                     37,,                             -0.61,,,                 19364,                  3292,                 26313
9955,2013年01月01日至2013年09月30日,,              3410322,,              3306861,                103461,                103461,,,                 17920,,                 86243,,                  3503,                107666,                 -4205,,,                  1638,,                 13932,,                  8638,,,                  6932,                  2727,,                    899,                  1828,                  1828,,,,,,                 10987,                 12815,,                  1815,                     13,,                 12802,                     13,,                              0.02,,                              0.02,                 13237,                  2250,
9955,2013年01月01日至2013年06月30日,,              2401760,,              2422067,                -20307,                -20307,,,                 13121,,                 59421,,                  2800,                 75342,                -95649,,,                    898,,                 15601,,                  5620,,,                 10879,                -84770,,                    387,                -85157,                -85157,,,,,,                 14565,                -70592,,                -85171,                     14,,                -70606,                     14,,                             -0.83,,                             -0.83,                 17548,                  2983,
9955,2013年01月01日至2013年03月31日,,              1206462,,              1171171,                 35291,                 35291,,,                  6986,,                 31663,,                  1461,                 40110,                 -4819,,,                    442,,                 14514,,                  3713,,,                 11243,                  6424,,                   -150,                  6574,                  6574,,,,,,                  9088,                 15662,,                  6560,                     14,,                 15648,                     14,,                              0.06,,                              0.06,                 10949,                  1861,
9955,2012年07月01日至2012年09月30日,,              2078490,,              1993609,                 84881,                 84881,,,                  4141,,                 36837,,                  2928,                 43906,                 40975,,,                    226,,                 -7758,,                  1806,,,                 -9338,                 31637,,                  5434,                 26203,                 26203,,,,,,                 -2445,                 23758,,                 26204,                     -1,,                 23759,                     -1,,                              0.25,,                              0.25,                 -2945,                   -500,
9955,2012年04月01日至2012年06月30日,,              1606924,,              1579743,                 27181,                 27181,,,                  3679,,                 30412,,                  2417,                 36508,                 -9327,,,                   -438,,                   -213,,                  1455,,,                 -2106,                -11433,,                   -835,                -10598,                -10598,,,,,,                    934,                 -9664,,                -10594,                     -4,,                 -9660,                     -4,,                             -0.10,,                             -0.10,                  1125,                    191,
9955,2012年01月01日至2012年12月31日,,              6786063,,              6543679,                242384,                242384,,,                 19089,,                133660,,                 10128,                162877,                 79507,,,                  2958,,                -15183,,                  5699,,,                -17924,                 61583,,                 12011,                 49572,                 49572,,,,,,                -15107,                 34465,,                 49583,                    -11,,                 34478,                    -13,,                              0.47,,,                -11463,                 -1948,                 -5592
9955,2012年01月01日至2012年09月30日,,              5679843,,              5457677,                222166,                222166,,,                 12629,,                101234,,                  7780,                121643,                100523,,,                  1709,,                -14823,,                  4841,,,                -17955,                 82568,,                 15123,                 67445,                 67445,,,,,,                 -9457,                 57988,,                 67453,                     -8,,                 57996,                     -8,,                              0.63,,                              0.63,                -11393,                 -1936,
9955,2012年01月01日至2012年06月30日,,              3601353,,              3464068,                137285,                137285,,,                  8488,,                 64397,,                  4852,                 77737,                 59548,,,                  1483,,                 -7065,,                  3035,,,                 -8617,                 50931,,                  9689,                 41242,                 41242,,,,,,                 -7012,                 34230,,                 41249,                     -7,,                 34237,                     -7,,                              0.39,,                              0.39,                 -8448,                 -1436,
9955,2012年01月01日至2012年03月31日,,              1994429,,              1884325,                110104,                110104,,,                  4809,,                 33985,,                  2435,                 41229,                 68875,,,                  1921,,                 -6852,,                  1580,,,                 -6511,                 62364,,                 10524,                 51840,                 51840,,,,,,                 -7946,                 43894,,                 51843,                     -3,,                 43897,                     -3,,                              0.49,,                              0.45,                 -9573,                 -1627,
