證券代號,年季,　 收入,　　 利息收入,　　 保費收入,　　 再保佣金收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 分離帳戶保險商品收益,　　 備供出售金融資產已實現利益,　　 以成本衡量之金融資產及負債利益,　　 無活絡市場之債務工具投資利益,　　 銷貨收入淨額,　　　 銷貨收入,　　　 銷貨退回 ,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　 勞務收入,　　 營建工程收入,　　 處分投資利益,　　 投資性不動產利益,　　 外匯價格變動準備淨變動,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 承保費用,　　 佣金費用,　　 保險賠款與給付,　　 其他保險負債淨變動,　　 採用權益法認列之關聯企業及合資損失之份額,　　 分離帳戶保險商品費用,　　 透過損益按公允價值衡量之金融資產及負債損失,　　 銷貨成本,　　 租賃成本,　　 勞務成本,　　 工程成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 處分不動產、廠房及設備損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主[duplicate]62,　　 非控制股權[duplicate]63,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 以成本衡量之金融資產及負債損失,　　 處分投資損失,　　 兌換損失,　　 母公司業主[duplicate]65,　　 非控制股權[duplicate]66,　　 處分不動產、廠房及設備利益,　　 母公司業主[duplicate]64,　　 非控制股權[duplicate]65,　　 無活絡市場之債券投資利益,　　 減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 母公司業主[duplicate]63,　　 非控制股權[duplicate]64,　　 母公司業主[duplicate]59,　　 非控制股權[duplicate]60,　　 持有至到期日金融資產已實現利益,　　 保險負債淨變動,　　 其他綜合損益－其他,　　 母公司業主[duplicate]67,　　 共同控制下前手權益,　　 持有至到期日金融資產已實現損失
2905,2014年01月01日至2014年03月31日,,              4599795,             34265492,                476099,                119531,                 45723,              3668714,              1067490,                              0,                  8102,,              4900099,                  2256,                    403,              4897440,                 16814,                111519,                  4616,                              0,                 99069,                -36733,              3049626,                 44063,             52437377,,                 36936,                 10503,              2968428,              8830910,             27775626,,              3668714,              3558059,              3200782,                  1326,                  3446,                  4453,,                380933,              2319529,                 33670,              2734132,                              0,                 74421,             52867736,               -430359,                145985,               -576344,               -576344,,,                -14971,              2059006,                106532,              1937503,              1937503,              1361159,,               -303279,               -273065,,,,,                             -0.47,                             -0.47,                              0,,,                              0,,,                     17,                737390,                623769,,,,,,,,,,,,,,,,
2905,2013年第3季,,              3582271,             27863748,                522670,                119115,                 32568,              3963595,              1263355,                  4846,,,              4989395,                  4674,                    902,              4983819,                 17274,                110134,                  9271,                    134,                 62507,                 -3416,                              0,                 67796,             43624397,,                 30281,                 10518,              2363733,              4854417,             24326532,,              3963595,                              0,              3354159,                  2976,                  3446,                  8901,,                281955,              2475916,                 27048,              2784919,                  7010,                110717,             43141047,                483350,                -19193,                502543,                502543,,,,,,,               -792271,               -289728,,                153411,                349132,,                -97635,               -192093,,,                              0.24,                996818,,                              0,              1319843,,,,,,                 27892,,                -15899,               -810021,,                -33649,,,,,,,,,,
2905,2013年第2季,,              3491441,             21930338,                472797,                131973,                 34783,             -1236918,              1852183,                  1838,,,              4530301,                 14343,                    964,              4514994,                  7214,                124245,                 12680,                     53,                 58016,                -49455,                              0,                 71414,             31576286,,                 29213,                  9088,              1902304,              4837431,             18684141,,             -1236918,                              0,              2978240,                  3106,                  3446,                 12326,,                382846,              2277708,                 28602,              2689156,                  1618,                 54380,             30398206,              1178080,                261051,                917029,                917029,,,,,,,             -4029499,             -3112470,,                372865,                544164,,,,,,                              0.58,                117339,                  5814,                              0,                424861,,,,,,                 41351,,                 35804,             -4531924,,               -466621,             -1547847,             -1564623,,,,,,,,
2905,2013年度,,             15028676,            116907685,              2214672,                488857,                114567,              9937185,              5315700,,,,             18906574,                 13556,                  4973,             18888045,                 58601,                459876,                 78319,                207100,              1116185,               -196419,              2507084,                276095,            173585978,,                134873,                 38446,              9874355,             21145867,            102633933,,              9937185,              3778463,             12461588,                 12988,                 13786,                119705,,              1689236,              9362379,                124924,             11176539,                 17621,                326894,            171672626,              1913352,                 70907,              1842445,              1842445,,,,,,,             -5364207,             -3521762,,                918884,                923561,,             -1388855,             -2132907,,                              1.43,                              1.43,                 20680,                    331,,,,,,,,                163070,                     52,                 62442,             -6246796,                135962,               -684185,,,,,,,,,,
2905,2013年07月01日至2013年09月30日,,              3582271,             27863748,                522670,                119115,                 32568,              3963595,              1263355,                  4846,,,              4989395,                  4674,                    902,              4983819,                 17274,                119405,,                    134,                 62507,                 -3416,                              0,                 67796,             43624397,,                 30281,                 10518,              2363733,              4854417,,,              3963595,                              0,              3354159,                  2976,                 12348,,,                281955,              2475916,                 27048,              2784919,                  7010,                110716,             43141047,                483350,                -19193,                502543,                502543,,,,,,,               -792271,               -289728,,                153411,                349132,,                -97635,               -192093,,,                              0.24,                996818,,                              0,              1319843,,,,,,                 27892,                              0,                -15899,               -776372,,,,,,,                              0,             24326532,,,,                              0
2905,2013年04月01日至2013年06月30日,,              3491441,             21930338,                472797,                131973,                 34783,             -1236918,              1852183,                 -3976,,,              4530301,                 14343,                    964,              4514994,                  7214,                136925,,                    134,                117565,                -49455,               -420141,                 11865,             31036607,,                 29213,                  9088,              1902304,              4837431,,,             -1236918,               -113766,              2978239,                  3106,                 15773,,,                382846,              2277707,                 28602,              2689155,                  1579,                 54381,             29858528,              1178079,                261050,                917029,                917029,,,,,,,             -4029499,             -3112470,,                372865,                544164,,             -1547847,             -1564623,,,                              0.63,                  3573,,                     81,                  4721,,,                    -39,,,                 41351,                              0,                 35804,             -4065303,,,,,,,                              0,             18684141,,,,
2905,2013年01月01日至2013年12月31日,,             15028676,            116907685,              2214672,                488857,                114567,              9937185,              5315700,                              0,,,             18906574,                 13556,                  4973,             18888045,                 58601,                459876,                 78319,                207100,              1116185,               -196419,              2507084,                276095,            173585978,,                134873,                 38446,              9874355,             21145867,,,              9937185,              3778463,             12461588,                 12988,                 13786,                119705,,              1689236,              9362379,                124924,             11176539,                 17621,                326894,            171672626,              1913352,                 70907,              1842445,              1842445,,,,,,,             -5368370,             -3525925,,                918884,                923561,,,,,,                              1.43,                 20680,                    331,,                              0,,,                              0,,,                163070,                     52,                 62442,             -6246796,                135962,               -684185,,,,,                              0,            102633933,                 -4163,             -1393019,             -2132906,
2905,2013年01月01日至2013年09月30日,,             10705338,             82204152,              1617808,                370974,                124406,              6860364,              4323194,                  3008,,,             14076437,                 25931,                  3111,             14047395,                 34306,                367817,                 68017,                              0,                180072,                -13138,              1096717,                208262,            122308107,,                 88941,                 27774,              7066058,             14082957,             72526086,,              6860364,              2192659,              9352594,                  8930,                 10339,                 65972,,                970115,              7011142,                 84624,              8065881,                  8619,                229044,            120586599,              1721508,                 79115,              1642393,              1642393,,,,,,,             -4748475,             -3106082,,                486564,              1155829,,             -1511052,             -1595030,,,                              0.76,                              0,,                    381,                              0,,,,,,                109415,,                 42807,             -5511142,,               -719860,,,,,,,,,,
2905,2013年01月01日至2013年06月30日,,              7123067,             54340404,              1095138,                251859,                 91839,              2896769,              3059839,                              0,,,              9087042,                 21257,                  2209,              9063576,                 17032,                257683,                 58746,                              0,                117565,                 -9722,              2416559,                140466,             81002343,,                 58660,                 17256,              4702325,              9228540,             48199554,,              2896769,              3189478,              5998435,                  5953,                  6893,                 57071,,                688160,              4535226,                 57576,              5280962,                  1609,                118327,             79764185,              1238158,                 98308,              1139850,              1139850,,,,,,,             -3956204,             -2816354,,                333153,                806697,,,,,,                              0.52,                              0,                  1838,                    515,                              0,,,,,,                 81523,,                 58706,             -4701121,,               -686211,             -1413417,             -1402937,,,,,,,,
2905,2013年01月01日至2013年03月31日,,              3631627,             32410066,                622341,                119886,                 57056,              4133687,              1207656,                  2138,,,              4556741,                  6915,                  1245,              4548581,                  9818,                133438,                 46066,,                 59549,                 39733,              2841421,                 69051,             49972295,,                 29446,                  8168,              2800021,              4391109,             29515413,,              4133687,              3306817,              3020196,                  2846,                  3446,                 44745,,                305314,              2257518,                 28974,              2591806,,                 63948,             49912217,                 60078,               -162743,                222821,                222821,,,,,,,                 73295,                296116,,                -39712,                262533,,,,,,                             -0.06,,,                    569,,,,                      9,,,                 40172,,                 22902,               -169197,,               -219590,,,                134430,                161686,,,,,,
2905,2012年07月01日至2012年09月30日,,              3400235,             24589855,                536523,                117382,                253211,              4371368,                659436,                  4600,,,              4476204,                  8287,                  6928,              4460989,                 10135,                124660,,                  7816,                854526,                 72580,                              0,              1454647,             41722879,,                 28006,                 11938,              2407258,              6573282,,,              4371368,                              0,              2953806,                  2794,                 51018,,,                195718,              2461543,                 30437,              2687698,                133519,                 73798,             39963344,              1759535,                293345,              1466190,              1466190,,,,,,,              1947499,              3413689,,              1290655,                175535,,              2055323,              1358366,,,                              2.01,                804916,,                              0,              1345158,,,,,,                              0,                    483,                -10798,              1958297,,,,,,,                              0,             19118032,,,,                205186
2905,2012年04月01日至2012年06月30日,,              3131260,             18768483,                447368,                131969,                -67891,               -110848,                504213,                  5618,,,              4646956,                  7088,                    872,              4638996,                  8671,                124786,,                  3664,                123039,                -46239,                  8484,                  6381,             26872427,,                 24560,                 10466,              1967385,              6512624,,,               -110848,                 19695,              3236445,                  2786,                 24707,,,                349521,              2109438,                 28261,              2487220,                -15296,                 33135,             26253532,                618895,                118673,                500222,                500222,,,,,,,             -3134495,             -2634273,,                232372,                267850,,             -1121417,             -1512856,,,                              0.39,             -1525230,,                    844,             -1119915,,,                    341,,,                130725,                    331,                -17177,             -3117318,,,,,,,                588637,             13179393,,,,
2905,2012年01月01日至2012年12月31日,,             13019722,             97746346,              2133773,                488736,                305586,             11460599,              1911032,                 13483,,,             18346948,                 52645,                  9816,             18284487,                 33738,                472551,                179778,                    510,              1036737,                -56339,                              0,              1368563,            150829775,,                118077,                 40797,              9276408,             26447569,,,             11460599,                  4813,             12275490,                 11393,                 13885,                191872,,              1682015,              8610851,                123767,             10416633,                              0,                278444,            149514329,              1315446,                123855,              1191591,              1191591,,,,,,,              8451039,              9642630,,              1006494,                185097,,,,,,                              1.57,              1529923,                              0,,              3087455,,,                 26670,,,                136047,                 92931,                -12491,              9589309,               -380666,                745113,,,,,                737833,             75797963,                              0,              4961725,              4680905,
2905,2012年01月01日至2012年09月30日,,              9681241,             66752417,              1585063,                370659,                292803,              9059752,              1628389,                 10218,,,             13690294,                 20045,                  8913,             13661336,                 28358,                373523,,                 11233,                994174,                106715,                              0,              1571837,            107654979,,                 79962,                 31231,              6720239,             21253299,,,              9059752,                              0,              9255941,                  8545,                 79209,,,                817685,              6709632,                 88298,              7615615,                106787,                236111,            105491163,              2163816,                153241,              2010575,              2010575,,,,,,,              1941104,              3951679,,              1513781,                496794,,              2739135,              1212544,,,                              2.36,                789801,,                              0,              2304845,,,,,,                136047,                  1421,                -48704,              1989808,,,,,,,                601413,             48738206,,,,                              0
2905,2012年01月01日至2012年06月30日,,              6281006,             42162562,              1048540,                253277,                 39592,              4688384,                968953,                  5618,,,              9214089,                 11758,                  1985,              9200346,                 18223,                248864,,                  4397,                139648,                 34135,                 13123,                117189,             66203487,,                 51956,                 19293,              4312981,             14680017,,,              4688384,                 20190,              6302134,                  5751,                 28190,,,                621967,              4248088,                 57861,              4927916,                  5177,                162316,             65799206,                404281,               -140103,                544384,                544384,,,,,,,                 -6395,                537989,,                223126,                321258,,                683812,               -145823,,,                              0.38,                  5075,,                    979,                972810,,,                 31909,,,                136047,                    938,                -37906,                 31511,,,,,,,                806599,             29620174,,,,
2905,2012年01月01日至2012年03月31日,,              3149746,             23394079,                601172,                121308,                107484,              4799232,                464740,                              0,,,              4567134,                  4670,                  1113,              4561351,                  9552,                124077,,                    732,                 16609,                 80374,                  4640,                146166,             39366419,,                 27396,                  8827,              2345596,              8167393,,,              4799232,                    495,              3089742,                  2965,                  3483,,,                272446,              2138650,                 29600,              2440696,                 20473,                140487,             39581033,               -214614,               -258776,                 44162,                 44162,,,,,,,              3128100,              3172262,,                 -9246,                 53408,,              1805229,              1367033,,,                             -0.02,              1530305,,                    135,              2092725,,,                 31568,,,                  5322,                    607,                -20729,              3148829,,,,,,,                217962,             16440781,,,,
