證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 附賣回票債券投資利息收入,　　　　 投資有價證券利息收入（持有票債券利息收入）,　　　　 其他利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 央行及同業融資利息費用,　　　　 附買回票債券負債利息費用,　　　　 其他利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費收入,　　　　　 保證手續費收入,　　　　　 簽證手續費收入,　　　　　 承銷手續費收入,　　　　　 其他手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 其他手續費費用,　　　　　 手續費費用合計,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　　 透過損益按公允價值衡量之金融資產處分利益,　　　　　 透過損益按公允價值衡量之金融資產評價利益,　　　　　 透過損益按公允價值衡量之金融負債處分利益,　　　　　 透過損益按公允價值衡量之金融負債評價利益,　　　　　 透過損益按公允價值衡量之金融資產及負債利益合計,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　　 透過損益按公允價值衡量之金融資產處分損失,　　　　　 透過損益按公允價值衡量之金融資產評價損失,　　　　　 透過損益按公允價值衡量之金融負債處分損失,　　　　　 透過損益按公允價值衡量之金融資產及負債損失合計,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 備供出售金融資產未實現評價損益,　　　 減：重分類調整數─除列備供出售金融資產未實現損益,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　 短期員工福利,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 減：重分類調整數─處分國外營運機構財務報表換算之兌換差額,　　　 減：重分類調整數─現金流量避險中屬有效避險之避險工具損益,　　　 減：重分類調整數─國外營運機構淨投資避險屬有效避險部分之避險損益,　　　 其他可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　 合併前非屬共同控制股權綜合損益淨額,　　　　　 透過損益按公允價值衡量之金融負債評價損失,　　　　 備供出售金融資產之已實現利益,　　　　　 備供出售金融資產之已實現利益合計,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　　 兌換利益,　　　　　 兌換利益合計,　　　　 兌換損失,　　　　　 兌換損失合計,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　 停業單位淨利（淨損）,　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　 國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額,　　 其他綜合損益－其他
2820,2013年07月01日至2013年09月30日,,,,                  5657,                481330,                 17760,                504747,,                 14995,                248679,                              0,                263674,                241073,,,,                100525,                  3143,                 35540,                  4063,                143271,,                  4091,                  4091,                139180,,,                 43699,                  4578,                    434,                  2512,                 51223,,                              0,                              0,                              0,                              0,                 51223,,                 -4627,,                 -1739,,                  4546,                188583,                429656,,                 43330,,,                 75617,,                  2573,,                 37267,                115457,,                270869,                -44483,                226386,,                270869,                -44483,                226386,,,,,,,,,,,,,,,,,                181459,                -44483,,,                              0.17,                              0.17,,                              0.17,                              0.17,,                              0,,,,,,,,,,,,,,,,,,,,,,,,                -89410,                              0,                              0,                -89410,                136976,,                              0,                              0,                              0,                              0,                              0
2820,2013年04月01日至2013年06月30日,,,,,                481240,,                481240,,,,,                265203,                216037,,,,,,,,,,,,                125215,,,,,,,,,,,,,                  9450,,                  9915,,                  1562,,                  6752,                152894,                368931,,                -20808,,,                 79154,,                  2436,,                 34654,                116244,,                273495,                -44895,                228600,,,                -44895,                228600,,,,,,,,,,,,,,,,,                234056,                -44895,,,                              0.17,                              0.17,,                              0.17,                              0.17,,                              0,,,,,,,,,,,,,,,,,,,,,,,,                -39439,                              0,                              0,                -39439,                189161,,                              0,                              0,                              0,                              0,                              0
2820,2013年01月01日至2013年12月31日,,,,                 17662,              1916012,                 34090,              1967764,,                 56666,                989385,                 10726,              1056777,                910987,,,,                379765,                 12647,                129008,                 16284,                537704,,                 14334,                 14334,                523370,,,                188797,,,                  2823,                191620,,,                 33421,                  6563,                 39984,                151636,,                 11969,,                  3642,,                 14515,                705132,              1616119,,               -543319,,,                302532,,                 10392,,                162627,                475551,,              1683887,               -283026,              1400861,,              1683887,               -283026,              1400861,,,,,,,,,,,,,,,,,              1515845,               -283962,,,                              1.04,                              1.04,,                              1.04,                              1.04,,                              0,,,,,,,,,,,,,,,                 11969,,                              0,,                  3642,,                              0,,                              0,               -173541,                  5499,                   -936,               -168978,              1231883,                              0.00,,,,,
2820,2013年01月01日至2013年09月30日,,,,                 14557,              1430671,                 20355,              1465583,,                 40911,                755068,                  7906,                803885,                661698,,,,                275893,                  9268,                 94707,                 11163,                391031,,                 10859,                 10859,                380172,,,                139618,                              0,                              0,                  5939,                145557,,                              0,                 44205,                  6398,                 50603,                 94954,,                 17720,,                  1714,,                 14509,                509069,              1170767,,               -627387,,,                226645,,                  7548,,                122415,                356608,,              1441546,               -242805,              1198741,,              1441546,               -242805,              1198741,,,,,,,,,,,,,,,,,              1243882,               -242805,,,                              0.89,                              0.89,,                              0.89,                              0.89,,                              0,,,,,,,,,,,,,,,,,,,,,,,,               -197664,                              0,                              0,               -197664,              1001077,,                              0,                              0,                              0,                              0,                              0
2820,2013年01月01日至2013年06月30日,,,,,                960836,,                960836,,,,,                540211,                420625,,,,,,,,,,,,                240992,,,,,,,,,,,,,                 43731,,                 22347,,                  3453,,                  9963,                320486,                741111,,               -670717,,,                151028,,                  4975,,                 85148,                241151,,              1170677,               -198322,                972355,,              1170677,               -198322,                972355,,,,,,,,,,,,,,,,,              1062423,               -198322,,,                              0.72,                              0.72,,                              0.72,                              0.72,,                              0,,,,,,,,,,,,,,,,,,,,,,,,               -108254,                              0,                              0,               -108254,                864101,,                              0,                              0,                              0,                              0,                              0
2820,2013年01月01日至2013年03月31日,,,,,,,                479596,,,,,                275008,                204588,,,,,,,,,,,,                115777,,,,,,,,,,,,,                 34281,,                 12432,,                  1891,,                  3211,                167592,                372180,,               -649909,,,                 71874,,                  2539,,                 50494,                124907,,                897182,               -153427,                743755,,                897182,               -153427,                743755,,,,,,,,,,,,,,,,,                828367,               -153427,,,                              0.55,                              0.55,,                              0.55,                              0.55,,                              0,                 71874,,,,,,,,,,,,,,,,,,,,,,,                -68815,,,                -68815,                674940,,,,,,
2820,2012年07月01日至2012年09月30日,,,,                  3185,                480902,                 10749,                494836,,                 12816,                275834,                              0,                288650,                206186,,,,                 74147,                  2603,                 21331,                  3053,                101134,,                  3924,                  3924,                 97210,,,                 76276,                              0,                              0,                 19578,                 95854,,                              0,                 30751,                 23202,                 53953,                 41901,,                 10991,,                 -1121,,                  5106,                154087,                360273,,                  1470,,,                 71089,,                  2764,,                 31308,                105161,,                253642,                -43665,                209977,,                253642,                -43665,                209977,,,,,,,,,,,,,,,,,                282073,                -43665,,,                              0.16,                              0.16,,                              0.16,                              0.16,,                              0,,,,,,,,,,,,,,,,,,,,,,,,                 28431,                              0,                              0,                 28431,                238408,,                              0,                              0,                              0,                              0,                              0
2820,2012年04月01日至2012年06月30日,,,,,                476771,,                476771,,,,,                275265,                201506,,,,,,,,,,,,                 90723,,,,,,,,,,,,,                 27016,,                  9089,,                    598,,                 12144,                139570,                341076,,               -546323,,,                 69790,,                  2900,,                 30932,                103622,,                783777,               -232128,                551649,,,               -232128,                551649,,,,,,,,,,,,,,,,,                763885,               -232128,,,                              0.41,                              0.41,,                              0.41,                              0.41,,                              0,,,,,,,,,,,,,,,,,,,,,,,,                -19892,                              0,                              0,                -19892,                531757,,                              0,                              0,                              0,                              0,                              0
2820,2012年01月01日至2012年12月31日,,,,                 11489,              1903938,                 15648,              1931075,,                 54110,              1060869,                      1,              1114980,                816095,,,,                287142,                 10844,                 82156,                  8130,                388272,,                 14836,                 14836,                373436,,,                238500,,,                 72839,                311339,,,                 84415,                101585,                186000,                125339,,                 53226,,                 -2138,,                 17428,                565307,              1381402,,               -569478,,,                285519,,                 10684,,                132408,                428611,,              1522269,               -360467,              1161802,,              1522269,               -360467,              1161802,,,,,,,,,,,,,,,,,              1511081,               -358369,,,                              0.87,                              0.87,,                              0.87,                              0.87,,                 -1984,,,,,,,,,,,,,,,                 53226,,                              0,,                              0,,                  2138,,                              0,                  1150,                -12338,                  2098,                 -9090,              1152712,                              0.00,,,,,
2820,2012年01月01日至2012年09月30日,,,,                  8477,              1435234,                 14405,              1458116,,                 39196,                800870,                      1,                840067,                618049,,,,                209254,                  8096,                 61072,                  5705,                284127,,                 11025,                 11025,                273102,,,                200259,                              0,                              0,                 61595,                261854,,                              0,                 73000,                 75908,                148908,                112946,,                 51090,,                 -1752,,                 17273,                450675,              1068724,,               -585211,,,                208788,,                  8197,,                 92572,                309557,,              1344378,               -322405,              1021973,,              1344378,               -322405,              1021973,,,,,,,,,,,,,,,,,              1368465,               -322405,,,                              0.76,                              0.76,,                              0.76,                              0.76,,                 -1984,,,,,,,,,,,,,,,,,,,,,,,,                 24087,                              0,                              0,                 24087,              1046060,,                              0,                              0,                              0,                              0,                              0
2820,2012年01月01日至2012年06月30日,,,,,                963280,,                963280,,,,,                551417,                411863,,,,,,,,,,,,                175892,,,,,,,,,,,,,                 71045,,                 40099,,                   -631,,                 12167,                296588,                708451,,               -586681,,,                137699,,                  5433,,                 61264,                204396,,              1090736,               -278740,                811996,,,               -278740,                811996,,,,,,,,,,,,,,,,,              1086392,               -278740,,,                              0.60,                              0.60,,                              0.60,                              0.60,,                 -1984,,,,,,,,,,,,,,,,,,,,,,,,                 -4344,                              0,                              0,                 -4344,                807652,,                              0,                              0,                              0,                              0,                              0
2820,2012年01月01日至2012年03月31日,,,,,,,                486509,,,,,                276152,                210357,,,,,,,,,,,,                 85169,,,,,,,,,,,,,                 44029,,                 31010,,                 -1229,,                     23,                157018,                367375,,                -40358,,,                 67909,,                  2533,,                 30332,                100774,,                306959,                -46612,                260347,,,                -46612,                260347,,,,,,,,,,,,,,,,,                322507,                -46612,,,                              0.19,                              0.19,,                              0.19,                              0.19,,                 -1984,                 67909,,,,,,,,,,,,,,,,,,,,,,,                 15548,,,                 15548,                275895,,,,,,
