證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2337,2013年01月01日至2013年12月31日,,             22204420,,             20253610,              1950810,,              1950810,,,              1096303,,              1758269,,              5452567,              8307139,             -6356329,,,                209395,,                128678,,                334896,,,                  3177,             -6353152,,                  5087,             -6358239,             -6358239,,,,,,,,,                111735,             -6246504,,             -6305647,                -52592,,             -6194058,                -52446,,                             -1.79,                             -1.79,,                             -1.79,                             -1.79,,,,,,                 53790,                 57945,,
2337,2013年01月01日至2013年09月30日,,             16344057,,             15072761,              1271296,                              0,              1271296,,,                807571,,              1285345,,              4066679,              6159595,             -4888299,,,                177641,,                123695,,                256676,,                              0,                 44660,             -4843639,,                  2886,             -4846525,             -4846525,,,,,,,,,                -28748,             -4875273,,             -4804846,                -41679,,             -4833707,                -41566,,                             -1.37,                             -1.37,,                             -1.37,                             -1.37,,,,,,                 36916,                -65664,,                              0
2337,2013年01月01日至2013年06月30日,,              9635798,,              9595662,                 40136,,                 40136,,,                528835,,                854373,,              2616882,              4000090,             -3959954,,,                100451,,                 95605,,                173252,,                              0,                 22804,             -3937150,,                  2089,             -3939239,             -3939239,,,,,,,,,                  2593,             -3936646,,             -3908258,                -30981,,             -3905811,                -30835,,                             -1.11,                             -1.11,,                             -1.11,                             -1.11,                              0,,,,,                 56017,                -53424,,                              0
2337,2013年01月01日至2013年03月31日,,              4404789,,              4590250,               -185461,,               -185461,,,                251559,,                403998,,              1255245,              1910802,             -2096263,,,                 46812,,                 52250,,                 87171,,,                 11891,             -2084372,,                  1045,             -2085417,             -2085417,,,,,,,,,                 74759,             -2010658,,             -2068695,                -16722,,             -1994028,                -16630,,                             -0.59,                             -0.59,,                             -0.59,                             -0.59,,,,,,                 41725,                 33034,,
2337,2012年07月01日至2012年09月30日,,              7362914,,              6471402,                891512,,                891512,,,                322254,,                450491,,              1313903,              2086648,             -1195136,,,                102100,,                  5350,,                 81866,,,                 25584,             -1169552,,                 32609,             -1202161,             -1202161,,,,,,,,,                -27888,             -1230049,,             -1183727,                -18434,,             -1211546,                -18503,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,,,,                -31860,                  3972,,
2337,2012年04月01日至2012年06月30日,,              5882908,,              5302526,                580382,,                580382,,,                290712,,                429733,,              1340535,              2060980,             -1480598,,,                 81102,,                 70881,,                 74811,,,                 77172,             -1403426,,                  9782,             -1413208,             -1413208,,,,,,,,,               -137939,             -1551147,,             -1394176,                -19032,,             -1532140,                -19007,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,,,,,,                 16389,               -154328,,
2337,2012年01月01日至2012年12月31日,,             24228738,,             21823165,              2405573,,              2405573,,,              1174486,,              1720759,,              4972261,              7867506,             -5461933,,,                291428,,               -105443,,                302953,,,               -116968,             -5578901,,                -61385,             -5517516,             -5517516,,,,,,,,,                -55964,             -5573480,,             -5438016,                -79500,,             -5493867,                -79613,,                             -1.55,                             -1.55,,                             -1.55,                             -1.55,,,,,,                -72850,                 16886,,
2337,2012年01月01日至2012年09月30日,,             18389298,,             16162234,              2227064,,              2227064,,,                892081,,              1268701,,              3707783,              5868565,             -3641501,,,                230663,,                -49438,,                214062,,,                -32837,             -3674338,,                 48642,             -3722980,             -3722980,,,,,,,,,                   -677,             -3723657,,             -3663165,                -59815,,             -3663723,                -59934,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,,,,,,                -59993,                 59316,,
2337,2012年01月01日至2012年06月30日,,             11026384,,              9690832,              1335552,,              1335552,,,                569827,,                818210,,              2393880,              3781917,             -2446365,,,                128563,,                -54788,,                132196,,,                -58421,             -2504786,,                 16033,             -2520819,             -2520819,,,,,,,,,                 27211,             -2493608,,             -2479438,                -41381,,             -2452177,                -41431,,                             -0.71,                             -0.71,,                             -0.71,                             -0.71,,,,,,                -28133,                 55344,,
2337,2012年01月01日至2012年03月31日,,              5143476,,              4388306,                755170,,                755170,,,                279115,,                388477,,              1053345,              1720937,               -965767,,,                 47461,,               -125669,,                 57385,,,               -135593,             -1101360,,                  6251,             -1107611,             -1107611,,,,,,,,,                165150,               -942461,,             -1085262,                -22349,,               -920037,                -22424,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,,,,,,                -44522,                209672,,
