證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　　 其他利息收入,　　 當期所得稅費用（利益）,　　 其他綜合損益
9908,2013年第2季,,              1314488,,              1137584,                176904,                176904,,,                 19388,,                 46853,                 66241,,                 -1248,                109415,,,,                  2420,                 75265,                  4578,                 82263,,                  1473,                 -4440,                     16,,                 -2983,,                    194,,                 18529,                 97615,                207030,,                 26741,                180289,                180289,,,,,,,                -10253,                170036,,                177957,                  2332,,                170880,                   -844,,                              0.36,,                              0.36,,,                -11900,,,                  1647,,,,,,,,,,,,
9908,2013年度,,              5351448,,              4725022,                626426,                626426,,,                 76942,,                206591,                283533,,                 -5083,                337810,,,,                  7548,                198312,                 14638,                220498,,                101910,                              0,                    243,                  4265,                 97402,,                  1246,,                 66206,                382860,                720670,,                 91869,                628801,                628801,,,,,,,                184092,                812893,,                624472,                  4329,,                789639,                 23254,,                              1.25,,                              1.24,                              1.25,                              1.24,                185040,                -12075,,                  9074,                 -2053,,,,,,,,,,,
9908,2013年07月01日至2013年09月30日,,              1120856,,                954254,                166602,                166602,,,                 18812,,                 47983,                 66795,,                   -383,                 99424,,,,                  1415,                122077,                  5086,                128578,,                 62367,                              0,                    221,                 14534,                 47612,,                    465,,                 16143,                191868,                291292,,                 14334,                276958,                276958,,,,,,,                 -7894,                269064,,                259994,                 16964,,                259550,                  9514,,                              0.52,,                              0.52,,,                 -7290,,,                   -604,,,,,,,,,,,,
9908,2013年04月01日至2013年06月30日,,              1314488,,              1137584,                176904,                176904,,,                 19388,,                 46853,                 66241,,                 -1248,                109415,,,,,,,                 82263,,,,,,                 -2983,,                    194,,                 18529,                 97615,                207030,,                 26741,                180289,                180289,,,,,,,                -10253,                170036,,                177957,                  2332,,                170880,                   -844,,                              0.36,,                              0.36,,,                -11900,,,                  1647,,,,,,,,,,,,
9908,2013年01月01日至2013年12月31日,,              5351448,,              4725022,                626426,                626426,,,                 76942,,                206591,                283533,,                 -5083,                337810,,,,                  7548,                198312,                 14638,                220498,,                101910,,                    243,                  4265,                 97402,,                  1246,,                 66206,                382860,                720670,,                 91869,                628801,                628801,,,,,,,                184092,                812893,,                624472,                  4329,,                789639,                 23254,,                              1.25,,                              1.24,                              1.25,                              1.24,                185040,                -12075,,                  9074,                 -2053,,,,,,,,,,,
9908,2013年01月01日至2013年09月30日,,              3917614,,              3443989,                473625,                473625,,,                 57558,,                148334,                205892,,                 -4771,                262962,,,,                  5523,                197342,                 11808,                214673,,                 86165,                              0,                    243,                 12964,                 72958,,                    848,,                 46123,                332906,                595868,,                 69878,                525990,                525990,,,,,,,                176441,                702431,,                514607,                 11383,,                681298,                 21133,,                              1.03,,                              1.03,,,                166765,,,                  9676,,,,,,,,,,,,
9908,2013年01月01日至2013年06月30日,,              2796758,,              2489735,                307023,                307023,,,                 38746,,                100351,                139097,,                 -4388,                163538,,,,                  4108,                 75265,                  6722,                 86095,,                 23798,                  1570,                     22,,                 25346,,                    383,,                 29980,                141038,                304576,,                 55544,                249032,                249032,,,,,,,                184335,                433367,,                254613,                 -5581,,                421748,                 11619,,                              0.51,,                              0.51,,,                174055,,,                 10280,,,,,,,,,,,,
9908,2013年01月01日至2013年03月31日,,              1482270,,              1352151,                130119,                130119,,,                 19358,,                 53498,                 72856,,                 -3140,                 54123,,,,                  1688,,                  2144,                  3832,,                 22325,                  6010,                      6,,                 28329,,                    189,,                 11451,                 43423,                 97546,,                 28803,                 68743,                 68743,,,,,,,                194588,                263331,,                 76656,                 -7913,,                250867,                 12464,,                              0.15,,                              0.15,                              0.15,                              0.15,                185955,,,                  8633,,,,              1482270,              1482270,              1482270,,              1352151,              1352151,                  1688,                 28803,                              0
9908,2012年07月01日至2012年09月30日,,              1167033,,                998906,                168127,                168127,,,                 22989,,                 45644,                 68633,,                   -777,                 98717,,,,                  1858,                172702,                  4265,                178825,,                              0,                              0,                    420,                 15698,                -16118,,                    296,,                     63,                162474,                261191,,                 19972,                241219,                241219,,,,,,,                204607,                445826,,                221318,                 19901,,                404571,                 41255,,                              0.44,,                              0.44,,,                198933,,,                  5674,,,,,,,,,,,,
9908,2012年04月01日至2012年06月30日,,              1311106,,              1107516,                203590,                203590,,,                 20872,,                 47376,                 68248,,                   -837,                134505,,,,,,,                 14325,,,,,,                -21833,,                    298,,                 12640,                  4834,                139339,,                 20252,                119087,                119087,,,,,,,               -116790,                  2297,,                125463,                 -6376,,                  7782,                 -5485,,                              0.25,,                              0.25,,,               -110651,,,                 -6139,,,,,,,,,,,,
9908,2012年01月01日至2012年12月31日,,              5467063,,              4772438,                694625,                694625,,,                 87546,,                201139,                288685,,                 -3498,                402442,,,,                  7285,                177437,                 23722,                208444,,                 15560,,                    438,                 12550,                  2572,,                  1294,,                 81952,                291674,                694116,,                 81921,                612195,                612195,,,,,,,                132985,                745180,,                605443,                  6752,,                710684,                 34496,,                              1.21,,                              1.21,                              1.21,                              1.21,                130576,                 -9805,,                 10547,                 -1667,,,,,,,,,,,
9908,2012年01月01日至2012年09月30日,,              3994934,,              3454120,                540814,                540814,,,                 63489,,                148218,                211707,,                 -3040,                326067,,,,                  5400,                177436,                 21534,                204370,,                  6362,                 26993,                    436,                              0,                 32919,,                  1017,,                 38559,                274831,                600898,,                 67098,                533800,                533800,,,,,,,                177894,                711694,,                521131,                 12669,,                677196,                 34498,,                              1.04,,                              1.04,,,                175057,,,                  2837,,,,,,,,,,,,
9908,2012年01月01日至2012年06月30日,,              2827901,,              2455214,                372687,                372687,,,                 40500,,                102574,                143074,,                 -2263,                227350,,,,,,,                 25545,,,,,,                 49037,,                    721,,                 38496,                112357,                339707,,                 47126,                292581,                292581,,,,,,,                -26713,                265868,,                299813,                 -7232,,                272624,                 -6756,,                              0.60,,                              0.60,,,                -23876,,,                 -2837,,,,,,,,,,,,
9908,2012年01月01日至2012年03月31日,,              1516795,,              1347698,                169097,                169097,,,                 19628,,                 55198,                 74826,,                 -1426,                 92845,,,,                  1455,,                  9765,                 11220,,,,,,                 70870,,                    423,,                 25856,                107523,                200368,,                 26874,                173494,                173494,,,,,,,                 90077,                263571,,                174350,                   -856,,                264842,                 -1271,,                              0.35,,                              0.35,                              0.35,                              0.35,                 86775,,,                  3302,,,,              1516795,              1516795,              1516795,,              1347698,              1347698,                  1455,                 26874,                              0
