證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1441,2014年01月01日至2014年03月31日,,                331805,,                314080,                 17725,                 17725,,,                 14379,,                 27676,                 42055,                -24330,,,                  3875,,                  1614,,                  6320,,                  9107,                  8276,                -16054,,                   -115,                -15939,                -15939,,,                  4491,                  3214,,                    -49,                  7656,                  7656,                 -8283,,                -15939,,                 -8283,,                             -0.18,                             -0.18,,,,,,,,,
1441,2013年第3季,,                335843,,                320696,                 15147,                 15147,,,                 15551,,                 19221,                 34772,                -19625,,,                  2837,,                   -711,,                  4164,,                  5071,                  3033,                -16592,,                    745,                -17337,                -17337,,,,,,,,                 -5186,                -22523,,                -17337,,                -22523,,                             -0.19,                             -0.19,                 -4909,                   -284,,,                      7,,,,
1441,2013年第2季,,                323375,,                292090,                 31285,                 31285,,,                 17168,,                 19568,                 36736,                 -5451,,,                  6461,,                 -3825,,                  4434,,                  6860,                  5062,                   -389,,                   -808,                    419,                    419,,,,,,,,                 -3563,                 -3144,,                    419,,                 -3144,,                              0.00,                              0.00,                  1654,                 -5261,,,                     44,,,                              0.00,                              0.00
1441,2013年度,,              1330597,,              1238288,                 92309,                 92309,,,                 70523,,                 80755,                151278,                -58969,,,                 35592,,                   -414,,                 18606,,                 30111,                 46683,                -12286,,                    -82,                -12204,                -12204,,,,,,,,                 -2417,                -14621,,                -12204,,                -14621,,                             -0.14,                             -0.14,                    243,                 -2305,                  1174,,                 -1330,                    199,,,
1441,2013年07月01日至2013年09月30日,,                335843,,                320696,                 15147,                 15147,,,                 15551,,                 19221,                 34772,                -19625,,,                  2837,,                   -711,,                  4164,,                  5071,                  3033,                -16592,,                    745,                -17337,                -17337,,,,,,,,                 -5186,                -22523,,                -17337,,                -22523,,                             -0.19,                             -0.19,                 -4909,                   -284,,,                      7,,,,
1441,2013年04月01日至2013年06月30日,,                323375,,                292090,                 31285,                 31285,,,                 17168,,                 19568,                 36736,                 -5451,,,                  6461,,                 -3825,,                  4434,,                  6860,                  5062,                   -389,,                   -808,                    419,                    419,,,,,,,,                 -3563,                 -3144,,                    419,,                 -3144,,                              0.00,                              0.00,                  1654,                 -5261,,,                     44,,,                              0.00,                              0.00
1441,2013年01月01日至2013年12月31日,,              1330597,,              1238288,                 92309,                 92309,,,                 70523,,                 80755,                151278,                -58969,,,                 35592,,                   -414,,                 18606,,                 30111,                 46683,                -12286,,                    -82,                -12204,                -12204,,,,,,,,                 -2417,                -14621,,                -12204,,                -14621,,                             -0.14,                             -0.14,                    243,                 -2305,                  1174,,                 -1330,                    199,,,
1441,2013年01月01日至2013年09月30日,,                985048,,                911179,                 73869,                 73869,,,                 45359,,                 59852,                105211,                -31342,,,                 23047,,                 -4759,,                 12450,,                 14197,                 20035,                -11307,,                   -212,                -11095,                -11095,,,,,,,,                 -7157,                -18252,,                -11095,,                -18252,,                             -0.12,                             -0.12,                 -4514,                 -4185,,,                  1542,,,,
1441,2013年01月01日至2013年06月30日,,                649205,,                590483,                 58722,                 58722,,,                 29808,,                 40631,                 70439,                -11717,,,                 20210,,                 -4048,,                  8286,,                  9126,                 17002,                  5285,,                   -957,                  6242,                  6242,,,,,,,,                 -1971,                  4271,,                  6242,,                  4271,,                              0.07,                              0.07,                    395,                 -3901,,,                  1535,,,                              0.07,                              0.07
1441,2013年01月01日至2013年03月31日,,                325830,,                298393,                 27437,                 27437,,,                 12640,,                 21063,                 33703,                 -6266,,,                 13749,,                   -223,,                  3852,,                  2266,                 11940,                  5674,,                   -149,                  5823,                  5823,,,,,,,,                  1592,                  7415,,                  5823,,                  7415,,                              0.06,                              0.06,                 -1259,                  1360,,,                  1491,,,,
1441,2012年07月01日至2012年09月30日,,                392236,,                373331,                 18905,                 18905,,,                 16409,,                 19451,                 35860,                -16955,,,                  3259,,                 -2804,,                  5141,,                  2129,                 -2557,                -19512,,                 -2004,                -17508,                -17508,,,,,,,,                   -773,                -18281,,                -17508,,                -18281,,                             -0.19,                             -0.19,                    354,                    126,,,                 -1253,,,,
1441,2012年04月01日至2012年06月30日,,                390431,,                387862,                  2569,                  2569,,,                 16882,,                 22187,                 39069,                -36500,,,                  6736,,                   -337,,                  5276,,                 59300,                 60423,                 23923,,                    369,                 23554,                 23554,,,,,,,,                  1012,                 24566,,                 23554,,                 24566,,                              0.26,                              0.26,                    -54,                    232,,,                    834,,,                              0.26,                              0.26
1441,2012年01月01日至2012年12月31日,,              1593006,,              1540624,                 52382,                 52382,,,                 67923,,                 87463,                155386,               -103004,,,                 14557,,                 13061,,                 21014,,                 47680,                 54284,                -48720,,                 -3096,                -45624,                -45624,,,,,,,,                 -7633,                -53257,,                -45624,,                -53257,,                             -0.51,                             -0.51,                   -619,                  3489,                -16049,,                  2818,                 -2728,,,
1441,2012年01月01日至2012年09月30日,,              1196392,,              1170526,                 25866,                 25866,,,                 50674,,                 66480,                117154,                -91288,,,                 11568,,                 16657,,                 15908,,                 50153,                 62470,                -28818,,                 -2753,                -26065,                -26065,,,,,,,,                  2812,                -23253,,                -26065,,                -23253,,                             -0.29,                             -0.29,                    533,                  3152,,,                   -873,,,,
1441,2012年01月01日至2012年06月30日,,                804156,,                797195,                  6961,                  6961,,,                 34265,,                 47029,                 81294,                -74333,,,                  8309,,                 19461,,                 10767,,                 48024,                 65027,                 -9306,,                   -749,                 -8557,                 -8557,,,,,,,,                  3585,                 -4972,,                 -8557,,                 -4972,,                             -0.10,                             -0.10,                    179,                  3026,,,                    380,,,                             -0.10,                             -0.10
1441,2012年01月01日至2012年03月31日,,                413725,,                409333,                  4392,                  4392,,,                 17383,,                 24842,                 42225,                -37833,,,                  1573,,                 19798,,                  5491,,                -11276,                  4604,                -33229,,                 -1118,                -32111,                -32111,,,,,,,,                  2573,                -29538,,                -32111,,                -29538,,                             -0.36,                             -0.36,                    233,                  2794,,,                   -454,,,                             -0.36,                             -0.36
