證券代號,年季,　 營業收入,　　 勞務收入,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 海運成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　　 金融資產減損損失
2606,2014年01月01日至2014年06月30日,,,,              4352418,              4352418,              4352418,,                 48402,              4400820,,,,              3578594,              3578594,              3578594,                              0,              3578594,                822226,                822226,,                159019,                663207,,,,                158376,,                 41471,                199847,,                512901,                267743,               -144385,                  1874,                 86104,                548281,,                179935,                179935,,                  3728,                  3728,                571921,              1235128,,                256669,                978459,                978459,,,                 80676,               -589830,,,               -509154,               -509154,                469305,,                978459,,                469305,,                              1.14,                              1.14,,                              1.14,                              1.14,,,,,,,,,
2606,2014年01月01日至2014年03月31日,,,,              2100566,              2100566,              2100566,,                 15795,              2116361,,,,              1725797,              1725797,              1725797,                              0,              1725797,                390564,                390564,,                 74015,                316549,,,,                 62192,,                 23685,                 85877,,                 34791,                 88245,               -352986,                    401,                              0,                 36303,,                 80432,                 80432,,                  9518,                  9518,                 51266,                367815,,                  7423,                360392,                360392,,,,,,,,                496900,                857292,,                360392,,                857292,,                              0.42,                              0.42,,                              0.42,                              0.42,                266654,,,              1060372,               -563472,,,                              0,
2606,2013年第3季,,,,              1736980,              1736980,              1736980,,                119386,              1856366,,,,              1668607,              1668607,              1668607,                              0,              1668607,                187759,                187759,,                 73209,                114550,,,,                 71657,                167748,                    858,                240263,,                180657,                 33939,                152691,                  2484,                196345,                168458,,                 77797,                 77797,,                    445,                    445,                331369,                445919,,                 12805,                433114,                433114,,,,,,,,               -523430,                -90316,,                433114,,                -90316,,                              0.50,                              0.50,,                              0.50,                              0.50,                              0,,,               -678658,                155228,,,                              0,
2606,2013年第2季,,,,              1578032,              1578032,              1578032,,                 26852,              1604884,,,,              1569801,              1569801,              1569801,                              0,              1569801,                 35083,                 35083,,                 67531,                -32448,,,,                 75389,,                    648,                 76037,,                151040,                 71314,                -37820,                   -630,                              0,                303085,,                 73774,                 73774,,                    465,                    465,                305813,                273365,,                 33144,                240221,                240221,,,,,,,,                269426,                509647,,                240221,,                509647,,                              0.28,                              0.28,,                              0.28,                              0.28,                117921,,,                277294,                 -7868,,,                              0,
2606,2013年度,,,,              7144575,              7144575,              7144575,,                263373,              7407948,,,,              6364360,              6364360,              6364360,                              0,              6364360,              1043588,              1043588,,                291193,                752395,,,,                278053,                176216,                 13325,                467594,,                379487,                249147,               -282704,                  8123,,                699638,,                299810,                299810,,                 11978,                 11978,                879400,              1631795,,                 64886,              1566909,              1566909,,,,,,,,              1681530,              3248439,,              1566909,,              3248439,,                              1.83,                              1.83,,                              1.82,                              1.82,                373662,,                 11831,              1202040,                516013,                -29477,,                 -7046,
2606,2013年07月01日至2013年09月30日,,,,              1736980,              1736980,              1736980,,                119386,              1856366,,,,              1668607,              1668607,              1668607,                              0,              1668607,                187759,                187759,,                 73209,                114550,,,,                 71657,                167748,                    858,                240263,,                180657,                 33939,                152691,                  2484,                196345,                168458,,                 77797,                 77797,,                    445,                    445,                331369,                445919,,                 12805,                433114,                433114,,,,,,,,               -523430,                -90316,,                433114,,                -90316,,                              0.50,                              0.50,,                              0.50,                              0.50,                              0,,,               -678658,                155228,,,                              0,
2606,2013年04月01日至2013年06月30日,,,,              1578032,              1578032,              1578032,,                 26852,              1604884,,,,              1569801,              1569801,              1569801,                              0,              1569801,                 35083,                 35083,,                 67531,                -32448,,,,                 75389,,                    648,                 76037,,                151040,                 71314,                -37820,                   -630,                              0,                303085,,                 73774,                 73774,,                    465,                    465,                305813,                273365,,                 33144,                240221,                240221,,,,,,,,                269426,                509647,,                240221,,                509647,,                              0.28,                              0.28,,                              0.28,                              0.28,                117921,,,                277294,                 -7868,,,                              0,
2606,2013年01月01日至2013年12月31日,,,,              7144575,              7144575,              7144575,,                263373,              7407948,,,,              6364360,              6364360,              6364360,                              0,              6364360,              1043588,              1043588,,                291193,                752395,,,,                278053,                176216,                 13325,                467594,,                379487,                249147,               -282704,                  8123,                              0,                699638,,,                299810,,                 11978,                 11978,                879400,              1631795,,                 64886,              1566909,              1566909,,,,,,,,              1681530,              3248439,,              1566909,,              3248439,,                              1.83,                              1.83,,                              1.82,                              1.82,                373662,,                 11831,              1202040,                516013,                -29477,,                 -7046,                 11831
2606,2013年01月01日至2013年09月30日,,,,              4902269,              4902269,              4902269,,                251179,              5153448,,,,              4815136,              4815136,              4815136,                              0,              4815136,                338312,                338312,,                204050,                134262,,,,                223181,                176237,                  4595,                404013,,                379989,                193872,               -199038,                  6572,                              0,                595271,,                219239,                219239,,                  4628,                  4628,                784673,                918935,,                 48063,                870872,                870872,,,,,,,,                940275,              1811147,,                870872,,              1811147,,                              1.01,                              1.01,,                              1.01,                              1.01,                227020,,,                828265,                120387,,,                 -8377,
2606,2013年01月01日至2013年06月30日,,,,              3165289,              3165289,              3165289,,                131793,              3297082,,,,              3146529,              3146529,              3146529,                              0,              3146529,                150553,                150553,,                130841,                 19712,,,,                151524,,                 12226,                163750,,                199332,                159933,               -351729,                  4088,                              0,                426813,,                141442,                141442,,                  4183,                  4183,                453304,                473016,,                 35258,                437758,                437758,,,,,,,,              1463705,              1901463,,                437758,,              1901463,,                              0.51,                              0.51,,                              0.51,                              0.51,                423365,,,              1506924,                -34842,,,                 -8377,
2606,2013年01月01日至2013年03月31日,,,,              1587257,              1587257,              1587257,,                104941,              1692198,,,,              1576728,              1576728,              1576728,                              0,              1576728,                115470,                115470,,                 63310,                 52160,,,,                 76135,,                 11578,                 87713,,                 48292,                 88619,               -313909,                  4718,                              0,                123728,,                 67668,                 67668,,                  3718,                  3718,                147491,                199651,,                  2114,                197537,                197537,,,,,,,,              1194279,              1391816,,                197537,,              1391816,,                              0.23,                              0.23,,                              0.23,                              0.23,                305444,,,              1229630,                -26974,,,                 -8377,
2606,2012年07月01日至2012年09月30日,,,,              1773765,              1773765,              1773765,,                346763,              2120528,,,,              1696499,              1696499,              1696499,                              0,              1696499,                424029,                424029,,                109693,                314336,,,,                104215,                128961,                  1173,                234349,,                    330,                176056,                259523,                  4138,                359109,                 72662,,                 69911,                 69911,,                -23835,                -23835,                213265,                527601,,                 14720,                512881,                512881,,,,,,,,               -583727,                -70846,,                512881,,                -70846,,                              0.60,                              0.60,,                              0.60,                              0.60,                              0,,,               -908931,                325204,,,                              0,
2606,2012年04月01日至2012年06月30日,,,,              2116362,              2116362,              2116362,,                              0,              2116362,,,,              1780087,              1780087,              1780087,                 30633,              1810720,                305642,                305642,,                 72397,                233245,,,,                 99986,,                    140,                100126,,                190986,                204141,               -160746,                  5116,                 29114,                200151,,                 62898,                 62898,,                -10460,                -10460,                226919,                460164,,                -21909,                482073,                482073,,,,,,,,                291081,                773154,,                482073,,                773154,,                              0.56,                              0.56,,                              0.56,                              0.56,                              0,,,                582278,               -291197,,,                              0,
2606,2012年01月01日至2012年12月31日,,,,              7646914,              7646914,              7646914,,                316710,              7963624,,,,              6760237,              6760237,              6760237,                              0,              6760237,              1203387,              1203387,,                399978,                803409,,,,                389841,                136087,                 10218,                536146,,                381161,                359816,                566944,                 22944,                619261,                665716,,,                262277,,                 -1165,                 -1165,                938420,              1741829,,                -81259,              1823088,              1823088,,,,,,,,             -1622775,                200313,,              1823088,,                200313,,                              2.12,                              2.12,,                              2.12,                              2.12,                              0,,                              0,             -1903950,                308560,                -27899,,                    514,                              0
2606,2012年01月01日至2012年09月30日,,,,              5977434,              5977434,              5977434,,                313839,              6291273,,,,              5119190,              5119190,              5119190,                              0,              5119190,              1172083,              1172083,,                256653,                915430,,,,                300833,                136157,                  9894,                446884,,                191323,                421000,                430228,                 15799,                606269,                420483,,                191600,                191600,,                 -7342,                 -7342,                668425,              1583855,,                  3328,              1580527,              1580527,,,,,,,,             -1311141,                269386,,              1580527,,                269386,,                              1.84,                              1.84,,                              1.84,                              1.84,                              0,,,             -1508508,                197367,,,                              0,
2606,2012年01月01日至2012年06月30日,,,,              4203669,              4203669,              4203669,,                              0,              4203669,,,,              3422691,              3422691,              3422691,                 32924,              3455615,                748054,                748054,,                146960,                601094,,,,                196618,,                 15917,                212535,,                190993,                244944,                170705,                 11661,                247160,                347821,,                121689,                121689,,                 16493,                 16493,                455160,              1056254,,                -11392,              1067646,              1067646,,,,,,,,               -727414,                340232,,              1067646,,                340232,,                              1.24,                              1.24,,                              1.24,                              1.24,                              0,,,               -599577,               -127837,,,                              0,
2606,2012年01月01日至2012年03月31日,,,,              2087307,              2087307,              2087307,,                              0,              2087307,,,,              1642604,              1642604,              1642604,                  2291,              1644895,                442412,                442412,,                 74563,                367849,,,,                 96632,,                 15777,                112409,,                      7,                 40803,                331451,                  6545,                218046,                147670,,                 58791,                 58791,,                 26953,                 26953,                228241,                596090,,                 10517,                585573,                585573,,,,,,,,             -1018495,               -432922,,                585573,,               -432922,,                              0.68,                              0.68,,                              0.68,                              0.68,                              0,,,             -1181855,                163360,,,                              0,
