證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 手續費支出,　　　　 非以透過損益按公允價值衡量之金融負債所產生之手續費費損,　　　　 手續費支出合計,　　　 賠償損失,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 處分投資損失,　　　 外幣兌換損失,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 薪資支出,　　　 租金支出,　　　 旅費,　　　 運費,　　　 郵電費,　　　 修繕費,　　　 廣告費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 折舊,　　　 伙食費,　　　 職工福利,　　　 佣金支出,　　　 訓練費,　　　 進出口費用,　　　 其他費用,　　　 薪資支出[duplicate]44,　　　 租金支出[duplicate]45,　　　 文具用品,　　　 旅費[duplicate]47,　　　 郵電費[duplicate]48,　　　 修繕費[duplicate]49,　　　 廣告費[duplicate]50,　　　 水電瓦斯費[duplicate]51,　　　 保險費[duplicate]52,　　　 交際費[duplicate]53,　　　 捐贈,　　　 稅捐[duplicate]55,　　　 呆帳損失,　　　 折舊[duplicate]57,　　　 伙食費[duplicate]58,　　　 職工福利[duplicate]59,　　　 訓練費[duplicate]60,　　　 其他費用[duplicate]61,　　　 薪資支出[duplicate]64,　　　 修繕費[duplicate]65,　　　 伙食費[duplicate]66,　 其他綜合損益(淨額),　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　　 各項攤提,　　　 稅捐[duplicate]54,　　　 折舊[duplicate]56,　　　 伙食費[duplicate]57,　　　 職工福利[duplicate]58,　　　 訓練費[duplicate]59,　　　 其他費用[duplicate]60,　　　 薪資支出[duplicate]63,　　　 修繕費[duplicate]64,　　　 伙食費[duplicate]65,　　　 伙食費[duplicate]64,　　　 其他費用[duplicate]65
1524,2014年01月01日至2014年03月31日,,,,                561620,                561620,                      3,                  2038,                559579,,,                 57227,                 57227,                 57227,                616806,,,                531559,                531559,                531559,                 85247,                 85247,,,                 47345,,                 22031,,                  1085,                 70461,                 14786,,,,                    113,                    113,,                  1107,                  1220,,                  3741,                     59,                 10646,                              0,,                  1698,                  1698,,                    197,                              0,                     21,                 12530,,                 12134,                 12134,                  1616,                 16402,,                  3618,                  3618,                 12784,                 12784,                 12784,,                 12784,,                 12784,,                              0.07,                              0.07,,                              0.07,                              0.07,,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2013年第3季,,,,                503036,                503036,                     10,                  1231,                501795,,,                 53253,                 53253,                 53253,                555048,,,                483201,                483201,                483201,                 71847,                 71847,,,                 41547,,                 29604,,                    994,                 72145,                   -298,,,,                     16,                     16,                              0,                  1930,                  1946,,                  3410,                              0,                  1462,                    291,,                  2415,                  2415,,                      4,                     28,,                 -5055,,                 14967,                 14967,                -17854,                -18152,,                 -2583,                 -2583,                -15569,                -15569,                -15569,,                -15569,,                -15569,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,                              0,                              0,,                  7771,,                    222,                  9887,                     92,                     73,                  3909,                    251,                    509,                    150,                  2119,                    928,                     39,                    255,                  4075,                     75,                    830,                  1303,                      7,                 13863,                  3274,                  5462,,                     38,                      3,                    161,                    392,                      7,                    265,                    824,                    874,                              0,                     88,                    -55,                  1003,                     47,                    381,                      2,                 20020,                    990,                      1,                      3,,,,,,                              0,,,,,,,,,,,
1524,2013年度,,,,              2274273,              2274273,                    176,                  5118,              2268979,,,                207766,                207766,                207766,              2476745,,,              2184716,              2184716,              2184716,                292029,                292029,,,                180794,,                136710,,                  4298,                321802,                -29773,,,,                    521,                    521,                              0,                  5979,                  6500,,                 16431,                     88,                 23771,                    444,,                  8412,                  8412,,                 11787,                              0,                   -710,                 27677,,                 57577,                 57577,                -23400,                -53173,,                 -3856,                 -3856,                -49317,                -49317,                -47314,,                -49317,,                -47314,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,                  6432,                  6432,,,,,                 42866,                     20,                    674,                 17741,                    958,                  2405,                  1876,                  7845,                  3771,                    973,                  1034,                 16001,                    294,                  2898,                  2140,                      7,                 64517,                 14774,                 27414,                    367,                    128,                    358,                    598,                  1673,                    119,                    954,                  3329,                  2843,                              0,                    354,                    784,                  3993,                    187,                  1306,                     33,                 92270,                  4287,                      1,                     10,,                  1536,                    563,                     96,                  2003,,,,,,,,,,,,
1524,2013年07月01日至2013年09月30日,,,,                503035,                503035,                      9,                  1231,                501795,,,                 53253,                 53253,                 53253,                555048,,,                483201,                483201,                483201,                 71847,                 71847,,,                 41562,,                 29604,,                    994,                 72160,                   -313,,,,                     16,                     16,                              0,                  1930,                  1946,,                  3410,                              0,                  1462,                    529,,                  2415,                  2415,,                      5,                     28,,                 -4818,,                 14967,                 14967,                -17839,                -18152,,                 -2583,                 -2583,                -15569,                -15569,                -15569,,                -15569,,                -15569,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,                              0,                              0,,                  7771,,,                  9887,                              0,                     73,                  3909,                    251,                    509,                    150,                  2120,                    928,                     39,                    254,                  4076,                     75,                    830,                  1303,                      7,                 13863,                  3288,                  5462,                     92,                     38,                      3,                    161,                    392,                      7,                    265,                    824,                    874,,,                    -55,,,,,,,,,,,,,,,                     89,                  1003,                     46,                    381,                      2,                 20020,                    991,                              0,                      3,,
1524,2013年04月01日至2013年06月30日,,,,                579492,                579492,                    105,                  1421,                577966,,,                 52561,                 52561,                 52561,                630527,,,                545071,                545071,                545071,                 85456,                 85456,,,                 46562,,                 30808,,                  1087,                 78457,                  6999,,,,                    183,                    183,                              0,                  1191,                  1374,,                 12865,                     86,                  6201,                   -610,,                  1947,                  1947,,                     98,,,                 15647,,                 14378,                 14378,                  2643,                  9642,,                  1709,                  1709,                  7933,                  7933,                  7933,,                  7933,,                  7933,,                              0.05,                              0.05,,                              0.04,                              0.04,,                              0,                              0,,                    850,,,                 10917,                      8,                    452,                  4473,                    229,                    678,                  1724,                  1998,                    984,                     77,                    252,                  4081,                     75,                    615,                     20,                              0,                 16549,                  3430,                  6415,                     92,                     40,                    278,                    159,                    515,                     97,                    239,                    881,                    627,,,                     25,,,,,,,,,,,,,,,                     87,                    983,                     46,                    287,                      7,                 20030,                  1084,,,                      3,
1524,2013年01月01日至2013年09月30日,,,,              1638777,              1638777,                    175,                  3601,              1635001,,,                150504,                150504,                150504,              1785505,,,              1562414,              1562414,              1562414,                223091,                223091,,,                132970,,                 84254,,                  3178,                220402,                  2689,,,,                    201,                    201,                              0,                  4726,                  4927,,                 16276,                     86,                 23312,                    588,,                  6513,                  6513,,                    184,                     28,,                 31000,,                 44059,                 44059,                 -7607,                 -4918,,                 -1105,                 -1105,                 -3813,                 -3813,                 -3813,,                 -3813,,                 -3813,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,,                  6084,                  6084,,                  8621,,                    525,                 31570,                    275,                    542,                 12779,                    697,                  1639,                  1881,                  5750,                  2840,                    898,                    764,                 12268,                    219,                  1678,                  1534,                      7,                 47113,                 10791,                 19088,,                    103,                    284,                    454,                  1238,                    112,                    702,                  2521,                  2143,                              0,                    264,                    752,                  2977,                    139,                    798,                     16,                 52388,                  3168,                      1,                      9,,,,,,                              0,,,,,,,,,,,
1524,2013年01月01日至2013年06月30日,,,,              1135742,              1135742,                    166,                  2369,              1133207,,,                 97251,                 97251,                 97251,              1230458,,,              1079213,              1079213,              1079213,                151245,                151245,,,                 91491,,                 54650,,                  2183,                148324,                  2921,,,,                    195,                    195,                              0,                  2796,                  2991,,                 12866,                     86,                 21850,                    484,,                  4098,                  4098,,                    179,,,                 36591,,                 29092,                 29092,                 10490,                 13411,,                  1653,                  1653,                 11758,                 11758,                 11758,,                 11758,,                 11758,,                              0.07,                              0.07,,                              0.06,                              0.06,,                  6432,                  6432,,                    850,,,                 21682,                     20,                    469,                  8870,                    447,                  1129,                  1731,                  3630,                  1912,                    859,                    510,                  8192,                    144,                    848,                    231,                              0,                 33250,                  7567,                 13626,                    184,                     65,                    281,                    294,                    846,                    105,                    437,                  1697,                  1269,,,                    807,,,,,,,,,,,,,,,                    175,                  1974,                     93,                    417,                     14,                 32366,                  2177,,,                      6,
1524,2013年01月01日至2013年03月31日,,,,                556250,                556250,                     61,                    948,                555241,,,                 44690,                 44690,                 44690,                599931,,,                534142,                534142,                534142,                 65789,                 65789,,,                 44929,,                 23842,,                  1096,                 69867,                 -4078,,,,                     12,                     12,,                  1605,                  1617,,                      1,                              0,                 15649,                  1094,,                  2151,                  2151,,                     81,,,                 20944,,                 14714,                 14714,                  7847,                  3769,,                    -56,                    -56,                  3825,                  3825,                  3825,,                  3825,,                  3825,,                              0.02,                              0.02,,,,,                  6432,                  6432,,                              0,,,                 10298,                     12,                     17,                  4397,                    217,                    451,                      8,                  1633,                    928,                    782,                    257,                  4111,                     70,                    232,                    211,                              0,                 16701,                  4604,                  7046,                     92,                     25,                      3,                    135,                    331,                      7,                    198,                    816,                    642,,,                    781,,,,,,,,,,,,,,,                     88,                    991,                     46,                    130,                      7,                 12504,                  1045,,,                      4,                     47
1524,2012年07月01日至2012年09月30日,,,,                607015,                607015,                     95,                  1661,                605259,,,                 61066,                 61066,                 61066,                666325,,,                606006,                606006,                606006,                 60319,                 60319,,,                 50942,,                 20257,,                  1271,                 72470,                -12151,,,,                     23,                     23,                              0,                  5059,                  5082,,                      2,                     38,                              0,                    816,,                  2132,                  2132,,                    300,                              0,,                -10363,,                 14153,                 14153,                -19434,                -31585,,                 -4765,                 -4765,                -26820,                -26820,                -26820,,                -26820,,                -26820,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,                              0,                              0,,                  8787,,,                 11356,                              0,                    421,                  4323,                    231,                    533,                              0,                  2110,                    936,                     44,                    257,                  4256,                      7,                    675,                  1257,                              0,                 15895,                  8641,                  7650,                    103,                     42,                    315,                    141,                    512,                    120,                    262,                    809,                    818,,,                    493,,,,,,,,,,,,,,,                     87,                  1065,                              0,                    310,                     19,                  7511,                  1271,                              0,                              0,,
1524,2012年04月01日至2012年06月30日,,,,                625133,                625133,                     12,                  2164,                622957,,,                 58349,                 58349,                 58349,                681306,,,                628704,                628704,                628704,                 52602,                 52602,,,                 53261,,                 30416,,                  1050,                 84727,                -32125,,,,                    153,                    153,                  2793,                  2927,                  5873,,                  5327,                      8,                              0,                 -1190,,                  1941,                  1941,,                    397,,,                  6291,,                 13175,                 13175,                 -1011,                -33136,,                 -5362,                 -5362,                -27774,                -27774,                -27774,,                -27774,,                -27774,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,                              0,                              0,,                 -4484,,,                 11400,                              0,                    656,                  4441,                    266,                    568,                  1368,                  1720,                    939,                    105,                    255,                  4283,                     16,                    324,                    363,                      5,                 16350,                 10202,                  7754,                    103,                     31,                      6,                    172,                    362,                     27,                    211,                    860,                    642,,,                    697,,,,,,,,,,,,,,,                     88,                  1143,                              0,                    142,                      7,                 18171,                  1050,,,                              0,
1524,2012年01月01日至2012年09月30日,,,,              1867871,              1867871,                    180,                  6465,              1861226,,,                184718,                184718,                184718,              2045944,,,              1874622,              1874622,              1874622,                171322,                171322,,,                159517,,                 71054,,                  3327,                233898,                -62576,,,,                    194,                    194,                  2793,                  9712,                 12699,,                 20501,                    132,                              0,                     12,,                  5218,                  5218,,                  1278,                              0,,                  2350,,                 40929,                 40929,                -25880,                -88456,,                -13893,                -13893,                -74563,                -74563,                -74563,,                -74563,,                -74563,,                             -0.47,                             -0.47,,                             -0.47,                             -0.47,,                              0,                              0,,                 11799,,,                 33474,                              0,                  1081,                 13994,                    718,                  1473,                  1371,                  5299,                  2819,                    971,                    771,                 12846,                     35,                  1422,                  4040,                     16,                 49143,                 30044,                 22535,                    311,                    102,                    337,                    442,                  1266,                    177,                    653,                  2514,                  2135,,,                  2983,,,,,,,,,,,,,,,                    264,                  3376,                              0,                    632,                     35,                 33292,                  3327,                              0,                              0,,
1524,2012年01月01日至2012年06月30日,,,,              1260856,              1260856,                     85,                  4804,              1255967,,,                123652,                123652,                123652,              1379619,,,              1268616,              1268616,              1268616,                111003,                111003,,,                108575,,                 50797,,                  2056,                161428,                -50425,,,,                    171,                    171,                  2793,                  4653,                  7617,,                 20499,                     94,                              0,                   -804,,                  3086,                  3086,,                    978,,,                 12713,,                 26776,                 26776,                 -6446,                -56871,,                 -9128,                 -9128,                -47743,                -47743,                -47743,,                -47743,,                -47743,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,                              0,                              0,,                  3012,,,                 22118,                              0,                    660,                  9671,                    487,                    940,                  1371,                  3189,                  1883,                    927,                    514,                  8590,                     28,                    747,                  2783,                     16,                 33248,                 21403,                 14885,                    208,                     60,                     22,                    301,                    754,                     57,                    391,                  1705,                  1317,,,                  2490,,,,,,,,,,,,,,,                    177,                  2311,                              0,                    322,                     16,                 25781,                  2056,,,                              0,
1524,2012年01月01日至2012年03月31日,,,,                640611,                640611,                     73,                  2640,                637898,,,                 60415,                 60415,                 60415,                698313,,,                639912,                639912,                639912,                 58401,                 58401,,,                 55314,,                 20381,,                  1006,                 76701,                -18300,,,,                     18,                     18,,                  1726,                  1744,,                 15172,                     86,                              0,                    386,,                  1146,                  1146,,                    581,,,                  6422,,                 13601,                 13601,                 -5435,                -23735,,                 -3766,                 -3766,                -19969,                -19969,                -19969,,                -19969,,                -19969,,                             -0.13,                             -0.13,,,,,                              0,                              0,,                  7495,,,                 10264,                              0,                      5,                  5229,                    220,                    372,                      4,                  1468,                    944,                    822,                    259,                  4307,                     12,                    423,                  2420,                     11,                 16898,                 11656,                  6851,                    104,                     29,                     15,                    130,                    391,                     30,                    180,                    846,                    675,,,                  1794,,,,,,,,,,,,,,,                     89,                  1168,                              0,                    181,                      9,                  7889,                    981,,,                              0,                     25
