證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　　 處分投資利益
5243,2014年01月01日至2014年03月31日,,              1932101,,              1607133,                324968,                324968,,,                 57347,,                113289,,                 46011,                216647,                108321,,,,                  1357,                  2499,                     22,                  3878,,,,                    829,                    203,                  5219,                 -6251,,                  2041,                  2041,,                  1764,                 -2650,                105671,,                  2785,                102886,                102886,,,                137689,                137689,,                -24124,                -24124,                113565,                216451,,                103995,                 -1109,,                218412,                 -1961,,                              0.58,                              0.58,,                              0.57,                              0.57,,              1932101,,              1607133,,
5243,2013年第3季,,              2396288,,              2000502,                395786,                395786,,,                 70238,,                183121,,                 39880,                293239,                102547,,,,                    939,                  2454,                  1036,                  4429,,                 19751,,                  1375,                              0,                 10456,                  7920,,                  2808,                  2808,,                  1038,                 10579,                113126,,                 11501,                101625,                101625,,,,,,,,                -78097,                 23528,,                103521,                 -1896,,                 24958,                 -1430,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,                -78097,
5243,2013年第2季,,              2384324,,              2001585,                382739,                382739,,,                 83567,,                173700,,                 43077,                300344,                 82395,,,,                  2402,                  2470,                  3852,                  8724,,                    621,                  7297,                  1331,                              0,                              0,                  6587,,                  2220,                  2220,,                    960,                 14051,                 96446,,                 -2760,                 99206,                 99206,,,,,,,,                 39692,                138898,,                105764,                 -6558,,                144118,                 -5220,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,                 39692,
5243,2013年度,,              8552616,,              7096914,              1455702,              1455702,,,                291178,,                644763,,                151430,              1087371,                368331,,,,                  6074,                  9862,                 18664,                 34600,,                 23544,,                  3844,                              0,                 25897,                 -6197,,                 10872,                 10872,,                  5352,                 22883,                391214,,                  4801,                386413,                386413,,,,,,,,                214572,                600985,,                394886,                 -8473,,                606530,                 -5545,,                              2.42,                              2.42,,                              2.41,                              2.41,,,,,                214572,
5243,2013年07月01日至2013年09月30日,,              2396288,,              2000502,                395786,                395786,,,                 70238,,                183121,,                 39880,                293239,                102547,,,,                    939,                  2454,                  1036,                  4429,,                 19751,,                  1375,,                 10456,                  7920,,                  2808,                  2808,,                  1038,                 10579,                113126,,                 11501,                101625,                101625,,,,,,,,                -78097,                 23528,,                103521,                 -1896,,                 24958,                 -1430,,                              0.68,                              0.68,,                              0.67,                              0.67,,,,,                -78097,                              0
5243,2013年01月01日至2013年12月31日,,              8552616,,              7096914,              1455702,              1455702,,,                291178,,                644763,,                151430,              1087371,                368331,,,,                  6074,                  9862,                 18664,                 34600,,                 23544,                              0,                  3844,,                 25897,                 -6197,,                 10872,                 10872,,                  5352,                 22883,                391214,,                  4801,                386413,                386413,,,,,,,,                214572,                600985,,                394886,                 -8473,,                606530,                 -5545,,                              2.55,                              2.55,,                              2.54,                              2.54,,,,,                214572,                              0
5243,2013年01月01日至2013年09月30日,,              6618508,,              5528797,              1089711,              1089711,,,                214794,,                498622,,                113611,                827027,                262684,,,,                  4062,                  7411,                 14413,                 25886,,                 20363,,                  3243,                              0,                 21397,                 -4277,,                  8095,                  8095,,                  3234,                 16748,                279432,,                 11322,                268110,                268110,,,,,,,,                140190,                408300,,                282231,                -14121,,                420367,                -12067,,                              1.75,                              1.75,,                              1.74,                              1.74,,,,,                140190,
5243,2013年01月01日至2013年06月30日,,              4222220,,              3528295,                693925,                693925,,,                144556,,                315501,,                 73731,                533788,                160137,,,,                  3123,                  4957,                 13377,                 21457,,                    612,                              0,                  1868,                              0,                 10941,                -12197,,                  5287,                  5287,,                  2196,                  6169,                166306,,                   -179,                166485,                166485,,,,,,,,                218287,                384772,,                178710,                -12225,,                395409,                -10637,,                              1.17,                              1.17,,                              1.17,                              1.17,,,,,                218287,
5243,2013年01月01日至2013年03月31日,,              1837896,,              1526710,                311186,                311186,,,                 60989,,                141801,,                 30654,                233444,                 77742,,,,                    721,                  2487,                  9134,                 12342,,,,                    146,                      9,                 18238,                -18393,,                  3067,                  3067,,                  1236,                 -7882,                 69860,,                  2581,                 67279,                 67279,,,,,,,,                178595,                245874,,                 72946,                 -5667,,                251291,                 -5417,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,                178595,
5243,2012年07月01日至2012年09月30日,,              1554801,,              1267842,                286959,                286959,,,                 75137,,                105920,,                 34239,                215296,                 71663,,,,                  1501,                  2378,                  3434,                  7313,,                    545,,                    489,,                    391,                   -335,,                  2360,                  2360,,                    297,                  4915,                 76578,,                  9095,                 67483,                 67483,,,,,,,,               -101940,                -34457,,                 65688,                  1795,,                -35977,                  1520,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,               -101940,                              0
5243,2012年01月01日至2012年12月31日,,              6567645,,              5549285,              1018360,              1018360,,,                261151,,                428634,,                118742,                808527,                209833,,,,                  4515,                  9465,                 22075,                 36055,,                  5579,                 21324,                  6009,,                              0,                 20954,,                 12702,                 12702,,                  4693,                 49000,                258833,,                 28266,                230567,                230567,,,,,,,,               -204581,                 25986,,                238497,                 -7930,,                 33080,                 -7094,,                              1.60,                              1.60,,                              1.60,                              1.60,,,,,               -204581,                     60
5243,2012年01月01日至2012年09月30日,,              4317345,,              3624968,                692377,                692377,,,                160770,,                290722,,                 80559,                532051,                160326,,,,                  3734,                  7128,                 17461,                 28323,,                  3338,,                  3190,,                  4415,                 -4207,,                  9921,                  9921,,                  1805,                 16000,                176326,,                 21490,                154836,                154836,,,,,,,,               -166479,                -11643,,                156835,                 -1999,,                 -8971,                 -2672,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,               -166479,                     60
