證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換利益,　　　 採用權益法認列之關聯企業及合資利益之份額,　 未實現銷貨（損）益,　　 現金流量避險,　　 銷貨成本,　　　 銷貨成本合計,　　 其他綜合損益
2330,2014年01月01日至2014年09月30日,,,            540285390,            540285390,,            273136725,            267148665,                 13442,            267162107,,,              3710936,,             14676344,,             40885511,             59272791,,               -235292,            207654024,,,              2618607,              2618607,,              1868835,,              2414084,,              3040159,              5113517,            212767541,,             28969205,            183798336,            183798336,,,,,,,,,              3190117,               -438481,,                -42040,                 13745,              2695851,              2695851,            186494187,,            183896351,                -98015,,            186591536,                -97349,,                              7.09,                              7.09,,                              7.09,                              7.09,,,,,,,,,,,,,
2330,2014年01月01日至2014年06月30日,,,            331235656,            331235656,,            169665469,            161570187,                 16648,            161586835,,,              2387677,,             10064151,,             25678229,             38130057,,               -229992,            123226786,,,              1930282,              1930282,,              1828425,,              1598030,,              2003434,              4164111,            127390897,,             19893188,            107497709,            107497709,,,,,,,,,               -220761,               -446601,,                 -6021,                 11123,               -684506,               -684506,            106813203,,            107565096,                -67387,,            106880387,                -67184,,                              4.15,                              4.15,,                              4.15,                              4.15,,,,,,,,,,,,,
2330,2014年01月01日至2014年03月31日,,,,            148215172,,             77836093,             70379079,                 21017,             70400096,,,              1152702,,              4655671,,             12066622,             17874995,,                 -2741,             52522360,,,,                613699,,                  6983,,                796580,,                955380,                779482,             53301842,,              5456064,             47845778,             47845778,,,,,,,,,,,,,,,              2414145,             50259923,,             47870745,                -24967,,             50283666,                -23743,,                              1.85,                              1.85,,                              1.85,                              1.85,              2831381,               -415445,,,                 -4747,                 -2956,,                955380,,,,,
2330,2013年第3季,,,,            162577034,,             83636464,             78940570,                -49759,             78890811,,,              1164881,,              4738276,,             13357075,             19260232,,                -12525,             59618054,,,                433395,                433395,,             -1082482,,                732326,,              1113243,               -268170,             59349884,,              7415132,             51934752,             51934752,,,,,,,,,,,,,,,              5993031,             57927783,,             51951943,                -17191,,             57951263,                -23480,,,                              2.00,,,                              2.00,             -1740459,              7685269,,,                 37947,                -10274,             -1082482,,,,,,
2330,2013年第2季,,,,            155886320,,             79467520,             76418800,                  3386,             76422186,,,              1164693,,              5685570,,             11941871,             18792134,,                   -970,             57629082,,,              1009064,              1009064,,                954369,,                635340,,              1059504,              2387597,             60016679,,              8255176,             51761503,             51761503,,,,,,,,,,,,,,,              5649911,             57411414,,             51807725,                -46222,,             57487048,                -75634,,                              2.00,                              2.00,,                              2.00,                              2.00,              1172141,              4669793,,,               -191994,                     29,,,,,,,
2330,2013年度,,,,            597024197,,            316057820,            280966377,                -20870,            280945507,,,              4516525,,             18928544,,             48118165,             71563234,,                 47090,            209429363,,,              2342123,              2342123,,              2390381,,              2646776,,              3972031,              6057759,            215487122,,             27468185,            188018937,            188018937,,,,,,,,,,,,,,,             16352248,            204371185,,            188146790,               -127853,,            204505782,               -134597,,,                              7.26,,,                              7.26,              3668509,             13290385,               -662074,,                -59740,               -115168,,,,,,,
2330,2013年07月01日至2013年09月30日,,,,            162577034,,             83636464,             78940570,                -49759,             78890811,,,              1164881,,              4738276,,             13357075,             19260232,,                -12525,             59618054,,,                433395,                433395,,             -1082482,,                732326,,              1113243,               -268170,             59349884,,              7415132,             51934752,             51934752,,,,,,,,,,,,,,,              5993031,             57927783,,             51951943,                -17191,,             57951263,                -23480,,                              2.00,                              2.00,,                              2.00,                              2.00,             -1740459,              7685269,,,                 37947,                -10274,,,,                              0,,             83636464,
2330,2013年04月01日至2013年06月30日,,,,            155886320,,             79467520,             76418800,                  3386,             76422186,,,              1164693,,              5685570,,             11941871,             18792134,,                   -970,             57629082,,,              1009064,              1009064,,                954369,,                635340,,              1059504,              2387597,             60016679,,              8255176,             51761503,             51761503,,,,,,,,,,,,,,,              5649911,             57411414,,             51807725,                -46222,,             57487048,                -75634,,                              2.00,                              2.00,,                              2.00,                              2.00,              1172141,              4669793,,,               -191994,                     29,,,                              0,                              0,,,                              0
2330,2013年01月01日至2013年12月31日,,,,            597024197,,            316057820,            280966377,,            280945507,,,              4516525,,             18928544,,             48118165,             71563234,,                 47090,            209429363,,,              2342123,              2342123,,              2390381,,              2646776,,              3972031,              6057759,            215487122,,             27468185,            188018937,            188018937,,,,,,,,,,,,,,,             16352248,            204371185,,            188146790,               -127853,,            204505782,               -134597,,,                              7.26,,,                              7.26,              3668509,             13290385,               -662074,,                -59740,               -115168,,,                 20870,                              0,,,
2330,2013年01月01日至2013年09月30日,,,,            451218350,,            235092710,            216125640,                -42833,            216082807,,,              3359373,,             15119366,,             35949931,             54428670,,                 21008,            161675145,,,              1788780,              1788780,,                685316,,              1861664,,              2826900,              3439332,            165114477,,             21882679,            143231798,            143231798,,,,,,,,,,,,,,,             17550749,            160782547,,            143336544,               -104746,,            160893697,               -111150,,,                              5.53,,,                              5.53,              2335435,             15180754,,,                -18924,                -53484,                685316,,,,,,
2330,2013年01月01日至2013年06月30日,,,,            288641316,,            151456246,            137185070,                  6926,            137191996,,,              2194492,,             10381090,,             22592856,             35168438,,                 33533,            102057091,,,              1355385,              1355385,,              1767798,,              1129338,,              1713657,              3707502,            105764593,,             14467547,             91297046,             91297046,,,,,,,,,,,,,,,             11557718,            102854764,,             91384601,                -87555,,            102942434,                -87670,,                              3.52,                              3.52,,                              3.52,                              3.52,              4075894,              7495485,,,                -56871,                -43210,,,,,,,
2330,2013年01月01日至2013年03月31日,,,,            132754996,,             71988726,             60766270,                  3540,             60769810,,,              1029799,,              4695520,,             10650985,             16376304,,                 34503,             44428009,,,,                346321,,                813429,,                493998,,                654153,              1319905,             45747914,,              6212371,             39535543,             39535543,,,,,,,,,,,,,,,              5907807,             45443350,,             39576876,                -41333,,             45455386,                -12036,,                              1.53,                              1.53,,                              1.53,                              1.53,              2903753,              2825692,,,                135123,                -43239,,                654153,,,,,
2330,2012年07月01日至2012年09月30日,,,,            141499253,,             72344501,             69154752,                 10381,             69165133,,,              1234982,,              4478517,,             10656855,             16370354,,                  3199,             52797978,,,                353132,                353132,,                169424,,                270379,,                712186,                964363,             53762341,,              4340047,             49422294,             49422294,,,,,,,,,,,,,,,             -2300416,             47121878,,             49379633,                 42661,,             47092066,                 29812,,                              1.90,                              1.90,,                              1.90,                              1.90,             -2239717,               -112534,,,                 48074,                 24497,,,,                 28258,,             72344501,
2330,2012年04月01日至2012年06月30日,,,,            128186331,,             65579011,             62607320,                              0,             62393341,,,              1104741,,              4364938,,             10068390,             15538069,,                 16816,             46872088,,,                510441,                510441,,             -1832121,,                197348,,                603871,               -915157,             45956931,,              4157315,             41799616,             41799616,,,,,,,,,,,,,,,              2448509,             44248125,,             41843339,                -43723,,             44294525,                -46400,,                              1.61,                              1.61,,                              1.61,                              1.61,              1236890,              1542651,,,                -22321,                308777,,,                213979,                     66,,,                              0
2330,2012年01月01日至2012年12月31日,,,,            506745234,,            262583098,            244162136,,            244137107,,,              4495986,,             17631694,,             40383195,             62510875,,               -449364,            181176868,,,              1716093,              1716093,,             -2269812,,              1020422,,              2073729,                499588,            181676456,,             15552654,            166123802,            166123802,,,,,,,,,,,,,,,              4252632,            170376434,,            166318286,               -194484,,            170521543,               -145109,,,                              6.42,,,                              6.41,             -4322697,              9534269,               -685978,,                 53748,                326942,,,                 25029,                    232,,,
2330,2012年01月01日至2012年09月30日,,,,            375300415,,            193133859,            182166556,               -129569,            182036987,,,              3440158,,             13500459,,             29883097,             46823714,,               -425894,            134787379,,,              1364809,              1364809,,             -1412705,,                685418,,              1338261,                604947,            135392326,,             10787480,            124604846,            124604846,,,,,,,,,,,,,,,             -2153855,            122450991,,            124714606,               -109760,,            122537025,                -86034,,                              4.81,                              4.81,,                              4.81,                              4.81,             -3627600,              1710289,,,                 68461,                333426,,,,                 28421,,            193133859,
2330,2012年01月01日至2012年06月30日,,,,            233801162,,            120789358,            113011804,                              0,            112871854,,,              2205176,,              9021942,,             19226242,             30453360,,               -429093,             81989401,,,              1011677,              1011677,,             -1582129,,                415039,,                626075,               -359416,             81629985,,              6447433,             75182552,             75182552,,,,,,,,,,,,,,,                146561,             75329113,,             75334973,               -152421,,             75444959,               -115846,,                              2.91,                              2.91,,                              2.91,                              2.91,             -1387883,              1822823,,,                 20387,                308929,,,                139950,                    163,,,                              0
2330,2012年01月01日至2012年03月31日,,,,            105614831,,             55210347,             50404484,                 74029,             50478513,,,              1100435,,              4657004,,              9157852,             14915291,,               -445909,             35117313,,,                501236,                501236,,                249992,,                217691,,                 22204,                555741,             35673054,,              2290118,             33382936,             33382936,,,,,,,,,,,,,,,             -2301948,             31080988,,             33491634,               -108698,,             31150434,                -69446,,,                              1.29,,,                              1.29,             -2624773,                280172,,,                 42708,                    152,,,,                     97,,,
