證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 壞帳轉回利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
1723,2014年01月01日至2014年03月31日,,,              2339307,,                 51489,              2390796,,              1579538,                811258,                811258,,,                 39801,,                 31173,,                 37494,                108468,                702790,,,                 10973,                 10973,,                 10862,,                    488,                    488,,                 17777,                 39124,                741914,,                111025,                630889,                630889,,,                  8483,                -16936,,                -45583,                -54036,                -54036,                576853,,                631530,                   -641,,                577833,,                   -980,,                              2.74,                              2.74,,                              2.73,                              2.73,,,,,,,
1723,2013年第3季,,,,,,              2315456,,              1510282,                805174,                805174,,,                 56665,,                 37812,,                 19967,                114444,                690730,,,                 14146,                 14146,,                  1252,,                    563,                    563,,                 28595,                 43430,                734160,,                106149,                628011,                628011,,,,,,,,                 86629,                714640,,                621501,                  6510,,                707718,,                  6922,,                              2.70,                              2.70,,                              2.70,                              2.70,                              0,                 -5368,                 40866,,,                 51131,
1723,2013年第2季,,,,,,              2400891,,              1680037,                720854,                720854,,,                 36645,,                 35393,,                 21324,                 93362,                627492,,,                 13646,                 13646,,                  1773,,                    729,                    729,,                 21816,                 36506,                663998,,                 95462,                568536,                568536,,,,,,,,                -36732,                531804,,                569515,                   -979,,                533156,,                 -1352,,                              2.47,                              2.47,,                              2.46,                              2.46,                              0,                  2161,                  2299,,,                -41192,
1723,2013年度,,,,,,              8819953,,              6009957,              2809996,              2809996,,,                152008,,                156367,,                 79278,                387653,              2422343,,,                 56141,                 70779,,                 24254,,                  2624,                  2624,,                 80682,                173091,              2595434,,                374452,              2220982,              2220982,,,,,,,,                118868,              2339850,,              2209911,                 11071,,              2328799,,                 11051,,                              9.60,                              9.60,,                              9.56,                              9.56,                 14638,                  9378,                 76175,                  4287,,                 29757,                   -729
1723,2013年07月01日至2013年09月30日,,,,,,              2315456,,              1510282,                805174,                805174,,,                 56665,,                 37812,,                 19967,                114444,                690730,,,                 14146,                 14146,,                  1252,,                    563,                    563,,                 28595,                 43430,                734160,,                106149,                628011,                628011,,,,,,,,                 86629,                714640,,                621501,                  6510,,                707718,,                  6922,,                              2.70,                              2.70,,                              2.70,                              2.70,                              0,                 -5368,                 40866,,,                 51131,
1723,2013年04月01日至2013年06月30日,,,,,,              2400891,,              1680037,                720854,                720854,,,                 36645,,                 35393,,                 21324,                 93362,                627492,,,                 13646,                 13646,,                  1773,,                    729,                    729,,                 21816,                 36506,                663998,,                 95462,                568536,                568536,,,,,,,,                -36732,                531804,,                569515,                   -979,,                533156,,                 -1352,,                              2.47,                              2.47,,                              2.46,                              2.46,                              0,                  2161,                  2299,,,                -41192,
1723,2013年01月01日至2013年12月31日,,,,,,              8819953,,              6009957,              2809996,              2809996,,,                152008,,                156367,,                 79278,                387653,              2422343,,,                 56141,                 70779,,                 24254,,                  2624,                  2624,,                 80682,                173091,              2595434,,                374452,              2220982,              2220982,,,,,,,,                118868,              2339850,,              2209911,                 11071,,              2328799,,                 11051,,                              9.60,                              9.60,,                              9.56,                              9.56,                 14638,                  9378,                 76175,                  4287,,                 29757,                   -729
1723,2013年01月01日至2013年09月30日,,,,,,              6793836,,              4610308,              2183528,              2183528,,,                122135,,                107822,,                 65221,                295178,              1888350,,,                 38907,                 53545,,                 13077,,                  1889,                  1889,,                 63842,                128575,              2016925,,                290189,              1726736,              1726736,,,,,,,,                 39917,              1766653,,              1717533,                  9203,,              1757734,,                  8919,,                              7.46,                              7.46,,                              7.44,                              7.44,                 14638,                  6384,                 47398,,,                -13865,
1723,2013年01月01日至2013年06月30日,,,,,,              4478380,,              3100026,              1378354,              1378354,,,                 65470,,                 70010,,                 45254,                180734,              1197620,,,                 24761,                 39399,,                 11825,,                  1326,                  1326,,                 35247,                 85145,              1282765,,                184040,              1098725,              1098725,,,,,,,,                -46712,              1052013,,              1096032,                  2693,,              1050016,,                  1997,,                              4.76,                              4.76,,                              4.74,                              4.74,                 14638,                 11752,                  6532,,,                -64996,
1723,2013年01月01日至2013年03月31日,,,              2043295,,                 34194,              2077489,,              1419989,                657500,                657500,,,                 28825,,                 34617,,                 23930,                 87372,                570128,,,                 11115,                 25753,,                 10052,,                    597,                    597,,                 13431,                 48639,                618767,,                 88578,                530189,                530189,,,,,,,,                 -9980,                520209,,                526517,                  3672,,                516860,,                  3349,,                              2.29,                              2.29,,                              2.28,                              2.28,                 14638,                  9591,                  4233,,,                -23804,
1723,2012年07月01日至2012年09月30日,,,,,,              2092812,,              1459054,                633758,                633758,,,                 32871,,                 39775,,                 16213,                 88859,                544899,,,                 13136,                 13136,,                  8489,,                    548,                    548,,                 38002,                 59079,                603978,,                 82113,                521865,                521865,,,,,,,,                -16902,                504963,,                521476,                    389,,                504782,,                    181,,                              2.27,                              2.27,,                              2.26,                              2.26,                              0,                 -7380,                 13959,,,                -23481,
1723,2012年04月01日至2012年06月30日,,,,,,              2182692,,              1585131,                597561,                597561,,,                 41479,,                 19246,,                 14975,                 75700,                521861,,,                 18790,                 18790,,                  4511,,                    828,                    828,,                 14231,                 36704,                558565,,                 70605,                487960,                487960,,,,,,,,                -56641,                431319,,                486991,                    969,,                430558,,                    761,,                              2.12,                              2.12,,                              2.11,                              2.11,                              0,                  4592,                 -6365,,,                -54868,
1723,2012年01月01日至2012年12月31日,,,,,,              8315358,,              5861830,              2453528,              2453528,,,                143509,,                127875,,                 69895,                341279,              2112249,,,                 78954,                 78954,,                 14855,,                  2333,                  2333,,                 79642,                171118,              2283367,,                313770,              1969597,              1969597,,,,,,,,                  2224,              1971821,,              1966343,                  3254,,              1968834,,                  2987,,                              8.54,                              8.54,,                              8.50,                              8.50,                              0,                -15396,                 17620,                  8419,,                 -6988,                 -1431
1723,2012年01月01日至2012年09月30日,,,,,,              6564402,,              4649706,              1914696,              1914696,,,                118988,,                 83497,,                 50045,                252530,              1662166,,,                 42338,                 42338,,                 13494,,                  1928,                  1928,,                 66831,                120735,              1782901,,                243210,              1539691,              1539691,,,,,,,,                -20320,              1519371,,              1538128,                  1563,,              1518224,,                  1147,,                              6.68,                              6.68,,                              6.65,                              6.65,                              0,                -12174,                 31144,,,                -39290,
1723,2012年01月01日至2012年06月30日,,,,,,              4471590,,              3190652,              1280938,              1280938,,,                 86117,,                 43722,,                 33832,                163671,              1117267,,,                 29202,                 29202,,                  5005,,                  1380,                  1380,,                 28829,                 61656,              1178923,,                161097,              1017826,              1017826,,,,,,,,                 -3418,              1014408,,              1016652,                  1174,,              1013442,,                    966,,                              4.42,                              4.42,,                              4.40,                              4.40,                              0,                 -4794,                 17185,,,                -15809,
1723,2012年01月01日至2012年03月31日,,,              2264512,,                 24386,              2288898,,              1605521,                683377,                683377,,,                 44638,,                 24476,,                 18857,                 87971,                595406,,,                 10412,                 10412,,                    494,,                    552,                    552,,                 14598,                 24952,                620358,,                 90492,                529866,                529866,,,,,,,,                 53223,                583089,,                529661,                    205,,                582884,,                    205,,                              2.30,                              2.30,,                              2.29,                              2.29,                              0,                 -9386,                 23550,,,                 39059,
