證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨成本,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 外幣兌換損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 當期所得稅費用（利益）
3535,2013年第2季,,,                102671,                102671,,,,                 97495,                  5176,                  5176,,,                 10071,,                 11216,,                 33579,                 54866,                -49690,,,                    513,,                    542,,                  3029,                 -3135,                -52825,,                -14303,                -38522,                -38522,,,,,                    245,                -38277,,                -38522,,,                -38277,,,,                             -0.49,,,                              0.00,,                 -1161,                    295,,                     50,,                102671,                              0,,,,,,,
3535,2013年度,,,                419984,                419984,,,                328143,                328143,                 91841,                 91841,,,                 34517,,                 48040,,                131854,                214411,               -122570,,,                  3171,,                  3872,,                  9954,                 -8133,               -130703,,                -14613,               -116090,               -116090,,,,,                    227,               -115863,,               -116090,,,               -115863,,,                             -1.48,                             -1.48,,                             -1.48,                             -1.48,,                 -5222,                    905,                   -524,                    154,,,,,,,,,,
3535,2013年07月01日至2013年09月30日,,,                124358,                124358,,,,                 96691,                 27667,                 27667,,,                  9584,,                 11359,,                 32570,                 53513,                -25846,,,                    427,,                 -1402,,                  2546,                 -4682,                -30528,,                              0,                -30528,                -30528,,,,,                   -124,                -30652,,                -30528,,,                -30652,,,,                             -0.39,,,,,                 -1161,                   -124,,                              0,,                124380,                     22,,,,,,,
3535,2013年04月01日至2013年06月30日,,,                102671,                102671,,,                 97495,                 97495,                  5176,                  5176,,,                 10071,,                 11216,,                 33579,                 54866,                -49690,,,                    513,,                    542,,                  3029,                 -3135,                -52825,,                -14303,                -38522,                -38522,,,,,                    245,                -38277,,                -38522,,,                -38277,,,,                             -0.49,,,,,                 -1161,                    245,,                              0,,                102671,                              0,                 97495,,                  1422,                    880,                  3029,                 -1161,                -14303
3535,2013年01月01日至2013年12月31日,,,                419984,                419984,,,,                328143,                 91841,                 91841,,,                 34517,,                 48040,,                131854,                214411,               -122570,,,                  3171,,                  3872,,                  9954,                 -8133,               -130703,,                -14613,               -116090,               -116090,,,,,                    227,               -115863,,               -116090,,,               -115863,,,,                             -1.48,,,,,                 -5222,                    905,                   -524,                    154,,                421299,                  1315,,,,,,,
3535,2013年01月01日至2013年09月30日,,,                295382,                295382,,,                252687,                252687,                 42695,                 42695,,,                 27248,,                 37237,,                 95994,                160479,               -117784,,,                  2627,,                  5485,,                  8555,                 -4504,               -122288,,                -14613,               -107675,               -107675,,,,,                    624,               -107051,,               -107675,,,               -107051,,,                             -1.37,                             -1.37,,                             -1.37,                             -1.37,,                 -4061,                    624,,,,,,,,,,,,
3535,2013年01月01日至2013年06月30日,,,                171024,                171024,,,,                155996,                 15028,                 15028,,,                 17664,,                 25878,,                 63424,                106966,                -91938,,,                  2200,,                  6887,,                  6009,                    178,                -91760,,                -14613,                -77147,                -77147,,,,,                    748,                -76399,,                -77147,,,                -76399,,,,                             -0.98,,,                              0.00,,                 -2900,                    901,,                    153,,                172308,                  1284,,,,,,,
3535,2013年01月01日至2013年03月31日,,,                 68353,                 68353,,,,                 58501,                  9852,                  9852,,,                  7593,,                 14662,,                 29845,                 52100,                -42248,,,                  1687,,                  6345,,                  2980,                  3313,                -38935,,                   -310,                -38625,                -38625,,,,,                    503,                -38122,,                -38625,,,                -38122,,,,                             -0.49,,,,,                 -1739,                    606,,                    103,,                 69637,                  1284,,,,,,,
3535,2012年07月01日至2012年09月30日,,,                 90753,                 90753,,,,                 93805,                 -3052,                 -3052,,,                  6154,,                 16244,,                 19709,                 42107,                -45159,,,                  1329,,                 -4249,,                  3067,                 -9982,                -55141,,                 -1607,                -53534,                -53534,,,,,                   -361,                -53895,,                -53534,,,                -53895,,,,                             -0.68,,,,,                 -3995,                   -361,,                              0,,                 91662,                    909,,,,,,,
3535,2012年04月01日至2012年06月30日,,,                 63319,                 63319,,,                 56964,                 56964,                  6355,                  6355,,,                  5634,,                 14782,,                 21613,                 42029,                -35674,,,                    896,,                  3775,,                  2885,                  1297,                -34377,,                  1380,                -35757,                -35757,,,,,                   -133,                -35890,,                -35757,,,                -35890,,,,                             -0.45,,,,,                   -489,                   -133,,                              0,,                 63575,                    256,                 56964,,                  1374,                 -2401,                  2885,                   -489,                  1380
3535,2012年01月01日至2012年12月31日,,,                324537,                324537,,,,                317840,                  6697,                  6697,,,                 25600,,                 53348,,                 87840,                166788,               -160091,,,                  7567,,                -13075,,                 11689,                -68139,               -228230,,                -24370,               -203860,               -203860,,,,,                    442,               -203418,,               -203860,,,               -203418,,,,                             -2.59,,,,,                -50942,                   -585,                    928,                    -99,,                325810,                  1273,,,,,,,
3535,2012年01月01日至2012年09月30日,,,                292506,                292506,,,,                265989,                 26517,                 26517,,,                 16996,,                 46147,,                 61087,                124230,                -97713,,,                  3954,,                 -3695,,                  8788,                -17430,               -115143,,                 -2581,               -112562,               -112562,,,,,                   -494,               -113056,,               -112562,,,               -113056,,,,                             -1.43,,,,,                 -8901,                   -494,,                              0,,                293672,                  1166,,,,,,,
3535,2012年01月01日至2012年06月30日,,,                201753,                201753,,,                172184,                172184,                 29569,                 29569,,,                 10842,,                 29903,,                 41378,                 82123,                -52554,,,                  2625,,                    554,,                  5721,                 -7448,                -60002,,                   -974,                -59028,                -59028,,,,,                   -133,                -59161,,                -59028,,,                -59161,,,,                             -0.75,,,,,                 -4906,                   -133,,                              0,,                202010,                    257,                172184,,                  1374,                    820,                  5721,                 -4906,                   -974
3535,2012年01月01日至2012年03月31日,,,,                138434,,,,                115220,                 23214,                 23214,,,                  5208,,                 15121,,                 19765,                 40094,                -16880,,,                  1729,,                 -3221,,                  2836,                 -8745,                -25625,,                 -2354,                -23271,                -23271,,,,,                              0,                -23271,,                -23271,,,                -23271,,,,                             -0.30,,,,,                 -4417,                              0,,                              0,,,,,,,,,,
