證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 其他費用[duplicate]12,　　　 管理費用合計,　　 研究發展費用,　　　 其他費用[duplicate]15,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 其他減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2324,2013年第3季,,            164849264,,            157883819,              6965445,              6965445,,,                733267,                733267,,              1127223,              1127223,,              2702699,              2702699,              4563189,              2402256,,,                455995,                455995,,                              0,                              0,                              0,                              0,,,,,                 28790,                              0,                218357,                164160,,              4901360,              4901360,             -5312667,,                105478,,                              0,                315603,               -315603,             -5277753,             -2875497,,               -351516,             -2523981,             -2523981,,,,,,,,,,               -830296,             -3354277,,             -2729293,                205312,,             -3531064,                176787,,                             -0.63,,                             -0.63,               -684434,               -152155,,,                -10631,                -10631,                -16924,,,
2324,2013年第2季,,            166879022,,            159998450,              6880572,              6880572,,,                789674,                789674,,              1106630,              1106630,,              2699836,              2699836,              4596140,              2284432,,,                506918,                506918,,                 25941,                              0,,                              0,,,,                              0,,                  2440,                133306,                  4404,,                  8412,                  8412,               -122621,,                 94981,,                              0,                506879,               -506879,               -217563,              2066869,,                605539,              1461330,              1461330,,,,,,,,,,                -55385,              1405945,,              1394084,                 67246,,              1332392,                 73553,,                              0.32,,                              0.32,                228449,               -392871,,,                 74721,                 74721,                -34316,,,
2324,2013年度,,            692748293,,            664637902,             28110391,             28110391,,,              3271332,              3271332,,              4294551,              4294551,,             11310464,             11310464,             18876347,              9234044,,,              1457802,              1457802,,                246995,                626458,                              0,                              0,,,,,                              0,                              0,                546135,                147667,,              4909772,              4909772,             -4730121,,                493642,,                              0,              1107701,             -1107701,             -4873662,              4360382,,              1456650,              2903732,              2903732,,,,,,,,,,                711298,              3615030,,              2467211,                436521,,              3160663,                454367,,                              0.57,,                              0.57,              1113347,               -765150,                    651,,                391438,                391438,                 28988,,,
2324,2013年07月01日至2013年09月30日,,            164849264,,            157883819,              6965445,              6965445,,,                733267,                733267,,              1127223,              1127223,,              2702699,              2702699,              4563189,              2402256,,,                436200,                436200,,,,,,,,,,,,,,,,,             -5292872,,                105478,,,                315603,               -315603,             -5277753,             -2875497,,               -351516,             -2523981,             -2523981,,,,,,,,,,               -830296,             -3354277,,             -2729293,                205312,,             -3531064,                176787,,                             -0.63,,                             -0.63,               -684434,               -152155,,,                -10631,                -10631,                -16924,,,
2324,2013年04月01日至2013年06月30日,,            166879022,,            159998450,              6880572,              6880572,,,                789674,                789674,,              1106630,              1106630,,              2699836,              2699836,              4596140,              2284432,,,                539276,                539276,,,,,,,,,,,,,,,,,               -154979,,                 94981,,,                506879,               -506879,               -217563,              2066869,,                605539,              1461330,              1461330,,,,,,,,,,                -55385,              1405945,,              1394084,                 67246,,              1332392,                 73553,,                              0.32,,                              0.32,                228449,               -392871,,,                 74721,                 74721,                -34316,,,
2324,2013年01月01日至2013年12月31日,,            692748293,,            664637902,             28110391,             28110391,,,,              3271332,,,              4294551,,,             11310464,             18876347,              9234044,,,              1468093,              1468093,,                246995,                626458,,,,,,                 10291,,,                546135,                147667,,,              4909772,             -4740412,,                493642,,,              1107701,             -1107701,             -4873662,              4360382,,              1456650,              2903732,              2903732,,,,,,,,,,                711298,              3615030,,              2467211,                436521,,              3160663,                454367,,                              0.57,,                              0.57,              1113347,               -765150,                    651,,                391438,                391438,                 28988,,                              0.57,                              0.57
2324,2013年01月01日至2013年09月30日,,            499284191,,            478855141,             20429050,             20429050,,,              2286228,              2286228,,              3236053,              3236053,,              8134199,              8134199,             13656480,              6772570,,,              1270611,              1270611,,                 43778,                116105,                              0,                              0,,,,,                              0,                              0,                551713,                207429,,              4909772,              4909772,             -5509031,,                330647,,                              0,              1244004,             -1244004,             -5813071,                959499,,                633717,                325782,                325782,,,,,,,,,,              1435512,              1761294,,                 21134,                304648,,              1436857,                324437,,                              0.00,,                              0.00,                761724,                444252,,,                231481,                231481,                  1945,,,
2324,2013年01月01日至2013年06月30日,,            334434927,,            320971322,             13463605,             13463605,,,              1552961,              1552961,,              2108830,              2108830,,              5431500,              5431500,              9093291,              4370314,,,                814616,                814616,,                 72568,                116105,,                              0,,,,                              0,,                              0,                333356,                 43269,,                  8412,                  8412,               -196364,,                225169,,                              0,                928401,               -928401,               -535318,              3834996,,                985233,              2849763,              2849763,,,,,,,,,,              2265808,              5115571,,              2750427,                 99336,,              4967921,                147650,,                              0.63,,                              0.62,              1446158,                596407,,,                242112,                242112,                 18869,,,
2324,2013年01月01日至2013年03月31日,,            167555905,,            160972872,              6583033,              6583033,,,                763287,                763287,,              1002200,              1002200,,              2731664,              2731664,              4497151,              2085882,,,                310603,                310603,,                 46627,                118545,                              0,                              0,,                              0,                              0,                  2905,,,                200050,                 38865,,                              0,                              0,                -76648,,                130188,,                              0,                421522,               -421522,               -317755,              1768127,,                379694,              1388433,              1388433,,,,,,,,,,              2321193,              3709626,,              1356343,                 32090,,              3635529,                 74097,,                              0.31,,                              0.31,              1217709,                989278,,,                167391,                167391,                 53185,                130188,,
2324,2012年07月01日至2012年09月30日,,            172912878,,            165996893,              6915985,              6915985,,,                944971,                944971,,              1070871,              1070871,,              2782470,              2782470,              4798312,              2117673,,,                579131,                579131,,,,,,,,,,,,,,,,,               -192491,,                 60627,,,                344146,               -344146,                -18133,              2099540,,                491325,              1608215,              1608215,,,,,,,,,,               -670421,                937794,,              1507459,                100756,,                867503,                 70291,,                              0.35,,                              0.34,               -786479,                190994,,,                -76992,                -76992,                 -2056,,,
2324,2012年04月01日至2012年06月30日,,            164900641,,            157560930,              7339711,              7339711,,,                925569,                925569,,                974561,                974561,,              2711502,              2711502,              4611632,              2728079,,,                592463,                592463,,,,,,,,,,,,,,,,,               -503928,,                 95672,,,                398164,               -398164,               -405301,              2322778,,                468455,              1854323,              1854323,,,,,,,,,,                -71749,              1782574,,              1630513,                223810,,              1530222,                252352,,                              0.37,,                              0.37,                463885,               -347664,,,                 14163,                 14163,                202133,,,
2324,2012年01月01日至2012年12月31日,,            683913713,,            655163910,             28749803,             28749803,,,,              3628822,,,              4008269,,,             11057818,             18694909,             10054894,,,              1970858,              1970858,,                217630,                 72214,,,,,,                 77418,,,                601346,                 51989,,,                  2492,               -443401,,                411796,,,              1746710,             -1746710,               -631049,              9423845,,              2183698,              7240147,              7240147,,,,,,,,,,                -59127,              7181020,,              6399958,                840189,,              6406588,                774432,,                              1.47,,                              1.44,             -1591811,              2096736,               -170161,,               -172853,               -172853,                221038,,                              1.47,                              1.44
2324,2012年01月01日至2012年09月30日,,            499568371,,            478222750,             21345621,             21345621,,,              2561351,              2561351,,              3053041,              3053041,,              8129992,              8129992,             13744384,              7601237,,,              1805528,              1805528,,,,,,,,,,,,,,,,,               -517958,,                284346,,,              1252148,             -1252148,               -248924,              7352313,,              1677947,              5674366,              5674366,,,,,,,,,,               -752979,              4921387,,              5039429,                634937,,              4326421,                594966,,                              1.16,,                              1.14,             -1251193,                843379,,,               -138092,               -138092,                207073,,,
2324,2012年01月01日至2012年06月30日,,            326655493,,            312225857,             14429636,             14429636,,,              1616380,              1616380,,              1982170,              1982170,,              5347522,              5347522,              8946072,              5483564,,,              1226397,              1226397,,,,,,,,,,,,,,,,,               -325467,,                223719,,,                908002,               -908002,               -230791,              5252773,,              1186622,              4066151,              4066151,,,,,,,,,,                -82558,              3983593,,              3531970,                534181,,              3458918,                524675,,                              0.81,,                              0.80,               -464714,                652385,,,                -61100,                -61100,                209129,,,
2324,2012年01月01日至2012年03月31日,,            161754852,,            154664927,              7089925,              7089925,,,                690811,                690811,,              1007609,              1007609,,              2636020,              2636020,              4334440,              2755485,,,                633934,                633934,,,                              0,                199243,,,,,                 10979,,,                              0,                  9803,,,,                178461,,                128047,,,                509838,               -509838,                174510,              2929995,,                718167,              2211828,              2211828,,,,,,,,,,                -10809,              2201019,,              1901457,                310371,,              1928696,                272323,,                              0.44,,                              0.43,               -928599,              1000049,,,                -75263,                -75263,                  6996,                128047,,
