證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
8021,2014年01月01日至2014年03月31日,,,,                646465,                     96,                    418,                645951,                645951,,,                471345,                471345,                174606,                174606,,,                 25059,,                 62137,,                 19812,                107008,,                  2758,                 70356,,,,                  4340,                  1223,                  5563,,                              0,                  2165,                    228,                              0,                  1937,,                  8458,                  8458,                   -958,                 69398,,                  7998,                 61400,                 61400,,,                    169,                     28,                    141,,                 43743,                     -9,                 43734,                 43875,                105275,,                 66382,                 -4982,,                107219,                 -1944,,                              0.42,                              0.42,,                              0.41,                              0.41,,                              0,,,,,
8021,2013年第3季,,,,                661420,                    342,                    111,                660967,                660967,,,                466459,                466459,                194508,                194508,,,                 22796,,                 57489,,                 20408,                100693,,                   -526,                 93289,,,,                  3889,                  3334,                  7223,,,                  4782,                    366,                              0,                  4416,,                  8468,                  8468,                  3171,                 96460,,                 18265,                 78195,                 78195,,,,,,,,,,                -29581,                 48614,,                 79783,                 -1588,,                 50768,                 -2154,,                              0.51,                              0.51,,                              0.50,                              0.50,,,                -29359,                   -159,                    -75,                    -12,
8021,2013年第2季,,,,                670007,                    403,                    193,                669411,                669411,,,                463775,                463775,                205636,                205636,,,                 25035,,                 55528,,                 19852,                100415,,                    175,                105396,,,,                  2842,                  3072,                  5914,,,                  8118,                    402,                              0,                  7716,,                  7837,                  7837,                  5793,                111189,,                 33476,                 77713,                 77713,,,,,,,,,,                 62898,                140611,,                 75131,                  2582,,                136761,                  3850,,                              0.48,                              0.48,,                              0.47,                              0.47,,                              0,                 63012,                    -51,                    -76,                    -13,
8021,2013年度,,,,              2538636,                  1054,                  2610,              2534972,              2534972,,,              1797522,              1797522,                737450,                737450,,,                100857,,                224989,,                 79926,                405772,,                   -313,                331365,,,,                 12921,                 10037,                 22958,,,                 29166,                  2215,                              0,                 26951,,                 32746,                 32746,                 17163,                348528,,                 76569,                271959,                271959,,,,,,,,,,                170974,                442933,,                280315,                 -8356,,                447847,                 -4914,,                              1.78,                              1.78,,                              1.74,                              1.74,,,                172173,                    -85,                 -1342,                   -228,
8021,2013年07月01日至2013年09月30日,,,,                661420,                    342,                    111,                660967,                660967,,,                466459,                466459,                194508,                194508,,,                 22796,,                 57489,,                 20408,                100693,,                   -526,                 93289,,,,                  3889,                  3334,                  7223,,                              0,                  4782,                    366,,                  4416,,                  8468,                  8468,                  3171,                 96460,,                 18265,                 78195,                 78195,,,,,,,,,,                -29581,                 48614,,                 79783,                 -1588,,                 50768,                 -2154,,                              0.51,                              0.51,,                              0.50,                              0.50,,                              0,                -29359,                   -159,                    -75,                    -12,
8021,2013年04月01日至2013年06月30日,,,,                670007,                    403,                    193,                669411,                669411,,,                463775,                463775,                205636,                205636,,,                 25035,,                 55528,,                 19852,                100415,,                    175,                105396,,,,                  2842,                  3072,                  5914,,                              0,                  8118,                    402,,                  7716,,                  7837,                  7837,                  5793,                111189,,                 33476,                 77713,                 77713,,,,,,,,,,                 62898,                140611,,                 75131,                  2582,,                136761,                  3850,,                              0.48,                              0.48,,                              0.47,                              0.47,,                              0,                 63012,                    -51,                    -76,                    -13,
8021,2013年01月01日至2013年12月31日,,,,              2538636,                  1054,                  2610,              2534972,              2534972,,,              1797522,              1797522,                737450,                737450,,,                100857,,                224989,,                 79926,                405772,,                   -313,                331365,,,,                 12921,                 10037,                 22958,,                              0,                 29166,                  2215,,                 26951,,                 32746,                 32746,                 17163,                348528,,                 76569,                271959,                271959,,,,,,,,,,                170974,                442933,,                280315,                 -8356,,                447847,                 -4914,,                              1.78,                              1.78,,                              1.74,                              1.74,,,                172173,                    -85,                 -1342,                   -228,
8021,2013年01月01日至2013年09月30日,,,,              1888186,                    911,                    535,              1886740,              1886740,,,              1325777,              1325777,                560963,                560963,,,                 75899,,                160642,,                 59533,                296074,,                   -351,                264538,,,,                  8640,                  6831,                 15471,,,                 19991,                  1122,                              0,                 18869,,                 23732,                 23732,                 10608,                275146,,                 61985,                213161,                213161,,,,,,,,,,                119086,                332247,,                213838,                   -677,,                330448,                  1799,,                              1.35,                              1.35,,                              1.33,                              1.33,,,                119392,                   -158,                   -178,                    -30,
8021,2013年01月01日至2013年06月30日,,,,              1226766,                    569,                    424,              1225773,              1225773,,,                859318,                859318,                366455,                366455,,,                 53103,,                103153,,                 39125,                195381,,                    175,                171249,,,,                  4751,                  3497,                  8248,,,                 15209,                    756,                              0,                 14453,,                 15264,                 15264,                  7437,                178686,,                 43720,                134966,                134966,,,,,,,,,,                148667,                283633,,                134055,                    911,,                279680,                  3953,,                              0.85,                              0.85,,                              0.83,                              0.83,,                              0,                148751,                      1,                   -103,                    -18,
8021,2013年01月01日至2013年03月31日,,,,                556759,                    166,                    231,                556362,                556362,,,                395543,                395543,                160819,                160819,,,                 28068,,                 47625,,                 19273,                 94966,,                              0,                 65853,,,,                  1909,                    425,                  2334,,,                  7091,                    354,,                  6737,,                  7427,                  7427,                  1644,                 67497,,                 10244,                 57253,                 57253,,,,,,,,,,                 85769,                143022,,                 58924,                 -1671,,                142919,                    103,,                              0.37,                              0.37,,                              0.37,                              0.37,,,                 85739,                     52,                    -27,,                      5
8021,2012年07月01日至2012年09月30日,,,,                628065,                     41,                    289,                627735,                627735,,,                416920,                416920,                210815,                210815,,,                 28643,,                 50523,,                 21057,                100223,,                 -1232,                109360,,,,                  2609,                  2014,                  4623,,                  1760,                              0,                      7,,                   -574,,                  8667,                  8667,                 -4618,                104742,,                 21997,                 82745,                 82745,,,,,,,,,,                -65215,                 17530,,                 81845,                    900,,                 17983,                   -453,,                              0.52,                              0.52,,                              0.51,                              0.51,,                  2327,                -63518,                 -1636,                    -72,                    -11,
8021,2012年04月01日至2012年06月30日,,,,                575957,                    213,                    421,                575323,                575323,,,                396358,                396358,                178965,                178965,,,                 29494,,                 46662,,                 19644,                 95800,,                   -142,                 83023,,,,                  3268,                    808,                  4076,,                              0,                              0,                    251,,                 -1544,,                 10064,                 10064,                 -7532,                 75491,,                 25199,                 50292,                 50292,,,,,,,,,,                 20313,                 70605,,                 55212,                 -4920,,                 74920,                 -4315,,                              0.35,                              0.35,,                              0.35,                              0.35,,                  1293,                 20915,                   -542,                    -73,                    -13,
8021,2012年01月01日至2012年12月31日,,,,              2368218,                    853,                  1480,              2365885,              2365885,,,              1617276,              1617276,                748609,                748609,,,                110314,,                190466,,                 79989,                380769,,                 -1447,                366393,,,,                 10043,                  3903,                 13946,,                 12985,                  1326,                  1281,,                 13030,,                 37627,                 37627,                -10651,                355742,,                 81591,                274151,                274151,,,,,,,,,,               -118179,                155972,,                273773,                    378,,                158071,                 -2099,,                              1.73,                              1.73,,                              1.69,                              1.69,,,               -108950,                 -7114,                 -2548,                   -433,
8021,2012年01月01日至2012年09月30日,,,,              1702540,                    775,                    992,              1700773,              1700773,,,              1180064,              1180064,                520709,                520709,,,                 79683,,                139800,,                 58489,                277972,,                 -1376,                241361,,,,                  7701,                  3483,                 11184,,                 12985,                              0,                    363,,                  5215,,                 29078,                 29078,                -12679,                228682,,                 52823,                175859,                175859,,,,,,,,,,               -116746,                 59113,,                183373,                 -7514,,                 69065,                 -9952,,                              1.16,                              1.16,,                              1.14,                              1.14,,                  7407,               -109612,                 -6953,                   -217,                    -36,
8021,2012年01月01日至2012年06月30日,,,,              1074475,                    734,                    703,              1073038,              1073038,,,                763144,                763144,                309894,                309894,,,                 51040,,                 89277,,                 37432,                177749,,                   -144,                132001,,,,                  5092,                  1469,                  6561,,                 11225,                              0,                    356,,                  5789,,                 20411,                 20411,                 -8061,                123940,,                 30826,                 93114,                 93114,,,,,,,,,,                -51531,                 41583,,                101528,                 -8414,,                 51082,                 -9499,,                              0.65,                              0.65,,                              0.64,                              0.64,,                  5080,                -46094,                 -5317,                   -145,                    -25,
8021,2012年01月01日至2012年03月31日,,,,                498548,                    551,                    282,                497715,                497715,,,                366786,                366786,                130929,                130929,,,                 21546,,                 42615,,                 17788,                 81949,,                     -2,                 48978,,,,                  1824,                    661,                  2485,,                 11225,                              0,                    105,,                  7333,,                 10347,                 10347,                   -529,                 48449,,                  5627,                 42822,                 42822,,,,,,,,,,                -71844,                -29022,,                 46316,                 -3494,,                -23838,                 -5184,,                              0.30,                              0.30,,                              0.29,                              0.29,,                  3787,                -67009,                 -4775,                    -72,,                     12
