證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與待出售非流動資產直接相關之權益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
6251,2014年01月01日至2014年03月31日,,,,              2385043,,              2042646,                342397,                342397,,,                162559,,                 91717,,                 63272,                317548,                 24849,,,                  9301,,                 28336,,                 21673,                 15964,                 40813,,                  7415,                 33398,                 33398,,,                -28935,,                 -4919,                -24016,                -24016,                  9382,,                 34769,                 -1371,,                 10753,                 -1371,,,                              0.12,,,                              0.12,                  7415,,,,,
6251,2013年第3季,,,              2682688,              2682688,,              2388434,                294254,                294254,,,                183331,,                115678,,                 42077,                341086,                -46832,,,                 66404,,                -29895,,                 24949,                 11560,                -35272,,                              0,                -35272,                -35272,,,,,,,                -29265,                -64537,,                -34008,                 -1264,,                -63273,                 -1264,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,,                -35259,,                              0,                 -5994,
6251,2013年第2季,,,,              2437594,,              2173353,                264241,                264241,,,                172629,,                 93174,,                 33920,                299723,                -35482,,,                 33634,,                  2274,,                 28625,                  7283,                -28199,,                    437,                -28636,                -28636,,,,,,,                 44808,                 16172,,                -28612,                    -24,,                 16196,                    -24,,                             -0.10,                             -0.10,,,,,                 53986,,                              0,                  9178,
6251,2013年度,,,,             10140523,,              9182872,                957651,                957651,,,                700283,,                420382,,                149505,              1270170,               -312519,,,                149114,,                 10241,,                104976,                 54379,               -258140,,                              0,               -258140,               -258140,,,,,,,                147804,               -110336,,               -255383,                 -2757,,               -107579,                 -2757,,,                             -0.90,,,                             -0.90,,                169662,                 15155,                 -8607,                 28406,
6251,2013年07月01日至2013年09月30日,,,,              2682688,,              2390356,                292332,                292332,,,                179834,,                115678,,                 42077,                337589,                -45257,,,                 64829,,                -29895,,                 24949,                  9985,                -35272,,                              0,                -35272,                -35272,,,,,,,                -29265,                -64537,,                -34008,                 -1264,,                -63273,                 -1264,,,                             -0.12,,,                             -0.12,,                -35259,,                              0,                 -5994,
6251,2013年04月01日至2013年06月30日,,,,              2437594,,              2177385,                260209,                260209,,,                175702,,                 93174,,                 33920,                302796,                -42587,,,                 40739,,                  2274,,                 28625,                 14388,                -28199,,                    437,                -28636,                -28636,,,,,,,                 44808,                 16172,,                -28612,                    -24,,                 16196,                    -24,,,                             -0.10,,,                             -0.10,,                 53986,,                              0,                  9178,
6251,2013年01月01日至2013年12月31日,,,,             10140523,,              9182872,                957651,                957651,,,                700283,,                420382,,                149505,              1270170,               -312519,,,                149114,,                 10241,,                104976,                 54379,               -258140,,                              0,               -258140,               -258140,,,,,,,                147804,               -110336,,               -255383,                 -2757,,               -107579,                 -2757,,,                             -0.90,,,                             -0.90,,                169662,                 15155,                 -8607,                 28406,
6251,2013年01月01日至2013年09月30日,,,              7541163,              7541163,,              6787986,                753177,                753177,,,                522472,,                296756,,                106163,                925391,               -172214,,,                105624,,                 -3035,,                 82392,                 20197,               -152017,,                              0,               -152017,               -152017,,,,,,,                 79945,                -72072,,               -149510,                 -2507,,                -69565,                 -2507,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,,                106163,,                 -8607,                 17611,
6251,2013年01月01日至2013年06月30日,,,,              4858475,,              4399552,                458923,                458923,,,                339141,,                181078,,                 64086,                584305,               -125382,,,                 39220,,                 26860,,                 57443,                  8637,               -116745,,                              0,               -116745,               -116745,,,,,,,                109210,                 -7535,,               -115502,                 -1243,,                 -6292,                 -1243,,                             -0.40,                             -0.40,,,,,                141422,,                 -8607,                 23605,
6251,2013年01月01日至2013年03月31日,,,,              2420881,,              2232401,                188480,                188480,,,                170187,,                 87904,,                 30166,                288257,                -99777,,,                 15463,,                 24586,,                 28818,                 11231,                -88546,,                   -437,                -88109,                -88109,,,,,,,                 64402,                -23707,,                -86890,                 -1219,,                -22488,                 -1219,,,                             -0.30,,,                             -0.30,,                 87436,,                 -8607,                 14427,                   -437
6251,2012年07月01日至2012年09月30日,,,,              3053884,,              2690444,                363440,                363440,,,                161691,,                 96115,,                 30481,                288287,                 75153,,,                 16276,,                -44614,,                 31564,                -59902,                 15251,,                  4123,                 11128,                 11128,,,,,,,                -22797,                -11669,,                 14654,                 -3526,,                 -8143,                 -3526,,,                              0.05,,,                              0.05,,                -27466,,                              0,                 -4669,
6251,2012年04月01日至2012年06月30日,,,,              2656976,,              2421496,                235480,                235480,,,                149349,,                 87528,,                 30367,                267244,                -31764,,,                 26277,,                158666,,                 35918,                149025,                117261,,                 20497,                 96764,                 96764,,,,,,,                 12322,                109086,,                 99499,                 -2735,,                111821,                 -2735,,,                              0.34,,,                              0.31,,                 14846,,                              0,                  2524,
6251,2012年01月01日至2012年12月31日,,,,             10719015,,              9918396,                800619,                800619,,,                583224,,                362047,,                119976,              1065247,               -264628,,,                 57665,,               -478675,,                157885,               -578895,               -843523,,                -93416,               -750107,               -750107,,,,,,,                -79068,               -829175,,               -732090,                -18017,,               -811158,                -18017,,,                             -2.51,,,                             -2.51,,               -120986,                  1712,                  8607,                -31599,
6251,2012年01月01日至2012年09月30日,,,,              8050171,,              7385040,                665131,                665131,,,                434051,,                265158,,                 89165,                788374,               -123243,,,                 75847,,               -214072,,                107524,               -245749,               -368992,,                -34467,               -334525,               -334525,,,,,,,                -96381,               -430906,,               -324152,                -10373,,               -420533,                -10373,,,                             -1.11,,,                             -1.11,,               -116121,,                              0,                -19740,
6251,2012年01月01日至2012年06月30日,,,,              4996287,,              4694596,                301691,                301691,,,                272360,,                169043,,                 58684,                500087,               -198396,,,                 59571,,               -169458,,                 75960,               -185847,               -384243,,                -38590,               -345653,               -345653,,,,,,,                -73584,               -419237,,               -338806,                 -6847,,               -412390,                 -6847,,,                             -1.16,,,                             -1.16,,                -88655,,                              0,                -15071,
6251,2012年01月01日至2012年03月31日,,,,              2339311,,              2273100,                 66211,                 66211,,,                123011,,                 81515,,                 28317,                232843,               -166632,,,                 33294,,               -328124,,                 40042,               -334872,               -501504,,                -59087,               -442417,               -442417,,,,,,,                -85906,               -528323,,               -438305,                 -4112,,               -524211,                 -4112,,,                             -1.54,,,                             -1.54,,               -103501,,                              0,                -17595,
