證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 遞延所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 處分不動產、廠房及設備利益
3167,2014年01月01日至2014年03月31日,,                474996,,                316178,                158818,                158818,,,                 34191,,                 34024,,                 22941,                 91156,                 67662,,,                 15144,,                 -3959,,                  3126,                  8059,                 75721,,                 21037,                 54684,                 54684,,,                 -2386,                    -94,                   -415,                 -2065,                 -2065,                 52619,,                 53642,                  1042,,                 51577,                  1042,,                              0.74,,                              0.74,                 21037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年第3季,,                628845,,                455802,                173043,                173043,,,                 45965,,                 38135,,                 24666,                108766,                 64277,,,                  7728,,                 -8079,,                  3894,                 -4245,                 60032,,                    752,                 59280,                 59280,,,,,,,                 -6661,                 52619,,                 58635,                    645,,                 51974,                    645,,                              0.91,,                              0.90,,,,,,,,,,,,,                 -7979,                    -47,                 -1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年第2季,,                617242,,                435939,                181303,                181303,,,                 73803,,                 33969,,                 23452,                131224,                 50079,,,                 10708,,                  6388,,                  3577,                 13519,                 63598,,                 16889,                 46709,                 46709,,,,,,,                 14331,                 61040,,                 45708,                  1001,,                 60039,                  1001,,                              0.71,,                              0.71,,,,,,,,,,,,,                 17241,                     26,                  2936,                 16889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年度,,              2196249,,              1545496,                650753,                650753,,,                254213,,                145735,,                103981,                503929,                146824,,,                 58517,,                -10776,,                 14671,                 33070,                179894,,                 14825,                165069,                165069,,,,,,,                 30795,                195864,,                162830,                  2239,,                193625,                  2239,,                              2.46,,                              2.45,,,,,,,,,,,,,                 38025,                   -922,                  6308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年07月01日至2013年09月30日,,                628845,,                455802,                173043,                173043,,,                 45965,,                 38135,,                 24666,                108766,                 64277,,,                  7728,,                 -8079,,                  3894,                 -4245,                 60032,,                    752,                 59280,                 59280,,,,,,,                 -6661,                 52619,,                 58635,                    645,,                 51974,                    645,,                              0.95,,                              0.95,,,,,,,,,,,,,                 -7979,                    -47,                 -1365,                  7504,,,                615518,                615518,                     47,                  2948,                612523,,,                 16322,                 16322,                 16322,,                452152,                452152,,,                  3650,                  3650,                  3650,,                  5529,                  5529,                              0,                  2199,                      1,                              0,                              0,                    182,                    852,                  6841,                    205,                  3894,                 -6752,                              0.95,                              0.95,
3167,2013年04月01日至2013年06月30日,,                617242,,                435939,                181303,                181303,,,                 73803,,                 33969,,                 23452,                131224,                 50079,,,                 10708,,                  6388,,                  3577,                 13519,                 63598,,                 16889,                 46709,                 46709,,,,,,,                 14331,                 61040,,                 45708,                  1001,,                 60039,                  1001,,                              0.74,,                              0.74,,,,,,,,,,,,,                 17241,                     26,                  2936,                 11532,,,                575423,                575423,                     23,                    382,                575018,,,                 42224,                 42224,                 42224,,                434538,                434538,,,                  1401,                  1401,                  1401,,                  3982,                  3982,                              0,                  6726,                      5,                  7030,                              0,                    190,                     84,                              0,                    373,                  3577,                  5357,                              0.74,                              0.74,
3167,2013年01月01日至2013年12月31日,,              2196249,,              1545496,                650753,                650753,,,                254213,,                145735,,                103981,                503929,                146824,,,                 58517,,                -10776,,                 14671,                 33070,                179894,,                 14825,                165069,                165069,,,,,,,                 30795,                195864,,                162830,                  2239,,                193625,                  2239,,                              2.58,,                              2.57,,,,,,,,,,,,,                 38025,                   -922,                  6308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年01月01日至2013年09月30日,,              1614453,,              1134607,                479846,                479846,,,                172028,,                102424,,                 70716,                345168,                134678,,,                 47867,,                  4714,,                 11339,                 41242,                175920,,                 25150,                150770,                150770,,,,,,,                 21811,                172581,,                149547,                  1223,,                171358,                  1223,,                              2.31,,                              2.30,,,,,,,,,,,,,                 27238,                   -960,                  4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年01月01日至2013年06月30日,,                985608,,                678805,                306803,                306803,,,                126063,,                 64289,,                 46050,                236402,                 70401,,,                 40139,,                 12793,,                  7445,                 45487,                115888,,                 24398,                 91490,                 91490,,,,,,,                 28472,                119962,,                 90912,                    578,,                119384,                    578,,                              1.41,,                              1.40,,,,,,,,,,,,,                 35217,                   -913,                  5832,                 24398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2013年01月01日至2013年03月31日,,                368366,,                242866,                125500,                125500,,,                 52260,,                 30320,,                 22598,                105178,                 20322,,,                 29431,,                  6405,,                  3868,                 31968,                 52290,,                  7509,                 44781,                 44781,,,,,,,                 14141,                 58922,,                 45204,                   -423,,                 59345,                   -423,,                              0.73,,                              0.73,,,,,,,,,,,,,                 17976,                   -939,                  2896,                  7509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2012年07月01日至2012年09月30日,,                461136,,                328458,                132678,                132678,,,                 77559,,                 27067,,                 16911,                121537,                 11141,,,                  8540,,                 -2221,,                  2828,                  3491,                 14632,,                 11210,                  3422,                  3422,,,,,,,                 -8801,                 -5379,,                  3632,                   -210,,                 -5169,                   -210,,                              0.06,,                              0.06,,,,,,,,,,,,,                -10627,                    118,                 -1708,                 13625,,,                438412,                438412,                  3767,                    151,                434494,,,                 26642,                 26642,                 26642,,                326773,                326773,,,                  1685,                  1685,                  1685,,                  2139,                  2139,                              0,                  6401,                    612,                              0,                  3666,                    181,                     16,                  6302,                              0,                  2828,                 -2415,                              0.06,                              0.06,
3167,2012年04月01日至2012年06月30日,,                858712,,                618155,                240557,                240557,,,                 52088,,                 40418,,                 26585,                119091,                121466,,,                 22365,,                  5836,,                  2859,                 25342,                146808,,                 45609,                101199,                101199,,,,,,,                  2424,                103623,,                101580,                   -381,,                104004,                   -381,,                              1.65,,                              1.65,,,,,,,,,,,,,                  2082,                    696,                    354,                 58387,,,                855835,                855835,                    353,                  2824,                852658,,,                  6054,                  6054,                  6054,,                615920,                615920,,,                  2235,                  2235,                  2235,,                  2564,                  2564,                              0,                 19801,                              0,                  9510,                              0,                    253,                  1256,                              0,                  2165,                  2859,                -12778,                              1.65,                              1.65,
3167,2012年01月01日至2012年12月31日,,              2260874,,              1602660,                658214,                658214,,,                242322,,                121868,,                 99589,                463779,                194435,,,                 67992,,                -22340,,                 12257,                 33395,                227830,,                 78803,                149027,                149027,,,,,,,                -18939,                130088,,                150985,                 -1958,,                132046,                 -1958,,                              2.45,,                              2.44,,,,,,,,,,,,,                -23804,                    984,                 -3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2012年01月01日至2012年09月30日,,              1817358,,              1289968,                527390,                527390,,,                196662,,                 94127,,                 60838,                351627,                175763,,,                 51652,,                 13031,,                  8685,                 55998,                231761,,                 67960,                163801,                163801,,,,,,,                -18959,                144842,,                165048,                 -1247,,                146089,                 -1247,,                              2.68,,                              2.66,,,,,,,,,,,,,                -23430,                    586,                 -3885,                 83890,,,              1788351,              1788351,                  4168,                  3909,              1780274,,,                 37084,                 37084,                 37084,,              1284175,              1284175,,,                  5793,                  5793,                  5793,,                  7973,                  7973,                 14516,                 29163,                  7116,                              0,                  8963,                    497,                  1109,                  1442,                              0,                  8685,                -15930,                              2.68,                              2.66,
3167,2012年01月01日至2012年06月30日,,              1356222,,                961510,                394712,                394712,,,                119103,,                 67060,,                 43927,                230090,                164622,,,                 43112,,                 15252,,                  5857,                 52507,                217129,,                 56750,                160379,                160379,,,,,,,                -10158,                150221,,                161416,                 -1037,,                151258,                 -1037,,                              2.62,,                              2.61,,,,,,,,,,,,,                -12803,                    468,                 -2177,                 70265,,,              1349939,              1349939,                    401,                  3758,              1345780,,,                 10442,                 10442,                 10442,,                957403,                957403,,,                  4107,                  4107,                  4107,,                  5834,                  5834,                              0,                 37278,                  6504,                  5192,                  4965,                    316,                  1093,                              0,                              0,                  5857,                -13515,                              2.62,                              2.61,
3167,2012年01月01日至2012年03月31日,,                497510,,                343355,                154155,                154155,,,                 67015,,                 26642,,                 17342,                110999,                 43156,,,                 20747,,                  9416,,                  2998,                 27165,                 70321,,                 11141,                 59180,                 59180,,,,,,,                -12582,                 46598,,                 59836,                   -656,,                 47254,                   -656,,                              0.97,,                              0.97,,,,,,,,,,,,,                -14885,                   -228,                 -2531,                 11878,,,                494104,                494104,                    982,                              0,                493122,,,                  4388,                  4388,                  4388,,                341483,                341483,,,                  1872,                  1872,                  1872,,                  3270,                  3270,                              0,                 17477,                  6504,                              0,                  7130,                     63,                              0,                  4318,                              0,                  2998,                   -737,                              0.97,                              0.97,                    163
