證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額
8150,2014年01月01日至2014年03月31日,,              4989022,,              4013895,                975127,                975127,,,                 27304,,                147290,,                169966,                344560,                630567,,,                 45103,,                887150,,                 37798,,                              0,                894455,              1525022,,                257811,              1267211,              1267211,,,                   -726,                   -109,                   -617,,                  4236,               -783148,               -133135,               -645777,               -646394,                620817,,                884522,                382689,,                627531,                 -6714,,                              1.05,                              1.05,,,                              1.03,,,,,,,,,
8150,2013年第3季,,              5111888,,              3988364,              1123524,              1123524,,,                 33788,,                150671,,                137164,                321623,                801901,,,                 62552,,                -28171,,                 42100,,,                 -7719,                794182,,                157039,                637143,                637143,,,,,,,,,,,               -159201,                477942,,                625866,                 11277,,                560286,                -82344,,,                              0.74,,,                              0.73,,                 -9875,               -179911,,                -30585,,,,
8150,2013年第2季,,              4939177,,              4189946,                749231,                749231,,,                 26762,,                152852,,                141778,                321392,                427839,,,                237951,,                138121,,                 48870,,,                327202,                755041,,                182090,                572951,                572951,,,,,,,,,,,                514025,              1086976,,                537805,                 35146,,                758205,                328771,,                              0.64,                              0.64,,,                              0.63,                              0.00,                 21761,                593089,,                100825,,,,
8150,2013年度,,             19361930,,             15969222,              3392708,              3392708,,,                107706,,                593887,,                564928,              1266521,              2126187,,,                444000,,                963938,,                183005,,,              1224933,              3351120,,                648920,              2702200,              2702200,,,,,,,,,,,                 78294,              2780494,,              2323254,                378946,,              2319039,                461455,,,                              2.76,,,                              2.72,,                 62182,                 62249,                -42167,                  3970,,,,
8150,2013年07月01日至2013年09月30日,,              5111888,,              3988364,              1123524,              1123524,,,                 33788,,                150671,,                137164,                321623,                801901,,,                 62552,,                -28171,,                 42100,,,                 -7719,                794182,,                157039,                637143,                637143,,,,,,,,,,,               -159201,                477942,,                625866,                 11277,,                560286,                -82344,,,                              0.74,,,                              0.73,,                 -9875,               -179911,,                -30585,,,,
8150,2013年01月01日至2013年12月31日,,             19361930,,             15969222,              3392708,              3392708,,,                107706,,                593887,,                564928,              1266521,              2126187,,,                444000,,                963938,,                183005,,,              1224933,              3351120,,                648920,              2702200,              2702200,,,,,,,,,,,                 78294,              2780494,,              2323254,                378946,,              2319039,                461455,,,                              2.76,,,                              2.72,,                 62182,                 62249,                -42167,                  3970,                              0,                              0,,                              0
8150,2013年01月01日至2013年09月30日,,             14471810,,             11993708,              2478102,              2478102,,,                 83090,,                425029,,                402617,                910736,              1567366,,,                366593,,                323259,,                142501,,,                547351,              2114717,,                438774,              1675943,              1675943,,,,,,,,,,,                589535,              2265478,,              1600850,                 75093,,              1856461,                409017,,,                              1.90,,,                              1.88,,                 44709,                656417,,                111591,,,,
8150,2013年01月01日至2013年06月30日,,              9359922,,              8005344,              1354578,              1354578,,,                 49302,,                274358,,                265453,                589113,                765465,,,                304041,,                351430,,                100401,,,                555070,              1320535,,                281735,              1038800,              1038800,,,,,,,,,,,                748736,              1787536,,                974984,                 63816,,              1296175,                491361,,                              1.16,                              1.16,,,                              1.15,                              0.00,                 54584,                836328,,                142176,,,,
8150,2013年01月01日至2013年03月31日,,              4420745,,              3815398,                605347,                605347,,,                 22540,,                121506,,                123675,                267721,                337626,,,                 66090,,                213309,,                 51531,,,                227868,                565494,,                 99645,                465849,                465849,,,,,,,,,,,                234711,                700560,,                437179,                 28670,,                537970,                162590,,,                              0.52,,,,,                 32823,                243239,,                 41351,,,,
8150,2012年07月01日至2012年09月30日,,              5139944,,              4195961,                943983,                943983,,,                 16773,,                141530,,                137617,                295920,                648063,,,                 47636,,                -70136,,                 53109,,,                -75609,                572454,,                 65608,                506846,                506846,,,,,,,,,,,                689847,              1196693,,                490811,                 16035,,                786426,                410267,,,                              0.58,,,                              0.58,,                -26861,                863504,,                146796,,,,
8150,2012年01月01日至2012年12月31日,,             19220560,,             16702920,              2517640,              2517640,,,                 78418,,                541170,,                493359,              1112947,              1404693,,,                219766,,                 -8400,,                228565,,,                -17199,              1387494,,                134239,              1253255,              1253255,,,,,,,,,,,                495678,              1748933,,              1163748,                 89507,,              1335687,                413246,,,                              1.38,,,                              1.37,,                -46510,                735266,                -84970,                108108,                              0,                              0,,                              0
8150,2012年01月01日至2012年09月30日,,             14353207,,             12594218,              1758989,              1758989,,,                 55633,,                403878,,                370393,                829904,                929085,,,                149271,,               -137179,,                174235,,,               -162143,                766942,,                110937,                656005,                656005,,,,,,,,,,,              1450394,              2106399,,                685954,                -29949,,              1307539,                798860,,,                              0.81,,,                              0.81,,                -46219,              1800206,,                303593,,,,
8150,2012年01月01日至2012年06月30日,,              9213263,,              8398257,                815006,                815006,,,                 38860,,                262348,,                232776,                533984,                281022,,,                101635,,                -67043,,                121126,,,                -86534,                194488,,                 45329,                149159,                149159,,,,,,,,,,,                760547,                909706,,                195143,                -45984,,                521113,                388593,,,                              0.23,,,                              0.23,,                -19358,                936702,,                156797,,,,
