證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3030,2014年01月01日至2014年03月31日,,                647674,,                313740,                333934,                333934,,,                158037,,                 37894,,                 66349,                262280,                 71654,,,                 14363,,                 12595,,                    115,                 26843,                 98497,,                  7403,                 91094,                 91094,,,                   -917,                   -156,                   -761,                   -761,                 90333,,                 91094,,                 90333,,                              0.39,                              0.39,,                              0.39,                              0.39,,,
3030,2013年第3季,,              1625214,,                850944,                774270,                774270,,,                172085,,                 42873,,                 93386,                308344,                465926,,,                 14022,,                -12052,,                              0,                  1970,                467896,,                 71806,                396090,                396090,,,,,,                 -8169,                387921,,                396090,,                387921,,                              1.68,                              1.68,,                              1.67,                              1.67,                 -9842,,                 -1673
3030,2013年第2季,,                908627,,                439446,                469181,                469181,,,                159458,,                 25449,,                 78649,                263556,                205625,,,                  9059,,                  8684,,                              0,                 17743,                223368,,                 46895,                176473,                176473,,,,,,                 11557,                188030,,                176473,,                188030,,                              0.75,                              0.75,,                              0.75,                              0.75,                 13924,,                  2367
3030,2013年度,,              4083860,,              2027984,              2055876,              2055876,,,                665170,,                136525,,                341644,              1143339,                912537,,,                 49448,,                 18709,,                    597,                 67560,                980097,,                173797,                806300,                806300,,,,,,                 32168,                838468,,                806300,,                838468,,                              3.41,                              3.41,,                              3.40,                              3.40,                 34778,                  3302,                  5912
3030,2013年07月01日至2013年09月30日,,              1625214,,                850944,                774270,                774270,,,                172085,,                 42873,,                 93386,                308344,                465926,,,                 14022,,                -12052,,                              0,                  1970,                467896,,                 71806,                396090,                396090,,,,,,                 -8169,                387921,,                396090,,                387921,,                              1.68,                              1.68,,                              1.67,                              1.67,                 -9842,,                 -1673
3030,2013年04月01日至2013年06月30日,,                908627,,                439446,                469181,                469181,,,                159458,,                 25449,,                 78649,                263556,                205625,,,                  9059,,                  8684,,                              0,                 17743,                223368,,                 46895,                176473,                176473,,,,,,                 11557,                188030,,                176473,,                188030,,                              0.75,                              0.75,,                              0.75,                              0.75,                 13924,,                  2367
3030,2013年01月01日至2013年12月31日,,              4083860,,              2027984,              2055876,              2055876,,,                665170,,                136525,,                341644,              1143339,                912537,,,                 49448,,                 18709,,                    597,                 67560,                980097,,                173797,                806300,                806300,,,,,,                 32168,                838468,,                806300,,                838468,,                              3.41,                              3.41,,                              3.40,                              3.40,                 34778,                  3302,                  5912
3030,2013年01月01日至2013年09月30日,,              3189341,,              1574758,              1614583,              1614583,,,                484303,,                111632,,                244067,                840002,                774581,,,                 42898,,                 16958,,                    597,                 59259,                833840,,                160126,                673714,                673714,,,,,,                 19779,                693493,,                673714,,                693493,,                              2.85,                              2.85,,                              2.84,                              2.84,                 23830,,                  4051
3030,2013年01月01日至2013年06月30日,,              1564127,,                723814,                840313,                840313,,,                312218,,                 68759,,                150681,                531658,                308655,,,                 28876,,                 29010,,                    597,                 57289,                365944,,                 88320,                277624,                277624,,,,,,                 27948,                305572,,                277624,,                305572,,                              1.18,                              1.18,,                              1.17,                              1.17,                 33672,,                  5724
3030,2013年01月01日至2013年03月31日,,                655500,,                284368,                371132,                371132,,,                152760,,                 43310,,                 72032,                268102,                103030,,,                 19817,,                 20326,,                    597,                 39546,                142576,,                 41425,                101151,                101151,,,,,,                 16391,                117542,,                101151,,                117542,,                              0.43,                              0.43,,                              0.43,                              0.43,                 19748,,                  3357
3030,2012年07月01日至2012年09月30日,,              2134355,,                914884,              1219471,              1219471,,,                215144,,                 46582,,                109186,                370912,                848559,,,                  7228,,                -41390,,                              0,                -34162,                814397,,                169845,                644552,                644552,,,,,,                -14334,                630218,,                644552,,                630218,,                              2.73,                              2.73,,                              2.72,                              2.72,                -17269,,                 -2935
3030,2012年04月01日至2012年06月30日,,              1397678,,                678327,                719351,                719351,,,                195404,,                 39209,,                 79919,                314532,                404819,,,                  6745,,                 15108,,                              0,                 21853,                426672,,                 98896,                327776,                327776,,,,,,                  5048,                332824,,                327776,,                332824,,                              1.39,                              1.39,,                              1.38,                              1.38,                  6082,,                  1034
3030,2012年01月01日至2012年12月31日,,              5538388,,              2489752,              3048636,              3048636,,,                768999,,                118019,,                329173,              1216191,              1832445,,,                 28361,,                -55025,,                              0,                -26664,              1805781,,                381762,              1424019,              1424019,,,,,,                -24433,              1399586,,              1424019,,              1399586,,                              6.03,                              6.03,,                              6.00,                              6.00,                -16641,                 -3244,                  4548
3030,2012年01月01日至2012年09月30日,,              4563296,,              2078356,              2484940,              2484940,,,                558497,,                113476,,                253622,                925595,              1559345,,,                 20164,,                -41723,,                              0,                -21559,              1537786,,                334783,              1203003,              1203003,,,,,,                -21227,              1181776,,              1203003,,              1181776,,                              5.09,                              5.09,,                              5.07,                              5.07,                -25574,,                 -4347
3030,2012年01月01日至2012年06月30日,,              2428941,,              1163472,              1265469,              1265469,,,                343353,,                 66894,,                144436,                554683,                710786,,,                 12936,,                   -333,,                              0,                 12603,                723389,,                164938,                558451,                558451,,,,,,                 -6893,                551558,,                558451,,                551558,,                              2.36,                              2.36,,                              2.36,                              2.36,                 -8305,,                 -1412
3030,2012年01月01日至2012年03月31日,,              1031263,,                485145,                546118,                546118,,,                147949,,                 27685,,                 64517,                240151,                305967,,,                  6191,,                -15441,,                              0,                 -9250,                296717,,                 66042,                230675,                230675,,,,,,                -11941,                218734,,                230675,,                218734,,                              1.04,                              1.04,,                              1.03,                              1.03,                -14387,,                 -2446
