證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
6183,2014年01月01日至2014年03月31日,,                286569,,                172459,                114110,                114110,,,                 14749,,                 45128,,                  6286,                 66163,,                 -2520,                 -2520,                 45427,,,,                  2454,,                              0,                  2454,,                    116,                              0,,                              0,                     79,                     37,,                    210,                  2281,                 47708,,                  8143,                 39565,                 39565,,,                   -140,                    187,                   -327,                   -327,                 39238,,                 39565,,                 39238,,                              0.26,                              0.26,,                              0.26,                              0.26,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
6183,2013年第3季,,                309984,,                173750,                136234,                136234,,,                 15211,,                 46126,,                  5587,                 66924,,,                 -2808,                 66502,,,,                  1767,                  1016,                    858,                  3641,,                              0,                    472,                      2,                    104,                              0,                    366,,                    244,                  3763,                 70265,,                 11957,                 58308,                 58308,,,,,,                   -294,                 58014,,                 58308,,                 58014,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,                   -294,,                              0,,
6183,2013年第2季,,                414728,,                257239,                157489,                157489,,,                 14365,,                 44044,,                  5330,                 63739,,,                    -41,                 93709,,,,,,,                  1869,,,,,,,                   -340,,                    257,                  1272,                 94981,,                 13895,                 81086,                 81086,,,,,,                    502,                 81588,,                 81086,,                 81588,,,                              0.54,,,,,,,,,,,,,,,                    502,,                              0,,
6183,2013年度,,              1549513,,              1015715,                533798,                533798,,,                 65804,,                200814,,                 27603,                294221,,,                -10526,                229051,,,,                  7233,                  1095,                  1172,                  9500,,                    256,                    734,                      2,,,                    988,,                  1000,                  9488,                238539,,                 44887,                193652,                193652,,,,,,                  5826,                199478,,                193652,,                199478,,,                              1.29,,,                              1.29,,,,,,,,,,,,                  2038,                  3788,                              0,,
6183,2013年07月01日至2013年09月30日,,                309984,,                173750,                136234,                136234,,,                 15211,,                 46126,,                  5587,                 66924,,,                 -2808,                 66502,,,,                  1767,                  1016,                    858,                  3641,,,                    472,                      2,                    104,,                    366,,                    244,                  3763,                 70265,,                 11957,                 58308,                 58308,,,,,,                   -294,                 58014,,                 58308,,                 58014,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,                   -294,,,,
6183,2013年04月01日至2013年06月30日,,                414728,,                257239,                157489,                157489,,,                 14365,,                 44044,,                  5330,                 63739,,,                    -41,                 93709,,,,                  1789,                     79,                      1,                  1869,,                              0,                              0,                              0,                     90,                    250,                   -340,,                    257,                  1272,                 94981,,                 13895,                 81086,                 81086,,,,,,                    502,                 81588,,                 81086,,                 81588,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,,,                    502,,,,
6183,2013年01月01日至2013年12月31日,,              1549513,,              1015715,                533798,                533798,,,                 65804,,                200814,,                 27603,                294221,,,                -10526,                229051,,,,                  7233,                  1095,                  1172,                  9500,,                    256,                    734,                      2,                              0,,                    988,,                  1000,                  9488,                238539,,                 44887,                193652,                193652,,,,,,                  5826,                199478,,                193652,,                199478,,                              1.29,                              1.29,,                              1.29,                              1.29,,,,,,,,,,,,                  2038,                  3788,,,
6183,2013年01月01日至2013年09月30日,,              1111483,,                712328,                399155,                399155,,,                 43774,,                133494,,                 16821,                194089,,,                 -2849,                202217,,,,                  4985,                  1095,                    977,                  7057,,                              0,                    472,                      2,                    103,                              0,                    367,,                    769,                  6655,                208872,,                 39778,                169094,                169094,,,,,,                  1455,                170549,,                169094,,                170549,,                              1.13,                              1.13,,                              1.13,                              1.13,,,,,,,,,,,,                  1455,,                              0,,
6183,2013年01月01日至2013年06月30日,,                801499,,                538578,                262921,                262921,,,                 28563,,                 87368,,                 11234,                127165,,,                    -41,                135715,,,,,,,                  3416,,,,,,,                      1,,                    525,                  2892,                138607,,                 27821,                110786,                110786,,,,,,                  1749,                112535,,                110786,,                112535,,,                              0.74,,,,,,,,,,,,,,,                  1749,,                              0,,
6183,2013年01月01日至2013年03月31日,,                386771,,                281339,                105432,                105432,,,                 14198,,                 43324,,                  5904,                 63426,,,                              0,                 42006,,,,                  1429,,                    118,                  1547,,                     91,                    250,,,                              0,                    341,,                    268,                  1620,                 43626,,                 13926,                 29700,                 29700,,,,,,                  1247,                 30947,,                 29700,,                 30947,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,                  1247,,                              0,                              0,                              0
6183,2012年07月01日至2012年09月30日,,                405103,,                262326,                142777,                142777,,,                 13822,,                 44099,,                  4509,                 62430,,,                    -20,                 80327,,,,                  1300,                    640,                    523,                  2463,,,                  1030,                      5,                    354,,                    671,,                     12,                  3122,                 83449,,                 17976,                 65473,                 65473,,,,,,                   -591,                 64882,,                 65473,,                 64882,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,,,,,                   -591,,,,
6183,2012年04月01日至2012年06月30日,,                523808,,                386470,                137338,                137338,,,                 13149,,                 47018,,                  4036,                 64203,,,                              0,                 73135,,,,                  1475,                  1045,                     38,                  2558,,                    114,                              0,                      2,                              0,                    576,                   -464,,                     11,                  2083,                 75218,,                 11178,                 64040,                 64040,,,,,,                    205,                 64245,,                 64040,,                 64245,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,,,,                    205,,,,
6183,2012年01月01日至2012年12月31日,,              1706874,,              1171327,                535547,                535547,,,                 62036,,                197515,,                 22410,                281961,,,                   -309,                253277,,,,                  5369,                  1685,                  1414,                  8468,,                              0,                  2359,                     27,                    789,,                  1543,,                     46,                  9965,                263242,,                 46451,                216791,                216791,,,,,,                -13030,                203761,,                216791,,                203761,,                              1.45,                              1.45,,                              1.44,                              1.44,,,,,,,,,,,,                   -476,                -12554,,,
6183,2012年01月01日至2012年09月30日,,              1265434,,                872603,                392831,                392831,,,                 38890,,                131863,,                 13356,                184109,,,                   -250,                208472,,,,                  4017,                  1685,                    963,                  6665,,,                  2273,                     11,                    493,,                  1769,,                     34,                  8400,                216872,,                 39150,                177722,                177722,,,,,,                   -375,                177347,,                177722,,                177347,,                              1.18,                              1.18,,                              1.18,                              1.18,,,,,,,,,,,,                   -375,,,,
6183,2012年01月01日至2012年06月30日,,                860331,,                610277,                250054,                250054,,,                 25068,,                 87764,,                  8847,                121679,,,                   -230,                128145,,,,                  2717,                  1045,                    440,                  4202,,                              0,                  1243,                      6,                    139,                              0,                  1098,,                     22,                  5278,                133423,,                 21174,                112249,                112249,,,,,,                    216,                112465,,                112249,,                112465,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,,,,,,,,,                    216,,,,
6183,2012年01月01日至2012年03月31日,,                336523,,                223807,                112716,                112716,,,                 11919,,                 40746,,                  4811,                 57476,,,                   -230,                 55010,,,,,,,                  1644,,,,,,,                  1562,,                     11,                  3195,                 58205,,                  9996,                 48209,                 48209,,,,,,                     11,                 48220,,                 48209,,                 48220,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,,,,,,,,                     11,,,                              0,                              0
