證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 金融資產減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　 已實現銷貨（損）益,　　　 採用權益法認列之關聯企業及合資損失之份額,　 未實現銷貨（損）益,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　 停業單位損益,　　 停業單位損益合計,　　　 處分投資損失,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3311,2014年01月01日至2014年06月30日,,              2322962,,              2148221,                174741,                174741,,,                108216,,                154756,,                121620,                384592,               -209851,,,                 80307,                 80307,,,,,,                -14920,,                 14209,,                    614,                    614,                 51792,               -158059,,                -30686,               -127373,               -127373,,,                -79581,,                     -9,                -13529,                -66061,                -66061,               -193434,,               -122889,                 -4484,,               -187662,                 -5772,,                             -0.65,                             -0.65,,                             -0.65,                             -0.65,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年01月01日至2014年03月31日,,              1130475,,              1049287,                 81188,                 81188,,,                 47181,,                 79003,,                 64516,                190700,               -109512,,,                 61850,                 61850,,,,,,                 -9496,,                  8071,,                     23,                     23,                 44306,                -65206,,                -16293,                -48913,                -48913,,,,,,,,                 17608,                -31305,,                -46049,                 -2864,,                -28485,                 -2820,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,                 21214,,,,                 -3606,,                              0,                              0,,,,,,,,,,,,,,,,
3311,2013年第3季,,              1724415,,              1429379,                295036,                295036,,,                 72491,,                102316,,                 98874,                273681,                 21355,,,                 30379,                 30379,,                 -8274,,                              0,                              0,                  8274,,                  6855,,                  2123,                  2123,                 33921,                 55276,,                 12918,                 42358,                 42358,,,,,,,,                -54592,                -12234,,                 42989,                   -631,,                -10927,                 -1307,,                              0.23,                              0.23,,                              0.23,                              0.23,,                -65794,,,                     17,                 11185,,,,,,,,,,,,,,,,,,,
3311,2013年第2季,,              2002266,,              1582924,                419342,                419343,,,                 85336,,                119764,,                 93720,                298820,                120523,,,                 34138,                 34138,,,,,,                 10887,,                  5910,,                    688,                    688,                 39803,                160326,,                 43495,                116831,                116831,,,,,,,,                 75378,                192209,,                118034,                 -1203,,                192094,                    115,,                              0.63,                              0.63,,                              0.62,                              0.62,,                 90802,,,                     13,                -15437,                      1,                              0,,,,,,,,,,,,,,,,,
3311,2013年度,,              6865096,,              5565502,              1299594,              1299594,,,                276996,,                451230,,                373758,              1101984,                197610,,,                141595,                141595,,                -42295,,                              0,                              0,                 42295,,                 25392,,                  3743,                  3743,                162241,                359851,,                 95284,                264567,                264567,,,,,,,,                215292,                479859,,                267738,                 -3171,,                479303,                    556,,                              1.42,                              1.42,,                              1.40,                              1.40,                              0,                263810,                 -4768,,                   -526,                -43224,,,,,,,,,,,,,,,,,,,
3311,2013年07月01日至2013年09月30日,,              1724415,,              1429379,                295036,                295036,,,                 72491,,                102316,,                 98874,                273681,                 21355,,,                 14248,                 37831,,                  3316,,,,                    822,,                  6855,,                  2123,                  2123,                 33921,                 55276,,                 12918,                 42358,                 42358,,,,,,,,                -54592,                -12234,,                 42989,                   -631,,                -10927,                 -1307,,                              0.23,                              0.23,,                              0.23,                              0.23,,                -65794,,,                     17,                 11185,                              0,                              0,                              0,,                 23583,                              0,                    751,                              0,                  6520,                      3,                  6855,,,                              0,                  3130,,,,
3311,2013年04月01日至2013年06月30日,,              2002266,,              1582924,                419342,                419343,,,                 85336,,                119764,,                 93720,                298820,                120523,,,                 18480,                 42998,,                              0,,,,                  2027,,                  5910,,                    688,                    688,                 39803,                160326,,                 43495,                116831,                116831,,,,,,,,                 75378,                192209,,                118034,                 -1203,,                192094,                    115,,                              0.63,                              0.63,,                              0.63,                              0.63,,                 90802,,,                     13,                -15437,                              0,,                     -1,,                 24518,                              0,,                  2301,                              0,                    274,                  5910,,,,,,,,
3311,2013年01月01日至2013年12月31日,,              6865096,,              5565502,              1299594,              1299594,,,                276996,,                451230,,                373758,              1101984,                197610,,,                 81092,                174730,,                  5113,,,,                  9160,,                 25392,,                  3743,                  3743,                162241,                359851,,                 95284,                264567,                264567,,,,,,,,                215292,                479859,,                267738,                 -3171,,                479303,                    556,,                              1.43,                              1.43,,                              1.42,                              1.42,,                263810,                 -4768,,                   -526,                -43224,                              0,                              0,,,                 92032,                  1606,                  1687,                 13144,                    285,                    843,                 25392,,                              0,,,,,,
3311,2013年01月01日至2013年09月30日,,              5561341,,              4458874,              1102467,              1102467,,,                226294,,                343799,,                280879,                850972,                251495,,,                 97723,                 97723,,                -24063,,                              0,                              0,                 24063,,                 18088,,                  2296,                  2296,                105994,                357489,,                 94510,                262979,                262979,,,,,,,,                168791,                431770,,                265393,                 -2414,,                431384,                    386,,                              1.41,                              1.41,,                              1.40,                              1.40,,                203327,,,                     30,                -34566,,,,,,,,,,,,,,,,,,,
3311,2013年01月01日至2013年06月30日,,              3836926,,              3029495,                807431,                807431,,,                153803,,                241483,,                182005,                577291,                230140,,,                 67344,                 67344,,,,,,                 15789,,                 11233,,                    173,                    173,                 72073,                302213,,                 81592,                220621,                220621,,,,,,,,                223383,                444004,,                222404,                 -1783,,                442311,                  1693,,                              1.18,                              1.18,,                              1.17,                              1.17,,                269121,,,                     13,                -45751,                              0,                              0,,,,,,,,,,,,,,,,,
3311,2013年01月01日至2013年03月31日,,              1834660,,              1446571,                388089,                388088,,,                 68467,,                121719,,                 88285,                278471,                109617,,,                 41840,                 41840,,,,,,                 -3732,,                  5323,,                              0,                   -515,                 32270,                141887,,                 38097,                103790,                103790,,,,,,,,                148005,                251795,,                104370,                   -580,,                250217,                  1578,,                              0.56,                              0.56,,                              0.55,                              0.55,,                178319,,,,                -30314,,                    515,                      1,,,,,,,,,,,,,,,,
3311,2012年07月01日至2012年09月30日,,              2267961,,              1706348,                561613,                561617,,,                 79338,,                134149,,                 91203,                304690,                256927,,,                 36601,                 50844,,                 23838,,,,                -29489,,                  7074,,                              0,                   -434,                 13847,                270774,,                 65286,                205488,                205488,,,,,,,,                -34283,                171205,,                198999,                  6489,,                165382,                  5823,,                              1.07,                              1.07,,                              1.05,                              1.05,,                -40237,,,                      2,                  5952,                      4,                    434,                              0,,                 14243,                              0,                              0,                              0,                 12317,                              0,                  7074,,,                    994,                 16974,,,,
3311,2012年04月01日至2012年06月30日,,              2160473,,              1618330,                542143,                542184,,,                 78668,,                130115,,                 86347,                295130,                247054,,,                 34344,                 51188,,                    216,,,,                 59422,,                  9703,,                    635,                    635,                101542,                348596,,                112888,                235708,                235708,,,,,,,,                -31419,                204289,,                237162,                 -1454,,                205457,                 -1168,,                              1.28,                              1.28,,                              1.26,                              1.26,,                -50983,,,                     10,                 19554,                     49,,                      8,,                 16844,                              0,,                 57704,                  1934,                              0,                  9703,,,,,,,,
3311,2012年01月01日至2012年12月31日,,              9052543,,              6789355,              2263188,              2263226,,,                308267,,                553939,,                371839,              1234045,              1029181,,,                118926,                181674,,                 21276,,,,                 15432,,                 34106,,                    485,                    485,                163485,              1192666,,                325861,                866805,                866805,,,,,,,,               -220480,                646325,,                866984,                   -179,,                648804,                 -2479,,                              4.68,                              4.68,,                              4.59,                              4.59,,               -242691,                 -7274,,                     21,                 29464,                     38,                              0,,,                 62748,                              0,                  4216,                 32931,                              0,                    439,                 34106,,                              0,,,,,,
3311,2012年01月01日至2012年09月30日,,              6988560,,              5283947,              1704613,              1704647,,,                230083,,                417474,,                271289,                918846,                785801,,,                 98575,                144081,,                 27242,,,,                  9666,,                 28374,,                    804,                    804,                126177,                911978,,                259012,                652966,                652966,,,,,,,,               -206377,                446589,,                650864,                  2102,,                446832,                   -243,,                              3.52,                              3.52,,                              3.46,                              3.46,,               -231895,,,                     12,                 25506,                     38,                              0,                      4,,                 45506,                              0,                              0,                 26186,                 11716,                              0,                 28374,,,                    994,                              0,,,,
3311,2012年01月01日至2012年06月30日,,              4720599,,              3577599,              1143000,              1143030,,,                150745,,                283325,,                180086,                614156,                528874,,,                 61974,                 93237,,                  3404,,,,                 39155,,                 21300,,                  1238,                  1238,                112330,                641204,,                193726,                447478,                447478,,,,,,,,               -172094,                275384,,                451866,                 -4388,,                281450,                 -6066,,                              2.45,                              2.45,,                              2.41,                              2.41,,               -191658,,,                     10,                 19554,                     38,,                      8,,                 31263,                              0,,                 43160,                              0,                    601,                 21300,,,,,,,,
3311,2012年01月01日至2012年03月31日,,              2560126,,              1959269,                600857,                600846,,,                 72077,,                153210,,                 93739,                319026,                281820,,,                 27630,                 42049,,                  3188,,,,                -20267,,                 11597,,                    603,                    603,                 10788,                292608,,                 80838,                211770,                211770,,,,,,,,               -140675,                 71095,,                214704,                 -2934,,                 75993,                 -4898,,                              1.17,                              1.17,,                              1.15,                              1.15,,               -140675,,,,                              0,                     38,                              0,                     49,,                 14419,                              0,,                              0,,                  2535,                 11597,,,,                 14544,,                              0,,                              0
