證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　　　 銀行存款利息,　　　 賠償損失,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 利息費用
3559,2013年07月01日至2013年09月30日,,,                283152,                283152,,,                196424,                196424,                 86728,                 86728,,,                  4894,,                 19810,,                 11432,                 36136,                 50592,,,,                  2406,                 -3319,                   -913,,                      1,                              0,                              0,                  2245,,                   -131,,                              0,                 -1044,                 49548,,                  9045,                 40503,                 40503,,,,,                              0,                 40503,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,                  2406,,                              0,,                  2377,,,,,
3559,2013年04月01日至2013年06月30日,,,                290074,                290074,,,                193768,                193768,                 96306,                 96306,,,                  5035,,                 21296,,                 10810,                 37141,                 59165,,,,                  2284,                    225,                  2509,,                              0,                              0,                    557,,                    775,                   -218,,                              0,                  2291,                 61456,,                 12708,                 48748,                 48748,,,,,                              0,                 48748,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,                  2284,,                              0,,,,,,,                              0
3559,2013年01月01日至2013年12月31日,,,              1074499,              1074499,,,                773021,                773021,                301478,                301478,,,                 19744,,                 82503,,                 40957,                143204,                158274,,,,                  8980,                  1178,                 10158,,                      1,                      8,                  4398,                              0,                  3708,                 -2948,,                      3,                  7207,                165481,,                 41422,                124059,                124059,,,,,                   -485,                123574,,                              1.05,                              1.05,,                              1.04,                              1.04,,,,,                  8980,                  3647,                     -6,                   -479,                              0,,,                              0,                              0,
3559,2013年01月01日至2013年09月30日,,,                819257,                819257,,,                570764,                570764,                248493,                248493,,,                 14983,,                 60366,,                 33198,                108547,                139946,,,,                  6326,                 -2576,                  3750,,                      1,                      8,                  3381,                              0,                  2911,                    479,,                      3,                  4226,                144172,,                 28915,                115257,                115257,,,,,                     -6,                115251,,                              0.98,                              0.98,,                              0.96,                              0.96,,,,,                  6326,,                     -6,,                              0,,,,,
3559,2013年01月01日至2013年06月30日,,,                536105,                536105,,,                374340,                374340,                161765,                161765,,,                 10089,,                 40556,,                 21766,                 72411,                 89354,,,,                  3920,                    743,                  4663,,                              0,                      8,                  5758,                              0,                  5156,                    610,,                      3,                  5270,                 94624,,                 19870,                 74754,                 74754,,,,,                     -6,                 74748,,                              0.63,                              0.63,,                              0.62,                              0.62,,,,,                  3920,,                     -6,,                              0,,,,,                      3
3559,2013年01月01日至2013年03月31日,,,                246031,                246031,,,                180572,                180572,                 65459,                 65459,,,                  5054,,                 19260,,                 10956,                 35270,                 30189,,,,                  1636,                    518,                  2154,,                              0,                      8,                  5201,                              0,                  4381,                    828,,                      3,                  2979,                 33168,,                  7162,                 26006,                 26006,,,,,                     -6,                 26000,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,                  1636,,                     -6,,                              0,                              0,,,,
3559,2012年07月01日至2012年09月30日,,,                250459,                250459,,,                175655,                175655,                 74804,                 74804,,,                  4471,,                 19271,,                 11575,                 35317,                 39487,,,,                  1737,                    213,                  1950,,                    129,                              0,                              0,                  2409,,                    -17,,                              0,                  1933,                 41420,,                 10311,                 31109,                 31109,,,,,                              0,                 31109,,                              0.27,                              0.27,,                              0.26,                              0.26,,,,,                  1737,,                              0,,                  2555,,,,,
3559,2012年04月01日至2012年06月30日,,,                281482,                281482,,,                179982,                179982,                101500,                101500,,,                  5178,,                 22026,,                 12365,                 39569,                 61931,,,,                  1918,                   -953,                    965,,                  1850,                              0,                  2188,,                  1783,                  2255,,                      6,                  3214,                 65145,,                 16427,                 48718,                 48718,,,,,                              0,                 48718,,                              0.42,                              0.42,,                              0.41,                              0.41,,,,,                  1918,,                              0,,,,,,,                      6
3559,2012年01月01日至2012年12月31日,,,              1044443,              1044443,,,                702763,                702763,                341680,                341680,,,                 20063,,                 80466,,                 47270,                147799,                193881,,,,                  7263,                  1106,                  8369,,                  1979,                    435,                              0,                  3463,                              0,                 -3216,,                     19,                  5134,                199015,,                 48633,                150382,                150382,,,,,                   -967,                149415,,                              1.28,                              1.28,,                              1.25,                              1.25,,,,,                  7263,                              0,                     87,                 -1054,                  3586,,,                  5507,                  5507,
3559,2012年01月01日至2012年09月30日,,,                785274,                785274,,,                521686,                521686,                263588,                263588,,,                 15409,,                 60876,,                 35916,                112201,                151387,,,,                  5366,                   -142,                  5224,,                  1979,                    415,                              0,                  1917,,                  1770,,                     19,                  6975,                158362,,                 38877,                119485,                119485,,,,,                     81,                119566,,                              1.02,                              1.02,,                              1.00,                              1.00,,,,,                  5366,,                     81,,                  2541,,,,,
3559,2012年01月01日至2012年06月30日,,,                534815,                534815,,,                346031,                346031,                188784,                188784,,,                 10938,,                 41605,,                 24341,                 76884,                111900,,,,                  3629,                   -355,                  3274,,                  1850,                    415,                     14,,                    492,                  1787,,                     19,                  5042,                116942,,                 28566,                 88376,                 88376,,,,,                     81,                 88457,,                              0.75,                              0.75,,                              0.74,                              0.74,,,,,                  3629,,                     81,,,,,,,                     19
3559,2012年01月01日至2012年03月31日,,,                253333,                253333,,,                166049,                166049,                 87284,                 87284,,,                  5760,,                 19579,,                 11976,                 37315,                 49969,,,,                  1711,                    598,                  2309,,,                    415,                              0,                  1291,                              0,                   -468,,                     13,                  1828,                 51797,,                 12139,                 39658,                 39658,,,,,                     81,                 39739,,                              0.36,                              0.36,,                              0.35,                              0.35,,,,,                  1711,,                     81,,                  2174,,,,,
