證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2376,2013年度,,             51118994,,             41969788,              9149206,              9149206,,,              3775899,,              1605844,,              1963294,              7345037,              1804169,,,                468874,,                499123,,                 26108,,                -13701,                928188,              2732357,,                372877,              2359480,              2359480,,,,,,                426835,              2786315,,              2355536,                  3944,,              2782371,                  3944,,                              3.76,                              3.76,,                              3.69,                              3.69,                300038,                114905,                 14328,                  2436
2376,2013年07月01日至2013年09月30日,,             14095169,,             11226597,              2868572,              2868572,,,              1104155,,                449869,,                597478,              2151502,                717070,,,                170451,,                 89687,,                  8715,,                  5511,                256934,                974004,,                 77763,                896241,                896241,,,,,,                -65032,                831209,,                895775,                    466,,                830743,                    466,,                              1.43,                              1.43,,                              1.41,                              1.41,                -56573,                 -8459,,
2376,2013年04月01日至2013年06月30日,,             11551305,,              9397142,              2154163,              2154163,,,                934859,,                387419,,                474263,              1796541,                357622,,,                121823,,                119915,,                  4064,,                   -580,                237094,                594716,,                139492,                455224,                455224,,,,,,                 81690,                536914,,                454142,                  1082,,                535832,                  1082,,                              0.73,                              0.73,,                              0.72,                              0.72,                 88505,                 -6815,,
2376,2013年01月01日至2013年12月31日,,             51118994,,             41969788,              9149206,              9149206,,,              3775899,,              1605844,,              1963294,              7345037,              1804169,,,                468874,,                499123,,                 26108,,                -13701,                928188,              2732357,,                372877,              2359480,              2359480,,,,,,                426835,              2786315,,              2355536,                  3944,,              2782371,                  3944,,                              3.76,                              3.76,,                              3.69,                              3.69,                300038,                114905,                 14328,                  2436
2376,2013年01月01日至2013年09月30日,,             38040072,,             30748531,              7291541,              7291541,,,              3054626,,              1195589,,              1505988,              5756203,              1535338,,,                381933,,                337753,,                 14029,,                  5096,                710753,              2246091,,                287020,              1959071,              1959071,,,,,,                199261,              2158332,,              1956953,                  2118,,              2156214,                  2118,,                              3.13,                              3.13,,                              3.07,                              3.07,                189346,                  9915,,
2376,2013年01月01日至2013年06月30日,,             23944903,,             19521934,              4422969,              4422969,,,              1950471,,                745720,,                908510,              3604701,                818268,,,                211482,,                248066,,                  5314,,                   -415,                453819,              1272087,,                209257,              1062830,              1062830,,,,,,                264293,              1327123,,              1061178,                  1652,,              1325471,                  1652,,                              1.69,                              1.69,,                              1.67,                              1.67,                245919,                 18374,,
2376,2013年01月01日至2013年03月31日,,             12393598,,             10124792,              2268806,              2268806,,,              1015612,,                358301,,                434247,              1808160,                460646,,,                 89659,,                128151,,                  1250,,                    165,                216725,                677371,,                 69765,                607606,                607606,,,,,,                182603,                790209,,                607036,                    570,,                789639,                    570,,                              0.97,                              0.97,,                              0.95,                              0.95,                157414,                 25189,,
2376,2012年07月01日至2012年09月30日,,             13486884,,             11076827,              2410057,              2410057,,,                922537,,                398250,,                486583,              1807370,                602687,,,                150009,,                 53207,,                  1076,,                -24363,                177777,                780464,,                 80711,                699753,                699753,,,,,,                -44541,                655212,,                699176,                    577,,                654635,                    577,,                              1.12,                              1.12,,                              1.10,                              1.10,                -31613,                -12928,,
2376,2012年04月01日至2012年06月30日,,             10241629,,              8306706,              1934923,              1934923,,,                848630,,                404922,,                390276,              1643828,                291095,,,                107606,,                 23957,,                    147,,                   -966,                130450,                421545,,                 40695,                380850,                380850,,,,,,                -42546,                338304,,                380100,                    750,,                337554,                    750,,                              0.61,                              0.61,,                              0.60,                              0.60,                -10024,                -32522,,
2376,2012年01月01日至2012年12月31日,,             45797658,,             37918166,              7879492,              7879492,,,              3412600,,              1602093,,              1634027,              6648720,              1230772,,,                470734,,                 88164,,                  2356,,                -14462,                542080,              1772852,,                222230,              1550622,              1550622,,,,,,               -263882,              1286740,,              1548707,                  1915,,              1284825,                  1915,,                              2.48,                              2.48,,                              2.43,                              2.43,               -158930,                -13249,                -91703,                              0
2376,2012年01月01日至2012年09月30日,,             34428516,,             28222045,              6206471,              6206471,,,              2639387,,              1168153,,              1264114,              5071654,              1134817,,,                362687,,                 35440,,                  2134,,                -12325,                383668,              1518485,,                198508,              1319977,              1319977,,,,,,               -142139,              1177838,,              1317858,                  2119,,              1175719,                  2119,,                              2.11,                              2.11,,                              2.07,                              2.07,               -145462,                  3323,,
2376,2012年01月01日至2012年06月30日,,             20941632,,             17145218,              3796414,              3796414,,,              1716850,,                769903,,                777531,              3264284,                532130,,,                212678,,                -17767,,                  1058,,                 12038,                205891,                738021,,                117797,                620224,                620224,,,,,,                -97598,                522626,,                618682,                  1542,,                521084,                  1542,,                              0.99,                              0.99,,                              0.98,                              0.98,               -113849,                 16251,,
2376,2012年01月01日至2012年03月31日,,             10700003,,              8838512,              1861491,              1861491,,,                868220,,                364981,,                387255,              1620456,                241035,,,                105072,,                -41724,,                    911,,                 13004,                 75441,                316476,,                 77102,                239374,                239374,,,,,,                -55052,                184322,,                238582,                    792,,                183530,                    792,,                              0.38,                              0.38,,                              0.37,                              0.37,               -103825,                 48773,,
