證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1475,2013年01月01日至2013年12月31日,,                221673,,                272314,                -50641,                -50641,,,                 15632,,                 31204,,                  5753,                 52589,               -103230,,,                 14890,,                -46561,,                 20465,,                     46,                -52090,               -155320,,                    -70,               -155250,               -155250,,,,,                -12722,               -167972,,                -77527,                -77723,,                -84686,                -83286,,                             -1.48,                             -1.48,                -12772,                     60,                     10
1475,2013年01月01日至2013年09月30日,,                174340,,                212311,                -37971,                -37971,,,                 11970,,                 23891,,                  4038,                 39899,                -77870,,,                 10703,,                 -6474,,                 17409,,                     50,                -13130,                -91000,,                    -28,                -90972,                -90972,,,,,                -11481,               -102453,,                -51582,                -39390,,                -58338,                -44115,,                             -0.98,                             -0.98,                -11481,,
1475,2013年01月01日至2013年06月30日,,                116067,,                137938,                -21871,                -21871,,,                  8387,,                 16473,,                  2846,                 27706,                -49577,,,                  6911,,                  7734,,                 13164,,                              0,                  1481,                -48096,,                    -28,                -48068,                -48068,,,,,                -11267,                -59335,,                -32659,                -15409,,                -39321,                -20014,,                             -0.62,                             -0.62,                -11267,,
1475,2013年01月01日至2013年03月31日,,                 52998,,                 64604,                -11606,                -11606,,,                  4529,,                  8680,,                  1532,                 14741,                -26347,,,                  3785,,                  4036,,                  6392,,                              0,                  1429,                -24918,,                    -28,                -24890,                -24890,,,,,                 -7291,                -32181,,                -16984,                 -7906,,                -21285,                -10896,,                             -0.32,                             -0.32,                 -7291,,
1475,2012年07月01日至2012年09月30日,,                 81287,,                 86621,                 -5334,                 -5334,,,                  6204,,                  8914,,                  1508,                 16626,                -21960,,,                  4491,,                 -5825,,                  5710,,                              0,                 -7044,                -29004,,                    -18,                -28986,                -28986,,,,,                  2596,                -26390,,                -22341,                 -6645,,                -20825,                 -5565,,                             -0.43,                             -0.43,                  2596,,
1475,2012年04月01日至2012年06月30日,,                102313,,                109728,                 -7415,                 -7415,,,                  4992,,                  8107,,                  1561,                 14660,                -22075,,,                  6426,,                  2299,,                  7327,,,                  1398,                -20677,,                    -19,                -20658,                -20658,,,,,                 -1447,                -22105,,                -11405,                 -9253,,                -12249,                 -9856,,                             -0.22,                             -0.22,                 -1447,,
1475,2012年01月01日至2012年12月31日,,                318821,,                360195,                -41374,                -41374,,,                 22481,,                 35645,,                  5874,                 64000,               -105374,,,                 25785,,                 -8523,,                 26217,,                              0,                 -8955,               -114329,,                    104,               -114433,               -114433,,,,,                  2739,               -111694,,                -83385,                -31048,,                -82626,                -29068,,                             -1.59,                             -1.59,                  4742,                 -2413,                   -410
1475,2012年01月01日至2012年09月30日,,                262510,,                284525,                -22015,                -22015,,,                 16631,,                 26332,,                  4568,                 47531,                -69546,,,                 16105,,                -10960,,                 19904,,                              0,                -14759,                -84305,,                    124,                -84429,                -84429,,,,,                  4794,                -79635,,                -60646,                -23783,,                -57840,                -21795,,                             -1.15,                             -1.15,                  4794,,
1475,2012年01月01日至2012年06月30日,,                181223,,                197904,                -16681,                -16681,,,                 10427,,                 17418,,                  3060,                 30905,                -47586,,,                 11614,,                 -5135,,                 14194,,,                 -7715,                -55301,,                    142,                -55443,                -55443,,,,,                  2198,                -53245,,                -38305,                -17138,,                -37015,                -16230,,                             -0.73,                             -0.73,                  2198,,
1475,2012年01月01日至2012年03月31日,,                 78910,,                 88176,                 -9266,                 -9266,,,                  5435,,                  9311,,                  1499,                 16245,                -25511,,,                  5188,,                 -7434,,                  6867,,,                 -9113,                -34624,,                    161,                -34785,                -34785,,,,,                  3645,                -31140,,                -26900,                 -7885,,                -24766,                 -6374,,                             -0.51,                             -0.51,                  3645,,
