證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 什項支出,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1806,2013年第2季,,,,              2034252,                 17268,                103110,              1913874,,,                 48572,                 48572,                 48572,              1962446,,,              1295298,,                 41336,                 41336,              1336634,                625812,                625812,,,                305236,,                108637,,                  4666,                418539,                207273,,,                  5732,,,,,,                  1649,,                 32286,,                   -370,                -25275,                181998,,                 21456,                160542,                160542,,,,,,,,                 77244,                237786,,                160768,                   -226,,                238012,                   -226,,                              0.37,,                              0.37,,                 85803,                 -8559,,,,                              0
1806,2013年度,,,,              7559876,                105070,                441714,              7013092,,,                161784,                161784,                161784,              7174876,,,              4808478,,                140868,                140868,              4949346,              2225530,              2225530,,,              1311452,,                456592,,                 18211,              1786255,                439275,,,                 28610,,,,,                              0,                 95642,,                145694,,                 -2258,                -23700,                415575,,                136134,                279441,                279441,,,,,,,,                318836,                598277,,                280756,                 -1315,,                599592,                 -1315,,                              0.64,,                              0.64,                -95642,                298727,                    609,                  5018,,                 14482,                              0
1806,2013年07月01日至2013年09月30日,,,,              2114183,                 22849,                118899,              1972435,,,                              0,                              0,                              0,              1972435,,,              1336695,,                              0,                              0,              1336695,                635740,                635740,,,                310923,,                115242,,                  4240,                430405,                205335,,,                  5012,,,,,,                 19731,,                 38270,,                   -367,                -13894,                191441,,                 27540,                163901,                163901,,,,,,,,                -33104,                130797,,                163584,                    317,,                130480,                    317,,                              0.37,,                              0.37,,                -54560,                   -630,,,                 22086,                              0
1806,2013年04月01日至2013年06月30日,,,,              2082824,                 17268,                103110,              1962446,,,,,,              1962446,,,,,,,              1336634,                625812,                625812,,,                305236,,                108637,,                  4666,                418539,                207273,,,                  5732,,,,,,                  1649,,                 32286,,                   -370,                -25275,                181998,,                 21456,                160542,                160542,,,,,,,,                 77244,                237786,,                160768,                   -226,,                238012,                   -226,,                              0.37,,                              0.37,,                 85803,                 -8559,,,,                              0
1806,2013年01月01日至2013年12月31日,,,,              7559876,                105070,                441714,              7013092,,,                161784,                161784,                161784,              7174876,,,              4808478,,                140868,                140868,              4949346,              2225530,              2225530,,,              1311452,,                456592,,                 18211,              1786255,                439275,,,                 28610,,,,,,                 95642,,                145694,,                 -2258,                -23700,                415575,,                136134,                279441,                279441,,,,,,,,                318836,                598277,,                280756,                 -1315,,                599592,                 -1315,,                              0.64,,                              0.64,,                298727,                 15091,                  5018,,,                              0
1806,2013年01月01日至2013年09月30日,,,,              5460032,                 85361,                294426,              5080245,,,                133751,                133751,                133751,              5213996,,,              3480292,,                115591,                115591,              3595883,              1618113,              1618113,,,                909008,,                342960,,                 13027,              1264995,                353118,,,                 15413,,,,,                -18925,                 18925,,                103762,,                 -1780,                -71204,                281914,,                 54980,                226934,                226934,,,,,,,,                220871,                447805,,                228249,                 -1315,,                449120,                 -1315,,                              0.52,,                              0.52,,                212612,                 -2415,,,                 10674,                              0
1806,2013年01月01日至2013年06月30日,,,,              3411479,                 62512,                175527,              3173440,,,                 68121,                 68121,                 68121,              3241561,,,              2200752,,                 58436,                 58436,              2259188,                982373,                982373,,,                598085,,                227718,,                  8787,                834590,                147783,,,                 10401,,,,,,                   -806,,                 65492,,                 -1413,                -57310,                 90473,,                 27440,                 63033,                 63033,,,,,,,,                253975,                317008,,                 64665,                 -1632,,                318640,                 -1632,,                              0.15,,                              0.15,,                267172,                -13197,,,,                              0
1806,2013年01月01日至2013年03月31日,,,,              1377227,                 45244,                 72417,              1259566,,,                 19549,                 19549,                 19549,              1279115,,,                905454,,                 17100,                 17100,                922554,                356561,                356561,,,                292849,,                119081,,                  4121,                416051,                -59490,,,                  4669,,,,,,                 -2455,,                 33206,,                 -1043,                -32035,                -91525,,                  5984,                -97509,                -97509,,,,,,,,                176731,                 79222,,                -96103,                 -1406,,                 80628,                 -1406,,                             -0.22,,,,                181369,                 -4638,,,,                              0
1806,2012年07月01日至2012年09月30日,,,,              2130443,                 51588,                 87754,              1991101,,,                  5937,                  5937,                  5937,              1997038,,,              1416244,,                  5851,                  5851,              1422095,                574943,                574943,,,                466673,,                102561,,                  4132,                573366,                  1577,,,                  4856,,,,,,                    793,,                 31345,,                  7087,                -18609,                -17032,,                  8065,                -25097,                -25097,,,,,,,,                -30286,                -55383,,                -25097,                              0,,                -55383,                              0,,                             -0.06,,                             -0.06,,                -50046,                 10605,,,                  9155,                              0
1806,2012年04月01日至2012年06月30日,,,,              2140210,                 47988,                 95542,              1996680,,,,,,              1996680,,,,,,,              1373232,                623448,                623448,,,                421010,,                 99676,,                  3006,                523692,                 99756,,,                  9030,,,,,,                    281,,                 26666,,                   -945,                -18300,                 81456,,                 62229,                 19227,                 19227,,,,,,,,                 -6478,                 12749,,                 19227,                              0,,                 12749,                              0,,                              0.04,,                              0.04,,                 25805,                -32283,,,,                              0
1806,2012年01月01日至2012年12月31日,,,,              7825671,                201712,                337947,              7286012,,,                  5937,                  5937,                  5937,              7291949,,,              5118382,,                  5851,                  5851,              5124233,              2167716,              2167716,,,              1811763,,                402695,,                 14570,              2229028,                -61312,,,                 24032,,,,,,                 -9503,,                129063,,                  2680,               -111854,               -173166,,                124994,               -298160,               -298160,,,,,,,,               -156565,               -454725,,               -295817,                 -2343,,               -452382,                 -2343,,                             -0.68,,                              0.00,,               -137589,                  4547,                -23523,,,                              0
1806,2012年01月01日至2012年09月30日,,,,              5631965,                131652,                233252,              5267061,,,                  5937,                  5937,                  5937,              5272998,,,              3796624,,                  5851,                  5851,              3802475,              1470523,              1470523,,,              1230641,,                311948,,                 10254,              1552843,                -82320,,,                 16475,,,,,,                  2357,,                 85185,,                  5529,                -60824,               -143144,,                 53360,               -196504,               -196504,,,,,,,,               -154516,               -351020,,               -196504,                              0,,               -351020,                              0,,                             -0.45,,                             -0.45,,               -167495,                 16275,,,                 -3296,                              0
1806,2012年01月01日至2012年06月30日,,,,              3501522,                 80064,                145498,              3275960,,,,,,              3275960,,,,,,,              2380380,                895580,                895580,,,                763968,,                209387,,                  6122,                979477,                -83897,,,                 11619,,,,,,                  1564,,                 53840,,                 -1558,                -42215,               -126112,,                 45295,               -171407,               -171407,,,,,,,,               -124230,               -295637,,               -171407,                              0,,               -295637,                              0,,                             -0.39,,                             -0.39,,               -117449,                 -6781,,,,                              0
1806,2012年01月01日至2012年03月31日,,,,              1361312,                 32076,                 49956,              1279280,,,,,,              1279280,,,,,,,              1007148,                272132,                272132,,,                342958,,                109711,,                  3116,                455785,               -183653,,,                  2589,,,,,,                  1283,,                 27174,,                   -613,                -23915,               -207568,,                -16934,               -190634,               -190634,,,,,,,,               -117752,               -308386,,               -190634,                              0,,               -308386,                              0,,                             -0.44,,                             -0.44,,               -143254,                 25502,,,,
