證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2506,2014年01月01日至2014年03月31日,,                481846,,                231768,                250078,                250078,,,                 64370,,                141852,                206222,,,                 43856,,,,                  1785,                  1785,,                  7087,,                 48371,,                 20878,                -18621,                 25235,,                  5429,                 19806,                 19806,,,                -13371,                  3623,                 -9748,                 -9748,                 10058,,                 16246,                  3560,,                  7915,                  2143,,                              0.04,,                              0.04,,,
2506,2013年第3季,,                483724,,                268072,                215652,                215652,,,                 78622,,                160850,                239472,,                              0,                -23820,,,,                  4308,                  4308,,                 35781,,                 49596,,                  7595,                 -1912,                -25732,,                    859,                -26591,                -26591,,,,,,                 43147,                 16556,,                -17739,                 -8852,,                 23616,                 -7060,,                             -0.05,,                             -0.05,                 39088,                  4059,
2506,2013年第2季,,              1522451,,                975905,                546546,                546546,,,                188563,,                199801,                388364,,,                158182,,,,                  3996,                  3996,,                119181,,                 50911,,                 19354,                 91620,                249802,,                 49133,                200669,                200669,,,,,,                 26217,                226886,,                156263,                 44406,,                184420,                 42466,,                              0.41,,                              0.41,                 31498,                 -5281,
2506,2013年度,,              3357187,,              1996702,              1360485,              1360485,,,                556295,,                868185,              1424480,,                 -1420,                -65415,,,,                 11839,                 11839,,              1064220,,                237561,,                 53930,                892428,                827013,,                105251,                721762,                721762,,,,,,                 83361,                805123,,                674180,                 47582,,                759116,                 46007,,                              1.76,,                              1.75,                 86657,                  3664,                 -6960
2506,2013年07月01日至2013年09月30日,,                483724,,                268072,                215652,                215652,,,                 78622,,                160850,                239472,,,                -23820,,,,                  4308,                  4308,,                 35781,,                 49596,,                  7595,                 -1912,                -25732,,                    859,                -26591,                -26591,,,,,,                 43147,                 16556,,                -17739,                 -8852,,                 23616,                 -7060,,                             -0.05,,                              0.00,                 39088,                  4059,
2506,2013年04月01日至2013年06月30日,,              1522451,,                975905,                546546,                546546,,,                188563,,                199801,                388364,,,                158182,,,,                  3996,                  3996,,                119181,,                 50911,,                 19354,                 91620,                249802,,                 49133,                200669,                200669,,,,,,                 26217,                226886,,                156263,                 44406,,                184420,                 42466,,                              0.41,,,                 31498,                 -5281,
2506,2013年01月01日至2013年12月31日,,              3357187,,              1996702,              1360485,              1360485,,,                556295,,                868185,              1424480,,,                -63995,,,,                 11839,                 11839,,              1062800,,                237561,,                 53930,                891008,                827013,,                105251,                721762,                721762,,,,,,                 83361,                805123,,                674180,                 47582,,                759116,                 46007,,                              1.76,,                              1.75,                 86657,                  3664,                 -6960
2506,2013年01月01日至2013年09月30日,,              2615091,,              1572340,              1042751,              1042751,,,                404060,,                511477,                915537,,                              0,                127214,,,,                  9370,                  9370,,                163068,,                151116,,                 37209,                 58531,                185745,,                 62582,                123163,                123163,,,,,,                 83908,                207071,,                 84393,                 38770,,                165948,                 41123,,                              0.22,,                              0.22,                 79424,                  4484,
2506,2013年01月01日至2013年06月30日,,              2131367,,              1304268,                827099,                827099,,,                325438,,                350627,                676065,,,                151034,,,,                  5062,                  5062,,                127287,,                101520,,                 29614,                 60443,                211477,,                 61723,                149754,                149754,,,,,,                 40761,                190515,,                102132,                 47622,,                142332,                 48183,,                              0.27,,                              0.27,                 40336,                    425,
2506,2013年01月01日至2013年03月31日,,                608916,,                328363,                280553,                280553,,,                136875,,                150826,                287701,,,                 -7148,,,,                  1066,                  1066,,                  8106,,                 50609,,                 10260,                -31177,                -38325,,                 12590,                -50915,                -50915,,,,,,                 14544,                -36371,,                -54131,                  3216,,                -42088,                  5717,,                             -0.14,,                             -0.14,                  8838,                  5706,
2506,2012年07月01日至2012年09月30日,,                624236,,                370810,                253426,                253426,,,                154508,,                182605,                337113,,,                -83687,,,,                  3183,                  3183,,                152579,,                 49405,,                  7118,                113475,                 29788,,                 30621,                   -833,                   -833,,,,,,                -39137,                -39970,,                 27096,                -27929,,                -11325,                -28645,,                              0.07,,                              0.07,                -37748,                 -1389,
2506,2012年04月01日至2012年06月30日,,                912398,,                487551,                424847,                424847,,,                269083,,                144561,                413644,,,                 11203,,,,                  1912,                  1912,,                 62148,,                 49685,,                 19638,                 34013,                 45216,,                 14027,                 31189,                 31189,,,,,,                 34297,                 65486,,                 34799,                 -3610,,                 70598,                 -5112,,                              0.09,,,                 40024,                 -5727,
2506,2012年01月01日至2012年12月31日,,              2893450,,              1603588,              1289862,              1289862,,,                625217,,                856905,              1482122,,,               -192260,,,,                  8755,                  8755,,                435900,,                195991,,                 33847,                282511,                 90251,,                 76184,                 14067,                 14067,,,,,,                -21615,                 -7548,,                 22491,                 -8424,,                    380,                 -7928,,                              0.06,,                              0.06,                -23402,                     68,                  1719
2506,2012年01月01日至2012年09月30日,,              2070311,,              1122714,                947597,                947597,,,                556585,,                502774,              1059359,,,               -111762,,,,                  7076,                  7076,,                275695,,                147175,,                 42169,                177765,                 66003,,                 57928,                  8075,                  8075,,,,,,                -27893,                -19818,,                 41531,                -33456,,                 14303,                -34121,,                              0.11,,                              0.11,                -27312,                   -581,
2506,2012年01月01日至2012年06月30日,,              1446075,,                751904,                694171,                694171,,,                402077,,                320169,                722246,,,                -28075,,,,                  3893,                  3893,,                123116,,                 97770,,                 35051,                 64290,                 36215,,                 27307,                  8908,                  8908,,,,,,                 11244,                 20152,,                 14435,                 -5527,,                 25628,                 -5476,,                              0.04,,,                 10436,                    808,
2506,2012年01月01日至2012年03月31日,,                533677,,                264353,                269324,                269324,,,                132994,,                175608,                308602,,,                -39278,,,,,                  1981,,                 60968,,                 48085,,                 15413,                 30277,                 -9001,,                 13280,                -22281,                -22281,,,,,,                -23053,                -45334,,                -20364,                 -1917,,                -44970,                   -364,,                             -0.06,,,                -29588,                  6535,
