證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
6278,2014年01月01日至2014年03月31日,,              7673696,,              6956798,                716898,                716898,,,                 42601,,                212287,,                107301,                362189,                354709,,,                 88592,,               -200656,,                 11475,,                 15808,               -107731,                246978,,                117822,                129156,                129156,,,                264837,                264837,                264837,                393993,,                106128,                 23028,,                309234,                 84759,,                              0.39,                              0.39,,                              0.39,                              0.39,,,
6278,2013年第3季,,              9989635,,              9092440,                897195,                897195,,,                 57993,,                215217,,                109355,                382565,                514630,,,                 55325,,                  4090,,                 10052,,                 27107,                 76470,                591100,,                180468,                410632,                410632,,,,,               -196440,                214192,,                301519,                109113,,                134141,                 80051,,                              1.07,                              1.07,,                              1.07,                              1.07,               -196440,                              0,                              0
6278,2013年第2季,,             11210429,,             10344169,                866260,                866260,,,                166371,,                212652,,                113005,                492028,                374232,,,                 39959,,                 52121,,                  9119,,                 18769,                101730,                475962,,                116918,                359044,                359044,,,,,                 89577,                448621,,                261072,                 97972,,                342841,                105780,,                              0.93,                              0.93,,                              0.92,                              0.92,                 89577,,
6278,2013年度,,             41245336,,             37650276,              3595060,              3595060,,,                321146,,                883027,,                444731,              1648904,              1946156,,,                198351,,                 61410,,                 40110,,                 82503,                302154,              2248310,,                610755,              1637555,              1637555,,,,,                301973,              1939528,,              1205992,                431563,,              1518009,                421519,,                              4.29,                              4.29,,                              4.26,                              4.26,                298228,                  5187,                 -1442
6278,2013年07月01日至2013年09月30日,,              9989635,,              9092440,                897195,                897195,,,                 57993,,                215217,,                109355,                382565,                514630,,,                 55325,,                  4090,,                 10052,,                 27107,                 76470,                591100,,                180468,                410632,                410632,,,,,               -196440,                214192,,                301519,                109113,,                134141,                 80051,,                              1.12,                              1.12,,                              1.12,                              1.12,               -196440,,
6278,2013年04月01日至2013年06月30日,,             11210429,,             10344169,                866260,                866260,,,                166371,,                212652,,                113005,                492028,                374232,,,                 39959,,                 52121,,                  9119,,                 18769,                101730,                475962,,                116918,                359044,                359044,,,,,                 89577,                448621,,                261072,                 97972,,                342841,                105780,,                              0.97,                              0.97,,                              0.96,                              0.96,                 89577,,
6278,2013年01月01日至2013年12月31日,,             41245336,,             37650276,              3595060,              3595060,,,                321146,,                883027,,                444731,              1648904,              1946156,,,                198351,,                 61410,,                 40110,,                 82503,                302154,              2248310,,                610755,              1637555,              1637555,,,,,                301973,              1939528,,              1205992,                431563,,              1518009,                421519,,                              4.47,                              4.47,,                              4.43,                              4.43,                298228,                  5187,                 -1442
6278,2013年01月01日至2013年09月30日,,             32293405,,             29598050,              2695355,              2695355,,,                269525,,                636885,,                331105,              1237515,              1457840,,,                134164,,                 57130,,                 29778,,                 57054,                218570,              1676410,,                467469,              1208941,              1208941,,,,,                250298,              1459239,,                880022,                328919,,              1070921,                388318,,                              3.13,                              3.13,,                              3.11,                              3.11,                250298,                              0,                              0
6278,2013年01月01日至2013年06月30日,,             22303770,,             20505610,              1798160,              1798160,,,                211532,,                421668,,                221750,                854950,                943210,,,                 78839,,                 53040,,                 19726,,                 29947,                142100,              1085310,,                287001,                798309,                798309,,,,,                446738,              1245047,,                578503,                219806,,                936780,                308267,,                              2.06,                              2.06,,                              2.05,                              2.05,                446738,,
6278,2013年01月01日至2013年03月31日,,             11093341,,             10161441,                931900,                931900,,,                 45161,,                209016,,                108745,                362922,                568978,,,                 38880,,                    919,,                 10607,,                 11178,                 40370,                609348,,                170083,                439265,                439265,,,,,                357161,                796426,,                317431,                121834,,                593939,                202487,,                              1.23,                              1.23,,                              1.23,                              1.23,                357161,,
6278,2012年07月01日至2012年09月30日,,             13040178,,             12135363,                904815,                904815,,,                 55728,,                215485,,                113407,                384620,                520195,,,                 36903,,                -49224,,                 10402,,                 11840,                -10883,                509312,,                123925,                385387,                385387,,,,,               -247051,                138336,,                273582,                111805,,                 84147,                 54189,,                              1.01,                              1.01,,                              1.01,                              1.01,               -247051,,
6278,2012年04月01日至2012年06月30日,,             12994106,,             12079706,                914400,                914400,,,                 68909,,                197929,,                104428,                371266,                543134,,,                 16774,,                 -3874,,                  8819,,                 17860,                 21941,                565075,,                197776,                367299,                367299,,,,,                142093,                509392,,                237805,                129494,,                351661,                157731,,                              0.88,                              0.88,,                              0.88,                              0.88,                142093,,
6278,2012年01月01日至2012年12月31日,,             49834870,,             46253057,              3581813,              3581813,,,                246290,,                848718,,                421919,              1516927,              2064886,,,                135851,,                -49872,,                 42243,,                 27290,                 71026,              2135912,,                625309,              1510603,              1510603,,,,,               -633083,                877520,,              1027357,                483246,,                634581,                242939,,                              3.81,                              3.81,,                              3.78,                              3.78,               -624047,                  5430,                -14466
6278,2012年01月01日至2012年09月30日,,             38373660,,             35679853,              2693807,              2693807,,,                164915,,                615264,,                312784,              1092963,              1600844,,,                 92169,,                -97696,,                 31736,,                 12434,                -24829,              1576015,,                462591,              1113424,              1113424,,,,,               -410407,                703017,,                741555,                371869,,                434746,                268271,,                              2.75,                              2.75,,                              2.73,                              2.73,               -410407,,
6278,2012年01月01日至2012年06月30日,,             25333482,,             23544490,              1788992,              1788992,,,                109187,,                399779,,                199377,                708343,              1080649,,,                 55266,,                -48472,,                 21334,,                    594,                -13946,              1066703,,                338666,                728037,                728037,,,,,               -163356,                564681,,                467973,                260064,,                350599,                214082,,                              1.73,                              1.73,,                              1.72,                              1.72,               -163356,,
6278,2012年01月01日至2012年03月31日,,             12339376,,             11464784,                874592,                874592,,,                 40278,,                201850,,                 94949,                337077,                537515,,,                 38492,,                -44598,,                 12515,,                -17266,                -35887,                501628,,                140890,                360738,                360738,,,,,               -305449,                 55289,,                230168,                130570,,                 -1062,                 56351,,                              0.96,                              0.96,,                              0.95,                              0.95,               -305449,,
