證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
2102,2013年第3季,,              2122421,,              1649855,                472566,                472566,,,                202445,,                 56740,                259185,                213381,,,                 19595,,                -11056,,                 12102,,                    105,                 -3458,                209923,,                 29981,                179942,                179942,,,,,,,,                -35168,                144774,,                179942,                              0,,                144774,                              0,,                              0.41,                              0.41,,                              0.41,                              0.41,                -35168,                              0
2102,2013年第2季,,              2257545,,              1721709,                535836,                535836,,,                205509,,                 56837,                262346,                273490,,,                  6241,,                  8128,,                 14198,,                    -12,                    159,                273649,,                 68503,                205146,                205146,,,,,,,,                 47621,                252767,,                205146,                              0,,                252767,                              0,,                              0.46,                              0.46,,                              0.46,                              0.46,                 47621,
2102,2013年度,,              8288301,,              6490116,              1798185,              1798185,,,                795595,,                214699,              1010294,                787891,,,                 58909,,                 15873,,                 48757,,                     60,                 26085,                813976,,                175801,                638175,                638175,,,,,,,,                158633,                796808,,                638175,,,                796808,,,                              1.44,                              1.44,,                              1.43,                              1.43,                150029,                  8604
2102,2013年07月01日至2013年09月30日,,              2122421,,              1649855,                472566,                472566,,,                202445,,                 56740,                259185,                213381,,,                 19595,,                -11056,,                 12102,,                    105,                 -3458,                209923,,                 29981,                179942,                179942,,,,,,,,                -35168,                144774,,                179942,                              0,,                144774,                              0,,                              0.44,                              0.44,,                              0.44,                              0.44,                -35168,
2102,2013年04月01日至2013年06月30日,,              2257545,,              1721709,                535836,                535836,,,                205509,,                 56837,                262346,                273490,,,                  6241,,                  8128,,                 14198,,                    -12,                    159,                273649,,                 68503,                205146,                205146,,,,,,,,                 47801,                252947,,                205146,                              0,,                252947,                              0,,                              0.50,                              0.50,,                              0.50,                              0.50,                 47801,
2102,2013年01月01日至2013年12月31日,,              8288301,,              6490116,              1798185,              1798185,,,                795595,,                214699,              1010294,                787891,,,                 58909,,                 15873,,                 48757,,                     60,                 26085,                813976,,                175801,                638175,                638175,,,,,,,,                158633,                796808,,                638175,                              0,,                796808,                              0,,                              1.55,                              1.55,,                              1.55,                              1.55,                150029,                  8604
2102,2013年01月01日至2013年09月30日,,              6468330,,              4997541,              1470789,              1470789,,,                596812,,                157794,                754606,                716183,,,                 44295,,                  7735,,                 38464,,                     73,                 13639,                729822,,                158301,                571521,                571521,,,,,,,,                 95425,                666946,,                571521,                              0,,                666946,                              0,,                              1.29,                              1.29,,                              1.29,                              1.29,                 95425,                              0
2102,2013年01月01日至2013年06月30日,,              4345909,,              3347686,                998223,                998223,,,                394367,,                101054,                495421,                502802,,,                 24700,,                 18791,,                 26362,,                    -32,                 17097,                519899,,                128320,                391579,                391579,,,,,,,,                130593,                522172,,                391579,                              0,,                522172,                              0,,                              0.88,                              0.88,,                              0.88,                              0.88,                130593,
2102,2013年01月01日至2013年03月31日,,              2088364,,              1625977,                462387,                462387,,,                188858,,                 44217,                233075,                229312,,,                 18459,,                 10663,,                 12164,,                    -20,                 16938,                246250,,                 59817,                186433,                186433,,,,,,,,                 82972,                269405,,                186433,                              0,,                269405,                              0,,                              0.45,                              0.45,,                              0.45,                              0.45,                 82972,
2102,2012年07月01日至2012年09月30日,,              2196527,,              1785646,                410881,                410881,,,                182309,,                 51630,                233939,                176942,,,                 10948,,                 -3343,,                 16210,,                     97,                 -8508,                168434,,                 38507,                129927,                129927,,,,,,,,                -59727,                 70200,,                129927,                              0,,                 70200,                              0,,                              0.32,                              0.32,,                              0.32,                              0.32,                -59727,
2102,2012年04月01日至2012年06月30日,,              2762237,,              2281259,                480978,                480978,,,                212721,,                 49255,                261976,                219002,,,                  3480,,                  4090,,                 15909,,                      5,                 -8334,                210668,,                 51897,                158771,                158771,,,,,,,,                 23868,                182639,,                158732,                     39,,                182600,                     39,,                              0.39,                              0.39,,                              0.39,                              0.39,                 23868,
2102,2012年01月01日至2012年12月31日,,              9423678,,              7820276,              1603402,              1603402,,,                783174,,                220566,              1003740,                599662,,,                 33497,,                 -4668,,                 62594,,                    100,                -33665,                565997,,                136123,                429874,                429874,,,,,,,,                -87998,                341876,,                429779,                     95,,                341781,                     95,,                              1.06,                              1.06,,                              1.05,                              1.05,                -86603,                 -1395
2102,2012年01月01日至2012年09月30日,,              7436242,,              6183539,              1252703,              1252703,,,                588593,,                144135,                732728,                519975,,,                 21509,,                 -2862,,                 48383,,                    102,                -29634,                490341,,                109610,                380731,                380731,,,,,,,,               -105008,                275723,,                380635,                     96,,                275627,                     96,,                              0.94,                              0.94,,                              0.94,                              0.94,               -105008,
2102,2012年01月01日至2012年06月30日,,              5239715,,              4397893,                841822,                841822,,,                406284,,                 92505,                498789,                343033,,,                 10561,,                    481,,                 32173,,                      5,                -21126,                321907,,                 71103,                250804,                250804,,,,,,,,                -45281,                205523,,                250708,                     96,,                205427,                     96,,                              0.62,                              0.62,,                              0.62,                              0.62,                -45281,
2102,2012年01月01日至2012年03月31日,,              2477478,,              2116634,                360844,                360844,,,                193563,,                 43250,                236813,                124031,,,                  7081,,                 -3609,,                 16264,,                              0,                -12792,                111239,,                 19206,                 92033,                 92033,,,,,,,,                -69149,                 22884,,                 91976,                     57,,                 22827,                     57,,                              0.24,                              0.24,,                              0.24,                              0.24,                -69149,
