證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5706,2013年第2季,,,,                765831,                765831,                765831,                765831,,,                665143,                665143,                665143,                100688,                100688,,,                 51997,,                 17727,                 69724,,                  1188,                 32152,,,                    301,,                  4871,,                              0,,                  2580,                  7752,                 39904,,                  7580,                 32324,,                              0,                 32324,,,,,,,,,                  5877,                 38201,,                 31725,                    599,,                 37153,                  1048,,                              0.52,,                              0.52,                    753,                  4406,,,                    718,
5706,2013年度,,,,,,,              3108572,,,,,              2673307,                435265,                435265,,,                190574,,                 92901,                283475,,                  4654,                156444,,,                  9799,,                 42771,,                    122,,                 15382,                 67830,                224274,,                 37891,                186383,,,                186383,,,,,,,,,                 -7477,                178906,,                184733,                  1650,,                175707,                  3199,,                              3.03,,                              3.02,                  2592,                 -8522,                 -2976,,                    923,                   -506
5706,2013年07月01日至2013年09月30日,,,,              1075622,              1075622,              1075622,              1075622,,,                947126,                947126,                947126,                128496,                128496,,,                 51631,,                 18052,                 69683,,                  1004,                 59817,,,                  8243,,                  7798,,,,                 14839,                 30880,                 90697,,                 10974,                 79723,,                              0,                 79723,,,,,,,,,                 -8319,                 71404,,                 78845,                    878,,                 70777,                    627,,                              1.29,,                              1.29,                   -426,                 -7884,,,                     -9,                              0
5706,2013年04月01日至2013年06月30日,,,,                765831,                765831,                765831,                765831,,,                665143,                665143,                665143,                100688,                100688,,,                 51997,,                 17727,                 69724,,                  1188,                 32152,,,                    301,,                  4871,,,,                  2580,                  7752,                 39904,,                  7580,                 32324,,                              0,                 32324,,,,,,,,,                  5877,                 38201,,                 31725,                    599,,                 37153,                  1048,,                              0.52,,                              0.52,                    753,                  4406,,,                    718,
5706,2013年01月01日至2013年12月31日,,,,              3108572,              3108572,              3108572,              3108572,,,              2673307,              2673307,              2673307,                435265,                435265,,,                190574,,                 92901,                283475,,                  4654,                156444,,,                  9799,,                 42771,,                    122,,                 15382,                 67830,                224274,,                 37891,                186383,,,                186383,,,,,,,,,                 -7477,                178906,,                184733,                  1650,,                175707,                  3199,,                              3.03,,                              3.02,                  2795,                 -8522,                 -2976,,                    720,                   -506
5706,2013年01月01日至2013年09月30日,,,,              2571579,              2571579,              2571579,              2571579,,,              2210362,              2210362,              2210362,                361217,                361217,,,                145591,,                 52632,                198223,,                  3382,                166376,,,                  9530,,                 15115,,                              0,,                 17301,                 41946,                208322,,                 30695,                177627,,,                177627,,,,,,,,,                 -5926,                171701,,                174413,                  3214,,                167471,                  4230,,                              2.86,,                              2.85,                  1850,                 -8477,,,                    701,                              0
5706,2013年01月01日至2013年06月30日,,,,              1495957,              1495957,              1495957,              1495957,,,              1263236,              1263236,              1263236,                232721,                232721,,,                 93960,,                 34580,                128540,,                  2378,                106559,,,                  1287,,                  7317,,                              0,,                  2462,                 11066,                117625,,                 19721,                 97904,,                              0,                 97904,,,,,,,,,                  2393,                100297,,                 95568,                  2336,,                 96694,                  3603,,                              1.57,,                              1.56,                  2117,                   -593,,,                    869,
5706,2013年01月01日至2013年03月31日,,,,,,                730126,                730126,,,,,                598093,                132033,                132033,,,                 41963,,                 16853,                 58816,,                  1190,                 74407,,,                  1060,,                  2372,,                              0,,                   -118,                  3314,                 77721,,                 12141,                 65580,,                              0,                 65580,,,,,,,,,                 -3484,                 62096,,                 63843,                  1737,,                 59541,                  2555,,                              1.05,,                              1.04,                  1515,                 -4999,,,                              0,                              0
5706,2012年07月01日至2012年09月30日,,,,              1090217,              1090217,              1090217,              1090217,,,                943642,                943642,                943642,                146575,                146575,,,                 45260,,                 16977,                 62237,,                  1164,                 85502,,,                  8886,,                  8282,,,,                  9654,                 26822,                112324,,                 14600,                 97724,,                              0,                 97724,,,,,,,,,                  5865,                103589,,                 96521,                  1203,,                102631,                    958,,                              1.58,,                              1.58,                   -406,                  6347,,,                    -76,                              0
5706,2012年04月01日至2012年06月30日,,,,                742350,                742350,                742350,                742350,,,                608460,                608460,                608460,                133890,                133890,,,                 51426,,                 18836,                 70262,,                    487,                 64115,,,                  1655,,                  5913,,,,                     41,                  7609,                 71724,,                 12354,                 59370,,                              0,                 59370,,,,,,,,,                 11895,                 71265,,                 56506,                  2864,,                 68234,                  3031,,                              0.92,,                              0.92,                    242,                 11596,,,                     57,
5706,2012年01月01日至2012年12月31日,,,,              3000736,              3000736,              3000736,              3000736,,,              2542238,              2542238,              2542238,                458498,                458498,,,                186924,,                 70468,                257392,,                  4063,                205169,,,                 12846,,                 33108,,                              0,,                 23095,                 69049,                274218,,                 40063,                234155,,,                234155,,,,,,,,,                 -7637,                226518,,                229719,                  4436,,                223828,                  2690,,                              3.76,,                              3.76,                 -2349,                 -3270,                 -2449,,                     15,                   -416
5706,2012年01月01日至2012年09月30日,,,,              2469658,              2469658,              2469658,              2469658,,,              2090589,              2090589,              2090589,                379069,                379069,,,                139903,,                 51374,                191277,,                  2849,                190641,,,                 10565,,                 17981,,,,                 17738,                 46284,                236925,,                 34688,                202237,,                              0,                202237,,,,,,,,,                  5368,                207605,,                198726,                  3511,,                204801,                  2804,,                              3.25,,                              3.25,                 -1216,                  6593,,,                     -9,                              0
5706,2012年01月01日至2012年06月30日,,,,              1379441,              1379441,              1379441,              1379441,,,              1146947,              1146947,              1146947,                232494,                232494,,,                 94643,,                 34397,                129040,,                  1685,                105139,,,                  1679,,                  9699,,,,                  8084,                 19462,                124601,,                 20088,                104513,,                              0,                104513,,,,,,,,,                   -497,                104016,,                102205,                  2308,,                102170,                  1846,,                              1.67,,                              1.67,                   -810,                    246,,,                     67,
5706,2012年01月01日至2012年03月31日,,,,,,                637091,                637091,,,,,                538487,                 98604,                 98604,,,                 43217,,                 15561,                 58778,,                  1198,                 41024,,,                     74,,                  3736,,,,                  8043,                 11853,                 52877,,                  7734,                 45143,,                              0,                 45143,,,,,,,,,                -12392,                 32751,,                 45699,                   -556,,                 33936,                 -1185,,                              0.75,,                              0.75,                 -1052,                -11350,,,                     10,                              0
