證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 手續費費用及佣金支出合計,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融負債淨利益（損失）,　　　　　 以成本衡量之金融負債淨利益（損失）,　　　　 發行認購（售）權證費用,　　　　　 發行認購（售）權證費用合計,　　　　 股務代理收入,　　　　　 股務代理收入合計,　　　　 營業資產租金淨利益（損失）,　　　　　 營業資產租金淨利益（損失）,　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 財產交易利益淨利益（損失）,　　　　　 財產交易利益淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]68,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）[duplicate]74,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產淨利益（損失）,　　 母公司業主[duplicate]64,　　 繼續營業單位稅後淨利（淨損）[duplicate]70,　　　　 出售承受擔保品淨利益（損失）,　　　　　 出售承受擔保品淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 賠償收入,　　　　　 賠償收入合計,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]70,　　 繼續營業單位稅後淨利（淨損）[duplicate]76,　 停業單位損益,　　 停業單位損益合計,　　 母公司業主[duplicate]67,　　 繼續營業單位稅後淨利（淨損）[duplicate]73,　　 母公司業主[duplicate]63,　　 繼續營業單位稅後淨利（淨損）[duplicate]69,　　 母公司業主[duplicate]61,　　 繼續營業單位稅後淨利（淨損）[duplicate]67,　　　　 資產減損損失（迴轉利益）,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權淨利益（損失）,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 母公司業主[duplicate]71,　　 繼續營業單位稅後淨利（淨損）[duplicate]77,　　 母公司業主[duplicate]72,　　 繼續營業單位稅後淨利（淨損）[duplicate]78,　　 共同控制下前手權益,　　 母公司業主[duplicate]73,　　 共同控制下前手權益[duplicate]74,　　 繼續營業單位稅後淨利（淨損）[duplicate]80,　　　　　 以成本衡量之金融資產利益,　　　　　 出售不良資產損失,　　　　　 出售承受擔保品利益,　　　　　 出售承受擔保品損失,　　　　　 發行認購（售）權證費用,　　　　　 股務代理收入,　　　　　 顧問服務收入,　　　　　 租賃收入,　　　　　 其他什項收入,　　　　　 其他什項支出,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　 母公司業主[duplicate]80,　　 繼續營業單位稅後淨利（淨損）[duplicate]85
2890,2014年01月01日至2014年06月30日,,,             15410562,              6466212,              8944350,,,,              5593671,,                713433,              4880238,,              3249279,,                161691,,,,                 57756,,                 88296,,                -70730,,,,,                -57396,,                 43544,,                 35910,,                 33319,,                  1961,,              4189550,              4371662,             12738192,             21682542,,              2641980,,              6430825,                475423,              2965690,              9871938,              9168624,             -1954410,              7214214,              7214214,,,                -85977,               -138804,                  3789,                              0,                -18955,               -239947,               -239947,              6974267,,              7214374,                   -160,,              6974427,                   -160,,                              0.76,                              0.76,,                              0.76,                              0.76,,                -70730,,                124774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2014年01月01日至2014年03月31日,,,              7514929,              3118934,              4395995,,,,              2848906,,                361645,              2487261,,              2403879,,                 27885,,,,                -94003,,                123345,,                -56051,,,,,                -28469,,                 21342,,,,                 30104,,,,                 22924,                 56608,              4948924,              9344919,,                353675,,              3072789,                235092,              1399921,              4707802,,             -1328176,              2955266,              2955266,,,,,,,,,,              2882972,,              2955343,                    -77,,,                    -77,,                              0.36,                              0.36,,,                              0.36,,,,                 10707,,,,                              0,,,,,              4283442,                266293,               -277962,                  3789,,                -64414,                -72294,,,,,,,,,              2883049,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2013年第3季,,,              6774153,              2695360,              4078793,,,,              2431180,,                357227,              2073953,,              1669657,,                 84541,,                              0,,                186162,,                 66358,,                  2280,,,                -16117,,                -19666,,                 21803,,,,                 36934,,                    613,,                 27300,                 50867,              4133818,              8212611,,                837859,,              2858902,                236061,              1410510,              4505473,,               -406867,              2462412,              2462412,,,,,,,,,,              3509075,,              2462411,                      1,,,                      1,,                              0.28,                              0.28,,,                              0.28,,,,,,,,,,,,                              0,              2869279,               -198859,              1190713,                  4492,,                 50317,              1046663,,,,                              0,              3509074,                              0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2013年第2季,,,              6588029,              2660788,              3927241,,,,              2507084,,                377767,              2129317,,              1098626,,                109055,,,,                689694,,                -61086,,                  1069,,,,,                -19081,,                 22896,,,,                 39483,,,,                 80240,                243607,              4210282,              8137523,,                 24729,,              2921667,                236471,              1555551,              4713689,,               -401524,              2997581,              2997581,,,,,,,,,,              2783375,,              2997581,                              0,,,                              0,,                              0.37,                              0.37,,,                              0.36,,                  1069,,                 73616,,,,,,,,                 46453,              3399105,                 61192,               -323275,                  5706,,                 42171,               -214206,,,,,,,              2783375,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2013年度,,,             26819932,             10720750,             16099182,,,,             10037847,,              1408399,              8629448,,              5845379,,                535721,,                              0,,              1383995,,               -181632,,                  6091,,,,,                -79388,,                 90060,,,,                149470,,                205711,,                155563,                658923,             16877925,             32977107,,              1974507,,             11474867,                951504,              6074826,             18501197,,             -1710535,             10790868,             10790868,,,,,,,,,,             13192050,,             10790969,                   -101,,,                   -101,,                              1.22,                              1.22,,,                              1.22,,,,                 87311,,,,                 -4989,,                  8732,,                 46453,             12501403,                181631,              2200422,                 18787,                -71955,                 72297,              2401182,             13192151,                              1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2013年07月01日至2013年09月30日,,,              6774153,              2695341,              4078812,,,,              2431180,,                329387,              2101793,,              1669657,,                 84541,,,,                186162,,,,                  2280,,,,,                -19666,,                 21803,,,,                 31251,,                    613,,                    619,                 20610,              4131401,              8210213,,                837859,,              2858902,                233663,              1410510,              4503075,,               -406867,              2462412,              2462412,,,,,,,,,,              3509075,,              2462411,                      1,,,                      1,,                              0.30,                              0.30,,,                              0.30,,,,                -16117,,,,                    -11,,                  2116,,                              0,              2869279,               -198133,              1190713,                  4492,,                 50317,              1046663,,,,                              0,,,,,,,                 66358,,                      2,                   -726,,,              3509074,                              0.30,,,,,,,,,,,,,,,,,,
2890,2013年04月01日至2013年06月30日,,,              6588029,              2660761,              3927268,,,,              2507084,,                347131,              2159953,,              1098626,,                109055,,,,                689694,,,,                  1069,,,,,                -19081,,                 22896,,,,                 33904,,                  1781,,                 46334,                210546,              4207857,              8135125,,                 24729,,              2921667,                234073,              1555551,              4711291,,               -401524,              2997581,              2997581,,,,,,,,,,              2783375,,              2997581,                              0,,,                              0,,                              0.37,                              0.37,,,                              0.36,,                  1069,,                 73616,,,,                  2558,,                  1374,,                 46453,              3399105,                 64021,               -323275,                  5706,,                 42171,               -214206,,,,,,,,,,,                -61086,,                    711,                 -2829,,,,,                              0,              2783375,                              0,                              0.36,,,,,,,,,,,,,,
2890,2013年01月01日至2013年12月31日,,,             26819932,             10720682,             16099250,,,,             10037847,,              1330746,              8707101,,              5845379,,                535721,,,,              1383995,,,,                  6091,,,,,                -79388,,                 90060,,,,                128924,,                205711,,                 52412,                535937,             16832592,             32931842,,              1974507,,             11439206,                941900,              6074826,             18455932,,             -1710535,             10790868,             10790868,,,,,,,,,,             13192050,,             10790969,                   -101,,,                   -101,,                              1.32,                              1.32,,,                              1.31,,,,                 87311,,,,                 -4989,,                  8732,,                 46453,             12501403,                180463,              2200422,                 18787,                -71955,                 72297,              2401182,,,,,,,,,,,               -181632,,                    711,                  1168,             13192151,                              1.31,,,,,,,,,,,,,,,,,,,,
2890,2013年01月01日至2013年09月30日,,,             19743620,              7894055,             11849565,,,,              7444584,,              1083374,              6361210,,              4044439,,                339955,,                              0,,              1299069,,                -52183,,                  4464,,,                 61149,,                -58745,,                 67823,,,,                111897,,                  3042,,                141081,                372700,             12369654,             24219219,,                748730,,              8645278,                711732,              4297075,             13654085,,             -1483240,              8333164,              8333164,,,,,,,,,,             10078581,,              8333163,                      1,,,                      1,,                              0.94,                              0.94,,,                              0.94,,,,,,,,,,,,                 46453,              9816404,                 12646,              1633673,                 15540,,                 83558,              1745417,,,,                              0,             10078580,                              0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2013年01月01日至2013年06月30日,,,             12969467,              5198695,              7770772,,,,              5013404,,                726147,              4287257,,              2374782,,                255414,,,,              1112907,,               -118541,,                  2184,,,,,                -39079,,                 46020,,,,                 74963,,,,                116210,                321833,              8235836,             16006608,,                -89129,,              5786376,                475671,              2886565,              9148612,,             -1076373,              5870752,              5870752,,,,,,,,,,              6569506,,              5870752,                              0,,,                              0,,                              0.72,                              0.72,,,                              0.71,,                  2184,,                 77266,,,,,,,,                 46453,              6947125,                211505,                442960,                 11048,,                 33241,                698754,,,,,,,              6569506,                              0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2013年01月01日至2013年03月31日,,,              6381438,              2537903,              3843535,,,,              2506320,,                348380,              2157940,,              1276156,,                146359,,,,                423213,,                -57455,,                  1115,,,,,                -19998,,                 23124,,,,                 31888,,,,                 44344,                 75824,              4023152,              7866687,,               -113858,,              2864709,                236802,              1331014,              4432525,,               -674849,              2873171,              2873171,,,,,,,,,,              3786131,,              2873171,                              0,,,                              0,,                              0.35,                              0.35,,,                              0.35,,,,                  3650,,,,                 -7184,,,,,              3548020,                150313,                766235,                  5342,,                 -8930,                912960,,,,,,,,,              3786131,                              0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2012年07月01日至2012年09月30日,,,              6429826,              2566698,              3863128,,,,              2119016,,                278453,              1840563,,              1289975,,                 15096,,,,                112289,,,,                  2251,,,,,                -14690,,                 19749,,,,                 30181,,                  1092,,                 55077,                110538,              3336208,              7199336,,               -683519,,              2822480,                207375,              1478166,              4508021,,               -742298,              2632536,              2632536,,,,,,,,,,              2659155,,              2632536,                              0,,,                              0,,                              0.32,                              0.32,,,                              0.32,,,,                 32769,,,,                -14577,,                  6814,,                              0,              3374834,                -98340,                116057,                  5848,,                  2807,                 26619,,,,                              0,,,,,,,                -34504,,                 -5877,                    247,,,              2659155,                              0.32,,,,,,,,,,,,,,,,,,
2890,2012年04月01日至2012年06月30日,,,              6248854,              2434824,              3814030,,,,              2271132,,                286842,              1984290,,                783593,,                 24652,,,,                 37452,,,,                  2654,,,,,                -24410,,                 19998,,,,                 33174,,                  5271,,                 41268,                298346,              3051384,              6865414,,                 44680,,              2710862,                206034,              1388453,              4305349,,               -331420,              2183965,              2183965,,,,,,,,,,              2200336,,              2183965,                              0,,,                              0,,                              0.27,                              0.27,,,                              0.27,,                  2654,,                183754,,,,                  8378,,                  6789,,                              0,              2515385,                 59124,                -29835,                  2265,,                -12463,                 16371,,,,,,,,,,,                -79603,,                 24124,                 -2720,,,,,                              0,              2200336,                              0,                              0.27,,,,,,,,,,,,,,
2890,2012年01月01日至2012年12月31日,,,             25242631,             10003056,             15239575,,,,              8951808,,              1182263,              7769545,,              4214834,,                125702,,,,                379762,,,,                 11200,,,,,                -73732,,                 80883,,,,                130255,,                 17949,,                148037,                782264,             12931615,             28171190,,               -566382,,             10966230,                836198,              5611466,             17413894,,             -1699670,              9624008,              9624008,,,,,,,,,,              9676072,,              9624008,                              0,,,                              0,,                              1.18,                              1.18,,,                              1.17,,,,                514047,,,,                 14244,,                 26659,,                              0,             11323678,               -187438,                156423,                 28636,                 17996,                 36764,                 52064,,,,,,,,,,,               -351692,,                -76078,                   -317,              9676072,                              1.17,,,,,,,,,,,,,,,,,,,,
2890,2012年01月01日至2012年09月30日,,,             18912630,              7486681,             11425949,,,,              6703045,,                849799,              5853246,,              3367995,,                125338,,,,                232530,,,,                  7975,,,,,                -53752,,                 59286,,,,                 99353,,                 10944,,                132947,                668116,             10140982,             21566931,,               -559551,,              8340125,                614345,              4177212,             13131682,,             -1416082,              7578718,              7578718,,,,,,,,,,              7622410,,              7578718,                              0,,,                              0,,                              0.93,                              0.93,,,                              0.92,,,,                404641,,,,                  4137,,                 21030,,                              0,              8994800,               -155626,                157176,                 22681,,                 22562,                 43692,,,,                              0,,,,,,,               -114218,,                -10470,                 -3101,,,              7622410,                              0.92,,,,,,,,,,,,,,,,,,
2890,2012年01月01日至2012年06月30日,,,             12482804,              4919983,              7562821,,,,              4584029,,                571346,              4012683,,              2078020,,                110242,,,,                120241,,,,                  5724,,,,,                -39062,,                 39537,,,,                 69172,,                  9852,,                 77870,                557578,              6804774,             14367595,,                123968,,              5517645,                406970,              2699046,              8623661,,               -673784,              4946182,              4946182,,,,,,,,,,              4963255,,              4946182,                              0,,,                              0,,                              0.61,                              0.61,,,                              0.60,,                  5724,,                371872,,,,                 18714,,                 14216,,                              0,              5619966,                -57286,                 41119,                 16833,,                 19755,                 17073,,,,,,,,,,,                -79714,,                 -4593,                 -3348,,,,,                              0,              4963255,                              0,                              0.60,,,,,,,,,,,,,,
2890,2012年01月01日至2012年03月31日,,,              6233950,              2485159,              3748791,,,,              2312897,,                284504,              2028393,,              1294427,,                 85590,,,,                 82789,,,,                  3070,,,,,                -14652,,                 19539,,,,                 35998,,,,                 41183,                259232,              3753390,              7502181,,                 79288,,              2806783,                200936,              1310593,              4318312,,               -342364,              2762217,              2762217,,,,,,,,,,              2762919,,              2762217,                              0,,,,,                              0.38,                              0.38,,,                              0.37,,                  3070,,                188118,,,,                 10336,,                  7427,,,              3104581,               -116410,                 70954,                 14568,,                 32218,                    702,,,,,,,,,,,                   -111,,                -28717,                   -628,,,,,,,,,                188118,                 28717,                 10336,                              0,                 14652,                 19539,                  7427,                 35998,                 67712,                 26529,                329130,                 69898,              2762919,                              0.37
