證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　 停業單位損益,　　 停業單位損益合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2520,2014年01月01日至2014年03月31日,,,,              4965164,              4965164,              4965164,,              3146069,              1819095,              1819095,,,                 26183,,                320908,                347091,              1472004,,,                  1380,,                   -648,,                 65850,,                  1113,                -64005,              1407999,,                154262,              1253737,              1253737,,,                              0,,                              0,,                 -4110,,                 -4110,                 -4110,              1249627,,              1177920,                 75817,,              1174467,                 75160,,                              2.38,,,,,,,,
2520,2013年第3季,,,,,,                853037,,                522840,                330197,                330197,,,                  8293,,                273329,                281622,                 48575,,,                  4046,,                -14080,,                 48452,,                  1159,                -57327,                 -8752,,                 18250,                -27002,                -27002,,,,,,,,,,                   -209,                -27211,,                -13580,                -13422,,                -13755,                -13456,,                             -0.03,,                             -0.03,                   -209,,,,,
2520,2013年第2季,,,,,,                730891,,                446534,                284357,                284357,,,                 41790,,                242876,                284666,                   -309,,,                  4532,,                 14799,,                 36355,,                    246,                -16778,                -17087,,                 74473,                -91560,                -91560,,,,,,,,,,                    747,                -90813,,               -107669,                 16109,,               -107042,                 16229,,                             -0.22,,,                    747,,,                              0,,
2520,2013年度,,,,,,              7284392,,              4988476,              2295916,              2295916,,,                132541,,              1091685,              1224226,              1071690,,,                 24634,,                463646,,                182409,,                    591,                306462,              1378152,,                157932,              1220220,              1220220,,,,,,,,,,                 -2147,              1218073,,              1197081,                 23139,,              1194182,                 23891,,                              2.42,,                              2.42,                  1125,                 -3272,,,,
2520,2013年07月01日至2013年09月30日,,,,,,                853037,,                522840,                330197,                330197,,,                  8293,,                273329,                281622,                 48575,,,                  4046,,                -14080,,                 48452,,                  1159,                -57327,                 -8752,,                 18250,                -27002,                -27002,,,,,,,,,,                   -209,                -27211,,                -13580,                -13422,,                -13755,                -13456,,                             -0.03,,                             -0.03,                   -209,,,,,
2520,2013年04月01日至2013年06月30日,,,,,,                730891,,                447229,                283662,                283662,,,                 41790,,                242876,                284666,                 -1004,,,                  4532,,                 14799,,                 36355,,                    246,                -16778,                -17782,,                 73778,                -91560,                -91560,,,,,,,,,,                    747,                -90813,,               -107669,                 16109,,               -107042,                 16229,,                             -0.22,,                             -0.22,                    747,,,,,
2520,2013年01月01日至2013年12月31日,,,,,,              7284392,,              4988476,              2295916,              2295916,,,                132541,,              1091685,              1224226,              1071690,,,                 24634,,                463646,,                182409,,                    591,                306462,              1378152,,                157932,              1220220,              1220220,,,,,,,,,,                 -2147,              1218073,,              1197081,                 23139,,              1194182,                 23891,,                              2.42,,                              2.42,                  1125,                 -3272,,,,
2520,2013年01月01日至2013年09月30日,,,,,,              2582154,,              1746733,                835421,                835421,,,                 79802,,                758515,                838317,                 -2896,,,                 10599,,                457160,,                129919,,                  3502,                341342,                338446,,                120054,                218392,                218392,,,,,,,,,,                    812,                219204,,                266027,                -47635,,                266710,                -47506,,                              0.54,,                              0.54,                    812,,,,,
2520,2013年01月01日至2013年06月30日,,,,,,              1729117,,              1223893,                505224,                505224,,,                 71509,,                485186,                556695,                -51471,,,                  6553,,                471240,,                 81467,,                  2343,                398669,                347198,,                101804,                245394,                245394,,,,,,,,,,                  1021,                246415,,                279607,                -34213,,                280465,                -34050,,                              0.57,,,                  1021,,,                              0,,
2520,2013年01月01日至2013年03月31日,,,,,,                998226,,                777359,                220867,                220867,,,                 29719,,                242310,                272029,                -51162,,,                  2021,,                456441,,                 45112,,                  2097,                415447,                364285,,                 27331,                336954,                336954,,,,,,,,,,                    274,                337228,,                387276,                -50322,,                387507,                -50279,,                              0.79,,                              0.79,                    274,,,,                              0.79,                              0.79
2520,2012年07月01日至2012年09月30日,,,,,,              1214478,,                957251,                257227,                257227,,,                 26193,,                210118,                236311,                 20916,,,                  4283,,                 17305,,                 60970,,                    269,                -39113,                -18197,,                 18822,                -37019,                -37019,,,,,,,,,,                              0,                -37019,,                -60124,                 23105,,                -60124,                 23105,,                             -0.12,,                             -0.12,                              0,,,,,
2520,2012年04月01日至2012年06月30日,,,,,,              1239262,,              1060882,                178380,                178380,,,                 94950,,                186891,                281841,               -103461,,,                  4418,,                -34514,,                 47753,,                    884,                -76965,               -180426,,                 58628,               -239054,               -239054,,,,,,,,,,                              0,               -239054,,               -210493,                -28561,,               -210493,                -28561,,                             -0.43,,                             -0.43,                              0,,,,,
2520,2012年01月01日至2012年12月31日,,,,,,              7185957,,              5623078,              1562879,              1562879,,,                198697,,                865093,              1063790,                499089,,,                 25498,,                 42851,,                220362,,                    -71,               -152084,                347005,,                125846,                221159,                221159,,,,,,,,,,                  1233,                222392,,                130253,                 90906,,                129619,                 92773,,                              0.27,,                              0.27,                   -196,                  1429,,,,
2520,2012年01月01日至2012年09月30日,,,,,,              3870628,,              3136258,                734370,                734370,,,                144023,,                596437,                740460,                 -6090,,,                 17678,,                  1961,,                164763,,                  1219,               -143905,               -149995,,                105394,               -255389,               -255389,,,,,,,,,,                              0,               -255389,,               -282931,                 27542,,               -282931,                 27542,,                             -0.58,,                             -0.57,                              0,,,,,
2520,2012年01月01日至2012年06月30日,,,,,,              2656150,,              2179007,                477143,                477143,,,                117830,,                386319,                504149,                -27006,,,                 13395,,                -15344,,                103793,,                    950,               -104792,               -131798,,                 86572,               -218370,               -218370,,,,,,,,,,                              0,               -218370,,               -222807,                  4437,,               -222807,                  4437,,                             -0.46,,                             -0.45,                              0,,,,,
2520,2012年01月01日至2012年03月31日,,,,,,              1416888,,              1118125,                298763,                298763,,,                 22880,,                199428,                222308,                 76455,,,                  8977,,                 19170,,                 56040,,                     66,                -27827,                 48628,,                 27944,                 20684,                 20684,,,,,,,,,,                              0,                 20684,,                -12314,                 32998,,                -12314,                 32998,,                             -0.03,,                             -0.02,                              0,,,,                             -0.03,                             -0.02
