證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 合併前非屬共同控制股權綜合損益淨額,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　　 利息收入,　　　　 利息收入合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計
1560,2014年01月01日至2014年03月31日,,,,              1030434,                  2022,                    707,              1027705,              1027705,,                715486,                312219,                312219,,,                 57257,,                 48178,,                 20503,                125938,                186281,,,                  3675,                  3675,,                 -5642,,                              0,                 -1967,                184314,,                 31589,                152725,                152725,,,                     49,                     49,                     49,,                152774,,                              1.08,,                              1.08,,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1560,2013年第3季,,,,              1063034,                  1762,,              1061272,              1061272,,                730670,                330602,                330602,,,                 48513,,                 43488,,                 18129,                110130,                220472,,,                  3036,                  3036,,                -53744,,                     32,                -50740,                169732,,                 31443,                138289,                138289,,,,,                   -803,                              0,                137486,,                              0.98,,                              0.98,,,,,,,,,,,,,,,                   -803,,,,,,,,,,,
1560,2013年第2季,,,,              1013904,                  1114,                              0,              1012790,              1012790,,                710477,                302313,                302313,,,                 55496,,                 36945,,                 26547,                118988,                183325,,,                  8379,                  8379,,                -33196,,                      4,                -24821,                158504,,                 27954,                130550,                130550,,,,,                     17,,                130567,,                              0.93,,                              0.92,,,,,,,,,,,,,,,                     17,,,,,,,,,,,
1560,2013年度,,,,              4075835,                  7264,                  6174,              4062397,              4062397,,              2870463,              1191934,              1191934,,,                204423,,                167108,,                 90961,                462492,                729442,,,                 15323,                 15323,,               -101477,,                    291,                -86445,                642997,,                116942,                526055,                526055,,,,,                -16518,,                509537,,                              3.73,,                              3.69,,,,,,,,,,,,,,,                    341,                -20311,                  3452,,,,,,,,,
1560,2013年07月01日至2013年09月30日,,,,              1063034,                  1762,,              1061272,              1061272,,                730670,                330602,                330602,,,                 48518,,                 43483,,                 18129,                110130,                220472,,,                  3036,                  3036,,                -53744,,                     32,                -50740,                169732,,                 31443,                138289,                138289,,,,,                   -803,                              0,                137486,,                              0.98,,                              0.98,,,,,,,,,,,,,,,                   -803,,,,,,,,,,,
1560,2013年04月01日至2013年06月30日,,,,              1013904,                  1114,                              0,              1012790,              1012790,,                710477,                302313,                302313,,,                 55496,,                 36945,,                 26547,                118988,                183325,,,                  8379,                  8379,,                -33196,,                      4,                -24821,                158504,,                 27954,                130550,                130550,,,,,                     17,,                130567,,                              0.93,,                              0.92,,,,,,,,,,,,,,,                     17,,,,,,,,,,,
1560,2013年01月01日至2013年12月31日,,,,              4069661,                  7264,,              4062397,              4062397,,              2870463,              1191934,              1191934,,,                204423,,                167108,,                 90961,                462492,                729442,,,                 15171,                 15171,,               -101325,,                    291,                -86445,                642997,,                116942,                526055,                526055,,,,,                -16518,,                509537,,                              3.73,,                              3.69,,,,,,,,,,,,,,,                    341,                -20311,                  3452,,,,,,,,,
1560,2013年01月01日至2013年09月30日,,,,              3061605,                  5626,,              3055979,              3055979,,              2167211,                888768,                888768,,,                154569,,                123012,,                 66407,                343988,                544780,,,                 14347,                 14347,,                -88547,,                    165,                -74365,                470415,,                 84030,                386385,                386385,,,,,                   -401,                              0,                385984,,                              2.74,,                              2.71,,,,,,,,,,,,,,,                   -401,,,,,,,,,,,
1560,2013年01月01日至2013年06月30日,,,,              1998571,                  3864,                              0,              1994707,              1994707,,              1436541,                558166,                558166,,,                106056,,                 79524,,                 48278,                233858,                324308,,,                 11311,                 11311,,                -34803,,                    133,                -23625,                300683,,                 52587,                248096,                248096,,,,,                    402,,                248498,,                              1.76,,                              1.74,,,,,,,,,,,,,,,                    402,,,,,,,,,,,
1560,2013年01月01日至2013年03月31日,,,,                984667,                  2750,                              0,                981917,                981917,,                726064,                255853,                255853,,,                 50560,,                 42579,,                 21731,                114870,                140983,,,                  2909,                  2909,,                 -1584,,                    129,                  1196,                142179,,                 24633,                117546,                117546,,,,,                    385,,                117931,,                              0.83,,                              0.83,,,,,,,                              0,,,,,,,,                    385,,,,,,,,,,,
1560,2012年07月01日至2012年09月30日,,,,                988069,                  2084,,                985985,                985985,,                698261,                287724,                287724,,,                 52620,,                 34497,,                 23453,                110570,                177154,,,                              0,                              0,,                -26100,,                    229,                -26329,                150825,,                 29903,                120922,                120922,,,,,                   -133,                              0,                120789,,                              0.86,,                              0.85,,,,,,,,,,,,,,,                   -133,,,,,,,,,,,
1560,2012年04月01日至2012年06月30日,,,,                978118,                  4041,                              0,                974077,                974077,,                686114,                287963,                287963,,,                 62123,,                 32972,,                 23755,                118850,                169113,,,                    116,                    116,,                -29613,,                              0,                -29497,                139616,,                 31844,                107772,                107772,,,,,                   -246,,                107526,,                              0.76,,                              0.75,,,,,,,,,,,,,,,                   -246,,,,,,,,,,,
1560,2012年01月01日至2012年12月31日,,,,              3868772,                 10567,,              3858205,              3858205,,              2765122,              1093083,              1093083,,,                226722,,                134345,,                 92212,                453279,                639804,,,                  5992,                  5992,,                -86888,,                    929,                -81825,                557979,,                101661,                456318,                456318,,,,,                -48683,,                407635,,                              3.24,,                              3.19,,,,,,,,,,,,,,,                    304,                -59021,                 10034,,,,,,,,,
1560,2012年01月01日至2012年09月30日,,,,              2890494,                  8084,,              2882410,              2882410,,              2070282,                812128,                812128,,,                176204,,                102250,,                 70536,                348990,                463138,,,                  4460,                  4460,,                -59390,,                    609,                -55539,                407599,,                 81675,                325924,                325924,,,,,                     82,                              0,                326006,,                              2.31,,                              2.28,,,,,,,,,,,,,,,                     82,,,,,,,,,,,
1560,2012年01月01日至2012年06月30日,,,,              1902425,                  6000,                              0,              1896425,              1896425,,              1372021,                524404,                524404,,,                123584,,                 67753,,                 47083,                238420,                285984,,,                  4460,                  4460,,                -33290,,                    380,                -29210,                256774,,                 51772,                205002,                205002,,,,,                    215,,                205217,,                              1.45,,                              1.43,,,,,,,,,,,,,,,                    215,,,,,,,,,,,
1560,2012年01月01日至2012年03月31日,,,,                924307,                  1959,                              0,                922348,                922348,,                685907,                236441,                236441,,,                 61461,,                 34781,,                 23328,                119570,                116871,,,                  6715,                  6715,,                 -6027,,                    401,                    287,                117158,,                 19928,                 97230,                 97230,,,,,                    461,,                 97691,,                              0.69,,                              0.68,,,,,,,                              0,,,,,,,,                    461,,,                     61,                              0,                              0,                    107,                  2438,                     62,                  3481,,                              0
