證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 利息費用
3296,2014年01月01日至2014年03月31日,,,,                541918,,,,,                491129,                 50789,                 50789,,,                 20680,,                 42641,,                 42422,                105743,                -54954,,,                  3309,,                 20788,,                      1,                 24096,                -30858,,                    134,                -30992,                -30992,,,                  7287,                  7287,                  7287,                -23705,,                -30992,,                -23705,,                             -0.28,,                             -0.28,                              0,,,,,,,,,,
3296,2013年第3季,,,                661364,                661364,,,                565577,                565577,                565577,                 95787,                 95787,,,                 26521,,                 46457,,                 40944,                113922,                -18135,,,                  1861,,                  8973,,                              0,                 10834,                 -7301,,                    671,                 -7972,                 -7972,,,,,                -15883,                -23855,,                 -7972,,                -23855,,                             -0.07,,                             -0.07,,                -15883,,                              0,,,,,,,
3296,2013年第2季,,,,                708348,,,                621488,                621488,                621488,                 86860,                 86860,,,                 28896,,                 44315,,                 42498,                115709,                -28849,,,                  2051,,                 13516,,                              0,                 15567,                -13282,,                  4894,                -18176,                -18176,,,,,                 -9089,                -27265,,                -18176,,                -27265,,                             -0.16,,                             -0.16,,                 -9089,,,,,,,,,
3296,2013年度,,,,              2552588,,,,,              2225797,                326791,                326791,,,                104937,,                172848,,                167845,                445630,               -118839,,,                 10111,,                 47171,,                              0,                 57282,                -61557,,                  2689,                -64246,                -64246,,,,,                 66490,                  2244,,                -64246,,                  2244,,                             -0.58,,                             -0.58,,                 64416,                  2074,                              0,,,,,,,
3296,2013年07月01日至2013年09月30日,,,                661364,                661364,,,                565577,                565577,                565577,                 95787,                 95787,,,                 26521,,                 46457,,                 40944,                113922,                -18135,,,                  1861,,                  8973,,                              0,                 10834,                 -7301,,                    671,                 -7972,                 -7972,,,,,                -15883,                -23855,,                 -7972,,                -23855,,                             -0.07,,                             -0.07,,                -15883,,,,                662531,                  1167,                              0,,,
3296,2013年04月01日至2013年06月30日,,,                708348,                708348,,,                621488,                621488,                621488,                 86860,                 86860,,,                 28896,,                 44315,,                 42498,                115709,                -28849,,,                  2051,,                 13516,,                              0,                 15567,                -13282,,                  4894,                -18176,                -18176,,,,,                 -9089,                -27265,,                -18176,,                -27265,,                             -0.16,,                             -0.16,,                 -9089,,,,                708739,                    391,                              0,,,
3296,2013年01月01日至2013年12月31日,,,              2552588,              2552588,,,              2225797,              2225797,              2225797,                326791,                326791,,,                104937,,                172848,,                167845,                445630,               -118839,,,                 10111,,                 47171,,                              0,                 57282,                -61557,,                  2689,                -64246,                -64246,,,,,                 66490,                  2244,,                -64246,,                  2244,,                             -0.58,,                             -0.58,,                 64416,                  2074,                              0,,              2556682,                    170,                  3924,,,
3296,2013年01月01日至2013年09月30日,,,              1883894,              1883894,,,              1651577,              1651577,              1651577,                232317,                232317,,,                 75891,,                128888,,                123820,                328599,                -96282,,,                  6231,,                 38059,,                              0,                 44290,                -51992,,                  5565,                -57557,                -57557,,,,,                 43716,                -13841,,                -57557,,                -13841,,                             -0.52,,                             -0.52,,                 43716,,                              0,,,,,,,
3296,2013年01月01日至2013年06月30日,,,,              1222530,,,              1086000,              1086000,              1086000,                136530,                136530,,,                 49370,,                 82431,,                 82876,                214677,                -78147,,,                  4370,,                 29086,,                              0,                 33456,                -44691,,                  4894,                -49585,                -49585,,,,,                 59599,                 10014,,                -49585,,                 10014,,                             -0.45,,                             -0.45,,                 59599,,,,,,,,,
3296,2013年01月01日至2013年03月31日,,,                514182,                514182,,,,,                464512,                 49670,                 49670,,,                 20474,,                 38116,,                 40378,                 98968,                -49298,,,                  2319,,                 15570,,                              0,                 17889,                -31409,,                              0,                -31409,                -31409,,,,,                 68688,                 37279,,                -31409,,                 37279,,                             -0.28,,                             -0.28,,                 68688,,,,                515790,                  1608,                              0,                              0,                              0,                              0
3296,2012年07月01日至2012年09月30日,,,                857547,                857547,,,                717193,                717193,                717193,                140354,                140354,,,                 14298,,                 63436,,                 38202,                115936,                 24418,,,                    446,,                 12395,,                    826,                 12015,                 36433,,                 -3275,                 39708,                 39708,,,,,                -18661,                 21047,,                 39708,,                 21047,,                              0.36,,                              0.35,,                -18661,,,,                858390,                    250,                    593,,,
3296,2012年04月01日至2012年06月30日,,,                955178,                955178,,,                825101,                825101,                825101,                130077,                130077,,,                 37427,,                 43401,,                 38868,                119696,                 10381,,,                  7521,,                 28801,,                  1063,                 35259,                 45640,,                 59110,                -13470,                -13470,,,,,                  8905,                 -4565,,                -13470,,                 -4565,,                             -0.12,,                             -0.12,,                  8905,,,,                958211,                  2367,                    666,,,
3296,2012年01月01日至2012年12月31日,,,              3445346,              3445346,,,              2919263,              2919263,              2919263,                526083,                526083,,,                100162,,                196757,,                148546,                445465,                 80618,,,                 12546,,                 37407,,                  4809,                 45144,                125762,,                 10341,                115421,                115421,,,,,                -53419,                 62002,,                115421,,                 62002,,                              1.03,,                              1.03,,                -48670,                 -4749,                              0,,              3458375,                  9175,                  3854,,,
3296,2012年01月01日至2012年09月30日,,,              2713064,              2713064,,,              2282032,              2282032,              2282032,                431032,                431032,,,                 72194,,                152041,,                109965,                334200,                 96832,,,                 10283,,                 36388,,                  2461,                 44210,                141042,,                 60781,                 80261,                 80261,,,,,                -45733,                 34528,,                 80261,,                 34528,,                              0.72,,                              0.72,,                -45733,,,,              2718938,                  3792,                  2082,,,
3296,2012年01月01日至2012年06月30日,,,              1855517,              1855517,,,              1564839,              1564839,              1564839,                290678,                290678,,,                 57896,,                 88605,,                 71763,                218264,                 72414,,,                  9837,,                 23993,,                  1635,                 32195,                104609,,                 64056,                 40553,                 40553,,,,,                -27072,                 13481,,                 40553,,                 13481,,                              0.36,,                              0.36,,                -27072,,,,              1860548,                  3542,                  1489,,,
3296,2012年01月01日至2012年03月31日,,,                900339,                900339,,,,,                739738,                160601,                160601,,,                 20469,,                 45204,,                 32895,                 98568,                 62033,,,                  2316,,                 -4808,,                    572,                 -3064,                 58969,,                  4946,                 54023,                 54023,,,,,                -35977,                 18046,,                 54023,,                 18046,,                              0.48,,                              0.47,,                -35977,,,,                902337,                  1175,                    823,                              0,                              0,                    572
