證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 其他營業收入,　　　 其他營業收入淨額,　　 其他營業成本
1103,2014年01月01日至2014年03月31日,,,                669433,,                 92300,,                 21636,,                236060,              1019429,,,                664215,,                 51588,,                 13003,,                232260,                961066,                 58363,                 58363,,,                  9622,,                 91328,                100950,,,                -42587,,,                 28221,,                 23990,,                 43531,,                 -7882,                    798,                -41789,,                 -7585,                -34204,                -34204,,,                237773,                331277,                 38065,                530985,                530985,                496781,,                -39384,                  5180,,                469716,                 27065,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,,,,
1103,2013年第3季,,,                604738,,                 99114,,                              0,,                241873,                945725,,,                652527,,                 65919,,                              0,,                238264,                956710,                -10985,                -10985,,,                 12219,,                 96670,                108889,,,               -119874,,,                232074,,                129177,,                 39630,,                    -20,                321601,                201727,,                 23287,                178440,                178440,,,,,,,              1504967,              1683407,,                187936,                 -9496,,              1637719,                 45688,,                              0.29,                              0.29,,                              0.29,                              0.29,               -100718,              1589534,,,,                 16151,,,
1103,2013年第2季,,,                706426,,                 95089,,                              0,,                249631,              1051146,,,                734198,,                 52611,,                              0,,                247554,              1034363,                 16783,                 16783,,,                 11403,,                 84881,                 96284,,,                -79501,,,                142843,,                -64130,,                 45518,,                 -2099,                 31096,                -48405,,                 -3310,                -45095,                -45095,,,,,,,               -509233,               -554328,,                -33186,                -11909,,               -537402,                -16926,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                 96878,               -591730,,,,                -14381,,,
1103,2013年度,,,              2718889,,                355357,,                218346,,                975713,              4268305,,,              2771533,,                204637,,                133100,,                924090,              4033360,                234945,                234945,,,                 46056,,                427435,                473491,,                654569,                416023,,,                488267,,                604890,,                171332,,                    956,                922781,              1338804,,                 48877,              1289927,              1289927,,,,,,,              3889029,              5178956,,              1272068,                 17859,,              4994028,                184928,,                              1.97,                              1.97,,                              1.97,                              1.97,                395422,              3562008,                  5605,,                  5466,                -79472,,,
1103,2013年07月01日至2013年09月30日,,,                604738,,                 99114,,,,                241873,                945725,,,                652527,,                 65919,,,,                238264,                956710,                -10985,                -10985,,,                 12219,,                 96670,                108889,,,               -119874,,,                232074,,                129177,,                 39630,,                    -20,                321601,                201727,,                 23287,                178440,                178440,,,,,,,              1504967,              1683407,,                187936,                 -9496,,              1637719,                 45688,,                              0.29,                              0.29,,                              0.29,                              0.29,               -100718,              1589534,,,,                 16151,,                              0,                              0
1103,2013年04月01日至2013年06月30日,,,                706426,,                 95089,,,,                249631,              1051146,,,                734198,,                 52611,,,,                247554,              1034363,                 16783,                 16783,,,                 11403,,                 84881,                 96284,,,                -79501,,,                142843,,                -64130,,                 45518,,                 -2099,                 31096,                -48405,,                 -3310,                -45095,                -45095,,,,,,,               -509233,               -554328,,                -33186,                -11909,,               -537402,                -16926,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                 96878,               -591730,,,,                -14381,,                              0,                              0
1103,2013年01月01日至2013年12月31日,,,              2718889,,                355357,,                218346,,                975713,              4268305,,,              2771533,,                204637,,                133100,,                924090,              4033360,                234945,                234945,,,                 46056,,                427435,                473491,,                654569,                416023,,,                488267,,                604890,,                171332,,                    956,                922781,              1338804,,                 48877,              1289927,              1289927,,,,,,,              3889029,              5178956,,              1272068,                 17859,,              4994028,                184928,,                              1.97,                              1.97,,                              1.97,                              1.97,                395422,              3562008,                  5605,,                  5466,                -79472,,                              0,                              0
1103,2013年01月01日至2013年09月30日,,,              1751312,,                285798,,                              0,,                700950,              2738060,,,              1906232,,                166392,,                              0,,                704543,              2777167,                -39107,                -39107,,,                 32498,,                277581,                310079,,,               -349186,,,                412763,,                255683,,                130543,,                 -1593,                536310,                187124,,                 -5858,                192982,                192982,,,,,,,                948404,              1141386,,                237079,                -44097,,              1129199,                 12187,,                              0.37,                              0.37,,                              0.37,                              0.37,                257247,                730304,,,,                -39147,,,
1103,2013年01月01日至2013年06月30日,,,              1146574,,                186684,,                              0,,                459077,              1792335,,,              1253705,,                100473,,                              0,,                466279,              1820457,                -28122,                -28122,,,                 20279,,                180911,                201190,,,               -229312,,,                180689,,                126506,,                 90913,,                 -1573,                214709,                -14603,,                -29145,                 14542,                 14542,,,,,,,               -556563,               -542021,,                 49143,                -34601,,               -508520,                -33501,,                              0.08,                              0.08,,                              0.08,                              0.08,                357965,               -859230,,,,                -55298,,,
1103,2013年01月01日至2013年03月31日,,,                440148,,                 91595,,                              0,,                209446,                741189,,,                527078,,                 51079,,                              0,,                211154,                789311,                -48122,                -48122,,,                  8876,,                 92813,                101689,,,               -149811,,,                 37846,,                190636,,                 45395,,                    526,                183613,                 33802,,                -25835,                 59637,                 59637,,,,,,,                -47330,                 12307,,                 82329,                -22692,,                 28882,                -16575,,                              0.13,                              0.13,,                              0.13,                              0.13,                261087,               -267500,,,,                -40917,,,
1103,2012年07月01日至2012年09月30日,,,                459368,,                 88513,,,,                203274,                765008,,,                574219,,                 47790,,,,                225226,                854862,                -89854,                -89854,,,                 10033,,                 98958,                108991,,,               -198845,,,                219076,,               -718173,,                 44859,,                    -30,               -543986,               -742831,,                -33204,               -709627,               -709627,,,,,,,               -189339,               -898966,,               -697125,                -12502,,               -870199,                -28767,,                             -1.08,                             -1.08,,                             -1.08,                             -1.08,               -136796,                -74187,,,,                 21644,,                 13853,                  7627
1103,2012年04月01日至2012年06月30日,,,                736528,,                 88495,,,,                242110,              1336620,,,                746038,,                 45258,,,,                306796,              1304193,                 32427,                 32427,,,                 26349,,                 86331,                112680,,,                -80253,,,                214100,,               -283473,,                 42012,,                 -5955,               -117340,               -197593,,                -10119,               -187474,               -187474,,,,,,,             -1682592,             -1870066,,               -187540,                     66,,             -1818294,                -51772,,                             -0.29,                             -0.29,,                             -0.29,                             -0.29,                 81510,             -1751136,,,,                -12966,,                269487,                206101
1103,2012年01月01日至2012年12月31日,,,              2416703,,                351458,,                954036,,                892408,              4772948,,,              2709455,,                198138,,                588844,,                944234,              4471632,                301316,                301316,,,                 91674,,                404984,                496658,,                              0,               -195342,,,                591838,,               -691017,,                169978,,                -10304,               -279461,               -474803,,                100304,               -575107,               -575107,,,,,,,               -791035,             -1366142,,               -672410,                 97303,,             -1410137,                 43995,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,               -445309,               -416083,                -29177,,                  6929,                 92605,,                158343,                 30961
1103,2012年01月01日至2012年09月30日,,,              1706819,,                262875,,,,                682374,              3081251,,,              1973307,,                139816,,,,                718750,              3073570,                  7681,                  7681,,,                 49271,,                283715,                332986,,,               -325305,,,                520648,,               -767907,,                127142,,                 -6024,               -380425,               -705730,,                -16199,               -689531,               -689531,,,,,,,             -1484995,             -2174526,,               -684258,                 -5273,,             -2095917,                -78609,,                             -1.06,                             -1.06,,                             -1.06,                             -1.06,               -322576,             -1212453,,,,                 50034,,                429183,                241697
1103,2012年01月01日至2012年06月30日,,,              1247451,,                174362,,,,                479100,              2338591,,,              1399088,,                 92026,,,,                493524,              2223712,                114879,                114879,,,                 39238,,                184757,                223995,,,               -109116,,,                306807,,                -72313,,                 82283,,                 -5994,                146217,                 37101,,                 17005,                 20096,                 20096,,,,,,,             -1295656,             -1275560,,                 12867,                  7229,,             -1225718,                -49842,,                              0.02,                              0.02,,                              0.02,                              0.02,               -185780,             -1138266,,,,                 28390,,                437678,                239074
1103,2012年01月01日至2012年03月31日,,,                510923,,                131261,,,,                191596,              1001971,,,                653050,,                101488,,,,                165538,                953049,                 48922,                 48922,,,                 12889,,                 64896,                 77785,,,                -28863,,,                 92707,,                211160,,                 40271,,                    -39,                263557,                234694,,                 27124,                207570,                207570,,,,,,,                386936,                594506,,                200408,                  7162,,                592576,                  1930,,                              0.31,                              0.31,,                              0.31,                              0.31,               -267290,                612870,,,,                 41356,,                168191,                 32973
